teammate,player_id,player_name,position_id,position_name,x,y,id
True,31917,Igor Diveev,4,Center Back,64.3,46.2,91f2f8aa-4ee8-4593-97a6-1a7862a7cca5
True,16583,Georgiy Dzhikiya,5,Left Center Back,65.6,29.7,91f2f8aa-4ee8-4593-97a6-1a7862a7cca5
False,16550,Jere Juhani Uronen,8,Left Wing Back,100.6,52.5,91f2f8aa-4ee8-4593-97a6-1a7862a7cca5
False,24455,Paulus Arajuuri,4,Center Back,103.0,46.4,91f2f8aa-4ee8-4593-97a6-1a7862a7cca5
False,38196,"Daniel O""Shaughnessy",5,Left Center Back,97.4,52.0,91f2f8aa-4ee8-4593-97a6-1a7862a7cca5
False,12807,Rasmus Schüller,10,Center Defensive Midfield,99.6,47.2,91f2f8aa-4ee8-4593-97a6-1a7862a7cca5
False,26939,Joona Toivio,3,Right Center Back,101.8,36.3,91f2f8aa-4ee8-4593-97a6-1a7862a7cca5
False,13215,Glen Kamara,15,Left Center Midfield,88.7,55.1,91f2f8aa-4ee8-4593-97a6-1a7862a7cca5
False,15416,Jukka Raitala,7,Right Wing Back,99.6,26.4,91f2f8aa-4ee8-4593-97a6-1a7862a7cca5
False,24321,Robin Lod,13,Right Center Midfield,89.5,35.1,91f2f8aa-4ee8-4593-97a6-1a7862a7cca5
False,9725,Joel Pohjanpalo,24,Left Center Forward,78.4,36.5,91f2f8aa-4ee8-4593-97a6-1a7862a7cca5
False,9476,Teemu Pukki,22,Right Center Forward,72.5,51.7,91f2f8aa-4ee8-4593-97a6-1a7862a7cca5
False,8667,Lukáš Hrádecký,1,Goalkeeper,116.1,42.0,91f2f8aa-4ee8-4593-97a6-1a7862a7cca5
True,5177,Aleksandr Golovin,20,Left Attacking Midfield,92.2,18.3,91f2f8aa-4ee8-4593-97a6-1a7862a7cca5
True,5179,Daler Kuzyaev,8,Left Wing Back,86.0,32.0,91f2f8aa-4ee8-4593-97a6-1a7862a7cca5
True,6299,Aleksey Miranchuk,18,Right Attacking Midfield,91.5,36.8,91f2f8aa-4ee8-4593-97a6-1a7862a7cca5
True,5171,Roman Zobnin,11,Left Defensive Midfield,82.4,44.5,91f2f8aa-4ee8-4593-97a6-1a7862a7cca5
True,18735,Dmitriy Barinov,3,Right Center Back,75.9,57.6,91f2f8aa-4ee8-4593-97a6-1a7862a7cca5
True,5170,Mário Figueira Fernandes,7,Right Wing Back,80.1,67.4,91f2f8aa-4ee8-4593-97a6-1a7862a7cca5
True,5195,Artem Dzyuba,23,Center Forward,94.1,54.4,91f2f8aa-4ee8-4593-97a6-1a7862a7cca5
False,16550,Jere Juhani Uronen,8,Left Wing Back,113.0,43.6,0bb2daca-ab0b-497c-ac59-3cc559be6fb7
False,38196,"Daniel O""Shaughnessy",5,Left Center Back,112.6,39.8,0bb2daca-ab0b-497c-ac59-3cc559be6fb7
False,15416,Jukka Raitala,7,Right Wing Back,111.6,33.6,0bb2daca-ab0b-497c-ac59-3cc559be6fb7
False,13215,Glen Kamara,15,Left Center Midfield,106.4,40.1,0bb2daca-ab0b-497c-ac59-3cc559be6fb7
False,24455,Paulus Arajuuri,4,Center Back,108.3,34.1,0bb2daca-ab0b-497c-ac59-3cc559be6fb7
False,26939,Joona Toivio,3,Right Center Back,109.1,26.5,0bb2daca-ab0b-497c-ac59-3cc559be6fb7
False,12807,Rasmus Schüller,10,Center Defensive Midfield,100.4,35.9,0bb2daca-ab0b-497c-ac59-3cc559be6fb7
False,24321,Robin Lod,13,Right Center Midfield,102.4,26.5,0bb2daca-ab0b-497c-ac59-3cc559be6fb7
True,5177,Aleksandr Golovin,20,Left Attacking Midfield,105.7,18.3,0bb2daca-ab0b-497c-ac59-3cc559be6fb7
True,6299,Aleksey Miranchuk,18,Right Attacking Midfield,106.9,33.1,0bb2daca-ab0b-497c-ac59-3cc559be6fb7
True,5170,Mário Figueira Fernandes,7,Right Wing Back,111.9,40.4,0bb2daca-ab0b-497c-ac59-3cc559be6fb7
True,5195,Artem Dzyuba,23,Center Forward,111.9,38.4,0bb2daca-ab0b-497c-ac59-3cc559be6fb7
True,18735,Dmitriy Barinov,3,Right Center Back,89.4,44.7,0bb2daca-ab0b-497c-ac59-3cc559be6fb7
False,8667,Lukáš Hrádecký,1,Goalkeeper,117.5,40.9,0bb2daca-ab0b-497c-ac59-3cc559be6fb7
True,9476,Teemu Pukki,22,Right Center Forward,105.9,32.3,1215b0dc-81fb-4416-b9a6-0faf150a4e8d
True,16550,Jere Juhani Uronen,8,Left Wing Back,86.9,11.4,1215b0dc-81fb-4416-b9a6-0faf150a4e8d
True,24321,Robin Lod,13,Right Center Midfield,91.4,32.3,1215b0dc-81fb-4416-b9a6-0faf150a4e8d
False,21298,Matvey Safonov,1,Goalkeeper,114.1,42.2,1215b0dc-81fb-4416-b9a6-0faf150a4e8d
False,5170,Mário Figueira Fernandes,7,Right Wing Back,103.5,31.7,1215b0dc-81fb-4416-b9a6-0faf150a4e8d
False,31917,Igor Diveev,4,Center Back,107.9,44.3,1215b0dc-81fb-4416-b9a6-0faf150a4e8d
False,16583,Georgiy Dzhikiya,5,Left Center Back,96.2,40.2,1215b0dc-81fb-4416-b9a6-0faf150a4e8d
False,18735,Dmitriy Barinov,3,Right Center Back,93.1,37.0,1215b0dc-81fb-4416-b9a6-0faf150a4e8d
False,5171,Roman Zobnin,11,Left Defensive Midfield,89.4,39.2,1215b0dc-81fb-4416-b9a6-0faf150a4e8d
False,5177,Aleksandr Golovin,20,Left Attacking Midfield,88.9,45.1,1215b0dc-81fb-4416-b9a6-0faf150a4e8d
False,5171,Roman Zobnin,11,Left Defensive Midfield,112.7,42.0,1ce72d1b-a7c5-4eb3-965f-61621b798f35
False,21298,Matvey Safonov,1,Goalkeeper,118.1,38.1,1ce72d1b-a7c5-4eb3-965f-61621b798f35
False,6299,Aleksey Miranchuk,18,Right Attacking Midfield,108.5,63.4,1ce72d1b-a7c5-4eb3-965f-61621b798f35
False,5179,Daler Kuzyaev,8,Left Wing Back,99.8,32.1,1ce72d1b-a7c5-4eb3-965f-61621b798f35
False,20845,Magomed Ozdoev,9,Right Defensive Midfield,112.0,54.4,1ce72d1b-a7c5-4eb3-965f-61621b798f35
False,18735,Dmitriy Barinov,3,Right Center Back,110.7,41.7,1ce72d1b-a7c5-4eb3-965f-61621b798f35
False,5195,Artem Dzyuba,23,Center Forward,114.2,43.9,1ce72d1b-a7c5-4eb3-965f-61621b798f35
False,31917,Igor Diveev,4,Center Back,112.0,38.7,1ce72d1b-a7c5-4eb3-965f-61621b798f35
False,5170,Mário Figueira Fernandes,7,Right Wing Back,111.4,34.5,1ce72d1b-a7c5-4eb3-965f-61621b798f35
False,16583,Georgiy Dzhikiya,5,Left Center Back,111.1,30.5,1ce72d1b-a7c5-4eb3-965f-61621b798f35
True,16550,Jere Juhani Uronen,8,Left Wing Back,93.7,25.4,1ce72d1b-a7c5-4eb3-965f-61621b798f35
True,24321,Robin Lod,13,Right Center Midfield,110.8,56.8,1ce72d1b-a7c5-4eb3-965f-61621b798f35
True,9476,Teemu Pukki,22,Right Center Forward,112.1,42.2,1ce72d1b-a7c5-4eb3-965f-61621b798f35
True,9725,Joel Pohjanpalo,24,Left Center Forward,113.5,45.8,1ce72d1b-a7c5-4eb3-965f-61621b798f35
True,24455,Paulus Arajuuri,4,Center Back,109.7,41.0,1ce72d1b-a7c5-4eb3-965f-61621b798f35
True,38196,"Daniel O""Shaughnessy",5,Left Center Back,111.7,36.2,1ce72d1b-a7c5-4eb3-965f-61621b798f35
True,5177,Aleksandr Golovin,20,Left Attacking Midfield,107.5,32.1,7aa54ce6-106a-4e26-9fb1-77aa0d76f793
True,6299,Aleksey Miranchuk,18,Right Attacking Midfield,106.9,36.7,7aa54ce6-106a-4e26-9fb1-77aa0d76f793
False,38196,"Daniel O""Shaughnessy",5,Left Center Back,115.4,41.4,7aa54ce6-106a-4e26-9fb1-77aa0d76f793
True,15545,Vyacheslav Karavaev,7,Right Wing Back,110.6,42.3,7aa54ce6-106a-4e26-9fb1-77aa0d76f793
True,20845,Magomed Ozdoev,9,Right Defensive Midfield,113.4,30.8,7aa54ce6-106a-4e26-9fb1-77aa0d76f793
True,5179,Daler Kuzyaev,8,Left Wing Back,108.2,19.4,7aa54ce6-106a-4e26-9fb1-77aa0d76f793
True,18735,Dmitriy Barinov,3,Right Center Back,94.1,45.8,7aa54ce6-106a-4e26-9fb1-77aa0d76f793
False,16550,Jere Juhani Uronen,8,Left Wing Back,114.9,44.2,7aa54ce6-106a-4e26-9fb1-77aa0d76f793
False,24455,Paulus Arajuuri,4,Center Back,116.1,38.0,7aa54ce6-106a-4e26-9fb1-77aa0d76f793
False,26939,Joona Toivio,3,Right Center Back,115.0,32.0,7aa54ce6-106a-4e26-9fb1-77aa0d76f793
False,12807,Rasmus Schüller,10,Center Defensive Midfield,112.3,33.4,7aa54ce6-106a-4e26-9fb1-77aa0d76f793
False,15416,Jukka Raitala,7,Right Wing Back,111.9,27.9,7aa54ce6-106a-4e26-9fb1-77aa0d76f793
False,13215,Glen Kamara,15,Left Center Midfield,104.9,39.8,7aa54ce6-106a-4e26-9fb1-77aa0d76f793
False,24321,Robin Lod,13,Right Center Midfield,104.2,28.6,7aa54ce6-106a-4e26-9fb1-77aa0d76f793
False,8667,Lukáš Hrádecký,1,Goalkeeper,119.0,40.3,7aa54ce6-106a-4e26-9fb1-77aa0d76f793
False,16550,Jere Juhani Uronen,8,Left Wing Back,119.2,37.3,1a61eaa4-1273-4707-897c-860255ce1792
False,8667,Lukáš Hrádecký,1,Goalkeeper,118.8,40.0,1a61eaa4-1273-4707-897c-860255ce1792
False,9725,Joel Pohjanpalo,24,Left Center Forward,116.7,43.8,1a61eaa4-1273-4707-897c-860255ce1792
False,13215,Glen Kamara,15,Left Center Midfield,115.1,39.7,1a61eaa4-1273-4707-897c-860255ce1792
False,24455,Paulus Arajuuri,4,Center Back,112.1,42.2,1a61eaa4-1273-4707-897c-860255ce1792
False,12807,Rasmus Schüller,10,Center Defensive Midfield,111.0,43.3,1a61eaa4-1273-4707-897c-860255ce1792
False,9476,Teemu Pukki,22,Right Center Forward,103.2,52.5,1a61eaa4-1273-4707-897c-860255ce1792
False,15416,Jukka Raitala,7,Right Wing Back,111.1,41.2,1a61eaa4-1273-4707-897c-860255ce1792
False,26939,Joona Toivio,3,Right Center Back,110.9,35.2,1a61eaa4-1273-4707-897c-860255ce1792
False,38196,"Daniel O""Shaughnessy",5,Left Center Back,109.4,38.1,1a61eaa4-1273-4707-897c-860255ce1792
False,24321,Robin Lod,13,Right Center Midfield,104.2,38.9,1a61eaa4-1273-4707-897c-860255ce1792
True,20845,Magomed Ozdoev,9,Right Defensive Midfield,116.6,40.4,1a61eaa4-1273-4707-897c-860255ce1792
True,16583,Georgiy Dzhikiya,5,Left Center Back,112.1,32.2,1a61eaa4-1273-4707-897c-860255ce1792
True,5195,Artem Dzyuba,23,Center Forward,108.5,38.2,1a61eaa4-1273-4707-897c-860255ce1792
True,18735,Dmitriy Barinov,3,Right Center Back,99.3,46.0,1a61eaa4-1273-4707-897c-860255ce1792
True,5171,Roman Zobnin,11,Left Defensive Midfield,109.0,41.3,1a61eaa4-1273-4707-897c-860255ce1792
True,6299,Aleksey Miranchuk,18,Right Attacking Midfield,96.8,61.6,1a61eaa4-1273-4707-897c-860255ce1792
False,24455,Paulus Arajuuri,4,Center Back,110.4,36.9,cea29db3-309f-47a3-b3ae-32eeea5dc7d8
True,5195,Artem Dzyuba,23,Center Forward,110.6,38.5,cea29db3-309f-47a3-b3ae-32eeea5dc7d8
True,6299,Aleksey Miranchuk,18,Right Attacking Midfield,108.2,39.6,cea29db3-309f-47a3-b3ae-32eeea5dc7d8
False,38196,"Daniel O""Shaughnessy",5,Left Center Back,108.4,40.8,cea29db3-309f-47a3-b3ae-32eeea5dc7d8
False,13215,Glen Kamara,15,Left Center Midfield,107.6,40.4,cea29db3-309f-47a3-b3ae-32eeea5dc7d8
False,26939,Joona Toivio,3,Right Center Back,114.5,34.4,cea29db3-309f-47a3-b3ae-32eeea5dc7d8
True,5177,Aleksandr Golovin,20,Left Attacking Midfield,101.7,19.0,cea29db3-309f-47a3-b3ae-32eeea5dc7d8
True,5179,Daler Kuzyaev,8,Left Wing Back,120.0,11.1,cea29db3-309f-47a3-b3ae-32eeea5dc7d8
False,15416,Jukka Raitala,7,Right Wing Back,117.4,17.2,cea29db3-309f-47a3-b3ae-32eeea5dc7d8
False,24321,Robin Lod,13,Right Center Midfield,107.9,23.8,cea29db3-309f-47a3-b3ae-32eeea5dc7d8
True,18735,Dmitriy Barinov,3,Right Center Back,93.4,45.1,cea29db3-309f-47a3-b3ae-32eeea5dc7d8
False,12807,Rasmus Schüller,10,Center Defensive Midfield,109.0,31.7,cea29db3-309f-47a3-b3ae-32eeea5dc7d8
False,16550,Jere Juhani Uronen,8,Left Wing Back,111.0,47.0,cea29db3-309f-47a3-b3ae-32eeea5dc7d8
False,8667,Lukáš Hrádecký,1,Goalkeeper,118.1,39.7,cea29db3-309f-47a3-b3ae-32eeea5dc7d8
True,15545,Vyacheslav Karavaev,7,Right Wing Back,110.7,49.1,cea29db3-309f-47a3-b3ae-32eeea5dc7d8
True,15545,Vyacheslav Karavaev,7,Right Wing Back,103.2,60.8,7c38ea54-43af-46d1-8690-0db1538d9b0c
False,13215,Glen Kamara,15,Left Center Midfield,89.9,55.2,7c38ea54-43af-46d1-8690-0db1538d9b0c
False,15416,Jukka Raitala,7,Right Wing Back,105.0,36.1,7c38ea54-43af-46d1-8690-0db1538d9b0c
False,24321,Robin Lod,13,Right Center Midfield,105.9,46.2,7c38ea54-43af-46d1-8690-0db1538d9b0c
False,12807,Rasmus Schüller,10,Center Defensive Midfield,104.8,50.1,7c38ea54-43af-46d1-8690-0db1538d9b0c
False,24455,Paulus Arajuuri,4,Center Back,109.7,47.3,7c38ea54-43af-46d1-8690-0db1538d9b0c
False,16550,Jere Juhani Uronen,8,Left Wing Back,108.6,53.0,7c38ea54-43af-46d1-8690-0db1538d9b0c
False,8667,Lukáš Hrádecký,1,Goalkeeper,116.9,43.5,7c38ea54-43af-46d1-8690-0db1538d9b0c
False,26939,Joona Toivio,3,Right Center Back,108.0,42.8,7c38ea54-43af-46d1-8690-0db1538d9b0c
True,5195,Artem Dzyuba,23,Center Forward,107.5,43.4,7c38ea54-43af-46d1-8690-0db1538d9b0c
True,5177,Aleksandr Golovin,20,Left Attacking Midfield,94.4,37.4,7c38ea54-43af-46d1-8690-0db1538d9b0c
True,20845,Magomed Ozdoev,9,Right Defensive Midfield,96.1,55.0,7c38ea54-43af-46d1-8690-0db1538d9b0c
True,5179,Daler Kuzyaev,8,Left Wing Back,99.4,43.6,7c38ea54-43af-46d1-8690-0db1538d9b0c
False,38196,"Daniel O""Shaughnessy",5,Left Center Back,110.2,49.8,7c38ea54-43af-46d1-8690-0db1538d9b0c
False,16550,Jere Juhani Uronen,8,Left Wing Back,101.7,68.7,12822949-0f57-4bf5-afcc-eb25926cff40
False,13215,Glen Kamara,15,Left Center Midfield,101.9,62.4,12822949-0f57-4bf5-afcc-eb25926cff40
False,24455,Paulus Arajuuri,4,Center Back,109.7,47.4,12822949-0f57-4bf5-afcc-eb25926cff40
