teammate,player_id,player_name,position_id,position_name,x,y,id
False,5205,Rui Pedro dos Santos Patrício,1,Goalkeeper,119.0,39.7,5eb91436-d340-473d-a008-12b8e87024df
True,8400,Serge Gnabry,23,Center Forward,101.9,58.4,5eb91436-d340-473d-a008-12b8e87024df
True,5579,Joshua Kimmich,7,Right Wing Back,100.7,58.4,5eb91436-d340-473d-a008-12b8e87024df
False,5209,Raphaël Adelino José Guerreiro,6,Left Back,101.6,60.1,5eb91436-d340-473d-a008-12b8e87024df
False,5206,Rúben Santos Gato Alves Dias,5,Left Center Back,103.6,50.8,5eb91436-d340-473d-a008-12b8e87024df
False,9929,Diogo José Teixeira da Silva,16,Left Midfield,96.2,49.7,5eb91436-d340-473d-a008-12b8e87024df
True,10287,İlkay Gündoğan,9,Right Defensive Midfield,82.6,57.1,5eb91436-d340-473d-a008-12b8e87024df
True,5562,Thomas Müller,18,Right Attacking Midfield,93.6,44.4,5eb91436-d340-473d-a008-12b8e87024df
True,8808,Matthias Ginter,3,Right Center Back,87.7,59.9,5eb91436-d340-473d-a008-12b8e87024df
False,5207,Cristiano Ronaldo dos Santos Aveiro,23,Center Forward,76.3,67.1,5eb91436-d340-473d-a008-12b8e87024df
False,5214,William Silva de Carvalho,15,Left Center Midfield,86.9,53.7,5eb91436-d340-473d-a008-12b8e87024df
False,5204,Bruno Miguel Borges Fernandes,13,Right Center Midfield,92.7,40.9,5eb91436-d340-473d-a008-12b8e87024df
False,20016,Kléper Laveran Lima Ferreira,3,Right Center Back,98.4,39.1,5eb91436-d340-473d-a008-12b8e87024df
False,6374,Nélson Cabral Semedo,2,Right Back,99.9,36.8,5eb91436-d340-473d-a008-12b8e87024df
False,13621,Danilo Luís Hélio Pereira,10,Center Defensive Midfield,96.7,43.8,5eb91436-d340-473d-a008-12b8e87024df
True,6985,Robin Gosens,8,Left Wing Back,119.3,21.3,f46c97ea-cdd7-4525-92cd-ca191d4341b0
True,8966,Kai Havertz,20,Left Attacking Midfield,105.3,42.4,f46c97ea-cdd7-4525-92cd-ca191d4341b0
True,5562,Thomas Müller,18,Right Attacking Midfield,109.7,43.5,f46c97ea-cdd7-4525-92cd-ca191d4341b0
True,8400,Serge Gnabry,23,Center Forward,118.0,32.8,f46c97ea-cdd7-4525-92cd-ca191d4341b0
True,5579,Joshua Kimmich,7,Right Wing Back,115.7,46.3,f46c97ea-cdd7-4525-92cd-ca191d4341b0
False,5214,William Silva de Carvalho,15,Left Center Midfield,104.2,36.0,f46c97ea-cdd7-4525-92cd-ca191d4341b0
False,6374,Nélson Cabral Semedo,2,Right Back,111.2,31.5,f46c97ea-cdd7-4525-92cd-ca191d4341b0
False,3193,Bernardo Mota Veiga de Carvalho e Silva,12,Right Midfield,117.8,25.9,f46c97ea-cdd7-4525-92cd-ca191d4341b0
False,20016,Kléper Laveran Lima Ferreira,3,Right Center Back,117.7,28.4,f46c97ea-cdd7-4525-92cd-ca191d4341b0
False,13621,Danilo Luís Hélio Pereira,10,Center Defensive Midfield,113.9,34.6,f46c97ea-cdd7-4525-92cd-ca191d4341b0
False,5206,Rúben Santos Gato Alves Dias,5,Left Center Back,111.7,38.4,f46c97ea-cdd7-4525-92cd-ca191d4341b0
False,9929,Diogo José Teixeira da Silva,16,Left Midfield,110.8,45.4,f46c97ea-cdd7-4525-92cd-ca191d4341b0
False,5209,Raphaël Adelino José Guerreiro,6,Left Back,117.9,41.7,f46c97ea-cdd7-4525-92cd-ca191d4341b0
False,5205,Rui Pedro dos Santos Patrício,1,Goalkeeper,119.1,36.4,f46c97ea-cdd7-4525-92cd-ca191d4341b0
False,5209,Raphaël Adelino José Guerreiro,6,Left Back,104.2,54.7,93e0adc0-993a-450d-b254-b51312b8269a
False,9929,Diogo José Teixeira da Silva,16,Left Midfield,100.3,56.4,93e0adc0-993a-450d-b254-b51312b8269a
False,5206,Rúben Santos Gato Alves Dias,5,Left Center Back,99.0,51.2,93e0adc0-993a-450d-b254-b51312b8269a
False,5214,William Silva de Carvalho,15,Left Center Midfield,90.6,53.9,93e0adc0-993a-450d-b254-b51312b8269a
False,20016,Kléper Laveran Lima Ferreira,3,Right Center Back,97.3,39.6,93e0adc0-993a-450d-b254-b51312b8269a
False,6374,Nélson Cabral Semedo,2,Right Back,97.3,26.1,93e0adc0-993a-450d-b254-b51312b8269a
True,5579,Joshua Kimmich,7,Right Wing Back,102.7,61.5,93e0adc0-993a-450d-b254-b51312b8269a
True,8966,Kai Havertz,20,Left Attacking Midfield,86.0,57.8,93e0adc0-993a-450d-b254-b51312b8269a
True,8400,Serge Gnabry,23,Center Forward,95.1,39.1,93e0adc0-993a-450d-b254-b51312b8269a
False,5205,Rui Pedro dos Santos Patrício,1,Goalkeeper,118.0,41.2,93e0adc0-993a-450d-b254-b51312b8269a
True,9929,Diogo José Teixeira da Silva,16,Left Midfield,116.5,34.7,1e5722dc-4393-4d19-8893-8a2d0f7ad883
False,5579,Joshua Kimmich,7,Right Wing Back,116.6,36.6,1e5722dc-4393-4d19-8893-8a2d0f7ad883
False,5570,Manuel Neuer,1,Goalkeeper,114.3,36.9,1e5722dc-4393-4d19-8893-8a2d0f7ad883
False,6985,Robin Gosens,8,Left Wing Back,114.5,45.1,1e5722dc-4393-4d19-8893-8a2d0f7ad883
False,8966,Kai Havertz,20,Left Attacking Midfield,107.9,36.9,1e5722dc-4393-4d19-8893-8a2d0f7ad883
False,9929,Diogo José Teixeira da Silva,16,Left Midfield,86.8,60.2,230de5d0-5302-461a-9626-4250247bf04f
False,6374,Nélson Cabral Semedo,2,Right Back,108.5,24.3,230de5d0-5302-461a-9626-4250247bf04f
False,20016,Kléper Laveran Lima Ferreira,3,Right Center Back,105.1,33.9,230de5d0-5302-461a-9626-4250247bf04f
False,5206,Rúben Santos Gato Alves Dias,5,Left Center Back,105.3,44.1,230de5d0-5302-461a-9626-4250247bf04f
