teammate,player_id,player_name,position_id,position_name,x,y,id
False,16531,Dominik Livaković,1,Goalkeeper,117.7,40.7,26195616-ae5f-40ca-9bc7-edd0ee1ed81f
False,5456,Mateo Kovačić,15,Left Center Midfield,75.9,45.3,26195616-ae5f-40ca-9bc7-edd0ee1ed81f
False,3471,Dejan Lovren,3,Right Center Back,86.7,39.2,26195616-ae5f-40ca-9bc7-edd0ee1ed81f
False,5469,Marcelo Brozović,10,Center Defensive Midfield,89.6,40.4,26195616-ae5f-40ca-9bc7-edd0ee1ed81f
False,33018,Joško Gvardiol,6,Left Back,92.7,45.1,26195616-ae5f-40ca-9bc7-edd0ee1ed81f
False,5468,Domagoj Vida,5,Left Center Back,96.6,41.4,26195616-ae5f-40ca-9bc7-edd0ee1ed81f
False,29163,Josip Juranović,2,Right Back,95.4,36.2,26195616-ae5f-40ca-9bc7-edd0ee1ed81f
True,9974,John McGinn,13,Right Center Midfield,75.3,45.8,26195616-ae5f-40ca-9bc7-edd0ee1ed81f
True,29571,Lyndon Dykes,22,Right Center Forward,76.2,39.3,26195616-ae5f-40ca-9bc7-edd0ee1ed81f
True,3655,Andrew Robertson,8,Left Wing Back,77.8,19.1,26195616-ae5f-40ca-9bc7-edd0ee1ed81f
True,10285,Stuart Armstrong,15,Left Center Midfield,84.3,28.6,26195616-ae5f-40ca-9bc7-edd0ee1ed81f
True,7693,Bruno Petković,23,Center Forward,112.3,44.5,61fee63c-5fb9-4f82-84e2-2c1132866691
True,5463,Luka Modrić,13,Right Center Midfield,99.5,48.0,61fee63c-5fb9-4f82-84e2-2c1132866691
True,29163,Josip Juranović,2,Right Back,94.9,68.4,61fee63c-5fb9-4f82-84e2-2c1132866691
True,5474,Ivan Perišić,21,Left Wing,113.6,31.3,61fee63c-5fb9-4f82-84e2-2c1132866691
True,5456,Mateo Kovačić,15,Left Center Midfield,98.3,33.1,61fee63c-5fb9-4f82-84e2-2c1132866691
False,9645,David Marshall,1,Goalkeeper,118.7,38.2,61fee63c-5fb9-4f82-84e2-2c1132866691
False,9466,Che Adams,24,Left Center Forward,88.8,51.6,61fee63c-5fb9-4f82-84e2-2c1132866691
False,9974,John McGinn,13,Right Center Midfield,100.6,31.5,61fee63c-5fb9-4f82-84e2-2c1132866691
False,10285,Stuart Armstrong,15,Left Center Midfield,103.1,45.5,61fee63c-5fb9-4f82-84e2-2c1132866691
False,10534,Callum McGregor,10,Center Defensive Midfield,109.0,37.8,61fee63c-5fb9-4f82-84e2-2c1132866691
False,9048,"Stephen O""Donnell",7,Right Wing Back,111.5,33.2,61fee63c-5fb9-4f82-84e2-2c1132866691
False,3620,Scott McTominay,3,Right Center Back,110.2,36.9,61fee63c-5fb9-4f82-84e2-2c1132866691
False,9481,Grant Hanley,4,Center Back,112.4,39.4,61fee63c-5fb9-4f82-84e2-2c1132866691
False,10540,Kieran Tierney,5,Left Center Back,110.6,42.8,61fee63c-5fb9-4f82-84e2-2c1132866691
False,3655,Andrew Robertson,8,Left Wing Back,108.1,60.1,61fee63c-5fb9-4f82-84e2-2c1132866691
False,9974,John McGinn,13,Right Center Midfield,99.8,26.8,808d693b-1729-42ec-83e1-93c561a8f289
False,10534,Callum McGregor,10,Center Defensive Midfield,99.0,41.2,808d693b-1729-42ec-83e1-93c561a8f289
False,9048,"Stephen O""Donnell",7,Right Wing Back,104.6,23.6,808d693b-1729-42ec-83e1-93c561a8f289
False,3620,Scott McTominay,3,Right Center Back,105.3,35.1,808d693b-1729-42ec-83e1-93c561a8f289
False,9481,Grant Hanley,4,Center Back,108.6,40.8,808d693b-1729-42ec-83e1-93c561a8f289
False,10540,Kieran Tierney,5,Left Center Back,105.9,44.8,808d693b-1729-42ec-83e1-93c561a8f289
False,10285,Stuart Armstrong,15,Left Center Midfield,98.1,50.8,808d693b-1729-42ec-83e1-93c561a8f289
False,3655,Andrew Robertson,8,Left Wing Back,104.1,51.7,808d693b-1729-42ec-83e1-93c561a8f289
True,5456,Mateo Kovačić,15,Left Center Midfield,89.4,42.6,808d693b-1729-42ec-83e1-93c561a8f289
True,5474,Ivan Perišić,21,Left Wing,95.6,18.5,808d693b-1729-42ec-83e1-93c561a8f289
True,33018,Joško Gvardiol,6,Left Back,101.5,15.7,808d693b-1729-42ec-83e1-93c561a8f289
True,3441,Nikola Vlašić,17,Right Wing,103.2,33.6,808d693b-1729-42ec-83e1-93c561a8f289
True,7693,Bruno Petković,23,Center Forward,106.6,41.9,808d693b-1729-42ec-83e1-93c561a8f289
True,29163,Josip Juranović,2,Right Back,88.9,67.3,808d693b-1729-42ec-83e1-93c561a8f289
False,9645,David Marshall,1,Goalkeeper,117.0,42.6,808d693b-1729-42ec-83e1-93c561a8f289
True,9466,Che Adams,24,Left Center Forward,114.5,33.6,0e8eb541-229b-4fcc-8661-c4353a4f7d5a
True,29571,Lyndon Dykes,22,Right Center Forward,110.4,41.6,0e8eb541-229b-4fcc-8661-c4353a4f7d5a
True,10285,Stuart Armstrong,15,Left Center Midfield,106.6,36.9,0e8eb541-229b-4fcc-8661-c4353a4f7d5a
True,3655,Andrew Robertson,8,Left Wing Back,111.8,16.5,0e8eb541-229b-4fcc-8661-c4353a4f7d5a
False,16531,Dominik Livaković,1,Goalkeeper,118.0,40.0,0e8eb541-229b-4fcc-8661-c4353a4f7d5a
False,3471,Dejan Lovren,3,Right Center Back,110.4,24.7,0e8eb541-229b-4fcc-8661-c4353a4f7d5a
False,5463,Luka Modrić,13,Right Center Midfield,110.0,35.2,0e8eb541-229b-4fcc-8661-c4353a4f7d5a
False,29163,Josip Juranović,2,Right Back,101.4,20.8,0e8eb541-229b-4fcc-8661-c4353a4f7d5a
False,5468,Domagoj Vida,5,Left Center Back,110.5,40.2,0e8eb541-229b-4fcc-8661-c4353a4f7d5a
False,5469,Marcelo Brozović,10,Center Defensive Midfield,103.8,30.3,0e8eb541-229b-4fcc-8661-c4353a4f7d5a
False,33018,Joško Gvardiol,6,Left Back,109.3,41.5,0e8eb541-229b-4fcc-8661-c4353a4f7d5a
False,3441,Nikola Vlašić,17,Right Wing,99.4,29.3,0e8eb541-229b-4fcc-8661-c4353a4f7d5a
False,5474,Ivan Perišić,21,Left Wing,102.8,51.1,0e8eb541-229b-4fcc-8661-c4353a4f7d5a
True,29163,Josip Juranović,2,Right Back,85.0,76.5,f60e33f1-f25d-4517-ba38-84c3d0382275
False,9645,David Marshall,1,Goalkeeper,119.3,39.7,f60e33f1-f25d-4517-ba38-84c3d0382275
False,9481,Grant Hanley,4,Center Back,95.1,30.9,f60e33f1-f25d-4517-ba38-84c3d0382275
False,10540,Kieran Tierney,5,Left Center Back,94.3,32.0,f60e33f1-f25d-4517-ba38-84c3d0382275
