teammate,player_id,player_name,position_id,position_name,x,y,id
False,5171,Roman Zobnin,17,Right Wing,93.7,31.1,99818f01-729f-4562-a7ec-1849306d4506
False,5170,Mário Figueira Fernandes,2,Right Back,104.8,31.5,99818f01-729f-4562-a7ec-1849306d4506
False,18735,Dmitriy Barinov,9,Right Defensive Midfield,99.4,43.2,99818f01-729f-4562-a7ec-1849306d4506
True,5632,Thorgan Hazard,8,Left Wing Back,96.9,19.7,99818f01-729f-4562-a7ec-1849306d4506
False,5179,Daler Kuzyaev,21,Left Wing,96.5,63.9,99818f01-729f-4562-a7ec-1849306d4506
False,5193,Yuri Zhirkov,6,Left Back,102.3,55.0,99818f01-729f-4562-a7ec-1849306d4506
False,16583,Georgiy Dzhikiya,5,Left Center Back,107.4,43.4,99818f01-729f-4562-a7ec-1849306d4506
False,34588,Andrey Semenov,3,Right Center Back,108.3,40.4,99818f01-729f-4562-a7ec-1849306d4506
False,20845,Magomed Ozdoev,11,Left Defensive Midfield,96.4,53.3,99818f01-729f-4562-a7ec-1849306d4506
True,5630,Dries Mertens,18,Right Attacking Midfield,91.9,58.2,99818f01-729f-4562-a7ec-1849306d4506
True,5633,Yannick Ferreira Carrasco,20,Left Attacking Midfield,99.8,36.1,99818f01-729f-4562-a7ec-1849306d4506
True,6331,Leander Dendoncker,9,Right Defensive Midfield,85.0,54.3,99818f01-729f-4562-a7ec-1849306d4506
False,38119,Anton Shunin,1,Goalkeeper,114.8,40.0,99818f01-729f-4562-a7ec-1849306d4506
True,6989,Timothy Castagne,7,Right Wing Back,95.1,68.1,99818f01-729f-4562-a7ec-1849306d4506
False,2954,Youri Tielemans,11,Left Defensive Midfield,118.6,37.1,6089ad85-71f8-4e3f-a46b-8c3351f44cfe
False,5632,Thorgan Hazard,8,Left Wing Back,111.9,43.4,6089ad85-71f8-4e3f-a46b-8c3351f44cfe
True,16583,Georgiy Dzhikiya,5,Left Center Back,106.5,33.3,6089ad85-71f8-4e3f-a46b-8c3351f44cfe
True,20845,Magomed Ozdoev,11,Left Defensive Midfield,111.7,40.8,6089ad85-71f8-4e3f-a46b-8c3351f44cfe
False,6331,Leander Dendoncker,9,Right Defensive Midfield,111.8,39.1,6089ad85-71f8-4e3f-a46b-8c3351f44cfe
False,3077,Jan Vertonghen,5,Left Center Back,113.2,40.7,6089ad85-71f8-4e3f-a46b-8c3351f44cfe
False,5639,Anga Dedryck Boyata,4,Center Back,113.5,37.2,6089ad85-71f8-4e3f-a46b-8c3351f44cfe
True,34588,Andrey Semenov,3,Right Center Back,114.0,36.2,6089ad85-71f8-4e3f-a46b-8c3351f44cfe
False,5633,Yannick Ferreira Carrasco,20,Left Attacking Midfield,104.4,53.9,6089ad85-71f8-4e3f-a46b-8c3351f44cfe
False,6989,Timothy Castagne,7,Right Wing Back,105.0,40.8,6089ad85-71f8-4e3f-a46b-8c3351f44cfe
False,5630,Dries Mertens,18,Right Attacking Midfield,104.1,28.4,6089ad85-71f8-4e3f-a46b-8c3351f44cfe
True,5195,Artem Dzyuba,23,Center Forward,115.9,45.4,6089ad85-71f8-4e3f-a46b-8c3351f44cfe
False,20005,Toby Alderweireld,3,Right Center Back,114.0,35.0,6089ad85-71f8-4e3f-a46b-8c3351f44cfe
False,3509,Thibaut Courtois,1,Goalkeeper,118.9,41.5,6089ad85-71f8-4e3f-a46b-8c3351f44cfe
True,5171,Roman Zobnin,17,Right Wing,99.8,49.2,6089ad85-71f8-4e3f-a46b-8c3351f44cfe
True,18735,Dmitriy Barinov,9,Right Defensive Midfield,96.6,35.7,6089ad85-71f8-4e3f-a46b-8c3351f44cfe
True,5193,Yuri Zhirkov,6,Left Back,97.4,25.5,6089ad85-71f8-4e3f-a46b-8c3351f44cfe
True,18735,Dmitriy Barinov,9,Right Defensive Midfield,84.2,53.7,88a244c8-4113-4b54-983f-4d06cde5118e
True,5170,Mário Figueira Fernandes,2,Right Back,115.5,69.4,88a244c8-4113-4b54-983f-4d06cde5118e
True,5177,Aleksandr Golovin,19,Center Attacking Midfield,103.0,48.3,88a244c8-4113-4b54-983f-4d06cde5118e
True,5171,Roman Zobnin,17,Right Wing,106.8,48.5,88a244c8-4113-4b54-983f-4d06cde5118e
