teammate,player_id,player_name,position_id,position_name,x,y,id
True,4706,Kalvin Phillips,9,Right Defensive Midfield,93.3,37.8,2ad830f5-8e50-468b-99d2-5acbec5d0ccc
False,3815,Kasper Schmeichel,1,Goalkeeper,118.3,38.0,2ad830f5-8e50-468b-99d2-5acbec5d0ccc
False,3570,Pierre-Emile Højbjerg,9,Right Defensive Midfield,97.9,44.8,2ad830f5-8e50-468b-99d2-5acbec5d0ccc
False,16554,Joakim Mæhle,8,Left Wing Back,106.7,50.2,2ad830f5-8e50-468b-99d2-5acbec5d0ccc
False,8815,Jannik Vestergaard,5,Left Center Back,110.0,43.9,2ad830f5-8e50-468b-99d2-5acbec5d0ccc
False,5527,Thomas Delaney,11,Left Defensive Midfield,105.5,33.1,2ad830f5-8e50-468b-99d2-5acbec5d0ccc
False,5534,Simon Thorup Kjær,4,Center Back,110.4,36.3,2ad830f5-8e50-468b-99d2-5acbec5d0ccc
False,3959,Andreas Christensen,3,Right Center Back,107.5,31.1,2ad830f5-8e50-468b-99d2-5acbec5d0ccc
True,22084,Bukayo Saka,17,Right Wing,109.2,43.2,2ad830f5-8e50-468b-99d2-5acbec5d0ccc
True,10955,Harry Kane,23,Center Forward,102.6,39.3,2ad830f5-8e50-468b-99d2-5acbec5d0ccc
True,3382,Luke Shaw,6,Left Back,91.5,23.8,2ad830f5-8e50-468b-99d2-5acbec5d0ccc
False,3815,Kasper Schmeichel,1,Goalkeeper,116.7,41.3,be99bf4a-6ca9-48be-95b9-719a58564078
False,3570,Pierre-Emile Højbjerg,9,Right Defensive Midfield,89.6,54.7,be99bf4a-6ca9-48be-95b9-719a58564078
False,16554,Joakim Mæhle,8,Left Wing Back,98.5,62.3,be99bf4a-6ca9-48be-95b9-719a58564078
False,5527,Thomas Delaney,11,Left Defensive Midfield,95.4,46.6,be99bf4a-6ca9-48be-95b9-719a58564078
False,8815,Jannik Vestergaard,5,Left Center Back,102.1,50.7,be99bf4a-6ca9-48be-95b9-719a58564078
False,3959,Andreas Christensen,3,Right Center Back,100.1,42.5,be99bf4a-6ca9-48be-95b9-719a58564078
False,5534,Simon Thorup Kjær,4,Center Back,102.8,46.3,be99bf4a-6ca9-48be-95b9-719a58564078
False,5524,Jens Stryger Larsen,7,Right Wing Back,98.6,27.9,be99bf4a-6ca9-48be-95b9-719a58564078
True,3233,Raheem Sterling,21,Left Wing,103.6,47.2,be99bf4a-6ca9-48be-95b9-719a58564078
True,7843,Mason Mount,19,Center Attacking Midfield,89.7,28.7,be99bf4a-6ca9-48be-95b9-719a58564078
True,22084,Bukayo Saka,17,Right Wing,97.1,61.2,be99bf4a-6ca9-48be-95b9-719a58564078
False,3468,Jordan Pickford,1,Goalkeeper,117.0,38.5,cb8240a6-66c6-47d5-a15b-c51fc616d383
False,4706,Kalvin Phillips,9,Right Defensive Midfield,91.7,23.4,cb8240a6-66c6-47d5-a15b-c51fc616d383
False,3943,Declan Rice,11,Left Defensive Midfield,92.9,24.7,cb8240a6-66c6-47d5-a15b-c51fc616d383
False,3244,John Stones,3,Right Center Back,98.1,26.4,cb8240a6-66c6-47d5-a15b-c51fc616d383
False,3336,Harry Maguire,5,Left Center Back,99.0,34.1,cb8240a6-66c6-47d5-a15b-c51fc616d383
False,3382,Luke Shaw,6,Left Back,95.0,45.2,cb8240a6-66c6-47d5-a15b-c51fc616d383
True,4447,Martin Braithwaite Christensen,17,Right Wing,98.2,15.1,cb8240a6-66c6-47d5-a15b-c51fc616d383
True,24443,Mikkel Damsgaard,21,Left Wing,95.3,36.0,cb8240a6-66c6-47d5-a15b-c51fc616d383
True,5527,Thomas Delaney,11,Left Defensive Midfield,87.8,44.9,dee71bb6-4b8b-4e9d-94a3-f36813943aca
True,24443,Mikkel Damsgaard,21,Left Wing,100.7,46.6,dee71bb6-4b8b-4e9d-94a3-f36813943aca
True,3570,Pierre-Emile Højbjerg,9,Right Defensive Midfield,92.3,36.2,dee71bb6-4b8b-4e9d-94a3-f36813943aca
False,7843,Mason Mount,19,Center Attacking Midfield,87.5,46.1,dee71bb6-4b8b-4e9d-94a3-f36813943aca
False,3382,Luke Shaw,6,Left Back,103.1,46.1,dee71bb6-4b8b-4e9d-94a3-f36813943aca
False,3336,Harry Maguire,5,Left Center Back,103.4,40.0,dee71bb6-4b8b-4e9d-94a3-f36813943aca
False,3244,John Stones,3,Right Center Back,102.8,34.2,dee71bb6-4b8b-4e9d-94a3-f36813943aca
False,3205,Kyle Walker,2,Right Back,103.8,28.7,dee71bb6-4b8b-4e9d-94a3-f36813943aca
False,3943,Declan Rice,11,Left Defensive Midfield,99.7,37.8,dee71bb6-4b8b-4e9d-94a3-f36813943aca
False,4706,Kalvin Phillips,9,Right Defensive Midfield,99.0,36.3,dee71bb6-4b8b-4e9d-94a3-f36813943aca
False,3468,Jordan Pickford,1,Goalkeeper,116.7,39.2,dee71bb6-4b8b-4e9d-94a3-f36813943aca
True,5527,Thomas Delaney,11,Left Defensive Midfield,103.4,48.2,141f8684-d48b-4d5f-b33e-affc66994c5a
True,4447,Martin Braithwaite Christensen,17,Right Wing,105.7,41.2,141f8684-d48b-4d5f-b33e-affc66994c5a
True,5524,Jens Stryger Larsen,7,Right Wing Back,99.5,50.6,141f8684-d48b-4d5f-b33e-affc66994c5a
True,16554,Joakim Mæhle,8,Left Wing Back,104.7,18.7,141f8684-d48b-4d5f-b33e-affc66994c5a
True,6302,Kasper Dolberg,23,Center Forward,97.1,28.7,141f8684-d48b-4d5f-b33e-affc66994c5a
False,7843,Mason Mount,19,Center Attacking Midfield,104.0,49.2,141f8684-d48b-4d5f-b33e-affc66994c5a
False,3382,Luke Shaw,6,Left Back,108.5,40.2,141f8684-d48b-4d5f-b33e-affc66994c5a
False,3336,Harry Maguire,5,Left Center Back,109.0,35.3,141f8684-d48b-4d5f-b33e-affc66994c5a
False,3205,Kyle Walker,2,Right Back,107.4,26.0,141f8684-d48b-4d5f-b33e-affc66994c5a
False,3244,John Stones,3,Right Center Back,104.9,29.3,141f8684-d48b-4d5f-b33e-affc66994c5a
False,3943,Declan Rice,11,Left Defensive Midfield,103.3,31.7,141f8684-d48b-4d5f-b33e-affc66994c5a
False,4706,Kalvin Phillips,9,Right Defensive Midfield,105.2,23.1,141f8684-d48b-4d5f-b33e-affc66994c5a
False,3468,Jordan Pickford,1,Goalkeeper,116.5,38.7,141f8684-d48b-4d5f-b33e-affc66994c5a
False,7843,Mason Mount,19,Center Attacking Midfield,103.8,38.7,3b50aa84-6168-48ab-9996-9210c30c84a1
True,5524,Jens Stryger Larsen,7,Right Wing Back,90.7,31.5,3b50aa84-6168-48ab-9996-9210c30c84a1
True,6302,Kasper Dolberg,23,Center Forward,103.2,27.5,3b50aa84-6168-48ab-9996-9210c30c84a1
True,3959,Andreas Christensen,3,Right Center Back,103.0,37.4,3b50aa84-6168-48ab-9996-9210c30c84a1
True,8815,Jannik Vestergaard,5,Left Center Back,102.1,39.1,3b50aa84-6168-48ab-9996-9210c30c84a1
True,4447,Martin Braithwaite Christensen,17,Right Wing,103.8,41.7,3b50aa84-6168-48ab-9996-9210c30c84a1
True,5534,Simon Thorup Kjær,4,Center Back,102.9,38.1,3b50aa84-6168-48ab-9996-9210c30c84a1
True,5527,Thomas Delaney,11,Left Defensive Midfield,104.1,51.9,3b50aa84-6168-48ab-9996-9210c30c84a1
False,4706,Kalvin Phillips,9,Right Defensive Midfield,105.2,35.3,3b50aa84-6168-48ab-9996-9210c30c84a1
False,10955,Harry Kane,23,Center Forward,104.1,36.8,3b50aa84-6168-48ab-9996-9210c30c84a1
False,3336,Harry Maguire,5,Left Center Back,104.2,35.7,3b50aa84-6168-48ab-9996-9210c30c84a1
False,3244,John Stones,3,Right Center Back,104.1,34.6,3b50aa84-6168-48ab-9996-9210c30c84a1
False,3943,Declan Rice,11,Left Defensive Midfield,104.2,33.6,3b50aa84-6168-48ab-9996-9210c30c84a1
False,3382,Luke Shaw,6,Left Back,103.7,49.1,3b50aa84-6168-48ab-9996-9210c30c84a1
False,22084,Bukayo Saka,17,Right Wing,104.8,41.5,3b50aa84-6168-48ab-9996-9210c30c84a1
False,3233,Raheem Sterling,21,Left Wing,102.8,40.8,3b50aa84-6168-48ab-9996-9210c30c84a1
False,3205,Kyle Walker,2,Right Back,105.0,29.3,3b50aa84-6168-48ab-9996-9210c30c84a1
False,3468,Jordan Pickford,1,Goalkeeper,119.4,41.6,3b50aa84-6168-48ab-9996-9210c30c84a1
False,5524,Jens Stryger Larsen,7,Right Wing Back,106.5,43.5,d2c54416-ccd5-413b-a392-37c0b79816c1
False,16554,Joakim Mæhle,8,Left Wing Back,106.6,46.3,d2c54416-ccd5-413b-a392-37c0b79816c1
False,5527,Thomas Delaney,11,Left Defensive Midfield,105.5,45.0,d2c54416-ccd5-413b-a392-37c0b79816c1
False,3570,Pierre-Emile Højbjerg,9,Right Defensive Midfield,105.5,44.2,d2c54416-ccd5-413b-a392-37c0b79816c1
False,5534,Simon Thorup Kjær,4,Center Back,105.5,43.3,d2c54416-ccd5-413b-a392-37c0b79816c1
False,8815,Jannik Vestergaard,5,Left Center Back,105.4,42.5,d2c54416-ccd5-413b-a392-37c0b79816c1
False,24443,Mikkel Damsgaard,21,Left Wing,103.1,33.4,d2c54416-ccd5-413b-a392-37c0b79816c1
False,6302,Kasper Dolberg,23,Center Forward,106.0,40.8,d2c54416-ccd5-413b-a392-37c0b79816c1
False,3959,Andreas Christensen,3,Right Center Back,105.6,36.1,d2c54416-ccd5-413b-a392-37c0b79816c1
False,3815,Kasper Schmeichel,1,Goalkeeper,118.9,39.6,d2c54416-ccd5-413b-a392-37c0b79816c1
False,4447,Martin Braithwaite Christensen,17,Right Wing,84.5,30.3,d2c54416-ccd5-413b-a392-37c0b79816c1
True,3244,John Stones,3,Right Center Back,104.2,41.3,d2c54416-ccd5-413b-a392-37c0b79816c1
True,3336,Harry Maguire,5,Left Center Back,103.3,42.2,d2c54416-ccd5-413b-a392-37c0b79816c1
True,10955,Harry Kane,23,Center Forward,103.5,40.2,d2c54416-ccd5-413b-a392-37c0b79816c1
True,22084,Bukayo Saka,17,Right Wing,105.2,48.1,d2c54416-ccd5-413b-a392-37c0b79816c1
True,3943,Declan Rice,11,Left Defensive Midfield,104.5,35.8,d2c54416-ccd5-413b-a392-37c0b79816c1
True,3382,Luke Shaw,6,Left Back,91.1,43.4,d2c54416-ccd5-413b-a392-37c0b79816c1
True,7843,Mason Mount,19,Center Attacking Midfield,91.6,39.1,d2c54416-ccd5-413b-a392-37c0b79816c1
False,16554,Joakim Mæhle,8,Left Wing Back,103.4,59.6,6977c2d5-793a-4128-a859-0fde86cfa23f
False,8815,Jannik Vestergaard,5,Left Center Back,109.1,55.9,6977c2d5-793a-4128-a859-0fde86cfa23f
False,3570,Pierre-Emile Højbjerg,9,Right Defensive Midfield,105.2,44.2,6977c2d5-793a-4128-a859-0fde86cfa23f
False,5534,Simon Thorup Kjær,4,Center Back,113.0,54.8,6977c2d5-793a-4128-a859-0fde86cfa23f
False,3959,Andreas Christensen,3,Right Center Back,109.5,44.7,6977c2d5-793a-4128-a859-0fde86cfa23f
False,5524,Jens Stryger Larsen,7,Right Wing Back,110.4,38.6,6977c2d5-793a-4128-a859-0fde86cfa23f
False,3815,Kasper Schmeichel,1,Goalkeeper,115.9,39.9,6977c2d5-793a-4128-a859-0fde86cfa23f
True,22084,Bukayo Saka,17,Right Wing,104.4,52.4,6977c2d5-793a-4128-a859-0fde86cfa23f
True,10955,Harry Kane,23,Center Forward,113.1,60.7,6977c2d5-793a-4128-a859-0fde86cfa23f
True,7843,Mason Mount,19,Center Attacking Midfield,109.3,46.1,6977c2d5-793a-4128-a859-0fde86cfa23f
True,4706,Kalvin Phillips,9,Right Defensive Midfield,95.9,51.6,c8c6eb55-6177-40c7-9ba2-a1786c090393
True,22084,Bukayo Saka,17,Right Wing,108.6,69.4,c8c6eb55-6177-40c7-9ba2-a1786c090393
True,3233,Raheem Sterling,21,Left Wing,113.8,45.1,c8c6eb55-6177-40c7-9ba2-a1786c090393
True,10955,Harry Kane,23,Center Forward,114.8,39.2,c8c6eb55-6177-40c7-9ba2-a1786c090393
True,3244,John Stones,3,Right Center Back,111.6,43.5,c8c6eb55-6177-40c7-9ba2-a1786c090393
True,3943,Declan Rice,11,Left Defensive Midfield,109.9,45.5,c8c6eb55-6177-40c7-9ba2-a1786c090393
False,3959,Andreas Christensen,3,Right Center Back,112.4,35.9,c8c6eb55-6177-40c7-9ba2-a1786c090393
False,5527,Thomas Delaney,11,Left Defensive Midfield,115.4,38.8,c8c6eb55-6177-40c7-9ba2-a1786c090393
False,5534,Simon Thorup Kjær,4,Center Back,112.8,36.7,c8c6eb55-6177-40c7-9ba2-a1786c090393
False,3815,Kasper Schmeichel,1,Goalkeeper,119.7,39.3,c8c6eb55-6177-40c7-9ba2-a1786c090393
False,24443,Mikkel Damsgaard,21,Left Wing,109.9,62.0,c8c6eb55-6177-40c7-9ba2-a1786c090393
False,16554,Joakim Mæhle,8,Left Wing Back,113.1,45.7,c8c6eb55-6177-40c7-9ba2-a1786c090393
False,6302,Kasper Dolberg,23,Center Forward,113.3,44.2,c8c6eb55-6177-40c7-9ba2-a1786c090393
False,4447,Martin Braithwaite Christensen,17,Right Wing,105.7,54.7,c8c6eb55-6177-40c7-9ba2-a1786c090393
False,8815,Jannik Vestergaard,5,Left Center Back,114.4,40.9,c8c6eb55-6177-40c7-9ba2-a1786c090393
False,5524,Jens Stryger Larsen,7,Right Wing Back,114.2,37.1,c8c6eb55-6177-40c7-9ba2-a1786c090393
