teammate,player_id,player_name,position_id,position_name,x,y,id
False,11086,Burak Yılmaz,23,Center Forward,106.1,43.8,2bff62eb-96d3-4b7a-a79e-fdbbcb8d7ac5
False,11088,Ozan Tufan,13,Right Center Midfield,104.6,43.1,2bff62eb-96d3-4b7a-a79e-fdbbcb8d7ac5
True,11250,Joe Rodon,5,Left Center Back,109.5,30.9,2bff62eb-96d3-4b7a-a79e-fdbbcb8d7ac5
True,4767,Chris Mepham,3,Right Center Back,107.5,31.7,2bff62eb-96d3-4b7a-a79e-fdbbcb8d7ac5
True,3853,Kieffer Roberto Francisco Moore,23,Center Forward,105.5,37.3,2bff62eb-96d3-4b7a-a79e-fdbbcb8d7ac5
True,3517,Aaron Ramsey,15,Left Center Midfield,108.3,39.6,2bff62eb-96d3-4b7a-a79e-fdbbcb8d7ac5
False,12293,Kaan Ayhan,3,Right Center Back,108.7,30.2,2bff62eb-96d3-4b7a-a79e-fdbbcb8d7ac5
False,8541,Kenan Karaman,16,Left Midfield,108.2,32.1,2bff62eb-96d3-4b7a-a79e-fdbbcb8d7ac5
False,12555,Okay Yokuşlu,10,Center Defensive Midfield,107.5,38.4,2bff62eb-96d3-4b7a-a79e-fdbbcb8d7ac5
False,10349,Mehmet Zeki Çelik,2,Right Back,106.5,41.4,2bff62eb-96d3-4b7a-a79e-fdbbcb8d7ac5
False,8963,Caglar Söyüncü,5,Left Center Back,108.5,46.6,2bff62eb-96d3-4b7a-a79e-fdbbcb8d7ac5
False,31042,Cengiz Umut Meraş,6,Left Back,101.5,49.9,2bff62eb-96d3-4b7a-a79e-fdbbcb8d7ac5
False,7039,Hakan Çalhanoğlu,15,Left Center Midfield,97.1,57.6,2bff62eb-96d3-4b7a-a79e-fdbbcb8d7ac5
True,6399,Gareth Frank Bale,16,Left Midfield,107.4,47.2,2bff62eb-96d3-4b7a-a79e-fdbbcb8d7ac5
False,30357,Uğurcan Çakır,1,Goalkeeper,118.5,40.1,2bff62eb-96d3-4b7a-a79e-fdbbcb8d7ac5
True,4774,Connor Roberts,2,Right Back,99.4,54.2,86778190-f063-4823-8f12-5bc703658c1e
False,30357,Uğurcan Çakır,1,Goalkeeper,117.4,35.3,86778190-f063-4823-8f12-5bc703658c1e
False,7039,Hakan Çalhanoğlu,15,Left Center Midfield,97.5,36.4,86778190-f063-4823-8f12-5bc703658c1e
False,11088,Ozan Tufan,13,Right Center Midfield,102.1,29.6,86778190-f063-4823-8f12-5bc703658c1e
False,12555,Okay Yokuşlu,10,Center Defensive Midfield,107.5,32.9,86778190-f063-4823-8f12-5bc703658c1e
False,31042,Cengiz Umut Meraş,6,Left Back,113.4,42.6,86778190-f063-4823-8f12-5bc703658c1e
False,10349,Mehmet Zeki Çelik,2,Right Back,105.5,21.4,86778190-f063-4823-8f12-5bc703658c1e
False,12293,Kaan Ayhan,3,Right Center Back,111.5,29.4,86778190-f063-4823-8f12-5bc703658c1e
False,8963,Caglar Söyüncü,5,Left Center Back,116.4,29.2,86778190-f063-4823-8f12-5bc703658c1e
True,11252,Daniel James,12,Right Midfield,108.2,17.8,86778190-f063-4823-8f12-5bc703658c1e
True,3853,Kieffer Roberto Francisco Moore,23,Center Forward,114.7,42.9,86778190-f063-4823-8f12-5bc703658c1e
False,11252,Daniel James,12,Right Midfield,90.1,51.3,d10d2830-f59f-4d69-b34d-8a5599c907b8
False,3086,Ben Davies,6,Left Back,109.2,61.7,d10d2830-f59f-4d69-b34d-8a5599c907b8
False,11250,Joe Rodon,5,Left Center Back,109.4,50.3,d10d2830-f59f-4d69-b34d-8a5599c907b8
False,10931,Joe Allen,10,Center Defensive Midfield,103.7,60.4,d10d2830-f59f-4d69-b34d-8a5599c907b8
False,4767,Chris Mepham,3,Right Center Back,107.2,46.3,d10d2830-f59f-4d69-b34d-8a5599c907b8
False,4774,Connor Roberts,2,Right Back,107.3,39.7,d10d2830-f59f-4d69-b34d-8a5599c907b8
False,22074,Joseff Morrell,13,Right Center Midfield,101.0,48.6,d10d2830-f59f-4d69-b34d-8a5599c907b8
False,9914,Danny Ward,1,Goalkeeper,117.0,42.6,d10d2830-f59f-4d69-b34d-8a5599c907b8
True,10349,Mehmet Zeki Çelik,2,Right Back,86.1,64.7,d10d2830-f59f-4d69-b34d-8a5599c907b8
True,8541,Kenan Karaman,16,Left Midfield,100.3,43.4,d10d2830-f59f-4d69-b34d-8a5599c907b8
True,6971,Cengiz Ünder,12,Right Midfield,109.7,65.1,d10d2830-f59f-4d69-b34d-8a5599c907b8
True,10931,Joe Allen,10,Center Defensive Midfield,111.8,27.5,4674a7e3-da9a-4398-9fba-6bcf4a312da7
True,6399,Gareth Frank Bale,16,Left Midfield,102.4,44.4,4674a7e3-da9a-4398-9fba-6bcf4a312da7
False,31042,Cengiz Umut Meraş,6,Left Back,115.8,47.4,4674a7e3-da9a-4398-9fba-6bcf4a312da7
False,12555,Okay Yokuşlu,10,Center Defensive Midfield,107.4,40.1,4674a7e3-da9a-4398-9fba-6bcf4a312da7
False,10349,Mehmet Zeki Çelik,2,Right Back,116.2,18.9,4674a7e3-da9a-4398-9fba-6bcf4a312da7
False,12293,Kaan Ayhan,3,Right Center Back,114.7,26.4,4674a7e3-da9a-4398-9fba-6bcf4a312da7
False,11088,Ozan Tufan,13,Right Center Midfield,107.1,18.7,4674a7e3-da9a-4398-9fba-6bcf4a312da7
False,8963,Caglar Söyüncü,5,Left Center Back,115.8,41.2,4674a7e3-da9a-4398-9fba-6bcf4a312da7
False,30357,Uğurcan Çakır,1,Goalkeeper,118.3,42.2,4674a7e3-da9a-4398-9fba-6bcf4a312da7
True,4774,Connor Roberts,2,Right Back,112.5,39.9,4674a7e3-da9a-4398-9fba-6bcf4a312da7
False,8541,Kenan Karaman,16,Left Midfield,102.9,52.1,4674a7e3-da9a-4398-9fba-6bcf4a312da7
True,8541,Kenan Karaman,16,Left Midfield,97.7,29.3,be32f316-fdd3-4bf3-80f4-3b57ef8e52b2
True,11086,Burak Yılmaz,23,Center Forward,86.3,32.4,be32f316-fdd3-4bf3-80f4-3b57ef8e52b2
True,10349,Mehmet Zeki Çelik,2,Right Back,71.6,45.6,be32f316-fdd3-4bf3-80f4-3b57ef8e52b2
True,12555,Okay Yokuşlu,10,Center Defensive Midfield,78.8,37.9,be32f316-fdd3-4bf3-80f4-3b57ef8e52b2
True,7039,Hakan Çalhanoğlu,15,Left Center Midfield,82.9,30.9,be32f316-fdd3-4bf3-80f4-3b57ef8e52b2
False,22074,Joseff Morrell,13,Right Center Midfield,87.6,29.4,be32f316-fdd3-4bf3-80f4-3b57ef8e52b2
False,3853,Kieffer Roberto Francisco Moore,23,Center Forward,71.0,44.5,be32f316-fdd3-4bf3-80f4-3b57ef8e52b2
False,3517,Aaron Ramsey,15,Left Center Midfield,85.6,37.6,be32f316-fdd3-4bf3-80f4-3b57ef8e52b2
False,11250,Joe Rodon,5,Left Center Back,88.4,32.8,be32f316-fdd3-4bf3-80f4-3b57ef8e52b2
