teammate,player_id,player_name,position_id,position_name,x,y,id
False,6990,Milan Škriniar,5,Left Center Back,95.1,47.1,9d22563f-de8c-4ede-bccd-152f08115275
False,9722,Peter Pekarík,2,Right Back,102.1,31.5,9d22563f-de8c-4ede-bccd-152f08115275
False,16307,Róbert Mak,21,Left Wing,92.8,44.4,9d22563f-de8c-4ede-bccd-152f08115275
False,20002,Jakub Hromada,11,Left Defensive Midfield,94.8,37.7,9d22563f-de8c-4ede-bccd-152f08115275
False,7975,Lukáš Haraslín,17,Right Wing,99.8,22.0,9d22563f-de8c-4ede-bccd-152f08115275
False,10919,Juraj Kucka,9,Right Defensive Midfield,88.3,26.0,9d22563f-de8c-4ede-bccd-152f08115275
False,30397,Ľubomír Šatka,3,Right Center Back,101.8,44.2,9d22563f-de8c-4ede-bccd-152f08115275
False,4421,Tomáš Hubočan,6,Left Back,100.6,51.9,9d22563f-de8c-4ede-bccd-152f08115275
False,3711,Martin Dúbravka,1,Goalkeeper,117.9,40.8,9d22563f-de8c-4ede-bccd-152f08115275
True,3637,Grzegorz Krychowiak,10,Center Defensive Midfield,78.3,49.1,9d22563f-de8c-4ede-bccd-152f08115275
True,5672,Maciej Rybus,8,Left Wing Back,100.7,18.5,9d22563f-de8c-4ede-bccd-152f08115275
True,7964,Karol Linetty,15,Left Center Midfield,100.1,31.0,9d22563f-de8c-4ede-bccd-152f08115275
True,5660,Piotr Zieliński,24,Left Center Forward,94.7,34.3,9d22563f-de8c-4ede-bccd-152f08115275
True,9622,Mateusz Andrzej Klich,13,Right Center Midfield,101.0,45.3,9d22563f-de8c-4ede-bccd-152f08115275
True,4673,Kamil Jóźwiak,7,Right Wing Back,97.9,68.2,9d22563f-de8c-4ede-bccd-152f08115275
False,7975,Lukáš Haraslín,17,Right Wing,90.6,23.2,6aa8cf47-ea25-48be-9332-23990444e15c
False,16307,Róbert Mak,21,Left Wing,82.0,60.7,6aa8cf47-ea25-48be-9332-23990444e15c
False,20002,Jakub Hromada,11,Left Defensive Midfield,87.6,46.5,6aa8cf47-ea25-48be-9332-23990444e15c
False,10919,Juraj Kucka,9,Right Defensive Midfield,103.0,44.3,6aa8cf47-ea25-48be-9332-23990444e15c
False,9722,Peter Pekarík,2,Right Back,106.2,35.4,6aa8cf47-ea25-48be-9332-23990444e15c
False,6990,Milan Škriniar,5,Left Center Back,104.2,39.5,6aa8cf47-ea25-48be-9332-23990444e15c
False,30397,Ľubomír Šatka,3,Right Center Back,102.2,40.0,6aa8cf47-ea25-48be-9332-23990444e15c
False,4421,Tomáš Hubočan,6,Left Back,103.5,50.6,6aa8cf47-ea25-48be-9332-23990444e15c
False,3711,Martin Dúbravka,1,Goalkeeper,115.8,40.6,6aa8cf47-ea25-48be-9332-23990444e15c
True,7964,Karol Linetty,15,Left Center Midfield,99.6,30.1,6aa8cf47-ea25-48be-9332-23990444e15c
True,5660,Piotr Zieliński,24,Left Center Forward,103.4,43.2,6aa8cf47-ea25-48be-9332-23990444e15c
True,9622,Mateusz Andrzej Klich,13,Right Center Midfield,84.3,46.7,6aa8cf47-ea25-48be-9332-23990444e15c
True,4673,Kamil Jóźwiak,7,Right Wing Back,94.5,60.1,6aa8cf47-ea25-48be-9332-23990444e15c
True,16307,Róbert Mak,21,Left Wing,107.0,29.7,3340af9b-f7ab-4f5e-9e4c-b73df5679edc
True,7025,Marek Hamšík,19,Center Attacking Midfield,111.5,35.1,3340af9b-f7ab-4f5e-9e4c-b73df5679edc
True,7975,Lukáš Haraslín,17,Right Wing,106.6,48.4,3340af9b-f7ab-4f5e-9e4c-b73df5679edc
True,10919,Juraj Kucka,9,Right Defensive Midfield,92.2,38.5,3340af9b-f7ab-4f5e-9e4c-b73df5679edc
True,20002,Jakub Hromada,11,Left Defensive Midfield,85.3,33.2,3340af9b-f7ab-4f5e-9e4c-b73df5679edc
False,3637,Grzegorz Krychowiak,10,Center Defensive Midfield,103.4,29.0,3340af9b-f7ab-4f5e-9e4c-b73df5679edc
False,5673,Bartosz Bereszyński,3,Right Center Back,101.4,27.3,3340af9b-f7ab-4f5e-9e4c-b73df5679edc
False,4673,Kamil Jóźwiak,7,Right Wing Back,96.8,24.0,3340af9b-f7ab-4f5e-9e4c-b73df5679edc
False,4626,Jan Bednarek,5,Left Center Back,108.2,44.1,3340af9b-f7ab-4f5e-9e4c-b73df5679edc
