teammate,player_id,player_name,position_id,position_name,x,y,id
False,5456,Mateo Kovačić,15,Left Center Midfield,107.3,39.2,f9a4b349-e849-42f3-8e20-0fb25d021cba
False,5461,Šime Vrsaljko,2,Right Back,109.8,32.4,f9a4b349-e849-42f3-8e20-0fb25d021cba
False,3471,Dejan Lovren,3,Right Center Back,112.1,33.1,f9a4b349-e849-42f3-8e20-0fb25d021cba
False,16531,Dominik Livaković,1,Goalkeeper,117.6,41.3,f9a4b349-e849-42f3-8e20-0fb25d021cba
False,5468,Domagoj Vida,5,Left Center Back,112.1,41.2,f9a4b349-e849-42f3-8e20-0fb25d021cba
False,33018,Joško Gvardiol,6,Left Back,106.2,43.2,f9a4b349-e849-42f3-8e20-0fb25d021cba
False,8946,Josip Brekalo,21,Left Wing,102.9,42.5,f9a4b349-e849-42f3-8e20-0fb25d021cba
False,5463,Luka Modrić,13,Right Center Midfield,98.2,28.9,f9a4b349-e849-42f3-8e20-0fb25d021cba
True,8095,Jakub Jankto,21,Left Wing,113.0,23.8,f9a4b349-e849-42f3-8e20-0fb25d021cba
True,7044,Patrik Schick,23,Center Forward,110.7,38.4,f9a4b349-e849-42f3-8e20-0fb25d021cba
True,8579,Vladimír Darida,19,Center Attacking Midfield,109.9,54.2,f9a4b349-e849-42f3-8e20-0fb25d021cba
True,16472,Lukáš Masopust,17,Right Wing,118.9,43.1,f9a4b349-e849-42f3-8e20-0fb25d021cba
True,4870,Tomáš Souček,15,Left Center Midfield,110.6,35.7,f9a4b349-e849-42f3-8e20-0fb25d021cba
False,33018,Joško Gvardiol,6,Left Back,112.6,35.1,39b08b16-c474-4f91-818e-a9394538dbd6
False,5468,Domagoj Vida,5,Left Center Back,114.8,43.7,39b08b16-c474-4f91-818e-a9394538dbd6
False,5461,Šime Vrsaljko,2,Right Back,118.3,36.7,39b08b16-c474-4f91-818e-a9394538dbd6
False,5460,Andrej Kramarić,19,Center Attacking Midfield,112.7,43.3,39b08b16-c474-4f91-818e-a9394538dbd6
False,3471,Dejan Lovren,3,Right Center Back,113.0,41.6,39b08b16-c474-4f91-818e-a9394538dbd6
False,5456,Mateo Kovačić,15,Left Center Midfield,118.7,43.9,39b08b16-c474-4f91-818e-a9394538dbd6
False,16531,Dominik Livaković,1,Goalkeeper,118.9,41.6,39b08b16-c474-4f91-818e-a9394538dbd6
False,5474,Ivan Perišić,17,Right Wing,113.5,44.4,39b08b16-c474-4f91-818e-a9394538dbd6
False,5465,Ante Rebić,23,Center Forward,112.4,48.6,39b08b16-c474-4f91-818e-a9394538dbd6
False,8946,Josip Brekalo,21,Left Wing,101.7,49.4,39b08b16-c474-4f91-818e-a9394538dbd6
False,5463,Luka Modrić,13,Right Center Midfield,103.8,39.5,39b08b16-c474-4f91-818e-a9394538dbd6
True,8579,Vladimír Darida,19,Center Attacking Midfield,95.8,43.1,39b08b16-c474-4f91-818e-a9394538dbd6
True,30328,Ondrej Celustka,3,Right Center Back,114.1,40.3,39b08b16-c474-4f91-818e-a9394538dbd6
True,7044,Patrik Schick,23,Center Forward,114.0,34.6,39b08b16-c474-4f91-818e-a9394538dbd6
True,13197,Tomáš Kalas,5,Left Center Back,112.2,40.9,39b08b16-c474-4f91-818e-a9394538dbd6
True,16469,Tomáš Holeš,13,Right Center Midfield,112.8,44.0,39b08b16-c474-4f91-818e-a9394538dbd6
True,16472,Lukáš Masopust,17,Right Wing,115.9,45.5,39b08b16-c474-4f91-818e-a9394538dbd6
False,16469,Tomáš Holeš,13,Right Center Midfield,104.4,41.3,5b8b1279-23ff-4fed-a637-cafdfb83ce54
False,13197,Tomáš Kalas,5,Left Center Back,103.6,38.4,5b8b1279-23ff-4fed-a637-cafdfb83ce54
False,4875,Jan Bořil,6,Left Back,104.4,46.0,5b8b1279-23ff-4fed-a637-cafdfb83ce54
False,11541,Tomáš Vaclík,1,Goalkeeper,118.7,39.8,5b8b1279-23ff-4fed-a637-cafdfb83ce54
False,7044,Patrik Schick,23,Center Forward,103.7,37.7,5b8b1279-23ff-4fed-a637-cafdfb83ce54
False,8579,Vladimír Darida,19,Center Attacking Midfield,103.4,41.9,5b8b1279-23ff-4fed-a637-cafdfb83ce54
False,30328,Ondrej Celustka,3,Right Center Back,104.7,42.6,5b8b1279-23ff-4fed-a637-cafdfb83ce54
False,4870,Tomáš Souček,15,Left Center Midfield,103.8,39.2,5b8b1279-23ff-4fed-a637-cafdfb83ce54
False,8095,Jakub Jankto,21,Left Wing,103.7,36.8,5b8b1279-23ff-4fed-a637-cafdfb83ce54
False,16570,Vladimír Coufal,2,Right Back,103.9,32.6,5b8b1279-23ff-4fed-a637-cafdfb83ce54
False,16472,Lukáš Masopust,17,Right Wing,104.4,29.3,5b8b1279-23ff-4fed-a637-cafdfb83ce54
True,5474,Ivan Perišić,17,Right Wing,103.1,51.7,5b8b1279-23ff-4fed-a637-cafdfb83ce54
True,5460,Andrej Kramarić,19,Center Attacking Midfield,103.8,42.8,5b8b1279-23ff-4fed-a637-cafdfb83ce54
True,5465,Ante Rebić,23,Center Forward,103.8,41.0,5b8b1279-23ff-4fed-a637-cafdfb83ce54
True,8946,Josip Brekalo,21,Left Wing,104.3,30.6,5b8b1279-23ff-4fed-a637-cafdfb83ce54
True,5456,Mateo Kovačić,15,Left Center Midfield,99.0,31.5,5b8b1279-23ff-4fed-a637-cafdfb83ce54
True,5463,Luka Modrić,13,Right Center Midfield,90.5,40.9,5b8b1279-23ff-4fed-a637-cafdfb83ce54
True,33018,Joško Gvardiol,6,Left Back,89.6,19.3,5b8b1279-23ff-4fed-a637-cafdfb83ce54
False,5474,Ivan Perišić,17,Right Wing,105.6,39.0,c1b6cd0d-d6c2-427d-9fc0-ab82ad9002e3
False,5463,Luka Modrić,13,Right Center Midfield,107.9,41.5,c1b6cd0d-d6c2-427d-9fc0-ab82ad9002e3
False,5456,Mateo Kovačić,15,Left Center Midfield,107.8,48.1,c1b6cd0d-d6c2-427d-9fc0-ab82ad9002e3
False,5461,Šime Vrsaljko,2,Right Back,112.4,35.4,c1b6cd0d-d6c2-427d-9fc0-ab82ad9002e3
False,3471,Dejan Lovren,3,Right Center Back,114.9,43.0,c1b6cd0d-d6c2-427d-9fc0-ab82ad9002e3
False,33018,Joško Gvardiol,6,Left Back,114.7,50.2,c1b6cd0d-d6c2-427d-9fc0-ab82ad9002e3
False,5468,Domagoj Vida,5,Left Center Back,110.6,58.8,c1b6cd0d-d6c2-427d-9fc0-ab82ad9002e3
False,16531,Dominik Livaković,1,Goalkeeper,120.0,37.7,c1b6cd0d-d6c2-427d-9fc0-ab82ad9002e3
True,8579,Vladimír Darida,19,Center Attacking Midfield,113.5,44.3,c1b6cd0d-d6c2-427d-9fc0-ab82ad9002e3
True,7044,Patrik Schick,23,Center Forward,114.1,38.4,c1b6cd0d-d6c2-427d-9fc0-ab82ad9002e3
True,4875,Jan Bořil,6,Left Back,99.9,41.7,c1b6cd0d-d6c2-427d-9fc0-ab82ad9002e3
True,4870,Tomáš Souček,15,Left Center Midfield,114.4,53.8,c1b6cd0d-d6c2-427d-9fc0-ab82ad9002e3
True,16472,Lukáš Masopust,17,Right Wing,103.9,67.8,c1b6cd0d-d6c2-427d-9fc0-ab82ad9002e3
False,5460,Andrej Kramarić,19,Center Attacking Midfield,106.1,35.9,0ef04670-c6c8-4be9-9c68-319db4b67d91
False,8946,Josip Brekalo,21,Left Wing,111.4,43.9,0ef04670-c6c8-4be9-9c68-319db4b67d91
False,5456,Mateo Kovačić,15,Left Center Midfield,111.4,40.2,0ef04670-c6c8-4be9-9c68-319db4b67d91
False,5461,Šime Vrsaljko,2,Right Back,112.9,29.2,0ef04670-c6c8-4be9-9c68-319db4b67d91
False,3471,Dejan Lovren,3,Right Center Back,115.1,34.1,0ef04670-c6c8-4be9-9c68-319db4b67d91
False,5463,Luka Modrić,13,Right Center Midfield,102.2,32.0,0ef04670-c6c8-4be9-9c68-319db4b67d91
False,33018,Joško Gvardiol,6,Left Back,114.7,49.9,0ef04670-c6c8-4be9-9c68-319db4b67d91
False,5468,Domagoj Vida,5,Left Center Back,117.3,38.6,0ef04670-c6c8-4be9-9c68-319db4b67d91
False,16531,Dominik Livaković,1,Goalkeeper,118.8,42.1,0ef04670-c6c8-4be9-9c68-319db4b67d91
True,16469,Tomáš Holeš,13,Right Center Midfield,102.0,39.1,0ef04670-c6c8-4be9-9c68-319db4b67d91
True,8579,Vladimír Darida,19,Center Attacking Midfield,115.3,38.5,0ef04670-c6c8-4be9-9c68-319db4b67d91
True,8095,Jakub Jankto,21,Left Wing,108.4,23.5,0ef04670-c6c8-4be9-9c68-319db4b67d91
True,4870,Tomáš Souček,15,Left Center Midfield,116.2,34.7,0ef04670-c6c8-4be9-9c68-319db4b67d91
