bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,0.966211,,,,,,,,,,,,,,,,,da83d870-efec-4b74-aed3-5bf4b774967e,16,,"[43.6, 32.0]",3788773,0,,,,,-2.3918936,,Right Foot,,,"[34.9, 23.9]",,Ground Pass,,11.886968,,,Presnel Kimpembe,,,,,,1,From Kick Off,Paul Pogba,20004.0,Right Defensive Midfield,2,France,771,['983f9927-b57e-41b6-8751-e78678bfba9d'],10,,,,,,,,,,,,,,,,,France,00:00:10.680,Pass,,43.6,32.0,34.9,23.9,,,
,,,,,,,,,,,,,,,1.309906,,,,,,,,,,,,,,,,,1f1f9b5a-0b6a-4bba-8b9b-53b28e22eab3,19,,"[48.3, 22.4]",3788773,0,,,,,-1.439969,,Left Foot,,,"[50.8, 3.4]",,Ground Pass,,19.163769,,,Lucas Hernández Pi,,,,,,1,From Kick Off,Presnel Kimpembe,2999.0,Left Center Back,2,France,771,['9b301ace-1159-4c78-b354-081039831773'],17,,,,,,,,,,,,,,,,,France,00:00:17.200,Pass,,48.3,22.4,50.8,3.4,,,
,,,,,,,,,,,,,,,0.814859,,,,,,,,,,,,,,,,,9decae07-a980-4b58-8708-4c6c43c0d62d,22,,"[52.9, 4.5]",3788773,0,,,,,-0.108483315,,Left Foot,,,"[63.0, 3.4]",,Ground Pass,,10.159724,,,Kylian Mbappé Lottin,,,,,,1,From Kick Off,Lucas Hernández Pi,5484.0,Left Back,2,France,771,['018161a6-4612-4088-bd7f-4ffe0d9b18f8'],19,,,,,,,,,,,,,,,,,France,00:00:19.602,Pass,,52.9,4.5,63.0,3.4,,,
,,,,,,,,,,,,,,,1.584784,,,,,,,,,,,,,,,,,1df65ea7-4fce-4ba6-b073-165da03d41d8,24,,"[63.0, 3.4]",3788773,0,,,,,3.1345997,,Right Foot,,,"[48.7, 3.5]",,Ground Pass,,14.300349,,,Lucas Hernández Pi,,,,,,1,From Kick Off,Kylian Mbappé Lottin,3009.0,Left Wing,2,France,771,['dad673c0-60c8-4192-bbf4-c836072e2a96'],20,,,,,,,,,,,,,,,,,France,00:00:20.417,Pass,,63.0,3.4,48.7,3.5,,,
,,,,,,,,,,,,,,,0.882452,,,,,,,,,,,,,,,,,f5053477-1562-4133-9902-388400981437,27,,"[48.7, 3.5]",3788773,0,,,,,2.1426342,,Left Foot,,,"[42.2, 13.6]",,Ground Pass,,12.010828,,,Presnel Kimpembe,,,,,,1,From Kick Off,Lucas Hernández Pi,5484.0,Left Back,2,France,771,['b69c0651-a106-46be-89e7-98badb8608bb'],22,,,,,,,,,,,,,,,,,France,00:00:22.558,Pass,,48.7,3.5,42.2,13.6,,,
,,,,,,,,,,,,,,,2.304082,,,,,,,,,,,,,,,,,ae198dab-c32c-46cc-bcd0-c251dabc4a42,30,,"[36.3, 14.2]",3788773,0,,,,,1.6836748,,Right Foot,,,"[33.5, 38.9]",,Ground Pass,,24.858198,,,Raphaël Varane,,,,,,1,From Kick Off,Presnel Kimpembe,2999.0,Left Center Back,2,France,771,['795719c9-52d7-47b6-aeb4-b172271952ee'],25,,,,,,,,,,,,,,,,,France,00:00:25.357,Pass,,36.3,14.2,33.5,38.9,,,
,,,,,,,,,,,,,,,0.931043,,,,,,,,,,,,,,,,,f6b15dda-c1dc-4ab6-82e4-b04e5f02c898,33,,"[48.4, 51.6]",3788773,0,,,,,1.5278121,,Left Foot,,,"[48.8, 60.9]",,Ground Pass,,9.3085985,,,Corentin Tolisso,,,,,,1,From Kick Off,Raphaël Varane,5485.0,Right Center Back,2,France,771,['b5df5163-70e3-4178-8212-6d00f43c7252'],32,,,,,,,,,,,,,,,,,France,00:00:32.175,Pass,,48.4,51.6,48.8,60.9,,,
,,,,,,,,,,,,,,,0.694856,,,,,,,,,,,,,,,,,657d61b7-3273-468d-a4f7-d04d72f869bf,35,,"[48.8, 60.9]",3788773,0,,,,,-1.9055332,,Right Foot,,,"[46.4, 54.0]",,Ground Pass,,7.3054776,,,Raphaël Varane,,,,,,1,From Kick Off,Corentin Tolisso,5480.0,Right Wing,2,France,771,['f2f48973-4c56-4d89-9ac1-7874c63e898c'],33,,,,,,,,,,,,,,,,,France,00:00:33.106,Pass,,48.8,60.9,46.4,54.0,,,
,,,,,,,,,,,,,,,0.593178,,,,,,,,,,,,,,,,,e60921b2-167d-44b5-9bee-89263c0692b8,38,,"[47.4, 53.3]",3788773,0,,,,,-0.8301444,,Other,,,"[50.6, 49.8]",,Ground Pass,,4.7423625,,,Paul Pogba,,,,,,1,From Kick Off,Raphaël Varane,5485.0,Right Center Back,2,France,771,['f9d82b5e-c86b-4585-8a21-2cf85a1bee14'],34,,,,,,,,,,,,,,,,,France,00:00:34.384,Pass,,47.4,53.3,50.6,49.8,,,
,,,,,,,,,,,,,,,1.812912,,,,,,,,,,,,,,,,,8ab392af-6c53-4154-b52b-63a31614271b,41,,"[50.6, 49.8]",3788773,0,,,,,2.877629,,Right Foot,,,"[43.2, 51.8]",,Ground Pass,,7.6655073,,,Raphaël Varane,,,,,,1,From Kick Off,Paul Pogba,20004.0,Right Defensive Midfield,2,France,771,['777e00b4-e4a4-4eb8-b504-2591ace017a0'],35,,,,,,,,,,,,,,,,,France,00:00:35.592,Pass,,50.6,49.8,43.2,51.8,,,
