bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,0.697638,,,,,,,,,,,,,,3e256c0c-8a5e-40e4-99cb-e3eacfd9a0ec,17,,"[55.4, 39.1]",3788775,0,,,,,-1.7942729,,Right Foot,,,,"[53.9, 32.5]",,Ground Pass,,6.7683086,,,,,Sergio Busquets i Burgos,,,,,,1,Regular Play,Pablo Sarabia García,6720.0,Right Wing,3,Spain,772,['3d0e8527-2e72-48bd-bf9c-8143636c7a49'],13,,,,,,,,,,,,,,,,Spain,00:00:13.738,Pass,,55.4,39.1,53.9,32.5,,,
,,,,,,,,,,,,,,,2.5351,,,,,,,,,,,,,,73ed8671-3bcb-4531-8ad5-dc5ef4178783,19,,"[53.9, 32.5]",3788775,0,,,,,1.4878844,,Left Foot,,,,"[56.9, 68.6]",,Ground Pass,,36.224438,,,,,César Azpilicueta Tanco,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Spain,772,['4921292d-b2f7-49f0-a316-6b91be8102b7'],14,,,,,,,,,,,,,,,,Spain,00:00:14.436,Pass,,53.9,32.5,56.9,68.6,,,
,,,,,,,,,,,,,,,1.213172,,,,,,,,,,,,,,3d5fdca8-bd01-4a89-9cf5-8e6e38b87d4e,22,,"[64.0, 62.1]",3788775,0,,,,,-2.1269627,,Right Foot,,,,"[54.8, 47.3]",,Ground Pass,,17.426416,,,,,Eric García Martret,,,,,,1,Regular Play,César Azpilicueta Tanco,3957.0,Right Back,3,Spain,772,['65ead9e5-e36a-4f30-8f33-e2f5e1708036'],22,,,,,,,,,,,,,,,,Spain,00:00:22.110,Pass,,64.0,62.1,54.8,47.3,,,
,,,,,,,,,,,,,,,1.432583,,,,,,,,,,,,,,236e0ead-6c89-4c0c-815d-c69368602357,25,,"[56.5, 46.2]",3788775,0,,,,,1.1829748,,Right Foot,,,,"[66.1, 69.7]",,Ground Pass,,25.385231,,,,,César Azpilicueta Tanco,,,,,,1,Regular Play,Eric García Martret,31953.0,Right Center Back,3,Spain,772,['234b1531-7c77-4237-9d5c-7054909a8b46'],25,,,,,,,,,,,,,,,,Spain,00:00:25.379,Pass,,56.5,46.2,66.1,69.7,,,
,,,,,,,,,,,,,,,0.75282,,,,,,,,,,,,,,946485b5-be5b-4477-86f4-ec272461acf5,28,,"[71.1, 67.3]",3788775,0,,,,,-0.299532,,Right Foot,,,,"[84.7, 63.1]",,Ground Pass,,14.233763,,,,,Pablo Sarabia García,,,,,,1,Regular Play,César Azpilicueta Tanco,3957.0,Right Back,3,Spain,772,['41fc264f-4119-402e-9fb8-8e9edcff0831'],28,,,,,,,,,,,,,,,,Spain,00:00:28.412,Pass,,71.1,67.3,84.7,63.1,,,
,,,,,,,,,,,,,,,1.08525,,,,,,,,,,,,,,85834345-ae13-4cd0-bdd0-27fd60f67496,31,,"[79.2, 65.7]",3788775,0,,,,,1.4276383,,Left Foot,,,,"[80.8, 76.8]",,Ground Pass,,11.214723,,,,,Jorge Resurrección Merodio,,,,,,1,Regular Play,Pablo Sarabia García,6720.0,Right Wing,3,Spain,772,['09cbf47c-22ea-4723-8875-c31aa44c3100'],30,,,,,,,,,,,,,,,,Spain,00:00:30.824,Pass,,79.2,65.7,80.8,76.8,,,
,,,,,,,,,,,,,,,3.364824,,,,,,,,,,,,,,6f824da8-f086-41b8-9e86-b4986d42f0ba,33,,"[80.9, 76.3]",3788775,0,,,,,-0.50357646,,Left Foot,,,,"[112.3, 59.0]",,High Pass,,35.850384,,,Incomplete,,Álvaro Borja Morata Martín,,,,,,1,Regular Play,Jorge Resurrección Merodio,5199.0,Right Center Midfield,3,Spain,772,"['15a2480f-ab1c-404d-89c6-592e99bc825c', '828d899b-562f-41ff-99e0-0276bed4b1d9']",31,,,,,,,,,,,,,,,,Spain,00:00:31.909,Pass,,80.9,76.3,112.3,59.0,,,
,,,,,,,,,,,,,,,0.854914,,,,,,,,,,,,,,46b2f23e-8420-4e6c-a9ef-4b57f7505593,40,,"[6.0, 36.0]",3788775,0,,,,,-1.0974402,,Right Foot,,,,"[12.3, 23.7]",,Ground Pass,,13.819551,,,,,Milan Škriniar,,,,,Goal Kick,1,From Goal Kick,Martin Dúbravka,3711.0,Goalkeeper,5,Slovakia,908,['7561d603-f6ab-4ebd-aa61-f0844a04ea25'],55,,,,,,,,,,,,,,,,Slovakia,00:00:55.783,Pass,,6.0,36.0,12.3,23.7,,,
,,,,,,,,,,,,,,,1.828551,,,,,,,,,,,,,,bbe5f191-47a2-4b93-bb69-30ebb0dd10d3,43,,"[12.3, 23.7]",3788775,0,,,,,-0.87700456,,Right Foot,,,,"[29.6, 2.9]",,Ground Pass,,27.054205,,,,,Tomáš Hubočan,,,,,,1,From Goal Kick,Milan Škriniar,6990.0,Left Center Back,5,Slovakia,908,['8f3e331b-9a63-4918-b53b-cf4aa3e3a67b'],57,,,,,,,,,,,,,,,,Slovakia,00:00:57.877,Pass,,12.3,23.7,29.6,2.9,,,
,,,,,,,,,,,,,,,0.58064,,,,,,,,,,,,,,789ffdd2-ff72-4993-ab4f-4a8adcbc23ac,46,,"[29.6, 2.9]",3788775,1,,,,,0.4303266,,Right Foot,,,,"[41.8, 8.5]",,Ground Pass,,13.42386,,,,,Marek Hamšík,,,,,,1,From Goal Kick,Tomáš Hubočan,4421.0,Left Back,5,Slovakia,908,['42c9daa9-eabe-4ce7-8080-33807fe7120c'],1,,,,,,,,,,,,,,,,Slovakia,00:01:01.165,Pass,,29.6,2.9,41.8,8.5,,,
