ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,player_off_permanent,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,0.570499,,,,,,,,,,,,,,,,,8e5a98b9-779d-4482-a4db-bef4a815f3c6,3401,,,"[114.2, 23.3]",3795221,96,,,,,1.682907,1d3549f2-364b-4d43-b8d3-d04e889485c3,Right Foot,True,True,,"[112.5, 38.4]",Ground Pass,,15.195394,,,,,Harry Kane,True,,,,,2,From Throw In,Jack Grealish,9638.0,,Left Wing,159,England,768,['75e982e7-03ab-469c-890a-710713ff2458'],48,,,,,,,,,,,,,,,,England,00:51:48.866,Pass,,114.2,23.3,112.5,38.4,,,
,,,,,,,,,,,,,1.354875,,,,,,,,,,,,,,,,,5005d941-af86-486f-942c-05e65a32453b,3410,,,"[60.0, 40.0]",3795221,90,,,,,-3.1330092,,Right Foot,,,,"[36.7, 39.8]",Ground Pass,,23.300858,,,,,Simon Thorup Kjær,,,,,Kick Off,3,From Kick Off,Pierre-Emile Højbjerg,3570.0,,Left Center Midfield,160,Denmark,776,['3be03afc-6293-4520-aeb7-d2625719e85d'],0,,,,,,,,,,,,,,,,Denmark,00:00:00.330,Pass,,60.0,40.0,36.7,39.8,,,
,,,,,,,,,,,,,2.033759,,,,,,,,,,,,,,,,,be24080b-9d95-4ac5-bcd9-3eb380164016,3413,,,"[37.6, 40.8]",3795221,90,,,,,1.4189882,,Left Foot,,,,"[41.7, 67.6]",Ground Pass,,27.111805,,,,,Joachim Andersen,,,,,,3,From Kick Off,Simon Thorup Kjær,5534.0,,Center Back,160,Denmark,776,['0418f2c5-a0ee-4882-ab0e-743743bebfba'],4,,,,,,,,,,,,,,,,Denmark,00:00:04.175,Pass,,37.6,40.8,41.7,67.6,,,
,,,,,,,,,,,,,2.986494,,,,,,,,,,,,,,,,,ef17d9d4-741b-4604-8728-acfe98f3fe1a,3416,,,"[43.8, 67.0]",3795221,90,,,,,-2.5321693,,Right Foot,,,,"[7.7, 41.8]",Ground Pass,,44.025562,,,,,Kasper Schmeichel,,,,,,3,From Kick Off,Joachim Andersen,8247.0,,Right Center Back,160,Denmark,776,['0af92991-a90e-49c9-aabe-2ffe9b000bdd'],9,,,,,,,,,,,,,,,,Denmark,00:00:09.023,Pass,,43.8,67.0,7.7,41.8,,,
,,,,,,,,,,,,,2.538256,,,,,,,,,,,,,,,,,bf9b2670-1efa-46cd-aff6-d25ebbaac30b,3419,,,"[8.7, 43.7]",3795221,90,,,,,0.5410714,,Right Foot,,,,"[53.8, 70.8]",High Pass,,52.615776,,,Incomplete,,Daniel Wass,,,,,,3,From Kick Off,Kasper Schmeichel,3815.0,,Goalkeeper,160,Denmark,776,"['d4f847dd-dabf-4f00-9dfe-e82920462c04', 'd935f566-1e6e-4a35-8c96-5e7ef77be2bb']",16,,,,,,,,,,,,,,,,Denmark,00:00:16.641,Pass,,8.7,43.7,53.8,70.8,,,
,,,,,,,,,,,,,1.669013,,,,,,,,,,,,,,,,,d4f847dd-dabf-4f00-9dfe-e82920462c04,3422,,,"[66.3, 9.3]",3795221,90,,,,True,-0.6984385,,,,,,"[76.9, 0.4]",Low Pass,,13.840881,,,Out,,Jack Grealish,,,,,Recovery,3,From Kick Off,Luke Shaw,3382.0,,Left Back,160,Denmark,776,"['12da9a53-c35d-4844-8a93-a37126621f01', '9ce954bf-e876-4c73-9a52-27b316b9285a', 'bf9b2670-1efa-46cd-aff6-d25ebbaac30b']",19,,,,,,,,,,,,,,,,England,00:00:19.179,Pass,True,66.3,9.3,76.9,0.4,,,
,,,,,,,,,,,,,0.666391,,,,,,,,,,,,,,,,,506b7a65-e9ee-405a-9ed7-2f6ee152b5bf,3424,,,"[50.7, 80.0]",3795221,91,,True,,,-1.6780752,,,,,,"[50.0, 73.5]",Low Pass,,6.537584,,,,,Pierre-Emile Højbjerg,,,,,Throw-in,3,From Throw In,Daniel Wass,6797.0,,Right Wing Back,161,Denmark,776,['04aeed4a-6ac1-498a-ada0-9917caa1b140'],2,,,,,,,,,,,,,,,,Denmark,00:01:02.873,Pass,,50.7,80.0,50.0,73.5,,,
,,,,,,,,,,,,,0.366542,,,,,,,,,,,,,,,,,31f6353a-a772-44c6-9714-e2e720dd23b2,3426,,,"[50.0, 73.5]",3795221,91,,True,,,2.5488954,,Right Foot,,,,"[45.1, 76.8]",Ground Pass,,5.9076223,,,,,Daniel Wass,,,,,,3,From Throw In,Pierre-Emile Højbjerg,3570.0,,Left Center Midfield,161,Denmark,776,['14e72c31-5cb3-4b47-946f-91dab7e533b0'],3,,,,,,,,,,,,,,,,Denmark,00:01:03.612,Pass,,50.0,73.5,45.1,76.8,,,
,,,,,,,,,,,,,1.288429,,,,,,,,,,,,,,,,,d724a4e6-b8a0-4b29-aa8c-1a1b36208f32,3430,,,"[43.1, 75.5]",3795221,91,,,,,3.1415927,,Right Foot,,,,"[28.4, 75.5]",Ground Pass,,14.7,,,,,Joachim Andersen,,,,,,3,From Throw In,Daniel Wass,6797.0,,Right Wing Back,161,Denmark,776,"['0842263c-ef93-4e3a-8de5-413f682b7bb8', '2791de45-9d29-4cfb-9045-3459c82bd982']",4,,,,,,,,,,,,,,,,Denmark,00:01:04.681,Pass,True,43.1,75.5,28.4,75.5,,,
,,,,,,,,,,,,,2.866136,,,,,,,,,,,,,,,,,6a91bff8-26bf-4a71-81c8-70da29a212c6,3433,,,"[27.6, 74.1]",3795221,91,,,,,-2.2751842,,Right Foot,,,,"[4.4, 46.8]",Ground Pass,,35.826385,,,,,Kasper Schmeichel,,,,,,3,From Throw In,Joachim Andersen,8247.0,,Right Center Back,161,Denmark,776,['0d922f51-9397-4766-82ac-60f993ae203b'],6,,,,,,,,,,,,,,,,Denmark,00:01:06.577,Pass,,27.6,74.1,4.4,46.8,,,
