ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,1.628108,,,,,,,,,,,,3c0a31fd-c5ef-4e93-beb1-58693c5770be,19,,,"[70.0, 63.9]",3788744,0,,,,2.8590376,,Right Foot,,,"[51.4, 69.3]",,Low Pass,,19.368015,,,Nico Elvedi,,,,,,Recovery,1,Regular Play,Remo Freuler,6983.0,Right Defensive Midfield,4,Switzerland,773,['2b22c82d-93fe-4ab1-89d1-9573ace74015'],10,,,,,,,,,,,,,,Switzerland,00:00:10.552,Pass,,70.0,63.9,51.4,69.3,,,
,,,,,,,,,,,,,,,,2.259207,,,,,,,,,,,,54a715c7-e272-4e2f-a610-cf335baae885,22,,,"[43.9, 68.0]",3788744,0,,,,-2.6649165,,Right Foot,,,"[19.5, 55.4]",,Ground Pass,,27.461245,,,Yann Sommer,,,,,,,1,Regular Play,Nico Elvedi,8814.0,Right Center Back,4,Switzerland,773,['689abeb5-42e4-451b-8129-9e05dd299500'],13,,,,,,,,,,,,,,Switzerland,00:00:13.654,Pass,,43.9,68.0,19.5,55.4,,,
,,,,,,,,,,,,,,,,2.48172,,,,,,,,,,,,e9aa1238-470e-4276-b9db-132c930879dc,25,,,"[20.1, 55.4]",3788744,0,,,,-1.2548937,,Right Foot,,,"[28.5, 29.7]",,Ground Pass,,27.037937,,,Manuel Obafemi Akanji,,,,,,,1,Regular Play,Yann Sommer,5550.0,Goalkeeper,4,Switzerland,773,['e1f9b40c-9af8-48f3-b58b-66824841bf4b'],18,,,,,,,,,,,,,,Switzerland,00:00:18.183,Pass,,20.1,55.4,28.5,29.7,,,
,,,,,,,,,,,,,,,,1.673087,,,,,,,,,,,,57dee0fe-340a-4fbd-bbdc-2212a08ebfc7,28,,,"[29.8, 26.7]",3788744,0,,,,-0.77544826,,Right Foot,,,"[50.1, 6.8]",,Ground Pass,,28.4271,,,Ricardo Iván Rodríguez Araya,,,,,,,1,Regular Play,Manuel Obafemi Akanji,5549.0,Left Center Back,4,Switzerland,773,['bed5b9dd-d904-4109-a66d-b67dd8b41bcc'],21,,,,,,,,,,,,,,Switzerland,00:00:21.349,Pass,,29.8,26.7,50.1,6.8,,,
,,,,,,,,,,,,,,,,0.873179,,,,,,,,,,,,1463e635-f999-4091-b42d-a27af8a961bb,31,,,"[50.1, 6.8]",3788744,0,,,,1.6720117,,Left Foot,,,"[48.8, 19.6]",,Ground Pass,,12.865847,,,Granit Xhaka,,,,,,,1,Regular Play,Ricardo Iván Rodríguez Araya,5544.0,Left Wing Back,4,Switzerland,773,['55ab3c62-24da-45e9-824b-5f773a9d5c0b'],24,,,,,,,,,,,,,,Switzerland,00:00:24.944,Pass,,50.1,6.8,48.8,19.6,,,
,,,,,,,,,,,,,,,,0.790845,,,,,,,,,,,,bc41ad41-b322-4b7a-9587-fbcce4671022,34,,,"[48.6, 19.6]",3788744,0,,,,2.9660006,,Right Foot,,,"[36.2, 21.8]",,Ground Pass,,12.593649,,,Manuel Obafemi Akanji,,,,,,,1,Regular Play,Granit Xhaka,3500.0,Left Defensive Midfield,4,Switzerland,773,['4a707b19-802a-41b6-93c2-5ee3962e71f0'],26,,,,,,,,,,,,,,Switzerland,00:00:26.731,Pass,,48.6,19.6,36.2,21.8,,,
,,,,,,,,,,,,,,,,1.246998,,,,,,,,,,,,4cf175ef-abc3-4a67-bf17-c0ac81aaf003,37,,,"[42.0, 27.3]",3788744,0,,,,1.686223,,Left Foot,,,"[38.8, 54.9]",,Ground Pass,,27.784887,,,Remo Freuler,,,,,,,1,Regular Play,Manuel Obafemi Akanji,5549.0,Left Center Back,4,Switzerland,773,['02c94ce2-b354-4386-9f42-9186efcfee0d'],31,,,,,,,,,,,,,,Switzerland,00:00:31.789,Pass,,42.0,27.3,38.8,54.9,,,
,,,,,,,,,,,,,,,,1.703301,,,,,,,,,,,,513a249b-aa99-4187-be8e-4f1be4029a67,40,,,"[40.9, 59.4]",3788744,0,,,,1.3271782,,Right Foot,,,"[45.2, 76.7]",,Ground Pass,,17.826385,,,Nico Elvedi,,,,,,,1,Regular Play,Remo Freuler,6983.0,Right Defensive Midfield,4,Switzerland,773,['4c553747-ab60-410f-b97c-5adb0d243377'],34,,,,,,,,,,,,,,Switzerland,00:00:34.437,Pass,,40.9,59.4,45.2,76.7,,,
,,,,,,,,,,,,,,,,1.512546,,,,,,,,,,,,53459f8b-215e-4e4d-94f5-29721f7d2f87,43,,,"[45.2, 77.0]",3788744,0,,,,-2.1983352,,Right Foot,,,"[34.9, 62.8]",,Ground Pass,,17.542234,,,Fabian Lukas Schär,,,,,,,1,Regular Play,Nico Elvedi,8814.0,Right Center Back,4,Switzerland,773,['b853bed5-6905-4c63-ba18-94616b43c065'],37,,,,,,,,,,,,,,Switzerland,00:00:37.062,Pass,,45.2,77.0,34.9,62.8,,,
,,,,,,,,,,,,,,,,1.003087,,,,,,,,,,,,179b3b58-2002-4fcd-939e-39a67259e5d2,46,,,"[36.0, 57.5]",3788744,0,,,,-1.0649203,,Right Foot,,,"[43.7, 43.6]",,Ground Pass,,15.890248,,,Manuel Obafemi Akanji,,,,,,,1,Regular Play,Fabian Lukas Schär,5537.0,Center Back,4,Switzerland,773,['37846dd0-b99a-4f78-bc13-e6002627ec51'],40,,,,,,,,,,,,,,Switzerland,00:00:40.590,Pass,,36.0,57.5,43.7,43.6,,,
