bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,1.767707,,,,,,,,,,,,,,21501a75-8ed1-41f7-a2b3-64627068a385,17,,"[25.9, 58.7]",3788761,0,,,,-1.2992635,,Right Foot,,,,"[35.7, 23.5]",Ground Pass,,36.538746,,,Milan Škriniar,,,,,,1,From Kick Off,Ľubomír Šatka,30397.0,Right Center Back,2,Slovakia,908,['30038df4-1cd0-401f-8b10-44f2f4e7abeb'],9,,,,,,,,,,,,,,,Slovakia,00:00:09.247,Pass,,25.9,58.7,35.7,23.5,,,
,,,,,,,,,,,,,,,,1.442469,,,,,,,,,,,,,,cbe4f189-3097-4a54-8acd-8eb3d72b79ac,20,,"[35.7, 23.5]",3788761,0,,,,-1.060308,,Right Foot,,,,"[42.7, 11.0]",Ground Pass,,14.326549,,,Tomáš Hubočan,,,,,,1,From Kick Off,Milan Škriniar,6990.0,Left Center Back,2,Slovakia,908,['52f9c29c-ff6b-40c0-b472-c0b03eb26c2f'],11,,,,,,,,,,,,,,,Slovakia,00:00:11.878,Pass,,35.7,23.5,42.7,11.0,,,
,,,,,,,,,,,,,,,,1.164797,,,,,,,,,,,,,,8bddc1e4-1ddf-40df-8187-0ba672d010e8,23,,"[42.9, 11.2]",3788761,0,,,,2.4659557,,Right Foot,,,,"[29.3, 22.1]",Ground Pass,,17.428999,,,Milan Škriniar,,,,,,1,From Kick Off,Tomáš Hubočan,4421.0,Left Back,2,Slovakia,908,['323595da-7b17-480f-9afa-8b43083ece88'],15,,,,,,,,,,,,,,,Slovakia,00:00:15.278,Pass,,42.9,11.2,29.3,22.1,,,
,,,,,,,,,,,,,,,,1.590348,,,,,,,,,,,,,,1d4a4f26-1a00-4f9a-b766-991a68ce7f89,26,,"[28.8, 23.2]",3788761,0,,,,1.5868206,,Right Foot,,,,"[28.3, 54.4]",Ground Pass,,31.204006,,,Ľubomír Šatka,,,,,,1,From Kick Off,Milan Škriniar,6990.0,Left Center Back,2,Slovakia,908,['332d988e-3e71-4db6-a67f-9076de46f985'],17,,,,,,,,,,,,,,,Slovakia,00:00:17.600,Pass,,28.8,23.2,28.3,54.4,,,
,,,,,,,,,,,,,,,,1.10302,,,,,,,,,,,,,,76e7c0f8-a23b-4d43-b40f-797bbc24f2e3,29,,"[28.3, 57.4]",3788761,0,,,,1.350203,,Right Foot,,,,"[32.0, 73.9]",Ground Pass,,16.909761,,,Peter Pekarík,,,,,,1,From Kick Off,Ľubomír Šatka,30397.0,Right Center Back,2,Slovakia,908,['095b290c-51d3-46bc-a0ca-9f10bacb5f31'],20,,,,,,,,,,,,,,,Slovakia,00:00:20.525,Pass,,28.3,57.4,32.0,73.9,,,
,,,,,,,,,,,,,,,,1.313821,,,,,,,,,,,,,,549702f0-1ec3-4e2d-be72-4eb54f8b2454,32,,"[34.4, 73.9]",3788761,0,,,,-2.1550677,,Right Foot,,,,"[26.2, 61.5]",Ground Pass,,14.866069,,,Ľubomír Šatka,,,,,,1,From Kick Off,Peter Pekarík,9722.0,Right Back,2,Slovakia,908,['39e97d2e-8516-425f-a1e8-da6fc0a25315'],22,,,,,,,,,,,,,,,Slovakia,00:00:22.581,Pass,,34.4,73.9,26.2,61.5,,,
,,,,,,,,,,,,,,,,0.972816,,,,,,,,,,,,,,602ffb73-cf51-424f-8d43-bad676853d88,35,,"[26.5, 61.0]",3788761,0,,,,0.0,,Right Foot,,,,"[37.5, 61.0]",Ground Pass,,11.0,,,Juraj Kucka,,,,,,1,From Kick Off,Ľubomír Šatka,30397.0,Right Center Back,2,Slovakia,908,['f33b75c2-a96e-4e0c-9c22-d61e8ee8e580'],25,,,,,,,,,,,,,,,Slovakia,00:00:25.110,Pass,,26.5,61.0,37.5,61.0,,,
,,,,,,,,,,,,,,,,0.990558,,,,,,,,,,,,,,442b6b95-050e-435e-aa68-b332362b5ad8,38,,"[37.5, 61.0]",3788761,0,,,,-3.0151522,,Right Foot,,,,"[25.7, 59.5]",Ground Pass,,11.894957,,,Ľubomír Šatka,,,,,,1,From Kick Off,Juraj Kucka,10919.0,Right Center Midfield,2,Slovakia,908,['1d6fb85a-0757-4be3-ad1a-4fdf89bd4158'],26,,,,,,,,,,,,,,,Slovakia,00:00:26.121,Pass,,37.5,61.0,25.7,59.5,,,
,,,,,,,,,,,,,,,,2.232419,,,,,,,,,,,,,,2d5df858-cf00-44bc-895f-fa87be1b11f0,41,,"[23.4, 58.2]",3788761,0,,,,-2.2174273,,Right Foot,,,,"[8.0, 37.8]",Ground Pass,,25.560125,,,Martin Dúbravka,,,,,,1,From Kick Off,Ľubomír Šatka,30397.0,Right Center Back,2,Slovakia,908,['d6bd3a28-d004-4743-a4fc-a08d30e85301'],27,,,,,,,,,,,,,,,Slovakia,00:00:27.865,Pass,,23.4,58.2,8.0,37.8,,,
,,,,,,,,,,,,,,,,1.946191,,,,,,,,,,,,,,9f71520d-d3bc-4501-821b-05d4b04d6922,43,,"[8.0, 37.8]",3788761,0,,,,-1.2618656,,Right Foot,,,,"[15.5, 14.3]",Ground Pass,,24.667793,,,Milan Škriniar,,,,,,1,From Kick Off,Martin Dúbravka,3711.0,Goalkeeper,2,Slovakia,908,['1c4396d1-175b-4046-b561-f25cf9630768'],30,,,,,,,,,,,,,,,Slovakia,00:00:30.098,Pass,,8.0,37.8,15.5,14.3,,,
,,,,,,,,,,,,,,,,1.014745,,,,,,,,,,,,,,4d99f0ac-b8eb-49ce-8e3b-85b6ac00fc0b,46,,"[15.5, 14.3]",3788761,0,,,,-0.6931497,,Right Foot,,,,"[27.9, 4.0]",Ground Pass,,16.119864,,,Tomáš Hubočan,,,,,,1,From Kick Off,Milan Škriniar,6990.0,Left Center Back,2,Slovakia,908,['2aee85b5-0a6a-4292-800f-7c8ac6c3c19f'],33,,,,,,,,,,,,,,,Slovakia,00:00:33.075,Pass,,15.5,14.3,27.9,4.0,,,
,,,,,,,,,,,,,,,,1.786822,,,,,,,,,,,,,,22130eb0-b1c6-47b1-967b-b7487bcf0072,49,,"[27.9, 4.0]",3788761,0,,,,0.0391956,,Right Foot,,,,"[43.2, 4.6]",Ground Pass,,15.31176,,,Marek Hamšík,,,,,,1,From Kick Off,Tomáš Hubočan,4421.0,Left Back,2,Slovakia,908,['60c1c0ca-dcaf-42f4-a7fc-155bd2680c61'],34,,,,,,,,,,,,,,,Slovakia,00:00:34.410,Pass,,27.9,4.0,43.2,4.6,,,
,,,,,,,,,,,,,,,,0.999681,,,,,,,,,,,,,,f1cfd0b9-3858-4256-a045-e503c54de4ee,52,,"[43.2, 4.6]",3788761,0,,,,1.048962,,Left Foot,,,,"[50.1, 16.6]",Ground Pass,,13.842326,,,Juraj Kucka,,,,,,1,From Kick Off,Marek Hamšík,7025.0,Center Attacking Midfield,2,Slovakia,908,['f1264f88-f05a-48e7-a8f1-3368efd0f884'],37,,,,,,,,,,,,,,,Slovakia,00:00:37.213,Pass,,43.2,4.6,50.1,16.6,,,
,,,,,,,,,,,,,,,,1.598894,,,,,,,,,,,,,,a8698bc8-6879-4237-af76-3ed4893b55b1,62,,"[57.4, 24.9]",3788761,0,,,,1.9185634,,Right Foot,,,,"[48.7, 48.9]",Ground Pass,,25.52822,,,Ľubomír Šatka,,,,,Free Kick,1,From Free Kick,Milan Škriniar,6990.0,Left Center Back,3,Slovakia,908,['9b11fb61-8a78-4f00-800e-e2fd6c308c0a'],54,,,,,,,,,,,,,,,Slovakia,00:00:54.037,Pass,,57.4,24.9,48.7,48.9,,,
,,,,,,,,,,,,,,,,1.393872,,,,,,,,,,,,,,92062370-b81c-42eb-a96d-afc7b2a6d255,65,,"[48.7, 48.9]",3788761,0,,,,-1.4940244,,Right Foot,,,,"[50.2, 29.4]",Ground Pass,,19.557608,,,Milan Škriniar,,,,,,1,From Free Kick,Ľubomír Šatka,30397.0,Right Center Back,3,Slovakia,908,['0fb69cca-b9d4-49d2-be0f-a51f07f285f3'],57,,,,,,,,,,,,,,,Slovakia,00:00:57.299,Pass,,48.7,48.9,50.2,29.4,,,
