50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,c9ed178e-954f-4458-9c0b-e585112d60d6,1568,,,"[86.8, 9.8]",3794689,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Kasper Dolberg,6302.0,Center Forward,78,Denmark,776,['59236ee6-9acc-4aa1-8c66-501783eec594'],6,,,,,,,,,,,,,,,,,Denmark,00:00:06.326,Ball Receipt*,,86.8,9.8,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,286848e1-8507-4e68-9e63-87e45ed0f3d3,1573,,,"[41.4, 67.7]",3794689,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Aaron Ramsey,3517.0,Center Attacking Midfield,79,Wales,907,"['6bba74db-fa98-483e-b1c1-8c3988b97abd', '9db31f12-de01-4985-83f8-6393f084b9ce']",9,,,,,,,,,,,,,,,,,Wales,00:00:09.245,Ball Receipt*,True,41.4,67.7,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,6dc6ad61-9c01-4446-af35-983ec9c46004,1578,,,"[28.8, 50.5]",3794689,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Joe Rodon,11250.0,Left Center Back,80,Wales,907,['4b782d32-ce12-4422-acaa-131e2135f7fb'],24,,,,,,,,,,,,,,,,,Wales,00:00:24.034,Ball Receipt*,,28.8,50.5,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,cb2f07c9-92c1-4967-a453-a173c7962588,1581,,,"[44.5, 76.0]",3794689,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Neco Williams,34794.0,Right Back,80,Wales,907,['a7aac17d-1a18-4afe-9a13-503dbfc913cf'],29,,,,,,,,,,,,,,,,,Wales,00:00:29.806,Ball Receipt*,,44.5,76.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3f29a134-b786-483a-b7a2-23fb5f27a531,1585,,,"[25.4, 66.5]",3794689,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Chris Mepham,4767.0,Right Center Back,80,Wales,907,['feb73142-b7f2-4e6d-932b-2a8a9429774d'],32,,,,,,,,,,,,,,,,,Wales,00:00:32.734,Ball Receipt*,,25.4,66.5,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,f3b0d8ab-d06e-40a3-a672-eb167d4847e2,1588,,,"[39.3, 62.6]",3794689,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Joseff Morrell,22074.0,Right Defensive Midfield,80,Wales,907,['f88bee3a-d667-41fd-b1f7-9bec930f5126'],34,,,,,,,,,,,,,,,,,Wales,00:00:34.976,Ball Receipt*,,39.3,62.6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,b9af6f47-1e16-4e6c-b7f9-99aeda525842,1591,,,"[57.8, 76.0]",3794689,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Neco Williams,34794.0,Right Back,80,Wales,907,['ac4d591d-8de7-4d08-9e3d-82a6b19cb153'],41,,,,,,,,,,,,,,,,,Wales,00:00:41.033,Ball Receipt*,,57.8,76.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2b1902a7-688e-4a79-9671-ea477f50438e,1594,,,"[103.1, 73.9]",3794689,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Daniel James,11252.0,Right Wing,80,Wales,907,['c5796340-329e-41fc-818d-449417b1642f'],45,,,,,,,,,,,,,,,,,Wales,00:00:45.081,Ball Receipt*,,103.1,73.9,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,20aee933-9cdb-4399-8a86-f9763404d384,1601,,,"[56.1, 73.1]",3794689,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Neco Williams,34794.0,Right Back,80,Wales,907,['6f36e9ee-dabe-496c-9959-30b0dbced167'],53,,,,,,,,,,,,,,,,,Wales,00:00:53.871,Ball Receipt*,,56.1,73.1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,30e4d491-5cbe-4210-b44b-0c6444672aa8,1603,,,"[48.1, 48.1]",3794689,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Joe Allen,10931.0,Left Defensive Midfield,80,Wales,907,['1f2c617a-be54-433d-bb8d-d411368bea10'],57,,,,,,,,,,,,,,,,,Wales,00:00:57.275,Ball Receipt*,,48.1,48.1,,,,,
