ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,1.298186,,,,,,,,,,,,e799fab2-ea10-4d72-98fd-bab9624b77c4,18,,,"[50.3, 60.1]",3788764,0,,,,-1.3677511,,Right Foot,,,,"[55.2, 36.3]",,Ground Pass,,24.299177,,,,Toni Kroos,,,,,,1,From Kick Off,İlkay Gündoğan,10287.0,Right Defensive Midfield,2,Germany,770,['0b990717-710a-42b3-a0e0-34d2301ff41d'],10,,,,,,,,,,,,,,Germany,00:00:10.835,Pass,,50.3,60.1,55.2,36.3,,,
,,,,,,,,,,,,,,,1.295283,,,,,,,,,,,,5996b477-730e-44fa-a0ac-9024e4c31706,21,,,"[54.4, 36.8]",3788764,0,,,,-1.6124389,,No Touch,,,,"[53.8, 22.4]",,Ground Pass,,14.412495,True,,,Antonio Rüdiger,,,,,,1,From Kick Off,Toni Kroos,5574.0,Left Defensive Midfield,2,Germany,770,['e9979ae6-b6d9-4d45-aae1-17fe50bf69bb'],12,,,,,,,,,,,,,,Germany,00:00:12.541,Pass,,54.4,36.8,53.8,22.4,,,
,,,,,,,,,,,,,,,0.67724,,,,,,,,,,,,d09c4cda-bd78-4c9d-a121-58c384e385d6,24,,,"[53.8, 22.4]",3788764,0,,,,1.8900024,,Left Foot,,,,"[49.9, 34.2]",,Ground Pass,,12.427792,,,,Toni Kroos,,,,,,1,From Kick Off,Antonio Rüdiger,3167.0,Left Center Back,2,Germany,770,['8b7c7182-65ac-4bdd-933e-6f2567d9868e'],14,,,,,,,,,,,,,,Germany,00:00:14.464,Pass,,53.8,22.4,49.9,34.2,,,
,,,,,,,,,,,,,,,0.904336,,,,,,,,,,,,a2899bab-c9f8-4c1b-8806-63e23099102a,27,,,"[49.1, 27.5]",3788764,0,,,,3.0981417,,Right Foot,,,,"[39.9, 27.9]",,Ground Pass,,9.208692,,,,Mats Hummels,,,,,,1,From Kick Off,Toni Kroos,5574.0,Left Defensive Midfield,2,Germany,770,['1c633c41-f60f-42a5-87ac-3997125ab6ac'],16,,,,,,,,,,,,,,Germany,00:00:16.469,Pass,,49.1,27.5,39.9,27.9,,,
,,,,,,,,,,,,,,,1.441098,,,,,,,,,,,,d6e41205-cb73-4557-a526-f73748ab905d,30,,,"[42.3, 38.1]",3788764,0,,,,1.3937231,,Right Foot,,,,"[47.4, 66.6]",,Ground Pass,,28.95272,,,,Matthias Ginter,,,,,,1,From Kick Off,Mats Hummels,5572.0,Center Back,2,Germany,770,['27743fff-8aaa-4496-b413-48558ff32bdb'],18,,,,,,,,,,,,,,Germany,00:00:18.769,Pass,,42.3,38.1,47.4,66.6,,,
,,,,,,,,,,,,,,,0.852274,,,,,,,,,,,,fee89f73-a7cd-4f0d-a2d0-bc271b3b7cb2,33,,,"[54.6, 66.2]",3788764,0,,,,-1.0466167,,Right Foot,,,,"[62.0, 53.4]",,Ground Pass,,14.785128,,,,İlkay Gündoğan,,,,,,1,From Kick Off,Matthias Ginter,8808.0,Right Center Back,2,Germany,770,['628f69c9-bf3d-4bfc-9026-eb7bc036b32c'],22,,,,,,,,,,,,,,Germany,00:00:22.482,Pass,,54.6,66.2,62.0,53.4,,,
,,,,,,,,,,,,,,,1.293768,,,,,,,,,,,,02abb849-68d7-475b-b82b-b46b347a4d5f,36,,,"[62.0, 53.4]",3788764,0,,,,-1.5276858,,Right Foot,,,,"[63.1, 27.9]",,Ground Pass,,25.523714,,,,Toni Kroos,,,,,,1,From Kick Off,İlkay Gündoğan,10287.0,Right Defensive Midfield,2,Germany,770,['1756e59c-2fbf-4aea-8173-4643cb07a977'],24,,,,,,,,,,,,,,Germany,00:00:24.575,Pass,,62.0,53.4,63.1,27.9,,,
,,,,,,,,,,,,,,,1.917655,,,,,,,,,,,,9261535b-a49a-4929-9e7d-63fc208dbd65,39,,,"[64.2, 22.4]",3788764,0,,,,-0.6104888,,Right Foot,,,,"[92.5, 2.6]",,High Pass,,34.53882,,,,Robin Gosens,,,,,,1,From Kick Off,Toni Kroos,5574.0,Left Defensive Midfield,2,Germany,770,['0de82987-954b-43e5-a21a-d33edc6d311c'],27,,,,,,,,,,,,,,Germany,00:00:27.147,Pass,,64.2,22.4,92.5,2.6,,,
,,,,,,,,,,,,,,,0.767229,,,,,,,,,,,,2b893a26-046a-43a9-927d-d45598595a81,42,,,"[102.5, 3.0]",3788764,0,,,,1.3745955,,Left Foot,,,,"[105.7, 19.1]",,Ground Pass,,16.414932,,,,Kai Havertz,,,,,,1,From Kick Off,Robin Gosens,6985.0,Left Wing Back,2,Germany,770,['f3e38744-b67b-4d50-b251-680a1a2d2123'],30,,,,,,,,,,,,,,Germany,00:00:30.866,Pass,,102.5,3.0,105.7,19.1,,,
,,,,,,,,,,,,,,,0.277655,,,,,,,,,,,,323595af-0122-4b26-b708-0ff49af7e55f,46,,,"[117.6, 20.2]",3788764,0,,,,1.4382448,,Left Foot,,,,"[118.2, 24.7]",,Low Pass,,4.539824,,Incomplete,,Thomas Müller,,,,,,1,From Kick Off,Kai Havertz,8966.0,Left Attacking Midfield,2,Germany,770,"['53d6d059-5c7c-46c0-a582-18664eb1eb8c', 'd0cacb9f-4c29-4fa2-9a51-9afe48ba6ca2']",34,,,,,,,,,,,,,,Germany,00:00:34.446,Pass,,117.6,20.2,118.2,24.7,,,
,,,,,,,,,,,,,,,1.205359,,,,,,,,,,,,699ab01a-d100-41f1-b1f2-0453460ce42f,52,,,"[78.3, 25.3]",3788764,0,,,,-1.3339475,,Right Foot,,,,"[82.5, 7.9]",,Ground Pass,,17.899721,,,,Toni Kroos,,,,,,1,From Kick Off,Antonio Rüdiger,3167.0,Left Center Back,2,Germany,770,['e84c2d2a-7def-467e-9b94-398b3384cd9f'],39,,,,,,,,,,,,,,Germany,00:00:39.895,Pass,,78.3,25.3,82.5,7.9,,,
,,,,,,,,,,,,,,,0.54598,,,,,,,,,,,,c5afd943-624b-4768-afdc-1b4eab6d7dff,55,,,"[82.5, 8.1]",3788764,0,,,,0.5000687,,Right Foot,,,,"[92.2, 13.4]",,Ground Pass,,11.053506,,,,Robin Gosens,,,,,,1,From Kick Off,Toni Kroos,5574.0,Left Defensive Midfield,2,Germany,770,['35b465d9-dd0f-4ea9-bb0d-330a17a2b3e0'],42,,,,,,,,,,,,,,Germany,00:00:42.871,Pass,,82.5,8.1,92.2,13.4,,,
,,,,,,,,,,,,,,,2.513175,,,,,,,,,,,,b6bd10e6-e51e-4f5d-bae2-db2433916541,58,,,"[92.2, 13.4]",3788764,0,,,,-0.42889678,,Left Foot,,,,"[112.1, 4.3]",,Ground Pass,,21.881956,,Unknown,,Kai Havertz,,,,,,1,From Kick Off,Robin Gosens,6985.0,Left Wing Back,2,Germany,770,['bc3c000b-d5af-469b-8dc1-64f6d843cde8'],43,,,,,,,,,,,,,,Germany,00:00:43.508,Pass,,92.2,13.4,112.1,4.3,,,
,,,,,,,,,,,,,,,2.91298,,,,,,,,,,,,921bd591-99bb-4995-b03c-45598fc19c36,64,,,"[4.8, 76.6]",3788764,1,True,,,-0.4128976,,Left Foot,,,,"[69.4, 48.3]",,High Pass,,70.52695,,,,Cristiano Ronaldo dos Santos Aveiro,,,,,Free Kick,1,From Free Kick,Rui Pedro dos Santos Patrício,5205.0,Goalkeeper,4,Portugal,780,['cf33e168-01f4-426f-bb66-4779e2d37e4e'],19,,,,,,,,,,,,,,Portugal,00:01:19.511,Pass,,4.8,76.6,69.4,48.3,,,
,,,,,,,,,,,,,,,1.173048,,,,,,,,,,,,be5aeb5c-17f3-42f3-9b8f-2b82ac68b1c8,67,,,"[69.4, 48.3]",3788764,1,,,True,-0.5389765,,,,,,"[79.6, 42.2]",,High Pass,,11.884864,,,,Diogo José Teixeira da Silva,,,,,,1,From Free Kick,Cristiano Ronaldo dos Santos Aveiro,5207.0,Center Forward,4,Portugal,780,"['533e5e3d-40e1-4955-9e2d-b91149dc3c66', '7be2e714-c676-41cb-80ae-dda9cfd475dd']",22,,,,,,,,,,,,,,Portugal,00:01:22.424,Pass,True,69.4,48.3,79.6,42.2,,,
,,,,,,,,,,,,,,,1.530461,,,,,,,,,,,,facb4376-e7d9-4101-a19e-7451e4a434bd,70,,,"[82.6, 48.8]",3788764,1,,,,0.75922614,,Right Foot,,,,"[92.4, 58.1]",,Low Pass,,13.510366,,,,Bernardo Mota Veiga de Carvalho e Silva,,,,,,1,From Free Kick,Diogo José Teixeira da Silva,9929.0,Left Midfield,4,Portugal,780,['efa0a19d-1c0c-45a0-995b-cfa22b785e45'],25,,,,,,,,,,,,,,Portugal,00:01:25.076,Pass,,82.6,48.8,92.4,58.1,,,
,,,,,,,,,,,,,,,3.322867,,,,,,,,,,,,d8139c08-f781-4e41-be8a-8b0da10682b2,74,,,"[98.1, 77.7]",3788764,1,,,,3.127848,,Left Foot,,,,"[69.0, 78.1]",,Ground Pass,,29.102749,,,,Kléper Laveran Lima Ferreira,,,,,,1,From Free Kick,Bernardo Mota Veiga de Carvalho e Silva,3193.0,Right Midfield,4,Portugal,780,"['1ad38dc5-d6f7-42d1-aa10-0137e3667023', '3da94395-78f6-4c56-8094-0b7a64c76c58']",31,,,,,,,,,,,,,,Portugal,00:01:31.584,Pass,True,98.1,77.7,69.0,78.1,,,
,,,,,,,,,,,,,,,4.240121,,,,,,,,,,,,87559b81-6c6a-4783-9eef-56075db4a126,78,,,"[68.5, 77.7]",3788764,1,,,,-0.3372071,,Right Foot,,,,"[118.7, 60.1]",,High Pass,,53.195866,,Incomplete,,,,,,,,1,From Free Kick,Kléper Laveran Lima Ferreira,20016.0,Right Center Back,4,Portugal,780,"['8e3006ca-10cd-4299-be6f-da60366c8f60', 'dbfc32f5-77a3-40de-bb01-ef8d3858f2bf']",34,,,,,,,,,,,,,,Portugal,00:01:34.985,Pass,True,68.5,77.7,118.7,60.1,,,
,,,,,,,,,,,,,,,2.310753,,,,,,,,,,,,0b8c8613-765b-4979-9478-6066fd31ff4b,81,,,"[14.5, 26.9]",3788764,1,,,,1.5370064,,Left Foot,,,,"[15.7, 62.4]",,Ground Pass,,35.520275,,,,Matthias Ginter,,,,,,1,Regular Play,Manuel Neuer,5570.0,Goalkeeper,5,Germany,770,['36886a16-d3ac-43b3-abcb-12a1b7802f44'],44,,,,,,,,,,,,,,Germany,00:01:44.051,Pass,,14.5,26.9,15.7,62.4,,,
,,,,,,,,,,,,,,,1.980653,,,,,,,,,,,,bf8110f1-6dbe-4b36-9c58-cd23d8431bdb,84,,,"[21.4, 56.2]",3788764,1,,,,-2.2005997,,Right Foot,,,,"[8.5, 38.5]",,Ground Pass,,21.902054,,,,Manuel Neuer,,,,,,1,Regular Play,Matthias Ginter,8808.0,Right Center Back,5,Germany,770,['056875b4-0e7d-459a-847a-1e20eabbd334'],49,,,,,,,,,,,,,,Germany,00:01:49.800,Pass,,21.4,56.2,8.5,38.5,,,
,,,,,,,,,,,,,,,1.483462,,,,,,,,,,,,a4db4f26-03a9-477d-af0c-9b70d78c4de4,87,,,"[7.7, 38.7]",3788764,1,,,,-1.2474251,,Right Foot,,,,"[13.9, 20.2]",,Ground Pass,,19.511278,,,,Antonio Rüdiger,,,,,,1,Regular Play,Manuel Neuer,5570.0,Goalkeeper,5,Germany,770,['5f20f5e7-8e5f-46e3-933b-dec5e3997058'],56,,,,,,,,,,,,,,Germany,00:01:56.117,Pass,,7.7,38.7,13.9,20.2,,,
,,,,,,,,,,,,,,,1.561009,,,,,,,,,,,,b74348f2-8a59-4d37-9c1c-e5f6a7d50d7f,90,,,"[13.9, 23.6]",3788764,1,,,,1.7972372,,Left Foot,,,,"[9.2, 44.0]",,Ground Pass,,20.934422,,,,Manuel Neuer,,,,,,1,Regular Play,Antonio Rüdiger,3167.0,Left Center Back,5,Germany,770,['1910bff6-0357-4097-9385-93fc00685402'],58,,,,,,,,,,,,,,Germany,00:01:58.940,Pass,,13.9,23.6,9.2,44.0,,,
,,,,,,,,,,,,,,,0.888014,,,,,,,,,,,,215c79dd-7b6d-4d40-849b-9c8c762942eb,93,,,"[8.6, 48.1]",3788764,2,,,,0.13158815,,Right Foot,,,,"[22.2, 49.9]",,Ground Pass,,13.7186,,,,İlkay Gündoğan,,,,,,1,Regular Play,Manuel Neuer,5570.0,Goalkeeper,5,Germany,770,['dd585d08-a910-4592-9155-bf169979ef44'],2,,,,,,,,,,,,,,Germany,00:02:02.135,Pass,,8.6,48.1,22.2,49.9,,,
