bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,"[90.9, 51.4]",,,,,,,,,,,,0.727355,,,,,,,,,,,,,63255b1f-40dc-410a-8b34-c27c53a55a35,2698,,"[83.0, 48.8]",3788759,71,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Mason Mount,7843.0,Center Attacking Midfield,105,England,768,"['80bf31b1-f6de-4f26-8285-04294cab948e', '93559dd4-be14-4441-bd1f-00f7b495ad5e']",18,,,,,,,,,,,,,,England,00:26:18.491,Carry,,83.0,48.8,,,,,
,,,,,"[71.0, 77.6]",,,,,,,,,,,,4.537972,,,,,,,,,,,,,3783d754-24fe-4d89-b365-c44c8779b6dc,2708,,"[81.8, 71.5]",3788759,72,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,"Stephen O""Donnell",9048.0,Right Wing Back,106,Scotland,942,"['eb37085b-51c6-4c64-b7f5-0a73a5a0e8d2', 'f3654623-3872-4173-9261-db5f82656224']",3,,,,,,,,,,,,,,Scotland,00:27:03.917,Carry,,81.8,71.5,,,,,
,,,,,"[31.3, 12.9]",,,,,,,,,,,,1.974861,,,,,,,,,,,,,2d5dc940-8445-439e-8d1b-e63b48ba3d27,2715,,"[39.4, 5.1]",3788759,72,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jack Grealish,9638.0,Left Wing,107,England,768,"['648170c3-b0ba-4c10-84af-2ed3a9b79023', 'b17d9008-d72e-4028-9d4d-198e64ad88a7', 'c941ebaa-f7c2-4919-9cfd-2817869e88dd', 'cd5e12f1-00da-4170-b54d-c3039bd0f1a0']",11,,,,,,,,,,,,,,England,00:27:11.863,Carry,True,39.4,5.1,,,,,
,,,,,"[68.9, 13.2]",,,,,,,,,,,,0.922412,,,,,,,,,,,,,0ac37090-adb1-4a4d-8f58-3beff1880482,2722,,"[64.0, 11.9]",3788759,72,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Luke Shaw,3382.0,Left Back,108,England,768,"['2f332076-4bf6-4ff5-bd8a-df9582ce1d9a', '67628c19-6272-4717-a54d-3cde48cd0e5f']",32,,,,,,,,,,,,,,England,00:27:32.458,Carry,,64.0,11.9,,,,,
,,,,,"[66.9, 22.4]",,,,,,,,,,,,1.844242,,,,,,,,,,,,,ede44360-9d27-4ca8-bb2e-756c22bab9ac,2726,,"[79.0, 20.2]",3788759,72,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Harry Kane,10955.0,Center Forward,108,England,768,"['30e2408a-047b-4cd8-9208-16cb8c9d4fd8', '3fc17bdd-b4a1-42ec-a2f6-055379fd6c0b', '88d6e068-bb6b-432b-93df-dfac3d02121e']",34,,,,,,,,,,,,,,England,00:27:34.181,Carry,True,79.0,20.2,,,,,
,,,,,"[90.9, 69.5]",,,,,,,,,,,,5.857522,,,,,,,,,,,,,b37c8ecf-8df7-4970-a012-7be5d7ec182b,2729,,"[64.1, 71.5]",3788759,72,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Reece James,9550.0,Right Back,108,England,768,"['4901bde1-dba9-421f-bc84-c3b2f75756c7', '5b3726d7-c5ac-443c-895c-d7aa3c49c905']",39,,,,,,,,,,,,,,England,00:27:39.136,Carry,,64.1,71.5,,,,,
,,,,,"[77.7, 46.7]",,,,,,,,,,,,0.998813,,,,,,,,,,,,,d9943150-790f-4592-968f-c82cfafc02b6,2732,,"[74.4, 54.4]",3788759,72,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Declan Rice,3943.0,Left Defensive Midfield,108,England,768,"['1b7b21ce-77e6-4877-a901-38373a1236fb', '43341357-92fc-4bbd-8d75-35817ee50869']",47,,,,,,,,,,,,,,England,00:27:47.065,Carry,,74.4,54.4,,,,,
,,,,,"[86.7, 19.4]",,,,,,,,,,,,2.216628,,,,,,,,,,,,,6dbaeade-f1da-4689-8e93-19f47b4ead4f,2735,,"[84.0, 24.7]",3788759,72,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Luke Shaw,3382.0,Left Back,108,England,768,"['1c921810-58be-4fb6-8384-50fedffdb4bd', 'afb0d2c4-30f3-4cab-9fc0-b38ba293c37a']",49,,,,,,,,,,,,,,England,00:27:49.425,Carry,,84.0,24.7,,,,,
,,,,,"[101.3, 2.8]",,,,,,,,,,,,3.715923,,,,,,,,,,,,,7b6eed93-3438-4b9a-81a7-4f770a472733,2738,,"[92.7, 4.4]",3788759,72,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Jack Grealish,9638.0,Left Wing,108,England,768,"['d8ebc3eb-a268-4a7f-8809-7328666e80cf', 'fd0ba18c-5722-4738-8186-badf6fe545ee']",52,,,,,,,,,,,,,,England,00:27:52.486,Carry,,92.7,4.4,,,,,
,,,,,"[106.3, 21.5]",,,,,,,,,,,,0.798045,,,,,,,,,,,,,496e5443-48cf-4a46-bf95-c0915954d893,2742,,"[106.6, 21.6]",3788759,72,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Raheem Sterling,3233.0,Right Wing,108,England,768,"['0f9baa2f-bb46-4257-a582-e3113bcafa39', '320971a3-1a9f-405a-92c6-5c60d0606979', 'a99e0282-e836-4a79-ad4e-bff479c66063', 'e64d0bba-58f1-49dd-8e62-402f39e40b40']",57,,,,,,,,,,,,,,England,00:27:57.066,Carry,True,106.6,21.6,,,,,
,,,,,"[109.8, 3.5]",,,,,,,,,,,,5.505824,,,,,,,,,,,,,741c184c-2dcb-4a96-94e9-00ec5571702a,2746,,"[101.7, 11.0]",3788759,72,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Jack Grealish,9638.0,Left Wing,108,England,768,"['26554bbe-b818-4a91-bda7-a7d9d0f55f95', '5e4c5814-c5ff-46ec-8afd-e2e0605195a9', 'aa1ececf-2fa3-4330-a2ad-01183e47f7ad']",58,,,,,,,,,,,,,,England,00:27:58.530,Carry,True,101.7,11.0,,,,,
,,,,,"[102.7, 15.6]",,,,,,,,,,,,0.509635,,,,,,,,,,,,,5069c3c5-0399-4073-91c9-f1b7cfb767a5,2752,,"[102.7, 13.6]",3788759,73,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Mason Mount,7843.0,Center Attacking Midfield,108,England,768,"['3d22c00c-f702-42d4-831d-9318c0d2626a', '782d45f7-2b86-4875-83fc-82f37dae977c']",5,,,,,,,,,,,,,,England,00:28:05.822,Carry,,102.7,13.6,,,,,
,,,,,"[112.3, 24.9]",,,,,,,,,,,,1.425709,,,,,,,,,,,,,6d7b70ab-1c13-4b30-b972-bfc5d718b85c,2755,,"[112.0, 21.0]",3788759,73,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Luke Shaw,3382.0,Left Back,108,England,768,"['958bd709-a96c-4706-be7e-a0d12c7f0236', 'c397c1f1-d89c-481c-93c6-b0daaba225d7', 'dac8c2c7-1c1e-4816-b4c3-c818b0ac4d7f']",6,,,,,,,,,,,,,,England,00:28:06.940,Carry,True,112.0,21.0,,,,,
,,,,,"[30.9, 7.9]",,,,,,,,,,,,1.990781,,,,,,,,,,,,,09883c73-ccca-4e44-ac57-5826d92cf1e7,2765,,"[35.8, 13.3]",3788759,74,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Tyrone Mings,3323.0,Left Center Back,109,Scotland,942,"['9a066b0f-c1f7-4171-b4dd-70a0cf3050a4', 'ba6199b5-b0fc-4c86-8ef5-d1eb77062e00']",17,,,,,,,,,,,,,,England,00:29:17.219,Carry,,35.8,13.3,,,,,
,,,,,"[37.6, 63.1]",,,,,,,,,,,,2.332152,,,,,,,,,,,,,eda19508-3943-4fc5-8b48-ab13753ef6c5,2769,,"[31.9, 67.7]",3788759,74,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Scott McTominay,3620.0,Right Center Back,109,Scotland,942,"['68ec117e-6ef0-40d9-819a-eea089df0b1b', '857854e7-4a02-4480-aa3a-86333aece16b', 'f9aa939d-194f-44b2-9f3a-19b061669066']",22,,,,,,,,,,,,,,Scotland,00:29:22.365,Carry,True,31.9,67.7,,,,,
,,,,,"[12.1, 13.8]",,,,,,,,,,,,0.905317,,,,,,,,,,,,,9a2316dd-7c53-4449-b54e-7eb7af6270ec,2780,,"[9.4, 15.7]",3788759,75,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Tyrone Mings,3323.0,Left Center Back,111,England,768,"['83c6a69f-07a6-44c5-af84-e6fd93524839', 'ae7211b9-044f-483a-93d1-1fdf6543936b']",11,,,,,,,,,,,,,,England,00:30:11.190,Carry,,9.4,15.7,,,,,
,,,,,"[43.1, 2.3]",,,,,,,,,,,,1.084733,,,,,,,,,,,,,590e15ba-8e83-4f3a-b6d5-667f571fca3f,2783,,"[36.9, 4.9]",3788759,75,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Luke Shaw,3382.0,Left Back,111,England,768,"['2a525432-e91f-4ccb-9347-7961c9c1591c', '86db3842-6dc3-4138-920f-ed0f6abbf8b6']",14,,,,,,,,,,,,,,England,00:30:14.075,Carry,,36.9,4.9,,,,,
,,,,,"[78.6, 2.8]",,,,,,,,,,,,5.06025,,,,,,,,,,,,,43358d3a-eb3b-49f8-9f5b-2b92e9ddd064,2786,,"[48.0, 3.7]",3788759,75,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Jack Grealish,9638.0,Left Wing,111,England,768,"['2f3a909c-5deb-49b2-9709-a7f229b1e131', '527f2e9f-7ecc-41e7-b273-6bdf96a46904', '583ba8b5-7299-4255-8bc4-203361e719e6']",15,,,,,,,,,,,,,,England,00:30:15.974,Carry,True,48.0,3.7,,,,,
,,,,,"[57.1, 26.1]",,,,,,,,,,,,2.669109,,,,,,,,,,,,,3da3bf05-1639-49fc-9593-428ea7d120f3,2793,,"[56.4, 12.4]",3788759,76,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Tyrone Mings,3323.0,Left Center Back,112,England,768,"['8311e20f-39e8-4375-bbd2-07ecaf8a354b', 'bf2d2fa6-5d4a-4387-8ceb-e442bfc9f0bf']",9,,,,,,,,,,,,,,England,00:31:09.664,Carry,,56.4,12.4,,,,,
,,,,,"[64.4, 40.7]",,,,,,,,,,,,3.71362,,,,,,,,,,,,,3e5f685e-46b3-49b1-95d9-ce868c5170a8,2796,,"[61.9, 32.0]",3788759,76,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Declan Rice,3943.0,Left Defensive Midfield,112,England,768,"['35cfcb8e-8bab-4a9b-972d-1e6e3ece2462', '669e55aa-8c29-4bb3-9c29-4b3c211addc5']",13,,,,,,,,,,,,,,England,00:31:13.033,Carry,,61.9,32.0,,,,,
,,,,,"[68.3, 69.3]",,,,,,,,,,,,1.137207,,,,,,,,,,,,,8196a710-a9bd-491d-9512-167c1bdf598d,2799,,"[66.9, 70.9]",3788759,76,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,John Stones,3244.0,Right Center Back,112,England,768,"['f6479129-17ab-4d42-b438-0a95c55889e6', 'fdc45993-234a-4364-9915-03d09d998240']",18,,,,,,,,,,,,,,England,00:31:18.442,Carry,,66.9,70.9,,,,,
,,,,,"[82.6, 74.5]",,,,,,,,,,,,1.738526,,,,,,,,,,,,,b2e394bf-43f0-48b3-a6c5-77084bc53d14,2802,,"[82.6, 74.9]",3788759,76,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Reece James,9550.0,Right Back,112,England,768,"['37b131d9-b04e-4c1a-931c-86a1db2c1175', '38b2b7d0-839d-45cc-8b30-4a9a8619ad4b']",20,,,,,,,,,,,,,,England,00:31:20.747,Carry,,82.6,74.9,,,,,
,,,,,"[62.3, 70.3]",,,,,,,,,,,,1.15171,,,,,,,,,,,,,d67c7445-c066-4bc3-8502-705d42f14e78,2807,,"[62.3, 70.3]",3788759,76,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,John Stones,3244.0,Right Center Back,112,England,768,"['46cbdaa7-0ebd-4e08-81b7-811604c91cbd', 'c755a240-9be2-4e39-9670-a2aaca20cdfc']",25,,,,,,,,,,,,,,England,00:31:25.335,Carry,,62.3,70.3,,,,,
,,,,,"[63.0, 45.2]",,,,,,,,,,,,2.060833,,,,,,,,,,,,,45523525-61a1-4b61-896c-5db87025105c,2810,,"[64.0, 56.0]",3788759,76,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Declan Rice,3943.0,Left Defensive Midfield,112,England,768,"['c7fc22a3-c01f-424c-868e-5ef1aa941ab4', 'c8ed0131-dffa-4528-952f-5a946439496d']",27,,,,,,,,,,,,,,England,00:31:27.265,Carry,,64.0,56.0,,,,,
,,,,,"[56.7, 21.2]",,,,,,,,,,,,2.875456,,,,,,,,,,,,,d0de8efa-7b0a-4b45-9c99-c3b8fa9b06aa,2813,,"[63.0, 26.2]",3788759,76,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Tyrone Mings,3323.0,Left Center Back,112,England,768,"['693e51ea-01ec-4c3f-9975-cdd204fddc94', 'a6fc5805-7637-46b4-b1a7-a5bbf2e254ce', 'eed5af72-9f2d-4db6-aac2-cac3c869d131']",31,,,,,,,,,,,,,,England,00:31:31.208,Carry,True,63.0,26.2,,,,,
,,,,,"[27.5, 32.4]",,,,,,,,,,,,3.15714,,,,,,,,,,,,,3e219089-54f9-4932-a766-75bd83c07e93,2817,,"[23.4, 35.5]",3788759,76,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Jordan Pickford,3468.0,Goalkeeper,112,England,768,"['be6707f9-e184-4a77-8b5e-9f44193a80a1', 'd5666244-1691-4312-9cdc-21461eb47db4']",36,,,,,,,,,,,,,,England,00:31:36.315,Carry,,23.4,35.5,,,,,
