50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,,1.141264,,,,,,,,,,,,,b84a8d32-1180-432b-bd99-9b56794a86ef,17,,"[36.7, 21.5]",3788756,0,,,,,-0.75338066,,Right Foot,,,"[51.2, 7.9]",,Ground Pass,,19.879889,,,,Martin Hinteregger,,,,,,1,From Kick Off,David Olatukunbo Alaba,8220.0,Center Back,2,Austria,915,['148dcdb6-9f0f-467f-9e1d-d4688c687e28'],10,,,,,,,,,,,,,,Austria,00:00:10.786,Pass,,36.7,21.5,51.2,7.9,,,
,,,,,,,,,,,,,,,,,,1.444779,,,,,,,,,,,,,2aeeabb3-3402-4217-8771-b51fa3bd9100,21,,"[52.8, 8.9]",3788756,0,,,,,0.67856014,,Left Foot,,,"[71.9, 24.3]",,Ground Pass,,24.535076,,,,Michael Gregoritsch,,,,,,1,From Kick Off,Martin Hinteregger,8307.0,Left Center Back,2,Austria,915,"['02ae9aa1-bcf9-48f3-9c71-6a6b7b04c15e', '528366f2-fcce-4a91-85fa-ee58d7985a44']",12,,,,,,,,,,,,,,Austria,00:00:12.399,Pass,True,52.8,8.9,71.9,24.3,,,
,,,,,,,,,,,,,,,,,,0.59441,,,,,,,,,,,,,48d6e28c-1574-49d1-8f7b-54ac586dba21,25,,"[73.7, 25.8]",3788756,0,,,,,0.3281199,,No Touch,,,"[78.4, 27.4]",,Ground Pass,,4.9648767,True,,,Christoph Baumgartner,,,,,,1,From Kick Off,Michael Gregoritsch,8309.0,Left Center Forward,2,Austria,915,"['17c16c48-e6d3-4391-b3de-309d8af94748', '20b59a4f-7e9c-4791-a736-32b85d9cdf58']",13,,,,,,,,,,,,,,Austria,00:00:13.883,Pass,True,73.7,25.8,78.4,27.4,,,
,,,,,,,,,,,,,,,,,,0.504744,,,,,,,,,,,,,de4bb06a-1c35-40a5-a2fd-f73b5cfedfdd,29,,"[41.7, 53.3]",3788756,0,,,,,0.07485985,,Right Foot,,,"[45.7, 53.6]",,Ground Pass,,4.0112343,,,,Matthijs de Ligt,,,,,Recovery,1,Regular Play,Stefan de Vrij,7787.0,Right Center Back,3,Netherlands,941,['5b01748f-3524-478d-8b40-56ae90f28de0'],15,,,,,,,,,,,,,,Netherlands,00:00:15.083,Pass,,41.7,53.3,45.7,53.6,,,
,,,,,,,,,,,,,,,,,,0.604207,,,,,,,,,,,,,50155b6d-0d06-4a49-96d7-c9705bc1e654,33,,"[45.7, 53.6]",3788756,0,,,,,1.7488892,,Right Foot,,,"[44.8, 58.6]",,Ground Pass,,5.080354,,,,Marten de Roon,,,,,,1,Regular Play,Matthijs de Ligt,8069.0,Center Back,3,Netherlands,941,"['8f9a7fcb-70c6-4a41-a2e0-d2d8b33bd8fc', 'c8519c34-fb51-4fb4-b0fb-b57d4cff3883']",16,,,,,,,,,,,,,,Netherlands,00:00:16.218,Pass,True,45.7,53.6,44.8,58.6,,,
,,,,,,,,,,,,,,,,,,0.854943,,,,,,,,,,,,,56e1c3f7-c411-42f8-b488-a8b7a5684827,36,,"[44.8, 60.1]",3788756,0,,,,,-0.6998929,,Right Foot,,,"[56.2, 50.5]",,Low Pass,,14.903691,,,,Wout Weghorst,,,,,,1,Regular Play,Marten de Roon,6994.0,Right Defensive Midfield,3,Netherlands,941,['4e95f037-66ae-4662-b203-73427b1db0ee'],16,,,,,,,,,,,,,,Netherlands,00:00:16.822,Pass,,44.8,60.1,56.2,50.5,,,
,,,,,,,,,,,,,,,,,,1.936838,,,,,,,,,,,,,9efa8575-58f1-449f-8ed9-991929f327d5,39,,"[56.2, 50.5]",3788756,0,,,,,-1.2564257,,Right Foot,,,"[61.5, 34.2]",,Low Pass,,17.14001,,Incomplete,,Memphis Depay,,,,,,1,Regular Play,Wout Weghorst,7829.0,Right Center Forward,3,Netherlands,941,"['2b8a0e04-0bbe-43d7-b4bb-1d0209b2bee6', '3c68f8c3-cafc-40a8-995e-2a59e6ba5525']",17,,,,,,,,,,,,,,Netherlands,00:00:17.733,Pass,,56.2,50.5,61.5,34.2,,,
,,,,,,,,,,,,,,,,,,2.187681,,,,,,,,,,,,,323077f6-02be-4b43-98f2-7307a4f74648,46,,"[64.5, 48.7]",3788756,0,,,,,-1.906661,,Right Foot,,,"[54.9, 21.2]",,Ground Pass,,29.127478,,,,Martin Hinteregger,,,,,Free Kick,1,From Free Kick,Aleksandar Dragović,3969.0,Right Center Back,5,Austria,915,['904761d9-5ef9-4f09-8412-4b4e054eeecd'],30,,,,,,,,,,,,,,Austria,00:00:30.508,Pass,,64.5,48.7,54.9,21.2,,,
,,,,,,,,,,,,,,,,,,2.577332,,,,,,,,,,,,,9e2ec089-686b-46cb-865f-9f5255a68ffa,50,,"[65.7, 17.8]",3788756,0,,,,,2.8040776,,Left Foot,,,"[39.2, 27.1]",,Ground Pass,,28.084515,,,,David Olatukunbo Alaba,,,,,,1,From Free Kick,Martin Hinteregger,8307.0,Left Center Back,5,Austria,915,"['3dc8870f-847e-4a51-bb11-9252e623a170', 'c88bf73e-e97b-45da-8b22-97e17a678a35']",36,,,,,,,,,,,,,,Austria,00:00:36.874,Pass,True,65.7,17.8,39.2,27.1,,,
,,,,,,,,,,,,,,,,,,1.525178,,,,,,,,,,,,,ae7cef60-2c9c-4448-bc6c-6c141626c8a3,54,,"[36.4, 24.3]",3788756,0,,,,,-0.8673041,,Left Foot,,,"[48.7, 9.8]",,Ground Pass,,19.014206,,,,Martin Hinteregger,,,,,,1,From Free Kick,David Olatukunbo Alaba,8220.0,Center Back,5,Austria,915,"['10a3567d-267a-4f6f-9391-9130c745573c', '549047c4-0078-47bc-8026-82852532e917']",41,,,,,,,,,,,,,,Austria,00:00:41.571,Pass,True,36.4,24.3,48.7,9.8,,,
