50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,2.682451,,,,,,,,,,,,,,858ee83f-759f-4113-8f32-69d78785702a,18,,"[7.1, 46.1]",3788760,0,,,,,-1.2065575,,Right Foot,,,"[19.3, 14.1]",,Ground Pass,,34.24675,,,,Tomáš Kalas,,,,,,1,From Kick Off,Tomáš Vaclík,11541.0,Goalkeeper,2,Czech Republic,912,['6a7c0a75-b34c-48b3-9c85-992fa33a32e3'],18,,,,,,,,,,,,,,,,Czech Republic,00:00:18.981,Pass,,7.1,46.1,19.3,14.1,,,
,,,,,,,,,,,,,,1.131777,,,,,,,,,,,,,,ae0e7a39-1307-42eb-9b1b-b5420af41af9,21,,"[21.3, 10.9]",3788760,0,,,,,0.36461368,,Right Foot,,,"[34.4, 15.9]",,Ground Pass,,14.021769,,,,Tomáš Souček,,,,,,1,From Kick Off,Tomáš Kalas,13197.0,Left Center Back,2,Czech Republic,912,['94ed32e4-de5b-42bc-8fcb-454bc3e59b51'],23,,,,,,,,,,,,,,,,Czech Republic,00:00:23.592,Pass,,21.3,10.9,34.4,15.9,,,
,,,,,,,,,,,,,,1.301313,,,,,,,,,,,,,,aa0d4e4f-0c9b-4a82-8afd-d18c48764368,24,,"[33.8, 18.6]",3788760,0,,,,,-2.1154985,,Right Foot,,,"[25.5, 4.9]",,Ground Pass,,16.018114,,,,Tomáš Kalas,,,,,,1,From Kick Off,Tomáš Souček,4870.0,Left Center Midfield,2,Czech Republic,912,['4fdb4a98-a68f-45bb-8c8c-1e37bbbaba08'],24,,,,,,,,,,,,,,,,Czech Republic,00:00:24.764,Pass,,33.8,18.6,25.5,4.9,,,
,,,,,,,,,,,,,,1.285915,,,,,,,,,,,,,,cc00e424-8ee1-47bb-bc6c-f4c097da7b55,27,,"[24.7, 5.3]",3788760,0,,,,,1.0990188,,Right Foot,,,"[29.7, 15.1]",,Ground Pass,,11.001818,,,,Tomáš Holeš,,,,,,1,From Kick Off,Tomáš Kalas,13197.0,Left Center Back,2,Czech Republic,912,['24625bd1-4b7a-48ab-abe6-373e61ec84bf'],27,,,,,,,,,,,,,,,,Czech Republic,00:00:27.052,Pass,,24.7,5.3,29.7,15.1,,,
,,,,,,,,,,,,,,2.657458,,,,,,,,,,,,,,099a4093-3c4a-467c-ab49-30ca0254d421,33,,"[43.5, 18.8]",3788760,0,,True,,,-0.5357296,,Right Foot,,,"[71.8, 2.0]",,High Pass,,32.910942,,Incomplete,,Jan Bořil,,,,,Free Kick,1,From Free Kick,Ondrej Celustka,30328.0,Right Center Back,3,Czech Republic,912,"['91b0a4f6-c772-4c58-9ea5-e5199aa14fce', 'a1b3bfcd-d689-47a4-abcf-d20c0445d323']",42,,,,,,,,,,,,,,,,Czech Republic,00:00:42.460,Pass,,43.5,18.8,71.8,2.0,,,
,,,,,,,,,,,,,,2.552976,,,,,,,,,,,,,,13fbb50f-8b52-49fc-8b17-86c18f2f0117,36,,"[70.6, 0.1]",3788760,0,,True,,,0.070715226,,,,,"[94.6, 1.8]",,Low Pass,,24.060133,,,,Jan Bořil,,,,,Throw-in,1,From Throw In,Tomáš Souček,4870.0,Left Center Midfield,4,Czech Republic,912,['de5cbeef-9462-4851-b3ef-ab0cd0888936'],54,,,,,,,,,,,,,,,,Czech Republic,00:00:54.204,Pass,,70.6,0.1,94.6,1.8,,,
,,,,,,,,,,,,,,0.617061,,,,,,,,,,,,,,220a8c00-8e4e-4f32-8ffa-eb1d5528abca,40,,"[94.9, 2.0]",3788760,0,,,,,-0.30805278,,Right Foot,,,"[99.3, 0.6]",,Ground Pass,,4.6173587,,,,Jakub Jankto,,,,,,1,From Throw In,Jan Bořil,4875.0,Left Back,4,Czech Republic,912,"['2239ee1e-33bc-4c2a-94bf-9f68e17bfc6d', '735dbced-8baf-4403-85be-6c92823ab53c']",56,,,,,,,,,,,,,,,,Czech Republic,00:00:56.809,Pass,True,94.9,2.0,99.3,0.6,,,
,,,,,,,,,,,,,,0.099707,,,,,,,,,,,,,,25732bba-edfb-435b-b4ab-a3dfe0f2d82c,44,,"[96.0, 0.9]",3788760,0,,,,,0.6889244,,Right Foot,,,"[97.7, 2.3]",,Ground Pass,,2.2022715,,Incomplete,,Vladimír Darida,,,,,,1,From Throw In,Jakub Jankto,8095.0,Left Wing,4,Czech Republic,912,"['2d097f64-a801-47b4-a925-7e1ac4ab2964', 'a4896ddf-7eb2-412c-9da1-aaaf5f342132', 'eecd4118-99f8-4890-8a94-041cbc239900']",58,,,,,,,,,,,,,,,,Czech Republic,00:00:58.460,Pass,True,96.0,0.9,97.7,2.3,,,
,,,,,,,,,,,,,,1.501214,,,,,,,,,,,,,,6fbc15dd-12af-4fbe-a4b2-10d2dc162148,50,,"[78.9, 1.6]",3788760,1,,,,,2.97271,,Right Foot,,,"[57.2, 5.3]",,Low Pass,,22.013178,,,,Tomáš Kalas,,,,,,1,From Throw In,Jan Bořil,4875.0,Left Back,4,Czech Republic,912,"['3fd28378-89bc-4ac7-9533-5067d500209a', '6c59c3c2-55e6-4035-8d3c-c6837a7f7ef9']",1,,,,,,,,,,,,,,,,Czech Republic,00:01:01.275,Pass,True,78.9,1.6,57.2,5.3,,,
,,,,,,,,,,,,,,0.770391,,,,,,,,,,,,,,0118a1a8-a619-42cf-b21c-b7b54101285a,54,,"[63.1, 13.5]",3788760,1,,,,,-0.52067596,,Right Foot,,,"[84.2, 1.4]",,High Pass,,24.32324,,,,Vladimír Darida,,,,,,1,From Throw In,Tomáš Kalas,13197.0,Left Center Back,4,Czech Republic,912,['5b1e92f1-84e2-4b5b-a9f4-3271a70cb95f'],5,,,,,,,,,,,,,,,,Czech Republic,00:01:05.940,Pass,,63.1,13.5,84.2,1.4,,,
,,,,,,,,,,,,,,3.379023,,,,,,,,,,,,,,bd8f5e39-cbe7-4a24-b36e-49bebf366fb0,57,,"[84.2, 2.0]",3788760,1,,,,,0.6790053,,Other,,,"[107.0, 20.4]",,High Pass,,29.298464,,Incomplete,,Jakub Jankto,,,,,,1,From Throw In,Vladimír Darida,8579.0,Center Attacking Midfield,4,Czech Republic,912,"['bc19d1b8-02e3-4c8d-ba64-7891f3178eed', 'd75a04f6-60d7-4c20-bf62-11b6361e41aa']",6,,,,,,,,,,,,,,,,Czech Republic,00:01:06.811,Pass,,84.2,2.0,107.0,20.4,,,
,,,,,,,,,,,,,,1.533011,,,,,,,,,,,,,,4b6c1d9c-1358-4517-8693-feb7e4f48369,61,,"[11.5, 60.7]",3788760,1,,,,,1.4778011,,Right Foot,,,"[13.3, 80.0]",,High Pass,,19.383757,,Out,,,,,,,,1,From Throw In,Dejan Lovren,3471.0,Right Center Back,4,Czech Republic,912,,11,,,,,,,,,,,,,,,,Croatia,00:01:11.211,Pass,,11.5,60.7,13.3,80.0,,,
