ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,2.045396,,,,,,,,,,,,1bd1d92f-cf75-4288-af14-24b7fd2f12bf,17,,"[41.9, 40.0]",3788746,0,,,,-1.5331572,,Right Foot,,,,"[42.8, 16.1]",,Ground Pass,,23.916939,,,,Daley Blind,,,,,,1,From Kick Off,Stefan de Vrij,7787.0,Center Back,2,Netherlands,941,['e296ea98-2a71-4fc5-a8fd-df28631d0b11'],12,,,,,,,,,,,,,,Netherlands,00:00:12.758,Pass,,41.9,40.0,42.8,16.1,,,
,,,,,,,,,,,,,,,1.059877,,,,,,,,,,,,e006bdf3-4850-4257-8bf4-056ee1686ff2,20,,"[43.3, 16.5]",3788746,0,,,,0.5564732,,Left Foot,,,,"[56.0, 24.4]",,Ground Pass,,14.956604,,,,Frenkie de Jong,,,,,,1,From Kick Off,Daley Blind,3311.0,Left Center Back,2,Netherlands,941,['bbd15611-1e1e-435d-8c54-379579b3cf8a'],15,,,,,,,,,,,,,,Netherlands,00:00:15.631,Pass,,43.3,16.5,56.0,24.4,,,
,,,,,,,,,,,,,,,1.297693,,,,,,,,,,,,1566028a-7f8a-4938-bce4-bc34285ee4df,23,,"[57.4, 10.4]",3788746,0,,,,1.6211413,,Right Foot,,,,"[56.1, 36.2]",,Ground Pass,,25.832731,,,,Marten de Roon,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Left Defensive Midfield,2,Netherlands,941,['83e93325-6511-4880-be56-1bb954ae9672'],21,,,,,,,,,,,,,,Netherlands,00:00:21.513,Pass,,57.4,10.4,56.1,36.2,,,
,,,,,,,,,,,,,,,1.233873,,,,,,,,,,,,479f393b-d5fc-4c60-adfc-496f23858256,26,,"[56.0, 38.3]",3788746,0,,,,2.2283247,,Left Foot,,,,"[43.8, 54.1]",,Ground Pass,,19.961964,,,,Jurriën David Norman Timber,,,,,,1,From Kick Off,Marten de Roon,6994.0,Right Defensive Midfield,2,Netherlands,941,['678c4ccb-35d5-49ca-9c3c-946fc6346976'],24,,,,,,,,,,,,,,Netherlands,00:00:24.064,Pass,,56.0,38.3,43.8,54.1,,,
,,,,,,,,,,,,,,,1.582138,,,,,,,,,,,,5d1bcfc3-4819-44d5-a09a-5b32286b4989,29,,"[43.7, 54.1]",3788746,0,,,,-1.7180282,,Right Foot,,,,"[40.2, 30.5]",,Ground Pass,,23.858122,,,,Stefan de Vrij,,,,,,1,From Kick Off,Jurriën David Norman Timber,21809.0,Right Center Back,2,Netherlands,941,['ae26f9ba-09c4-4c2f-98b0-2cc6ac4aba0e'],25,,,,,,,,,,,,,,Netherlands,00:00:25.364,Pass,,43.7,54.1,40.2,30.5,,,
,,,,,,,,,,,,,,,5.315997,,,,,,,,,,,,9fa4f35b-0933-4b22-8306-2203f8dce273,33,,"[41.2, 29.5]",3788746,0,,,,2.8170924,,Left Foot,,,,"[8.5, 40.5]",,Ground Pass,,34.50058,,,,Maarten Stekelenburg,,,,,,1,From Kick Off,Stefan de Vrij,7787.0,Center Back,2,Netherlands,941,"['11905ce3-0620-4b20-8471-09baa5aff568', 'fcb1c0c7-1d7c-4662-9599-fef359064d0e']",27,,,,,,,,,,,,,,Netherlands,00:00:27.019,Pass,True,41.2,29.5,8.5,40.5,,,
,,,,,,,,,,,,,,,4.062014,,,,,,,,,,,,f6ec36b0-2be7-4487-b033-709f380ee374,36,,"[9.5, 42.6]",3788746,0,,,,0.4925675,,Right Foot,,,,"[79.0, 79.9]",,High Pass,,78.87674,,Out,,Denzel Dumfries,,,,,,1,From Kick Off,Maarten Stekelenburg,20201.0,Goalkeeper,2,Netherlands,941,['4a91f4bb-518a-4ef4-b199-f14e85eabe25'],35,,,,,,,,,,,,,,Netherlands,00:00:35.770,Pass,,9.5,42.6,79.0,79.9,,,
,,,,,,,,,,,,,,,0.830107,,,,,,,,,,,,36f6a99a-6f21-4283-88e6-6e431aa7bd09,38,,"[41.8, 0.1]",3788746,0,,,,1.1886008,,,,,,"[45.9, 10.3]",,Low Pass,,10.993179,,,,Oleksandr Zinchenko,,,,,Throw-in,1,From Throw In,Vitalii Mykolenko,20827.0,Left Back,3,Ukraine,911,['2a874dbe-aeee-4996-b8e8-e3bc900ca854'],51,,,,,,,,,,,,,,Ukraine,00:00:51.624,Pass,,41.8,0.1,45.9,10.3,,,
,,,,,,,,,,,,,,,0.925278,,,,,,,,,,,,de487e54-73ce-4a7d-adaa-b499718c0f5a,41,,"[45.9, 10.4]",3788746,0,,,,-2.9093037,,Left Foot,,,,"[36.6, 8.2]",,Low Pass,,9.556673,,,,Vitalii Mykolenko,,,,,,1,From Throw In,Oleksandr Zinchenko,3575.0,Left Center Midfield,3,Ukraine,911,"['10332487-e5f7-47e3-a86a-e58057aed39e', '62c79634-f780-4641-8f1f-4c27bd88db51']",52,,,,,,,,,,,,,,Ukraine,00:00:52.454,Pass,True,45.9,10.4,36.6,8.2,,,
,,,,,,,,,,,,,,,2.271118,,,,,,,,,,,,12532cff-2a40-4dce-9f17-d2efc9b48d73,44,,"[36.8, 8.0]",3788746,0,,,,0.20801933,,Right Foot,,,,"[65.7, 14.1]",,High Pass,,29.536757,,,,Roman Yaremchuk,,,,,,1,From Throw In,Vitalii Mykolenko,20827.0,Left Back,3,Ukraine,911,"['190976cf-b48c-4a72-a6e3-66e7d9ef6b56', 'fe396c2d-74cd-4666-aaa7-b969c95b1c18']",53,,,,,,,,,,,,,,Ukraine,00:00:53.379,Pass,True,36.8,8.0,65.7,14.1,,,
