ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,1.406731,,,,,,,,,,,9306e22a-5d70-4be3-8b86-da50e89cea65,17,,,"[10.7, 8.3]",3788763,0,,,,1.8190862,,Left Foot,,,"[3.5, 36.7]",Ground Pass,,29.298464,,,,Hugo Lloris,,,,,,1,From Throw In,Presnel Kimpembe,2999.0,Left Center Back,3,France,771,['ddab3512-452e-4b49-813b-a973ee43b2f6'],22,,,,,,,,,,,,,,,,France,00:00:22.233,Pass,,10.7,8.3,3.5,36.7,,,
,,,,,,,,,,,,,,,,,2.526802,,,,,,,,,,,23192745-0904-473b-b360-e74ece7a6e26,20,,,"[3.5, 36.7]",3788763,0,,,,1.0712667,,Left Foot,,,"[24.4, 75.0]",High Pass,,43.631413,,,,Benjamin Pavard,,,,,,1,From Throw In,Hugo Lloris,3099.0,Goalkeeper,3,France,771,['f230a1c9-757f-495c-8db0-adceb3961b3c'],25,,,,,,,,,,,,,,,,France,00:00:25.091,Pass,,3.5,36.7,24.4,75.0,,,
,,,,,,,,,,,,,,,,,1.029962,,,,,,,,,,,6febe36d-2571-4047-bcab-dac338b13c0b,23,,,"[26.1, 75.7]",3788763,0,,,,-2.4216032,,Right Foot,,,"[13.9, 65.0]",Ground Pass,,16.227446,,,,Raphaël Varane,,,,,,1,From Throw In,Benjamin Pavard,5476.0,Right Back,3,France,771,['019ad022-70fe-4455-988d-6ed6a9ed872e'],28,,,,,,,,,,,,,,,,France,00:00:28.418,Pass,,26.1,75.7,13.9,65.0,,,
,,,,,,,,,,,,,,,,,2.563594,,,,,,,,,,,7d7222df-1663-4252-a485-05520e880b4d,26,,,"[13.9, 65.0]",3788763,0,,,,0.28075516,,Right Foot,,,"[56.9, 77.4]",High Pass,,44.752205,,Incomplete,,Antoine Griezmann,,,,,,1,From Throw In,Raphaël Varane,5485.0,Right Center Back,3,France,771,"['aec42313-18f7-4b55-b92f-b15c21761d74', 'bc9cfa15-9999-4917-acc0-f7fc1d8d8b12']",29,,,,,,,,,,,,,,,,France,00:00:29.644,Pass,,13.9,65.0,56.9,77.4,,,
,,,,,,,,,,,,,,,,,1.517289,,,,,,,,,,,bc9cfa15-9999-4917-acc0-f7fc1d8d8b12,28,,,"[63.2, 2.7]",3788763,0,,,,1.1341692,,Head,,,"[67.4, 11.7]",Low Pass,,9.931767,,,,Ádám Nagy,,,,,Recovery,1,Regular Play,Attila Szalai,46376.0,Left Center Back,4,Hungary,916,"['7d7222df-1663-4252-a485-05520e880b4d', 'c6122bb6-7a0a-4b34-a4fb-89cb40e9b442']",32,,,,,,,,,,,,,,,,Hungary,00:00:32.207,Pass,,63.2,2.7,67.4,11.7,,,
,,,,,,,,,,,,,,,,,0.828299,,,,,,,,,,,e92dfa35-5ed2-4dfc-a6b6-853d52047239,32,,,"[66.4, 10.4]",3788763,0,,,,0.33929262,,Right Foot,,,"[74.9, 13.4]",Ground Pass,,9.013878,,,,András Schäfer,,,,,,1,Regular Play,Ádám Nagy,7162.0,Center Defensive Midfield,4,Hungary,916,"['0782957d-506c-4f8b-bacf-1f6fc78f77ab', '1b7a097e-6bfc-4b14-87f6-e19596f295e8']",34,,,,,,,,,,,,,,,,Hungary,00:00:34.681,Pass,True,66.4,10.4,74.9,13.4,,,
,,,,,,,,,,,,,,,,,1.307242,,,,,,,,,,,0a60eca2-eaf8-4807-beab-0c66589348be,35,,,"[84.3, 13.9]",3788763,0,,,,-0.7469556,,Right Foot,,,"[95.1, 3.9]",Ground Pass,,14.718696,,,,Attila Fiola,,,,,,1,Regular Play,András Schäfer,42822.0,Left Center Midfield,4,Hungary,916,['9377c7fc-fb41-41fe-a76f-25e50e255be4'],37,,,,,,,,,,,,,,,,Hungary,00:00:37.486,Pass,,84.3,13.9,95.1,3.9,,,
,,,,,,,,,,,,,,,,,1.640173,,,,,,,,,,,54a5060b-ae07-4b26-b75d-4596651274b0,38,,,"[99.3, 4.2]",3788763,0,,,,0.46997663,,Right Foot,,,"[111.9, 10.6]",Ground Pass,,14.132233,,,,András Schäfer,,,,,,1,Regular Play,Attila Fiola,11268.0,Left Wing Back,4,Hungary,916,['e031c260-9e1c-4354-a978-e4c188f82236'],40,,,,,,,,,,,,,,,,Hungary,00:00:40.178,Pass,,99.3,4.2,111.9,10.6,,,
,,,,,,,,,,,,,,,,,3.329442,,,,,,,,,,,c4558449-a41c-452b-a75f-38ca131b678f,47,,,"[10.2, 71.2]",3788763,1,,,,-0.033320997,,Left Foot,,,"[70.2, 69.2]",High Pass,,60.033325,,,,Paul Pogba,,,,,Free Kick,1,From Free Kick,Hugo Lloris,3099.0,Goalkeeper,6,France,771,['76633383-25b2-4dcf-9fc6-a131685b2dde'],20,,,,,,,,,,,,,,,,France,00:01:20.024,Pass,,10.2,71.2,70.2,69.2,,,
,,,,,,,,,,,,,,,,,1.213089,,,,,,,,,,,0b7c6a6c-3e65-4c2a-a863-0f532a425438,49,,,"[69.2, 71.1]",3788763,1,,,,0.22923194,,Head,,,"[84.2, 74.6]",Low Pass,,15.402922,,Incomplete,,Antoine Griezmann,,,,,,1,From Free Kick,Paul Pogba,20004.0,Right Center Midfield,6,France,771,"['8cdf4709-f58b-4faa-9a95-ce71ea5df063', 'c3b2be78-e232-43f1-96f5-a5cdbb59582b']",23,,,,,,,,,,,,,,,,France,00:01:23.354,Pass,,69.2,71.1,84.2,74.6,,,
,,,,,,,,,,,,,,,,,1.10795,,,,,,,,,,,8cdf4709-f58b-4faa-9a95-ce71ea5df063,51,,,"[35.9, 5.5]",3788763,1,,,,0.4822625,,Right Foot,,,"[50.8, 13.3]",High Pass,,16.818146,,Incomplete,,Roland Sallai,,,,,Recovery,1,From Free Kick,Attila Fiola,11268.0,Left Wing Back,6,France,771,"['0b7c6a6c-3e65-4c2a-a863-0f532a425438', '219d1056-391b-4163-88bb-ce9ed2042bf8', '2652c318-bb72-4e4b-b735-ceab945d4e3f']",24,,,,,,,,,,,,,,,,Hungary,00:01:24.567,Pass,,35.9,5.5,50.8,13.3,,,
,,,,,,,,,,,,,,,,,0.479582,,,,,,,,,,,5bede3d2-bfef-47b8-8e5c-2ed625f6cef4,56,,,"[72.6, 64.1]",3788763,1,,,,-0.31745875,,Right Foot,,,"[79.6, 61.8]",Low Pass,,7.368175,,,,Karim Benzema,,,,,,1,From Free Kick,N''Golo Kanté,3961.0,Center Defensive Midfield,6,France,771,"['2f6200d6-8cc6-47f2-b704-8d18fd94ee7b', 'deb0eff3-032a-44a4-88c6-3ed9e391e9d4']",26,,,,,,,,,,,,,,,,France,00:01:26.498,Pass,True,72.6,64.1,79.6,61.8,,,
,,,,,,,,,,,,,,,,,1.924018,,,,,,,,,,,7d4eb61e-1a89-49c3-8692-0b10d024fd4c,59,,,"[78.8, 62.4]",3788763,1,,,,2.9985094,,Left Foot,,,"[55.2, 65.8]",High Pass,,23.843657,,,,Raphaël Varane,,,,,,1,From Free Kick,Karim Benzema,19677.0,Center Forward,6,France,771,"['300ca16e-9497-4aa6-9ae0-247d707ed5b2', 'b706c430-00d5-42ac-a172-4616865eb0e6']",26,,,,,,,,,,,,,,,,France,00:01:26.978,Pass,True,78.8,62.4,55.2,65.8,,,
,,,,,,,,,,,,,,,,,1.340328,,,,,,,,,,,0822e8f1-4ea3-44e1-b41a-c5c9bf1a5019,62,,,"[55.2, 65.8]",3788763,1,,,,-1.7576457,,Left Foot,,,"[51.4, 45.7]",Ground Pass,,20.45605,,,,Presnel Kimpembe,,,,,,1,From Free Kick,Raphaël Varane,5485.0,Right Center Back,6,France,771,['1d279e5f-e4d5-42c6-855c-24fde3b265fe'],29,,,,,,,,,,,,,,,,France,00:01:29.911,Pass,,55.2,65.8,51.4,45.7,,,
,,,,,,,,,,,,,,,,,0.811351,,,,,,,,,,,31f1974c-5b08-4415-b278-5cfaabbd3031,65,,,"[53.3, 39.3]",3788763,1,,,,0.560687,,Left Foot,,,"[61.9, 44.7]",Ground Pass,,10.154801,,,,N''Golo Kanté,,,,,,1,From Free Kick,Presnel Kimpembe,2999.0,Left Center Back,6,France,771,['48b6a4a1-07c1-4e8c-b66e-3d3e04f88e7e'],33,,,,,,,,,,,,,,,,France,00:01:33.665,Pass,,53.3,39.3,61.9,44.7,,,
