ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,0.906931,,,,,,,,,,,,,,,e31ab7dd-d4a9-4116-ae0a-4cfe1d48050e,18,,"[98.6, 78.7]",3788762,0,,,,-0.38050637,,Right Foot,,,True,"[106.1, 75.7]",,Low Pass,,8.077747,,,,Piotr Zieliński,,,,,,,1,From Throw In,Kamil Jóźwiak,4673.0,Right Wing Back,3,Poland,789,['e0f61ae0-8960-43ee-857b-984c7f8ffe19'],18,,,,,,,,,,,,,,,,Poland,00:00:18.675,Pass,,98.6,78.7,106.1,75.7,,,
,,,,,,,,,,,,,,,2.378052,,,,,,,,,,,,,,,f4421041-83b1-4c19-8ac0-e8c36f352e53,24,,"[11.8, 2.9]",3788762,0,,,,0.051633652,,Right Foot,,,,"[50.5, 4.9]",,High Pass,,38.751644,,Incomplete,,,,,,,,Recovery,1,From Throw In,Daniel Olmo Carvajal,16532.0,Left Wing,3,Poland,789,['ebedd46a-e02d-4674-b3be-161e4eb901b3'],21,,,,,,,,,,,,,,,,Spain,00:00:21.176,Pass,,11.8,2.9,50.5,4.9,,,
,,,,,,,,,,,,,,,1.508848,,,,,,,,,,,,,,,af7a8d43-ecbb-41ae-b68f-ba3fcf0386ad,27,,"[69.6, 75.2]",3788762,0,,,,-2.133488,,Right Foot,,,,"[54.4, 51.1]",,Ground Pass,,28.492981,,,,Jan Bednarek,,,,,,,1,From Throw In,Kamil Glik,3034.0,Center Back,3,Poland,789,['65485364-0116-43a6-bb8e-91eeb5e8606b'],24,,,,,,,,,,,,,,,,Poland,00:00:24.879,Pass,,69.6,75.2,54.4,51.1,,,
,,,,,,,,,,,,,,,1.891905,,,,,,,,,,,,,,,7e7f735b-0021-40ae-90f7-26cda039a94d,30,,"[54.4, 48.3]",3788762,0,,,,-1.5291537,,Left Foot,,,,"[55.4, 24.3]",,Ground Pass,,24.020824,,,,Tymoteusz Puchacz,,,,,,,1,From Throw In,Jan Bednarek,4626.0,Left Center Back,3,Poland,789,['f4a8c48f-675c-4c25-99fa-71d74ddbd6fb'],27,,,,,,,,,,,,,,,,Poland,00:00:27.348,Pass,,54.4,48.3,55.4,24.3,,,
,,,,,,,,,,,,,,,3.12874,,,,,,,,,,,,,,,600c60aa-10cc-45ce-bbb6-69f96dc25832,37,,"[53.7, 26.9]",3788762,0,,,,2.6822553,,Left Foot,,,,"[16.5, 45.3]",,Ground Pass,,41.50181,,,,Wojciech Szczęsny,,,,,,,1,From Throw In,Tymoteusz Puchacz,8737.0,Left Wing Back,3,Poland,789,['a05415a3-39d7-4169-822f-d000fd690509'],32,,,,,,,,,,,,,,,,Poland,00:00:32.840,Pass,,53.7,26.9,16.5,45.3,,,
,,,,,,,,,,,,,,,2.586466,,,,,,,,,,,,,,,3e421500-1dd0-427c-9383-05d624a7696a,40,,"[16.3, 46.6]",3788762,0,,,,0.46129653,,Right Foot,,,,"[67.4, 72.0]",,High Pass,,57.064613,,,,Piotr Zieliński,,,,,,,1,From Throw In,Wojciech Szczęsny,5669.0,Goalkeeper,3,Poland,789,['04297ade-38bc-4153-bcf7-d821df67b4da'],37,,,,,,,,,,,,,,,,Poland,00:00:37.823,Pass,,16.3,46.6,67.4,72.0,,,
,,,,,,,,,,,,,,,3.343652,,,,,,,,,,,,,,,48a9cbf5-385c-489b-bda2-e4a7948b2012,43,,"[66.1, 72.7]",3788762,0,,,True,0.20337456,,,,,,"[91.8, 78.0]",,Low Pass,,26.240808,,Incomplete,,Karol Świderski,,,,,,,1,From Throw In,Piotr Zieliński,5660.0,Center Defensive Midfield,3,Poland,789,"['14c0c29d-3c86-40a2-b63d-f92e307f7055', '273c5947-a35d-4150-862b-f462d95093e7', 'a0e4df15-7179-4ea3-b035-0fb9f596ce30']",40,,,,,,,,,,,,,,,,Poland,00:00:40.449,Pass,True,66.1,72.7,91.8,78.0,,,
,,,,,,,,,,,,,,,1.292531,,,,,,,,,,,,,,,ed26586c-e0b7-4af4-925a-17b128b4f9e3,50,,"[94.6, 80.0]",3788762,0,,,,-0.27416745,,,,,,"[110.6, 75.5]",,Low Pass,,16.62077,,,,Robert Lewandowski,,,,,,Throw-in,1,From Throw In,Kamil Jóźwiak,4673.0,Right Wing Back,4,Poland,789,['3f73d8b8-2b1d-4209-9855-f613ae1d3359'],55,,,,,,,,,,,,,,,,Poland,00:00:55.374,Pass,,94.6,80.0,110.6,75.5,,,
,,,,,,,,,,,,,,,0.599882,,,,,,,,,,,,,,,d59e416c-12d6-4973-8932-74541ab19b09,54,,"[111.7, 77.8]",3788762,0,,,,-1.7338916,,Right Foot,,,,"[110.4, 69.9]",,Ground Pass,,8.0062475,,,,Kamil Jóźwiak,,,,,,,1,From Throw In,Robert Lewandowski,5668.0,Left Center Forward,4,Poland,789,['99a03c54-862c-4cbd-9b6f-852c4860188d'],58,,,,,,,,,,,,,,,,Poland,00:00:58.071,Pass,,111.7,77.8,110.4,69.9,,,
,,,,,,,,,,,,,,,0.113926,,,,,,,,,,,,,,,c248e84a-c0c3-4ae6-960c-f3376d25aa6f,58,,"[116.4, 78.5]",3788762,1,,,,-1.3164283,,Right Foot,,,,"[117.7, 73.5]",,Low Pass,,5.1662364,,Incomplete,,,,,,,,,1,From Throw In,Kamil Jóźwiak,4673.0,Right Wing Back,4,Poland,789,"['8a9d7d80-7075-4af7-9444-ded43f5cba41', 'c4c03b80-0d9c-4a52-b933-08a457c8d194']",1,,,,,,,,,,,,,,,,Poland,00:01:01.979,Pass,True,116.4,78.5,117.7,73.5,,,
,,,,,,,,,,,,,,,0.341498,,,,,,,,,,,,,,,c33d520a-7520-4856-aa63-cebc4b2f0464,60,,"[3.3, 6.6]",3788762,1,,,,0.042527534,,Left Foot,,,,"[8.0, 6.8]",,Low Pass,,4.704253,,Incomplete,,Álvaro Borja Morata Martín,,,,,,Recovery,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,4,Poland,789,"['160fba04-358c-41e5-bc14-8e3be0b83f42', 'd96afe0b-d2a6-4eb7-9ce8-c2eb775987a8']",3,,,,,,,,,,,,,,,,Spain,00:01:03.680,Pass,,3.3,6.6,8.0,6.8,,,
,,,,,,,,,,,,,,,0.252057,,,,,,,,,,,,,,,8e114e20-3651-47d3-b1c9-29da71a09714,66,,"[10.1, 5.7]",3788762,1,,,,-2.6779451,,Right Foot,,,,"[6.3, 3.8]",,Ground Pass,,4.248529,,,,Rodrigo Hernández Cascante,,,,,,,1,Regular Play,Daniel Olmo Carvajal,16532.0,Left Wing,5,Spain,772,"['7fa1f69d-c48b-46c8-9efc-21eeb8705f1f', 'aa785781-85e7-4424-84fd-a617ee492f9d']",5,,,,,,,,,,,,,,,,Spain,00:01:05.343,Pass,True,10.1,5.7,6.3,3.8,,,
,,,,,,,,,,,,,,,1.348929,,,,,,,,,,,,,,,38459ce5-85db-45a5-87aa-e5759d7012d7,69,,"[6.3, 3.8]",3788762,1,,,,0.115134805,,Left Foot,,,,"[21.0, 5.5]",,Ground Pass,,14.797973,,,,Pedro González López,,,,,,,1,Regular Play,Rodrigo Hernández Cascante,6765.0,Center Defensive Midfield,5,Spain,772,['2ba94760-9804-446e-977b-e79ec023a82f'],5,,,,,,,,,,,,,,,,Spain,00:01:05.681,Pass,,6.3,3.8,21.0,5.5,,,
,,,,,,,,,,,,,,,0.623436,,,,,,,,,,,,,,,c17d6765-bce0-46e7-92e4-d38784f4201f,78,,"[98.6, 73.3]",3788762,1,,,,0.5045604,,Right Foot,,,,"[105.3, 77.0]",,Ground Pass,,7.653757,,,,Kamil Jóźwiak,,,,,,,1,Regular Play,Bartosz Bereszyński,5673.0,Right Center Back,6,Poland,789,['48e21e93-b240-4255-9885-271a9a17891f'],9,,,,,,,,,,,,,,,,Poland,00:01:09.103,Pass,,98.6,73.3,105.3,77.0,,,
,,,,,,,,,,,,,,,0.272928,,,,,,,,,,,,,,,7b923b3c-bcf6-434f-a4b1-9f8b437f2ecc,81,,"[104.2, 77.2]",3788762,1,,,,-0.4023211,,Right Foot,,,,"[108.9, 75.2]",,Ground Pass,,5.107837,,Incomplete,,Bartosz Bereszyński,,,,,,,1,Regular Play,Kamil Jóźwiak,4673.0,Right Wing Back,6,Poland,789,"['395a9904-c087-4f8e-b0c2-889b2cee9a8a', 'bf263874-e31e-4f63-8285-2516e91c02af']",10,,,,,,,,,,,,,,,,Poland,00:01:10.067,Pass,,104.2,77.2,108.9,75.2,,,
