ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,2.002713,,,,,,,,,f2cda60e-3dc9-4115-8fbd-b2a9cd2f0c38,20,,"[6.0, 36.0]",3788749,0,,True,,,1.1199275,,Right Foot,,,"[12.1, 48.6]",,Ground Pass,,13.998928,,,,Kamil Glik,,,,,Goal Kick,1,From Goal Kick,Wojciech Szczęsny,5669.0,Goalkeeper,3,Poland,789,['2cf78f0a-73fc-4674-8a8f-6eae50ec397a'],29,,,,,,,,,,,,,,Poland,00:00:29.106,Pass,,6.0,36.0,12.1,48.6,,,
,,,,,,,,,,,,,,,,,2.170932,,,,,,,,,a5d50cf8-9677-47a0-abe6-e7538a803843,22,,"[14.2, 46.7]",3788749,0,,,,,-1.2102873,,Right Foot,,,"[23.7, 21.5]",,Ground Pass,,26.93121,,,,Jan Bednarek,,,,,,1,From Goal Kick,Kamil Glik,3034.0,Center Back,3,Poland,789,['521507dd-90f4-4889-95da-99de236b5739'],32,,,,,,,,,,,,,,Poland,00:00:32.251,Pass,,14.2,46.7,23.7,21.5,,,
,,,,,,,,,,,,,,,,,1.332634,,,,,,,,,4c7ca463-fc1a-4029-8dc7-eede3ec963cf,25,,"[37.2, 22.0]",3788749,0,,,,,1.7479585,,Right Foot,,,"[33.1, 44.9]",,Ground Pass,,23.264135,,,,Kamil Glik,,,,,,1,From Goal Kick,Jan Bednarek,4626.0,Left Center Back,3,Poland,789,['60005802-4a27-4e17-9777-3083ddea331d'],38,,,,,,,,,,,,,,Poland,00:00:38.265,Pass,,37.2,22.0,33.1,44.9,,,
,,,,,,,,,,,,,,,,,1.420474,,,,,,,,,c7fa2c99-e36d-469d-96bf-6cdffa18cb45,28,,"[35.5, 46.3]",3788749,0,,,,,1.2306992,,Left Foot,,,"[42.4, 65.8]",,Ground Pass,,20.684776,,,,Bartosz Bereszyński,,,,,,1,From Goal Kick,Kamil Glik,3034.0,Center Back,3,Poland,789,['1ec847a4-98da-4eb6-b39f-ed66a696893d'],40,,,,,,,,,,,,,,Poland,00:00:40.741,Pass,,35.5,46.3,42.4,65.8,,,
,,,,,,,,,,,,,,,,,0.997998,,,,,,,,,f5524da1-912f-4ee3-9c6a-eb8fdef8e898,31,,"[41.1, 61.6]",3788749,0,,,,,-1.9100889,,Right Foot,,,"[34.5, 42.9]",,Ground Pass,,19.830532,,,,Kamil Glik,,,,,,1,From Goal Kick,Bartosz Bereszyński,5673.0,Right Center Back,3,Poland,789,['13dfe862-683d-47d6-bd24-06dcd414632f'],43,,,,,,,,,,,,,,Poland,00:00:43.303,Pass,,41.1,61.6,34.5,42.9,,,
,,,,,,,,,,,,,,,,,1.598266,,,,,,,,,626be28a-2173-4f68-8992-b5d73247ea86,34,,"[39.7, 40.1]",3788749,0,,,,,-1.3501153,,Right Foot,,,"[45.6, 13.8]",,Ground Pass,,26.953665,,,,Jan Bednarek,,,,,,1,From Goal Kick,Kamil Glik,3034.0,Center Back,3,Poland,789,['8a05b4be-b89f-45c8-ba54-97f4024042cf'],45,,,,,,,,,,,,,,Poland,00:00:45.508,Pass,,39.7,40.1,45.6,13.8,,,
,,,,,,,,,,,,,,,,,1.261532,,,,,,,,,f1d890f6-2654-4482-9279-0e02f834cc37,37,,"[48.4, 13.9]",3788749,0,,,,,0.0,,Right Foot,,,"[66.8, 13.9]",,Ground Pass,,18.4,,,,Karol Linetty,,,,,,1,From Goal Kick,Jan Bednarek,4626.0,Left Center Back,3,Poland,789,['588ee091-76aa-43d8-9313-135d1c7b9c49'],48,,,,,,,,,,,,,,Poland,00:00:48.063,Pass,,48.4,13.9,66.8,13.9,,,
,,,,,,,,,,,,,,,,,1.048438,,,,,,,,,93bb033e-2935-4cd3-a0b1-297b8c666fa0,40,,"[65.8, 14.2]",3788749,0,,,,,1.8505005,,Right Foot,,,"[63.1, 23.6]",,Ground Pass,,9.780082,,,,Grzegorz Krychowiak,,,,,,1,From Goal Kick,Karol Linetty,7964.0,Left Center Midfield,3,Poland,789,"['19e7d5f7-4a79-4331-b861-ad98f9cd8bff', '3341ca2c-1ffb-409c-848b-53568cc3996b']",49,,,,,,,,,,,,,,Poland,00:00:49.324,Pass,True,65.8,14.2,63.1,23.6,,,
,,,,,,,,,,,,,,,,,0.80354,,,,,,,,,db7156b5-6d3e-49ca-b3eb-fed06f49b8b1,47,,"[68.7, 10.1]",3788749,1,,,,,2.5227778,,Right Foot,,,"[62.1, 14.8]",,Ground Pass,,8.1024685,,,,Mateusz Andrzej Klich,,,,,Free Kick,1,From Free Kick,Grzegorz Krychowiak,3637.0,Center Defensive Midfield,4,Poland,789,['e7d21514-5fac-447a-b3a7-376c8aeeb3b7'],10,,,,,,,,,,,,,,Poland,00:01:10.950,Pass,,68.7,10.1,62.1,14.8,,,
,,,,,,,,,,,,,,,,,1.869943,,,,,,,,,3b094bcb-9739-4c4a-8cfc-15543caf277c,50,,"[60.9, 17.6]",3788749,1,,,,,1.8758981,,Right Foot,,,"[51.2, 48.4]",,Ground Pass,,32.29133,,,,Bartosz Bereszyński,,,,,,1,From Free Kick,Mateusz Andrzej Klich,9622.0,Right Center Midfield,4,Poland,789,['90f412e1-b477-41b3-98b2-972ca6376be7'],13,,,,,,,,,,,,,,Poland,00:01:13.439,Pass,,60.9,17.6,51.2,48.4,,,
