ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,"[92.5, 19.4]",,,,,,,,,,,2.680899,,,,,,,,,,,,,,0e77bc0d-48b9-4c0b-8902-7504d60dc83c,615,,,"[87.8, 25.4]",3788751,13,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Karim Benzema,19677.0,Center Forward,25,France,771,"['28cdc549-4795-423a-be73-b9b5c8a8a023', 'b655e5ce-b3e3-43be-8ae6-5ba1e2f7a4da']",4,,,,,,,,,,,,,,France,00:13:04.463,Carry,,87.8,25.4,,,,,
,,"[36.2, 66.7]",,,,,,,,,,,1.986919,,,,,,,,,,,,,,e55876cc-b288-4044-a7e9-546082559081,621,,,"[26.1, 71.4]",3788751,13,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Thomas Müller,5562.0,Left Attacking Midfield,25,France,771,"['4641a020-033c-411c-8622-b7e527bfb5f8', '754f5b48-da19-458e-8751-de11e09fa29e', 'f758248e-1524-4512-ab95-261f4d877041']",10,,,,,,,,,,,,,,Germany,00:13:10.301,Carry,True,26.1,71.4,,,,,
,,"[71.3, 32.4]",,,,,,,,,,,2.234382,,,,,,,,,,,,,,dbbc5538-afde-4288-beb7-243285beb2fc,628,,,"[69.4, 31.2]",3788751,13,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,N''Golo Kanté,3961.0,Center Defensive Midfield,25,France,771,"['4a8ea704-9cf1-4e2b-917d-dc25e8d7e3c2', 'ebe89b3b-28ac-4a2b-8a42-48fe55ae9e2e', 'fa3c744c-ad31-4e16-a02d-02b20ea6c6c1']",16,,,,,,,,,,,,,,France,00:13:16.353,Carry,True,69.4,31.2,,,,,
,,"[30.8, 40.2]",,,,,,,,,,,0.901175,,,,,,,,,,,,,,73cb774c-05a1-46ba-98cb-37c29747237b,633,,,"[29.3, 38.2]",3788751,13,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Antonio Rüdiger,3167.0,Left Center Back,26,Germany,770,"['202ff6b3-5ffb-4a62-9bf7-84d5ec6a32ae', 'efafbd71-ebae-4b18-8687-4e33066745a4']",19,,,,,,,,,,,,,,Germany,00:13:19.762,Carry,,29.3,38.2,,,,,
,,"[34.5, 20.3]",,,,,,,,,,,0.898649,,,,,,,,,,,,,,d39f202c-14c6-4ee2-a3e1-29d8dbf2feaf,636,,,"[34.5, 20.3]",3788751,13,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Robin Gosens,6985.0,Left Wing Back,26,Germany,770,"['34283eea-16fe-4091-b93f-bea27e8ad14f', '6fa09553-5a3f-458d-a195-3daa7103e6ca']",21,,,,,,,,,,,,,,Germany,00:13:21.999,Carry,,34.5,20.3,,,,,
,,"[8.8, 40.6]",,,,,,,,,,,1.294983,,,,,,,,,,,,,,6667bf42-24e4-4c8b-b0c9-65b80eb6df02,639,,,"[6.5, 40.0]",3788751,13,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Manuel Neuer,5570.0,Goalkeeper,26,Germany,770,"['2c791f6c-fe94-4561-871f-23f701658639', '9a2a109c-e13e-4a7a-82d1-9ab809bb8865']",25,,,,,,,,,,,,,,Germany,00:13:25.135,Carry,,6.5,40.0,,,,,
,,"[54.8, 74.8]",,,,,,,,,,,4.842167,,,,,,,,,,,,,,f8b5da50-05d5-4715-a97e-01c16261231c,642,,,"[41.1, 73.5]",3788751,13,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Joshua Kimmich,5579.0,Right Wing Back,26,Germany,770,"['6b764b6f-a8c6-4f33-8fba-65ee5809dbe2', '6ba89d75-2223-4f62-8525-25fe29d61fbd']",29,,,,,,,,,,,,,,Germany,00:13:29.388,Carry,,41.1,73.5,,,,,
,,"[38.3, 72.7]",,,,,,,,,,,1.277357,,,,,,,,,,,,,,9418cf48-ef6a-4793-b9bf-846b02bbd2d2,645,,,"[39.8, 72.0]",3788751,13,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Matthias Ginter,8808.0,Right Center Back,26,Germany,770,"['c6c618f1-713a-4050-b479-d8f2a7b8b550', 'ec62e7b8-41df-4844-b87d-7696e6a57e26']",35,,,,,,,,,,,,,,Germany,00:13:35.547,Carry,,39.8,72.0,,,,,
,,"[30.4, 77.0]",,,,,,,,,,,1.639999,,,,,,,,,,,,,,4d83883b-5e67-4133-8f50-94b7261696f5,650,,,"[30.4, 77.0]",3788751,13,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Matthias Ginter,8808.0,Right Center Back,26,Germany,770,"['14462a21-3c29-4391-afb4-87039cd99a69', '17d50c76-478b-4309-9daf-5b930d7dc0b1']",39,,,,,,,,,,,,,,Germany,00:13:39.846,Carry,,30.4,77.0,,,,,
,,"[54.2, 42.9]",,,,,,,,,,,1.437576,,,,,,,,,,,,,,b392171e-1d67-4883-8651-e1973216e00b,653,,,"[54.6, 44.2]",3788751,13,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Serge Gnabry,8400.0,Center Forward,26,Germany,770,"['1b7324e0-9fea-4b5a-b185-fb33157e34bf', '3ed0b14d-4e59-4ad2-86bc-95b76965498f']",43,,,,,,,,,,,,,,Germany,00:13:43.271,Carry,,54.6,44.2,,,,,
