50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,1.386508,,,,,,,,,,,,83d77abb-7c36-4fee-8d60-ffa586008b3f,2309,,"[19.8, 64.8]",3795108,56,,,,,-2.0883276,,Left Foot,,,,"[4.6, 38.1]",,Ground Pass,,30.723444,,,Unai Simón Mendibil,,,,,,2,From Throw In,Aymeric Laporte,4353.0,Right Center Back,99,Spain,772,['a7719d63-57a1-47b7-b60a-f4c7dc29ce8f'],23,,,,,,,,,,,,,,,Spain,00:11:23.145,Pass,,19.8,64.8,4.6,38.1,,,
,,,,,,,,,,,,,,,,,1.865567,,,,,,,,,,,,7b847c64-f73f-49ef-aea6-714c52b89250,2312,,"[7.8, 37.3]",3795108,56,,,,,0.92545867,,Left Foot,,,,"[20.9, 54.7]",,Ground Pass,,21.780037,,,Aymeric Laporte,,,,,,2,From Throw In,Unai Simón Mendibil,11748.0,Goalkeeper,99,Spain,772,['3af7011f-aa48-4a78-9524-ebb9c106d304'],27,,,,,,,,,,,,,,,Spain,00:11:27.333,Pass,,7.8,37.3,20.9,54.7,,,
,,,,,,,,,,,,,,,,,1.388942,,,,,,,,,,,,feca6b52-10a3-4ac4-be35-f9876f30325a,2315,,"[30.2, 55.5]",3795108,56,,,,,-0.38831872,,Left Foot,,,,"[54.4, 45.6]",,Ground Pass,,26.146702,,,Gerard Moreno Balaguero,,,,,,2,From Throw In,Aymeric Laporte,4353.0,Right Center Back,99,Spain,772,['e38152b5-7851-4504-9108-e665cf4cbe96'],33,,,,,,,,,,,,,,,Spain,00:11:33.570,Pass,,30.2,55.5,54.4,45.6,,,
,,,,,,,,,,,,,,,,,0.754498,,,,,,,,,,,,7bcc10b8-a127-4ef4-a239-c8c2641a1a08,2318,,"[53.9, 45.4]",3795108,56,,,,,2.7453532,,Left Foot,,,,"[44.1, 49.5]",,Ground Pass,,10.623088,,,Sergio Busquets i Burgos,,,,,,2,From Throw In,Gerard Moreno Balaguero,6766.0,Center Forward,99,Spain,772,['74481397-c06c-4573-a514-dbb0ecf498fd'],34,,,,,,,,,,,,,,,Spain,00:11:34.999,Pass,,53.9,45.4,44.1,49.5,,,
,,,,,,,,,,,,,,,,,1.233768,,,,,,,,,,,,4eb8b8fe-a019-4046-b9c9-ddcaaadc5bf1,2321,,"[44.1, 49.5]",3795108,56,,,,,-1.1309538,,Left Foot,,,,"[52.1, 32.5]",,Low Pass,,18.788294,,,Pedro González López,,,,,,2,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,99,Spain,772,['0e046be8-2129-4d77-a030-8be7cb509606'],35,,,,,,,,,,,,,,,Spain,00:11:35.793,Pass,,44.1,49.5,52.1,32.5,,,
,,,,,,,,,,,,,,,,,1.084239,,,,,,,,,,,,e22d7dde-7d8a-45cd-8644-cf1e607b0644,2325,,"[51.8, 32.9]",3795108,56,,,,,1.5707964,,Right Foot,,,,"[51.8, 37.3]",,Ground Pass,,4.4,Incomplete,,Gerard Moreno Balaguero,,,,,,2,From Throw In,Pedro González López,30486.0,Left Center Midfield,99,Spain,772,"['5e66cc1e-4bd7-4c0f-b2be-397f09851a3e', 'a8bd1e5f-5029-49e9-88f0-57ff1812c2b2', 'cac7f3fa-4f6b-4a03-8197-a4ab8a7c5b84']",37,,,,,,,,,,,,,,,Spain,00:11:37.067,Pass,True,51.8,32.9,51.8,37.3,,,
,,,,,,,,,,,,,,,,,0.804834,,,,,,,,,,,,4491b250-2690-423a-8e04-a1a852341d5a,2329,,"[71.8, 35.1]",3795108,56,,,,,-0.6017758,,Right Foot,,,,"[80.1, 29.4]",,Ground Pass,,10.068764,,,Xherdan Shaqiri,,,,,,2,Regular Play,Ruben Vargas,30401.0,Right Wing,100,Switzerland,773,['add68878-afdd-4881-822b-0b4f7c3626d2'],39,,,,,,,,,,,,,,,Switzerland,00:11:39.416,Pass,,71.8,35.1,80.1,29.4,,,
,,,,,,,,,,,,,,,,,1.869928,,,,,,,,,,,,15813917-586c-4bfa-9442-941fedfe5353,2333,,"[86.9, 25.5]",3795108,56,,,,,-0.26730505,,Left Foot,,,,"[111.0, 18.9]",,Ground Pass,,24.987396,,,Steven Zuber,,,,,,2,Regular Play,Xherdan Shaqiri,3533.0,Center Attacking Midfield,100,Switzerland,773,"['289046ed-bef6-4d46-85a9-dd7a5d0bf4f4', '409a32bd-59f0-4c67-9580-06dc47939c42']",41,,,,,,,,,,,,,,,Switzerland,00:11:41.761,Pass,True,86.9,25.5,111.0,18.9,,,
,,,,,,,,,,,,,,,,,0.172386,,,,,,,,,,,,409b9485-952d-4c5f-a3dd-09df3d6ca4ce,2336,,"[111.0, 18.9]",3795108,56,,,,,1.5707964,,Left Foot,,,,"[111.0, 20.4]",,Ground Pass,,1.5,Incomplete,,Ruben Vargas,,,,,,2,Regular Play,Steven Zuber,5548.0,Left Wing,100,Switzerland,773,"['7d518fa4-d17b-484a-8ae0-2ade5bd160e2', 'a826e1d5-4701-4e35-852e-846f6f76149d']",43,,,,,,,,,,,,,,,Switzerland,00:11:43.711,Pass,,111.0,18.9,111.0,20.4,,,
,,,,,,,,,,,,,,,,,1.393153,,,,,,,,,,,,84265ca7-fd22-4fd9-8cc2-28db32a3797d,2340,,"[5.0, 44.6]",3795108,56,,True,,,-0.7853982,,Keeper Arm,,,,"[21.1, 28.5]",,Ground Pass,,22.768839,,,Sergio Busquets i Burgos,,,,,,2,Regular Play,Unai Simón Mendibil,11748.0,Goalkeeper,101,Spain,772,['f42f5d7c-cb30-4369-8277-5c2a80524db5'],55,,,,,,,,,,,,,,,Spain,00:11:55.158,Pass,,5.0,44.6,21.1,28.5,,,
,,,,,,,,,,,,,,,,,2.012723,,,,,,,,,,,,91deb61f-edd6-4222-9b27-5df168ceb5d0,2342,,"[26.0, 35.3]",3795108,56,,,,,-1.0787262,,Right Foot,,,,"[43.1, 3.4]",,High Pass,,36.1942,,,Jordi Alba Ramos,,,,,,2,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,101,Spain,772,['6ec13f7d-77ef-45b5-bf30-f5401d723e70'],58,,,,,,,,,,,,,,,Spain,00:11:58.285,Pass,,26.0,35.3,43.1,3.4,,,
,,,,,,,,,,,,,,,,,0.950888,,,,,,,,,,,,b465cbc7-86dc-4ddb-9268-c8494152e119,2345,,"[44.6, 3.0]",3795108,57,,,,,-0.1532602,,Left Foot,,,,"[56.9, 1.1]",,Ground Pass,,12.445883,,,Daniel Olmo Carvajal,,,,,,2,Regular Play,Jordi Alba Ramos,5211.0,Left Back,101,Spain,772,['2f98316f-3733-457a-9c6e-6e919d415ed6'],2,,,,,,,,,,,,,,,Spain,00:12:02.045,Pass,,44.6,3.0,56.9,1.1,,,
