50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,,2.142431,,,,,,,,,,94265a66-00e6-428d-9bf3-706d4d9e71b1,17,,"[71.5, 15.6]",3795187,0,,,,0.36889976,,Head,,,,"[90.9, 23.1]",,High Pass,,20.799278,,,,Harry Kane,,,,,Interception,1,From Kick Off,Declan Rice,3943.0,Left Defensive Midfield,2,Ukraine,911,"['60b877ac-f1bc-4d05-9f25-3ea2581f1a53', '6d1322e6-24c3-4af7-be0b-5c0c10eb083d']",9,,,,,,,,,,,,,,England,00:00:09.893,Pass,,71.5,15.6,90.9,23.1,,,
,,,,,,,,,,,,,,,,,,2.253343,,,,,,,,,,7bedabf2-1d10-4ddf-8dbf-3017de31f4d8,22,,"[30.0, 61.8]",3795187,0,,,,2.968032,,Right Foot,,,,"[14.6, 64.5]",,Low Pass,,15.634897,,,,Oleksandr Karavaev,,,,,Recovery,1,From Kick Off,Mykola Shaparenko,21294.0,Right Center Midfield,2,Ukraine,911,"['89cf692a-0c25-442b-b80c-45798eb4c169', 'ef1ef3fa-40a7-41fa-b8bc-e8642df853b8']",13,,,,,,,,,,,,,,Ukraine,00:00:13.043,Pass,True,30.0,61.8,14.6,64.5,,,
,,,,,,,,,,,,,,,,,,1.818169,,,,,,,,,,48544a77-468d-4131-b6ae-7a9d89ba3b97,26,,"[9.3, 75.9]",3795187,0,,,,-0.040225968,,Right Foot,,,,"[41.6, 74.6]",,High Pass,,32.32615,,Incomplete,,Andriy Yarmolenko,,,,,,1,From Kick Off,Oleksandr Karavaev,31900.0,Right Wing Back,2,Ukraine,911,"['43157f98-f0a3-4c22-82f2-07bb29234127', '71ad5d47-0fff-4b44-b0ff-36984777c174', 'c67c219f-111d-424e-b868-64a41c07fa13']",17,,,,,,,,,,,,,,Ukraine,00:00:17.044,Pass,True,9.3,75.9,41.6,74.6,,,
,,,,,,,,,,,,,,,,,,1.220636,,,,,,,,,,71ad5d47-0fff-4b44-b0ff-36984777c174,28,,"[78.5, 5.5]",3795187,0,,,,-0.039583273,,Head,,,,"[88.6, 5.1]",,High Pass,,10.107918,,Incomplete,,Mason Mount,,,,,Interception,1,From Kick Off,Luke Shaw,3382.0,Left Back,2,Ukraine,911,"['48544a77-468d-4131-b6ae-7a9d89ba3b97', '4ae98ded-f0c1-4ada-92be-23dd7760124e', '5da2dc5b-a70f-4169-b618-5ec2c928cad5']",18,,,,,,,,,,,,,,England,00:00:18.862,Pass,,78.5,5.5,88.6,5.1,,,
,,,,,,,,,,,,,,,,,,5.272546,,,,,,,,,,5da2dc5b-a70f-4169-b618-5ec2c928cad5,30,,"[31.5, 75.0]",3795187,0,,,,-1.2812198,,Right Foot,,,,"[47.5, 21.3]",,High Pass,,56.032936,,Incomplete,,Oleksandr Zinchenko,,True,,,Interception,1,From Kick Off,Mykola Shaparenko,21294.0,Right Center Midfield,2,Ukraine,911,"['71ad5d47-0fff-4b44-b0ff-36984777c174', 'be97ba7d-4358-40c4-a8b2-fbbf0d486e2a', 'fa741d41-8ce8-44a0-97ab-c92e0c12c3b8']",20,,,,,,,,,,,,,,Ukraine,00:00:20.083,Pass,,31.5,75.0,47.5,21.3,,,
,,,,,,,,,,,,,,,,,,0.849171,,,,,,,,,,fa741d41-8ce8-44a0-97ab-c92e0c12c3b8,32,,"[72.6, 58.8]",3795187,0,,,,1.2490457,,Right Foot,,,,"[76.6, 70.8]",,Ground Pass,,12.649111,,,,Jadon Sancho,,,,,Recovery,1,Regular Play,Kyle Walker,3205.0,Right Back,3,England,768,"['5da2dc5b-a70f-4169-b618-5ec2c928cad5', '7dd9797d-93ca-4adb-b0c8-d3d731170c6d']",25,,,,,,,,,,,,,,England,00:00:25.355,Pass,,72.6,58.8,76.6,70.8,,,
,,,,,,,,,,,,,,,,,,1.845695,,,,,,,,,,bb8067a0-0c4e-4515-a383-1299d77d09de,36,,"[65.3, 70.5]",3795187,0,,,,-2.6997333,,Left Foot,,,,"[48.6, 62.6]",,Ground Pass,,18.474306,,,,John Stones,,,,,,1,Regular Play,Jadon Sancho,12423.0,Right Wing,3,England,768,['b5152b6a-0b48-479a-82e1-967cdfa3d002'],28,,,,,,,,,,,,,,England,00:00:28.560,Pass,,65.3,70.5,48.6,62.6,,,
,,,,,,,,,,,,,,,,,,2.183082,,,,,,,,,,fe0fc334-526c-4b4b-ba59-0c0de66bb3bf,39,,"[49.5, 61.1]",3795187,0,,,,-1.6315119,,Right Foot,,,,"[47.5, 28.2]",,Ground Pass,,32.960735,,,,Harry Maguire,,,,,,1,Regular Play,John Stones,3244.0,Right Center Back,3,England,768,['ebd30b7d-ef4b-42ec-8b8e-d2d52178f053'],32,,,,,,,,,,,,,,England,00:00:32.651,Pass,,49.5,61.1,47.5,28.2,,,
,,,,,,,,,,,,,,,,,,1.376523,,,,,,,,,,5d352ca6-ae8f-45bc-baf8-2382330c8c9e,42,,"[52.4, 20.5]",3795187,0,,,,-0.47269714,,Right Foot,,,,"[70.0, 11.5]",,Ground Pass,,19.76765,,,,Raheem Sterling,,,,,,1,Regular Play,Harry Maguire,3336.0,Left Center Back,3,England,768,['abfde8cd-b0ad-4101-aee6-d25eb8eb697c'],35,,,,,,,,,,,,,,England,00:00:35.905,Pass,,52.4,20.5,70.0,11.5,,,
,,,,,,,,,,,,,,,,,,0.996585,,,,,,,,,,3259f4c2-02ab-4f6a-b0f6-e8d0463b86da,45,,"[77.5, 9.2]",3795187,0,,,,-0.84028804,,Right Foot,,,,"[81.8, 4.4]",,Ground Pass,,6.4443774,,,,Luke Shaw,,,,,,1,Regular Play,Raheem Sterling,3233.0,Left Wing,3,England,768,['12049953-9ca1-42d9-859d-96d5caf5bd89'],39,,,,,,,,,,,,,,England,00:00:39.523,Pass,,77.5,9.2,81.8,4.4,,,
