50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,1.99964,,,,,,,,,,,,,60034587-15ac-4edd-bf3d-19a059043557,17,,"[94.5, 20.9]",3788753,0,,,,,-0.31597027,,Left Foot,,,"[115.3, 14.1]",,Ground Pass,21.883327,,,,,Daler Kuzyaev,,,,,,,1,From Kick Off,Artem Dzyuba,5195.0,Center Forward,2,Russia,796,['1c51d311-8113-4908-ac26-c5c7c6de4766'],10,,,,,,,,,,,,,,Russia,00:00:10.361,Pass,,94.5,20.9,115.3,14.1,,,
,,,,,,,,,,,,,,,,0.848868,,,,,,,,,,,,,0457a0fa-f3f2-423f-a5ab-54d663fabb42,23,,"[4.1, 59.4]",3788753,0,,,,,1.6539376,,Right Foot,,,"[3.5, 66.6]",,Ground Pass,7.2249565,,,,,Jukka Raitala,,,,,,Recovery,1,Regular Play,Paulus Arajuuri,24455.0,Center Back,3,Finland,1835,['3fa0546b-2424-4c0b-ba71-a14522dec67e'],14,,,,,,,,,,,,,,Finland,00:00:14.780,Pass,,4.1,59.4,3.5,66.6,,,
,,,,,,,,,,,,,,,,1.153924,,,,,,,,,,,,,cafb12ec-ba77-47ef-8064-7101149e85d6,31,,"[8.9, 73.5]",3788753,0,,,,,-0.7352472,,Right Foot,,,"[22.5, 61.2]",,Ground Pass,18.33712,,,,,Rasmus Schüller,,,,,,,1,Regular Play,Jukka Raitala,15416.0,Right Wing Back,3,Finland,1835,['26ab4984-f313-4e34-8ddc-69c949d5f7cc'],17,,,,,,,,,,,,,,Finland,00:00:17.362,Pass,,8.9,73.5,22.5,61.2,,,
,,,,,,,,,,,,,,,,0.785956,,,,,,,,,,,,,33415486-be97-4d12-b75d-86f8bcf70eb8,34,,"[22.5, 62.3]",3788753,0,,,,,0.4384813,,Right Foot,,,"[40.2, 70.6]",,High Pass,19.549425,,,Incomplete,,,,,,,,,1,Regular Play,Rasmus Schüller,12807.0,Center Defensive Midfield,3,Finland,1835,['b0c71eea-5bc9-433a-b763-4e60ea57a75f'],19,,,,,,,,,,,,,,Finland,00:00:19.173,Pass,,22.5,62.3,40.2,70.6,,,
,,,,,,,,,,,,,,,,1.032123,,,,,,,,,,,,,b0c71eea-5bc9-433a-b763-4e60ea57a75f,35,,"[79.9, 9.5]",3788753,0,,,,,0.71379083,,Head,,,"[92.6, 20.5]",,High Pass,16.801489,,,Incomplete,,Magomed Ozdoev,,,,,,Interception,1,Regular Play,Roman Zobnin,5171.0,Left Defensive Midfield,3,Finland,1835,"['33415486-be97-4d12-b75d-86f8bcf70eb8', '6237f8bb-69ea-48ca-aeed-ee4bda568392', '995f638a-b278-4a3c-b887-43f7d3c8fdf1']",19,,,,,,,,,,,,,,Russia,00:00:19.959,Pass,,79.9,9.5,92.6,20.5,,,
,,,,,,,,,,,,,,,,1.74035,,,,,,,,,,,,,6237f8bb-69ea-48ca-aeed-ee4bda568392,37,,"[27.5, 59.6]",3788753,0,,,,,0.15017654,,Left Foot,,,"[42.7, 61.9]",,Low Pass,15.373029,,,Incomplete,,,,,,,,Recovery,1,Regular Play,Rasmus Schüller,12807.0,Center Defensive Midfield,3,Finland,1835,"['3c8b224a-c732-4a60-8b1c-b268317bd1d2', 'b0c71eea-5bc9-433a-b763-4e60ea57a75f']",20,,,,,,,,,,,,,,Finland,00:00:20.992,Pass,,27.5,59.6,42.7,61.9,,,
,,,,,,,,,,,,,,,,1.85978,,,,,,,,,,,,,d0578bfa-dad2-4d1b-9ebb-b11938f7cc43,40,,"[76.2, 20.1]",3788753,0,,,,,1.8760195,,Left Foot,,,"[67.0, 49.3]",,Ground Pass,30.615028,,,,,Dmitriy Barinov,,,,,,,1,Regular Play,Roman Zobnin,5171.0,Left Defensive Midfield,4,Russia,796,['612ec9ea-6b3a-4ff3-9eb0-f6185d5f3de6'],23,,,,,,,,,,,,,,Russia,00:00:23.454,Pass,,76.2,20.1,67.0,49.3,,,
,,,,,,,,,,,,,,,,0.999181,,,,,,,,,,,,,1f1b74e8-fe0c-49ab-8beb-765766ed484b,43,,"[76.0, 55.3]",3788753,0,,,,,-0.24977478,,Right Foot,,,"[95.6, 50.3]",,Ground Pass,20.227703,,,Incomplete,,Artem Dzyuba,,,,,,,1,Regular Play,Dmitriy Barinov,18735.0,Right Center Back,4,Russia,796,"['4f75b221-fbc3-471c-8760-bf8be24d455d', 'f30f8f1b-33f9-46b0-8595-22410ca46df3']",26,,,,,,,,,,,,,,Russia,00:00:26.714,Pass,,76.0,55.3,95.6,50.3,,,
,,,,,,,,,,,,,,,,1.961564,,,,,,,,,,,,,884d26d0-16e5-4913-adce-b1a6dfa65174,55,,"[101.4, 72.4]",3788753,0,,,,,-0.7390737,,Right Foot,,,"[117.2, 58.0]",,Ground Pass,21.377558,,,,,Magomed Ozdoev,,,,,,,1,Regular Play,Mário Figueira Fernandes,5170.0,Right Wing Back,4,Russia,796,['a2cdbd22-4e53-4022-8f9f-e543bc7825ec'],33,,,,,,,,,,,,,,Russia,00:00:33.482,Pass,,101.4,72.4,117.2,58.0,,,
,,,,,,,,,,,,,,,,0.206874,,,,,,,,,,,,,cf08946c-8dad-4834-b153-e4f9395d6749,58,,"[116.8, 57.4]",3788753,0,,,,,-1.5707964,,Right Foot,,,"[116.8, 56.4]",,Ground Pass,1.0,,,Incomplete,,,,,,,,,1,Regular Play,Magomed Ozdoev,20845.0,Right Defensive Midfield,4,Russia,796,['cb31be8a-d470-4f74-b0b9-64ba3deff2b4'],35,,,,,,,,,,,,,,Russia,00:00:35.444,Pass,,116.8,57.4,116.8,56.4,,,
,,,,,,,,,,,,,,,,1.260858,,,,,,,,,,,,,97582d97-dedc-48ed-9962-fbcb80a53ad8,60,,"[120.0, 80.0]",3788753,1,,,,,-1.7282563,,Right Foot,,,"[114.3, 44.1]",,High Pass,36.34969,,,Incomplete,True,,,,,Outswinging,,Corner,1,From Corner,Aleksandr Golovin,5177.0,Left Attacking Midfield,5,Russia,796,['c7fd7c58-4e0c-4cd6-a5c5-94b9bcf675ba'],3,,,,,,,,,,,,,,Russia,00:01:03.016,Pass,,120.0,80.0,114.3,44.1,,,
,,,,,,,,,,,,,,,,2.322141,,,,,,,,,,,,,b75245e2-0b4c-412c-8764-f69ed028f11d,65,,"[77.4, 54.3]",3788753,1,,,,,-2.648,,Right Foot,,,"[60.3, 45.1]",,Ground Pass,19.417776,,,,,Daler Kuzyaev,,,,,,,1,From Corner,Aleksey Miranchuk,6299.0,Right Attacking Midfield,5,Russia,796,"['0dec5404-66a6-4f8e-91b2-cfce654b6a4d', 'fa5406f1-ab74-4d9d-81c1-b15e5b6b10a5']",9,,,,,,,,,,,,,,Russia,00:01:09.736,Pass,True,77.4,54.3,60.3,45.1,,,
,,,,,,,,,,,,,,,,1.250277,,,,,,,,,,,,,f84368c7-747b-4373-96e6-6275511fb653,68,,"[60.3, 45.1]",3788753,1,,,,,1.6610482,,Right Foot,,,"[58.3, 67.2]",,Ground Pass,22.190313,,,,,Dmitriy Barinov,,,,,,,1,From Corner,Daler Kuzyaev,5179.0,Left Wing Back,5,Russia,796,['be8dd3fa-12f0-4826-8a31-0a619561cef3'],12,,,,,,,,,,,,,,Russia,00:01:12.168,Pass,,60.3,45.1,58.3,67.2,,,
,,,,,,,,,,,,,,,,2.657079,,,,,,,,,,,,,e1b3502a-b526-4b17-b4b9-c437e341a7a8,71,,"[50.4, 67.0]",3788753,1,,,,,-1.609013,,Left Foot,,,"[49.1, 33.0]",,Ground Pass,34.024845,,,,,Daler Kuzyaev,,,,,,,1,From Corner,Dmitriy Barinov,18735.0,Right Center Back,5,Russia,796,['9e91308d-38f6-4b56-974d-2e32b27ef405'],14,,,,,,,,,,,,,,Russia,00:01:14.914,Pass,,50.4,67.0,49.1,33.0,,,
,,,,,,,,,,,,,,,,0.880938,,,,,,,,,,,,,e6f4976f-d3c4-45f3-a507-caed95ce7987,74,,"[53.5, 28.7]",3788753,1,,,,,-1.4267999,,Right Foot,,,"[56.4, 8.7]",,Ground Pass,20.209156,,,,,Georgiy Dzhikiya,,,,,,,1,From Corner,Daler Kuzyaev,5179.0,Left Wing Back,5,Russia,796,['b9a7c2f1-67c0-4a44-bf2f-940c18cc7f5d'],19,,,,,,,,,,,,,,Russia,00:01:19.807,Pass,,53.5,28.7,56.4,8.7,,,
,,,,,,,,,,,,,,,,1.913657,,,,,,,,,,,,,8bd00598-d43d-449d-bc30-2d5cdb0f0b7a,77,,"[56.4, 9.9]",3788753,1,,,,,2.1869433,,Left Foot,,,"[43.3, 28.4]",,Ground Pass,22.66848,,,,,Igor Diveev,,,,,,,1,From Corner,Georgiy Dzhikiya,16583.0,Left Center Back,5,Russia,796,['96b29a5f-f393-46de-906c-bbf6f03fdb1e'],21,,,,,,,,,,,,,,Russia,00:01:21.956,Pass,,56.4,9.9,43.3,28.4,,,
,,,,,,,,,,,,,,,,1.625523,,,,,,,,,,,,,f1fe68f0-a301-45bc-b625-07f7b00b29d8,80,,"[43.3, 30.3]",3788753,1,,,,,1.3624227,,Right Foot,,,"[51.8, 70.5]",,Ground Pass,41.088806,,,,,Dmitriy Barinov,,,True,,,,1,From Corner,Igor Diveev,31917.0,Center Back,5,Russia,796,['330d481f-6ac5-40cb-9612-bfe6d8d3e76a'],24,,,,,,,,,,,,,,Russia,00:01:24.683,Pass,,43.3,30.3,51.8,70.5,,,
,,,,,,,,,,,,,,,,1.769386,,,,,,,,,,,,,f2c9224e-c30e-41f4-91c4-9192f39c3a4d,83,,"[62.6, 72.2]",3788753,1,,,,,-2.392448,,Right Foot,,,"[42.6, 53.6]",,Ground Pass,27.31227,,,,,Igor Diveev,,,,,,,1,From Corner,Dmitriy Barinov,18735.0,Right Center Back,5,Russia,796,['67b4d9db-d440-44ae-9162-0b0dca3bbe39'],29,,,,,,,,,,,,,,Russia,00:01:29.379,Pass,,62.6,72.2,42.6,53.6,,,
,,,,,,,,,,,,,,,,2.063471,,,,,,,,,,,,,0fdde9f8-0a70-4912-bd97-3a4fca7a10e5,86,,"[45.4, 49.3]",3788753,1,,,,,-1.2825574,,Right Foot,,,"[56.4, 12.2]",,Ground Pass,38.69638,,,,,Georgiy Dzhikiya,,,,,,,1,From Corner,Igor Diveev,31917.0,Center Back,5,Russia,796,['b4bfac3d-6f91-4e40-bf10-9d92ebb9222a'],32,,,,,,,,,,,,,,Russia,00:01:32.481,Pass,,45.4,49.3,56.4,12.2,,,
,,,,,,,,,,,,,,,,1.230575,,,,,,,,,,,,,a0c5224f-a6cf-4e84-9eae-7bfc80b03d8e,89,,"[56.4, 12.2]",3788753,1,,,,,-0.5913639,,Right Foot,,,"[70.1, 3.0]",,Ground Pass,16.502424,,,,,Aleksandr Golovin,,,,,,,1,From Corner,Georgiy Dzhikiya,16583.0,Left Center Back,5,Russia,796,['3687fd2f-e307-48d1-89a7-0c5380e92558'],35,,,,,,,,,,,,,,Russia,00:01:35.349,Pass,,56.4,12.2,70.1,3.0,,,
,,,,,,,,,,,,,,,,1.397841,,,,,,,,,,,,,331de241-7a7a-4d9f-82c8-6776600b3cf8,92,,"[70.6, 5.8]",3788753,1,,,,,2.3154008,,Left Foot,,,"[51.8, 26.2]",,Ground Pass,27.741665,,,,,Igor Diveev,,,,,,,1,From Corner,Aleksandr Golovin,5177.0,Left Attacking Midfield,5,Russia,796,['aa098938-a189-4a82-ae46-eba558999a46'],39,,,,,,,,,,,,,,Russia,00:01:39.748,Pass,,70.6,5.8,51.8,26.2,,,
,,,,,,,,,,,,,,,,3.563363,,,,,,,,,,,,,3aba1c74-b246-46e5-9803-609e45e3e56d,95,,"[62.4, 34.7]",3788753,1,,,,,0.15082814,,Right Foot,,,"[107.8, 41.6]",,Ground Pass,45.921345,,,Incomplete,,Artem Dzyuba,,,,,,,1,From Corner,Igor Diveev,31917.0,Center Back,5,Russia,796,"['39990809-6486-471a-bd4d-9aa26b33fc42', 'b1a7b6c9-55e1-4bbe-97e8-0191bc01b4bb']",44,,,,,,,,,,,,,,Russia,00:01:44.044,Pass,,62.4,34.7,107.8,41.6,,,
,,,,,,,,,,,,,,,,1.69556,,,,,,,,,,,,,0761d72e-1377-4280-9967-61588559c148,98,,"[10.8, 37.1]",3788753,1,,True,,,-0.946918,,Right Foot,,,"[23.9, 18.9]",,Ground Pass,22.424316,,,,,"Daniel O""Shaughnessy",,,,,,,1,From Corner,Lukáš Hrádecký,8667.0,Goalkeeper,5,Russia,796,['679115e2-f138-407e-a760-0f5ce49cc443'],50,,,,,,,,,,,,,,Finland,00:01:50.518,Pass,,10.8,37.1,23.9,18.9,,,
,,,,,,,,,,,,,,,,6.529718,,,,,,,,,,,,,ba3e6d88-9bc8-4014-a286-21dfe610e663,100,,"[27.5, 15.4]",3788753,1,,,,,-0.16854873,,Left Foot,,,"[113.3, 0.8]",,High Pass,87.033325,,,Out,,Joel Pohjanpalo,,,,,,,1,From Corner,"Daniel O""Shaughnessy",38196.0,Left Center Back,5,Russia,796,['b366f6a0-b7cb-4d90-84ae-4669b3be9ca2'],53,,,,,,,,,,,,,,Finland,00:01:53.204,Pass,,27.5,15.4,113.3,0.8,,,
,,,,,,,,,,,,,,,,1.506288,,,,,,,,,,,,,731ee2aa-d360-477c-a193-5a6efff52757,102,,"[8.9, 80.0]",3788753,2,,,,,-0.30937153,,,,,"[30.8, 73.0]",,High Pass,22.99152,,,Incomplete,,Artem Dzyuba,,,,,,Throw-in,1,From Throw In,Mário Figueira Fernandes,5170.0,Right Wing Back,6,Russia,796,"['77530adf-b419-4bcd-ac6c-403e8cd4aa37', 'be4fe0c8-657b-44e5-aaeb-6f40aa244c23']",22,,,,,,,,,,,,,,Russia,00:02:22.168,Pass,,8.9,80.0,30.8,73.0,,,
,,,,,,,,,,,,,,,,2.64224,,,,,,,,,,,,,be4fe0c8-657b-44e5-aaeb-6f40aa244c23,104,,"[89.3, 7.1]",3788753,2,,,,True,1.000992,,,True,,"[104.1, 30.2]",,High Pass,27.434467,,,Incomplete,,Teemu Pukki,,,,,,Recovery,1,From Throw In,"Daniel O""Shaughnessy",38196.0,Left Center Back,6,Russia,796,"['54a38c57-d4ff-4793-805e-a53020c027c3', '731ee2aa-d360-477c-a193-5a6efff52757', 'b17a59bb-1432-411d-9ed8-8be00ebbea5f', 'e166663b-3bb9-453a-972d-0bc5804c55ed']",23,,,,,,,,,,,,,,Finland,00:02:23.674,Pass,True,89.3,7.1,104.1,30.2,,,
,,,,,,,,,,,,,,,,3.650728,,,,,,,,,,,,,076d57fe-07aa-4b39-ae72-ad9c1cbceffb,108,,"[77.4, 14.4]",3788753,2,,,,,-0.18378478,,Head,,,"[119.9, 6.5]",,High Pass,43.228,,,Out,,,,,,,,Recovery,1,From Throw In,Paulus Arajuuri,24455.0,Center Back,6,Russia,796,,28,,,,,,,,,,,,,,Finland,00:02:28.591,Pass,,77.4,14.4,119.9,6.5,,,
,,,,,,,,,,,,,,,,1.246894,,,,,,,,,,,,,23583f4e-2be9-48c2-9f89-0c6b2c4c668e,109,,"[6.0, 44.0]",3788753,2,,,,,0.24497867,,Right Foot,,,"[20.4, 47.6]",,Ground Pass,14.843181,,,,,Roman Zobnin,,,,,,Goal Kick,1,From Goal Kick,Matvey Safonov,21298.0,Goalkeeper,7,Russia,796,['a2942b4d-97b9-4842-8689-19a3a22f30c6'],41,,,,,,,,,,,,,,Russia,00:02:41.132,Pass,,6.0,44.0,20.4,47.6,,,
,,,,,,,,,,,,,,,,1.316426,,,,,,,,,,,,,da0eeec3-9960-4c69-a7f2-ebbcfb89075e,112,,"[16.6, 44.1]",3788753,2,,,,,2.6689632,,Right Foot,,,"[3.3, 50.9]",,Ground Pass,14.937536,,,,,Igor Diveev,,,,,,,1,From Goal Kick,Roman Zobnin,5171.0,Left Defensive Midfield,7,Russia,796,['8e911118-7768-46ba-9868-e61ea5599bf1'],43,,,,,,,,,,,,,,Russia,00:02:43.247,Pass,,16.6,44.1,3.3,50.9,,,
,,,,,,,,,,,,,,,,2.10745,,,,,,,,,,,,,39293551-d700-4efa-8507-1db2de724b5e,116,,"[14.1, 34.5]",3788753,2,,,,,-1.0187871,,Left Foot,,,"[33.5, 3.0]",,Ground Pass,36.994728,,,Incomplete,,Daler Kuzyaev,,,,,,,1,From Goal Kick,Igor Diveev,31917.0,Center Back,7,Russia,796,"['4985e030-3ec4-4d68-97e2-b8781660e3b4', 'e41c70f8-8248-411c-b9d7-5efb216d1845']",48,,,,,,,,,,,,,,Russia,00:02:48.960,Pass,,14.1,34.5,33.5,3.0,,,
,,,,,,,,,,,,,,,,1.271364,,,,,,,,,,,,,f565edd6-3efc-4030-adbf-ede0e9fb4780,121,,"[104.3, 72.9]",3788753,2,,,,,-1.3574277,,Right Foot,True,,"[110.8, 42.9]",,High Pass,30.69609,,,Pass Offside,,Joel Pohjanpalo,,,,,,,1,From Goal Kick,Jukka Raitala,15416.0,Right Wing Back,7,Russia,796,['721a5c01-d352-4c1c-a3c8-5ce0d1188dc2'],53,,,,,,,,,,,,,,Finland,00:02:53.237,Pass,,104.3,72.9,110.8,42.9,,,
,,,,,,,,,,,,,,,,2.179122,,,,,,,,,,,,,7a82af3a-d44e-4359-8b14-94e15af6fa09,123,,"[9.3, 37.2]",3788753,4,,True,,,-0.45755014,,Right Foot,,,"[42.2, 21.0]",,Ground Pass,36.672195,,,,,Georgiy Dzhikiya,,,,,,Free Kick,1,From Free Kick,Matvey Safonov,21298.0,Goalkeeper,8,Russia,796,['646c114e-0d12-4ad1-938c-ee020c56dc38'],10,,,,,,,,,,,,,,Russia,00:04:10.940,Pass,,9.3,37.2,42.2,21.0,,,
