bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,"[111.0, 68.4]",,,,,,,,,,,,6.249183,,,,,,,,,,,,42a8f092-e402-4c7d-a95b-6fe921713707,1569,,"[90.3, 77.0]",3788770,36,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Denzel Dumfries,8125.0,Right Wing Back,64,Netherlands,941,"['1bd50dbe-b082-424d-a9b3-17731c0bc9ca', '6b13dab5-5dfb-4d76-ba22-ff250b9772f7', 'fd1e7910-793b-4731-9431-c330439d71d5']",11,,,,,,,,,,,,,,Netherlands,00:36:11.369,Carry,True,90.3,77.0,,,,,
,,,,,,"[109.2, 12.0]",,,,,,,,,,,,3.475536,,,,,,,,,,,,a59fff75-a2e6-4f5a-81cf-2d701336d5cb,1575,,"[92.5, 8.3]",3788770,36,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Ryan Gravenberch,23230.0,Left Defensive Midfield,65,Netherlands,941,"['05114198-ad9a-44e5-bbaa-ae4168adc2dc', '5f64ec54-ffa2-49ef-9f4a-2153fd9e7112', '9eed3f2e-7273-4e0c-8605-abf545a2164f']",50,,,,,,,,,,,,,,Netherlands,00:36:50.554,Carry,True,92.5,8.3,,,,,
,,,,,,"[110.3, 22.6]",,,,,,,,,,,,1.683974,,,,,,,,,,,,1a5bea10-c9a6-4fdb-8a22-b6bd7be41ac4,1580,,"[109.2, 11.7]",3788770,36,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Ryan Gravenberch,23230.0,Left Defensive Midfield,65,Netherlands,941,"['287cd9d2-c419-4ed9-9caa-0dd5fb5cb85c', '2d55e2e1-5c40-40a1-9c3f-2940b3bf6578', '5a549c47-d344-46e5-b409-94fc10d55d56']",54,,,,,,,,,,,,,,Netherlands,00:36:54.877,Carry,True,109.2,11.7,,,,,
,,,,,,"[31.7, 76.5]",,,,,,,,,,,,0.08,,,,,,,,,,,,1236828d-bca0-4c13-91ba-36558bc2f9a0,1591,,"[31.7, 76.5]",3788770,37,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Stefan Ristovski,10592.0,Right Back,67,North Macedonia,2358,"['776a6c7c-63a7-4a67-9b1d-33487808a220', 'e6b09194-3597-44d0-8423-8f2dd0414314']",49,,,,,,,,,,,,,,North Macedonia,00:37:49.940,Carry,,31.7,76.5,,,,,
,,,,,,"[48.2, 75.5]",,,,,,,,,,,,2.090475,,,,,,,,,,,,b2d6106b-309c-4ff0-b6c5-b6f34a899e04,1595,,"[55.6, 70.8]",3788770,37,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Goran Pandev,7146.0,Center Forward,67,North Macedonia,2358,"['25f51199-c7bb-4a09-aeb6-ab8908fb60c0', '2e499ddc-707b-4437-9ee0-902d5d39c0c3', '8afe06bd-dd63-41d4-aa2f-89ad8138818f']",51,,,,,,,,,,,,,,North Macedonia,00:37:51.283,Carry,True,55.6,70.8,,,,,
,,,,,,"[99.9, 68.4]",,,,,,,,,,,,3.838575,,,,,,,,,,,,8a1e41fc-9958-4919-a5f3-923fb8abf542,1598,,"[64.1, 70.8]",3788770,37,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Stefan Ristovski,10592.0,Right Back,67,North Macedonia,2358,"['581b19aa-63c3-47e3-af25-d9f1d135dcb6', '6ea3d1b0-1ad2-4b0e-bc65-971ea2b93cc1']",55,,,,,,,,,,,,,,North Macedonia,00:37:55.446,Carry,,64.1,70.8,,,,,
,,,,,,"[110.2, 5.6]",,,,,,,,,,,,1.010651,,,,,,,,,,,,3e2df502-9041-452f-94e8-2b45575186ae,1604,,"[111.2, 3.0]",3788770,38,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Aleksandar Trajkovski,30512.0,Left Wing,68,North Macedonia,2358,"['3c1ed70b-22f5-4a98-bcc9-ea5b222405d7', 'a4c0eae7-397f-410b-aa31-8143fc90e85f']",37,,,,,,,,,,,,,,North Macedonia,00:38:37.750,Carry,,111.2,3.0,,,,,
,,,,,,"[95.3, 27.6]",,,,,,,,,,,,2.287009,,,,,,,,,,,,b4277a5c-d5dc-4e9a-b1b9-dc87d25109f4,1607,,"[102.2, 10.0]",3788770,38,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Enis Bardhi,6782.0,Left Defensive Midfield,68,North Macedonia,2358,"['6e6a699b-a6e4-48df-bff8-d0eda476c4f0', 'e29d5282-deb2-44ac-8dac-25cb74cc5adb']",40,,,,,,,,,,,,,,North Macedonia,00:38:40.068,Carry,,102.2,10.0,,,,,
,,,,,,"[116.3, 4.0]",,,,,,,,,,,,1.883462,,,,,,,,,,,,db32c764-279d-4ec8-8d0c-357659ea593d,1618,,"[109.1, 1.6]",3788770,38,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Aleksandar Trajkovski,30512.0,Left Wing,68,North Macedonia,2358,"['3bc3d649-a0cd-42eb-a7f3-ae31bde56a35', 'fd635bc9-c04d-4d85-9de0-4af3c4604d48']",51,,,,,,,,,,,,,,North Macedonia,00:38:51.358,Carry,,109.1,1.6,,,,,
,,,,,,"[112.5, 12.6]",,,,,,,,,,,,0.421386,,,,,,,,,,,,2c56cd5b-3123-4564-b02d-4ad7a1e80ee2,1622,,"[114.3, 12.6]",3788770,38,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Arijan Ademi,18879.0,Right Defensive Midfield,68,North Macedonia,2358,"['24630120-72cc-40ea-b76e-d76637ee58b4', '2aa43faa-9ddb-483a-8ca7-815118e8e295', '63af1111-85fc-4907-9790-989dd011c9d9', 'ef64c053-e605-49f4-a3e6-8aea7f5a618b']",54,,,,,,,,,,,,,,North Macedonia,00:38:54.073,Carry,True,114.3,12.6,,,,,
,,,,,,"[112.9, 22.9]",,,,,,,,,,,,1.672433,,,,,,,,,,,,3773f5b2-ad4d-409e-8e7d-14b2bdbced5f,1625,,"[112.5, 12.6]",3788770,38,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Arijan Ademi,18879.0,Right Defensive Midfield,68,North Macedonia,2358,"['24630120-72cc-40ea-b76e-d76637ee58b4', '2aa43faa-9ddb-483a-8ca7-815118e8e295', '608390e3-505d-491d-8133-a2a90aaa606d']",54,,,,,,,,,,,,,,North Macedonia,00:38:54.494,Carry,True,112.5,12.6,,,,,
