ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,0.847767,,,,,,,,,,,505f5fd7-5b11-455e-b738-155923419002,20,,"[117.5, 67.1]",3788743,0,,,,,-1.8451782,,Right Foot,,True,"[113.7, 53.6]",,Low Pass,,14.024621,,Incomplete,,Daler Kuzyaev,,,,,,1,From Throw In,Roman Zobnin,5171.0,Right Wing,3,Russia,796,"['d9dbb729-2f06-45e5-a8c0-71b8468a18a1', 'fa5a0c3b-8a70-49df-bad8-032a232603f6']",26,,,,,,,,,,,,,,Russia,00:00:26.703,Pass,,117.5,67.1,113.7,53.6,,,
,,,,,,,,,,,,,,,3.306664,,,,,,,,,,,cc41c120-42fc-4e23-aec9-f52017f2d93b,25,,"[11.5, 28.9]",3788743,0,,,,,0.16847566,,Right Foot,,,"[45.6, 34.7]",,High Pass,,34.589737,,Incomplete,,,,,,,,1,From Throw In,Leander Dendoncker,6331.0,Right Defensive Midfield,3,Russia,796,['d9eb07af-f981-43f8-a361-7569a0ad6ff8'],28,,,,,,,,,,,,,,Belgium,00:00:28.818,Pass,,11.5,28.9,45.6,34.7,,,
,,,,,,,,,,,,,,,3.832243,,,,,,,,,,,d9eb07af-f981-43f8-a361-7569a0ad6ff8,27,,"[74.5, 45.4]",3788743,0,,,,True,-1.8345762,,,,,"[67.1, 18.0]",,High Pass,,28.381683,,Unknown,,Yuri Zhirkov,,,,,Recovery,1,From Throw In,Dmitriy Barinov,18735.0,Right Defensive Midfield,3,Russia,796,"['235b0055-f7ac-4b67-b4bc-bd0b665a018c', '8e1278b5-7c84-4eb2-b9f4-bdd0b441c19e', 'cc41c120-42fc-4e23-aec9-f52017f2d93b']",32,,,,,,,,,,,,,,Russia,00:00:32.124,Pass,True,74.5,45.4,67.1,18.0,,,
,,,,,,,,,,,,,,,3.752974,,,,,,,,,,,5ed20694-c846-4971-b6fc-b2e3a037800a,35,,"[61.5, 23.0]",3788743,1,,,,,0.25974455,,Left Foot,,,"[112.3, 36.5]",,High Pass,,52.5632,,Injury Clearance,,,,,,,,1,Other,Georgiy Dzhikiya,16583.0,Left Center Back,5,Russia,796,,28,,,,,,,,,,,,,,Russia,00:01:28.965,Pass,,61.5,23.0,112.3,36.5,,,
,,,,,,,,,,,,,,,1.359147,,,,,,,,,,,21e4c503-5263-4da0-9a2b-9e73f1d4098b,37,,"[8.5, 37.3]",3788743,1,,True,,,-0.8713924,,Keeper Arm,,,"[19.1, 24.7]",,Low Pass,,16.465721,,,,Jan Vertonghen,,,,,,1,Regular Play,Thibaut Courtois,3509.0,Goalkeeper,6,Belgium,782,['619d59a5-dedf-45f3-acdd-fcb63c2920e6'],33,,,,,,,,,,,,,,Belgium,00:01:33.686,Pass,,8.5,37.3,19.1,24.7,,,
,,,,,,,,,,,,,,,1.811256,,,,,,,,,,,5eecb509-3cde-43e8-b3ce-04398b0f53e6,39,,"[19.8, 13.3]",3788743,1,,,,,-0.5580543,,Left Foot,,,"[36.3, 3.0]",,Ground Pass,,19.450964,,,,Thorgan Hazard,,,,,,1,Regular Play,Jan Vertonghen,3077.0,Left Center Back,6,Belgium,782,['637bdfa4-82c5-42f0-8b8f-0c2ad0506de1'],36,,,,,,,,,,,,,,Belgium,00:01:36.233,Pass,,19.8,13.3,36.3,3.0,,,
,,,,,,,,,,,,,,,1.234842,,,,,,,,,,,188a9816-b4b3-45ba-b7a1-c8e29385f25f,42,,"[49.1, 4.0]",3788743,1,,,,,2.799297,,Right Foot,,,"[40.4, 7.1]",,Ground Pass,,9.2358,,,,Jan Vertonghen,,,,,,1,Regular Play,Thorgan Hazard,5632.0,Left Wing Back,6,Belgium,782,['c5b86675-15e6-46f7-8a15-a94805ea3f99'],42,,,,,,,,,,,,,,Belgium,00:01:42.109,Pass,,49.1,4.0,40.4,7.1,,,
,,,,,,,,,,,,,,,1.069937,,,,,,,,,,,cc9c6d43-dc88-4d15-94ac-f647a3ec72ff,45,,"[40.4, 7.1]",3788743,1,,,,,1.9304434,,Left Foot,,,"[35.7, 19.6]",,Ground Pass,,13.3544,,,,Anga Dedryck Boyata,,,,,,1,Regular Play,Jan Vertonghen,3077.0,Left Center Back,6,Belgium,782,['3c42b781-3664-44a4-b2e3-5368de6fb863'],44,,,,,,,,,,,,,,Belgium,00:01:44.111,Pass,,40.4,7.1,35.7,19.6,,,
,,,,,,,,,,,,,,,1.668181,,,,,,,,,,,005e7882-1914-4aeb-8688-ced726abb899,48,,"[35.7, 23.3]",3788743,1,,,,,1.4104922,,Right Foot,,,"[42.2, 63.5]",,Ground Pass,,40.722107,,,,Toby Alderweireld,,True,,,,1,Regular Play,Anga Dedryck Boyata,5639.0,Center Back,6,Belgium,782,['a1473a5e-ee21-441e-ba4f-401383735732'],46,,,,,,,,,,,,,,Belgium,00:01:46.291,Pass,,35.7,23.3,42.2,63.5,,,
,,,,,,,,,,,,,,,1.080987,,,,,,,,,,,fc77f4be-3924-4426-94a0-5d80363a6609,51,,"[44.9, 61.2]",3788743,1,,,,,-1.8385453,,Right Foot,,,"[41.8, 49.9]",,Ground Pass,,11.717508,,,,Anga Dedryck Boyata,,,,,,1,Regular Play,Toby Alderweireld,20005.0,Right Center Back,6,Belgium,782,['a5de43cb-ba9b-4137-9d14-bcfc50849f00'],49,,,,,,,,,,,,,,Belgium,00:01:49.097,Pass,,44.9,61.2,41.8,49.9,,,
,,,,,,,,,,,,,,,1.341441,,,,,,,,,,,1456b7cf-c372-4460-b7e4-a3360de2a7db,54,,"[41.8, 46.8]",3788743,1,,,,,-1.3858591,,Right Foot,,,"[47.3, 17.4]",,Ground Pass,,29.910032,,,,Jan Vertonghen,,,,,,1,Regular Play,Anga Dedryck Boyata,5639.0,Center Back,6,Belgium,782,['c448ca46-51a3-407e-bb3c-048d772191ff'],51,,,,,,,,,,,,,,Belgium,00:01:51.253,Pass,,41.8,46.8,47.3,17.4,,,
,,,,,,,,,,,,,,,0.736512,,,,,,,,,,,dc04b5cc-a054-414f-aba6-7e8170124d5d,57,,"[56.1, 11.7]",3788743,1,,,,,0.99503803,,Left Foot,,,"[63.5, 23.1]",,Ground Pass,,13.591173,,,,Youri Tielemans,,,,,,1,Regular Play,Jan Vertonghen,3077.0,Left Center Back,6,Belgium,782,['20592b91-6110-4fb3-817b-f6e5f60d4c5d'],54,,,,,,,,,,,,,,Belgium,00:01:54.552,Pass,,56.1,11.7,63.5,23.1,,,
,,,,,,,,,,,,,,,1.422774,,,,,,,,,,,0b2a8cbe-0af0-4029-8c0d-d0b5622ba486,61,,"[62.0, 21.6]",3788743,1,,,,,-1.1392738,,Right Foot,,,"[71.9, 0.1]",,Ground Pass,,23.669811,,Out,,Yannick Ferreira Carrasco,,,,,,1,Regular Play,Youri Tielemans,2954.0,Left Defensive Midfield,6,Belgium,782,"['2ed96268-1cd8-4195-a05c-2c2fb3494234', '9b865c05-775a-46f2-8024-c6598cf6c850']",55,,,,,,,,,,,,,,Belgium,00:01:55.764,Pass,True,62.0,21.6,71.9,0.1,,,
,,,,,,,,,,,,,,,2.481751,,,,,,,,,,,af1a992f-a234-4f39-a8f9-70e79859ab36,63,,"[46.3, 80.0]",3788743,2,,,,,-2.69736,,,,,"[25.5, 70.1]",,Low Pass,,23.035841,,,,Andrey Semenov,,,,,Throw-in,1,From Throw In,Mário Figueira Fernandes,5170.0,Right Back,7,Russia,796,['61af4761-1749-406d-adbf-ddb173811a20'],4,,,,,,,,,,,,,,Russia,00:02:04.919,Pass,,46.3,80.0,25.5,70.1,,,
,,,,,,,,,,,,,,,2.104048,,,,,,,,,,,2fd07bf9-904e-46e5-a2c7-6db93340ad8f,66,,"[21.6, 69.0]",3788743,2,,,,,-2.2562249,,Right Foot,,,"[6.8, 50.9]",,Ground Pass,,23.380547,,,,Anton Shunin,,,,,,1,From Throw In,Andrey Semenov,34588.0,Right Center Back,7,Russia,796,['b31a1985-978d-47fb-8640-1024e9944235'],7,,,,,,,,,,,,,,Russia,00:02:07.480,Pass,,21.6,69.0,6.8,50.9,,,
,,,,,,,,,,,,,,,3.390102,,,,,,,,,,,83893f01-053d-4b06-a861-c4ee12b56eac,69,,"[8.0, 43.3]",3788743,2,,,,,0.29212147,,Left Foot,,,"[63.2, 59.9]",,High Pass,,57.642,,Incomplete,,Artem Dzyuba,,,,,,1,From Throw In,Anton Shunin,38119.0,Goalkeeper,7,Russia,796,"['77c70912-7d3f-4e55-a32e-34dd6ce99222', 'dce22a5b-4a8b-4beb-87a3-3c43f52a8bec']",12,,,,,,,,,,,,,,Russia,00:02:12.410,Pass,,8.0,43.3,63.2,59.9,,,
