ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,1.046484,,,,,,,,,,,,1d72ce76-31fd-43e0-a6b2-1f78c8a57a77,19,,"[9.1, 38.9]",3788741,0,,,,,0.7039461,,Right Foot,,,"[19.7, 47.9]",,Ground Pass,,13.905395,,,,Leonardo Bonucci,,,,,,1,From Throw In,Gianluigi Donnarumma,7036.0,Goalkeeper,3,Italy,914,['91afc30a-c82d-4766-a849-89c3a409c786'],20,,,,,,,,,,,,,,Italy,00:00:20.025,Pass,,9.1,38.9,19.7,47.9,,,
,,,,,,,,,,,,,,,,1.877995,,,,,,,,,,,,5ddc5023-88c9-4971-b694-b51cc9f33b18,22,,"[28.8, 49.9]",3788741,0,,,,,-1.458489,,Right Foot,,,"[31.8, 23.3]",,Ground Pass,,26.768639,,,,Giorgio Chiellini,,,,,,1,From Throw In,Leonardo Bonucci,7173.0,Right Center Back,3,Italy,914,['085d1eb7-409d-4fb1-8780-4cad0b4ab159'],24,,,,,,,,,,,,,,Italy,00:00:24.290,Pass,,28.8,49.9,31.8,23.3,,,
,,,,,,,,,,,,,,,,1.431239,,,,,,,,,,,,f1760b14-9c4f-4c0e-91f3-53b71b0f9ce2,25,,"[37.9, 20.2]",3788741,0,,,,,1.740855,,Left Foot,,,"[34.5, 40.0]",,Ground Pass,,20.089798,,,,Leonardo Bonucci,,,,,,1,From Throw In,Giorgio Chiellini,6954.0,Left Center Back,3,Italy,914,['b7d6a3f5-6728-4ad6-9ed3-be38a6b96524'],27,,,,,,,,,,,,,,Italy,00:00:27.721,Pass,,37.9,20.2,34.5,40.0,,,
,,,,,,,,,,,,,,,,1.918561,,,,,,,,,,,,6ef03094-6049-4a4a-b373-b61b93c3aa3f,28,,"[34.7, 40.3]",3788741,0,,,,,-1.176602,,Right Foot,,,"[44.6, 16.5]",,Ground Pass,,25.776928,,,,Giorgio Chiellini,,,,,,1,From Throw In,Leonardo Bonucci,7173.0,Right Center Back,3,Italy,914,['cb863226-c1a6-4d4e-ad73-517786f3789c'],31,,,,,,,,,,,,,,Italy,00:00:31.807,Pass,,34.7,40.3,44.6,16.5,,,
,,,,,,,,,,,,,,,,2.826038,,,,,,,,,,,,fe460a80-f49d-4e22-9745-9b4dc448cd83,31,,"[47.9, 10.5]",3788741,0,,,,,0.08840098,,Left Foot,,,"[99.8, 15.1]",,High Pass,,52.103455,,Incomplete,,Lorenzo Insigne,,,,,,1,From Throw In,Giorgio Chiellini,6954.0,Left Center Back,3,Italy,914,"['441bd112-a75f-42cc-a37d-34b61e6ce123', '619e952b-97f1-4c8b-bd6f-bab3b4aceb5a']",35,,,,,,,,,,,,,,Italy,00:00:35.277,Pass,,47.9,10.5,99.8,15.1,,,
,,,,,,,,,,,,,,,,0.972318,,,,,,,,,,,,2372488f-3c9a-486a-b3a1-250c1cebf151,35,,"[91.1, 0.1]",3788741,0,,True,,,0.8978253,,,,,"[96.6, 7.0]",,Low Pass,,8.823832,,,,Manuel Locatelli,,,,,Throw-in,1,From Throw In,Leonardo Spinazzola,8286.0,Left Back,4,Italy,914,['eb3dd878-64c2-4e64-b1f2-c393db75e572'],42,,,,,,,,,,,,,,Italy,00:00:42.353,Pass,,91.1,0.1,96.6,7.0,,,
,,,,,,,,,,,,,,,,0.881053,,,,,,,,,,,,1f851389-5c37-42e2-ac88-0b3013e13465,39,,"[83.0, 0.1]",3788741,0,,True,,,1.2293439,,,,,"[87.3, 12.2]",,Low Pass,,12.841339,,,,Ciro Immobile,,,,,Throw-in,1,From Throw In,Leonardo Spinazzola,8286.0,Left Back,5,Italy,914,['3c2a5950-f7ed-438a-bbdf-a76bdbbdddff'],57,,,,,,,,,,,,,,Italy,00:00:57.749,Pass,,83.0,0.1,87.3,12.2,,,
,,,,,,,,,,,,,,,,0.247062,,,,,,,,,,,,8dd7ea69-0ab3-40b3-90b3-636b97fdabd8,41,,"[87.8, 12.2]",3788741,0,,,,,0.10379234,,Right Foot,,,"[92.6, 12.7]",,Low Pass,,4.8259716,,,,Lorenzo Insigne,,,,,,1,From Throw In,Ciro Immobile,7788.0,Center Forward,5,Italy,914,['315af37a-6ba0-4a0e-af16-a6f1897e2d86'],58,,,,,,,,,,,,,,Italy,00:00:58.630,Pass,,87.8,12.2,92.6,12.7,,,
,,,,,,,,,,,,,,,,0.688775,,,,,,,,,,,,c26388b6-2c71-4d08-87e8-6cfd835dbf7d,49,,"[29.9, 67.6]",3788741,1,,,,,3.0871012,,Right Foot,,,"[24.4, 67.9]",,Ground Pass,,5.508176,,,,Mehmet Zeki Çelik,,,,,,1,Regular Play,Okay Yokuşlu,12555.0,Center Defensive Midfield,6,Turkey,909,['355010b7-3ec9-4e70-9783-1277f507c146'],0,,,,,,,,,,,,,,Turkey,00:01:00.458,Pass,,29.9,67.6,24.4,67.9,,,
,,,,,,,,,,,,,,,,0.465674,,,,,,,,,,,,589f3d54-f75b-42bf-a2fb-cb826c683b92,53,,"[23.7, 69.1]",3788741,1,,,,,-1.3954021,,Right Foot,,,"[25.1, 61.2]",,Ground Pass,,8.023091,,,,Merih Demiral,,,,,,1,Regular Play,Mehmet Zeki Çelik,10349.0,Right Back,6,Turkey,909,"['7db740cf-5727-458e-9333-90077c57a761', 'a95198ad-2fe3-41e9-87ae-c5ec44ab8c6b']",1,,,,,,,,,,,,,,Turkey,00:01:01.473,Pass,True,23.7,69.1,25.1,61.2,,,
