ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,44e91561-c761-4f19-a90a-b4fc6c469853,2249,,"[66.5, 77.5]",3788758,58,,True,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Goran Pandev,7146.0,Center Forward,124,North Macedonia,2358,['ccd9cea3-fcd0-4d71-bd37-2be7c3156d73'],14,,,,,,,,,,,,,,,,North Macedonia,00:13:14.500,Miscontrol,True,66.5,77.5,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,4a1bacd8-9e60-4970-b413-02ef9a64046d,2283,,"[23.7, 66.0]",3788758,59,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Enis Bardhi,6782.0,Left Defensive Midfield,126,Ukraine,911,,47,,,,,,,,,,,,,,,,North Macedonia,00:14:47.212,Miscontrol,,23.7,66.0,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,fa4840be-7e7f-4954-93bb-6f635b10bf61,2516,,"[83.1, 38.8]",3788758,64,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Goran Pandev,7146.0,Center Forward,131,North Macedonia,2358,,4,,,,,,,,,,,,,,,,North Macedonia,00:19:04.994,Miscontrol,,83.1,38.8,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,caee0c84-e0e4-487d-a5b4-3f288617cf81,2540,,"[112.3, 51.5]",3788758,64,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Andriy Yarmolenko,8830.0,Right Wing,132,Ukraine,911,['92330d7d-8ffc-4a1b-afaa-332687b92b38'],36,,,,,,,,,,,,,,,,Ukraine,00:19:36.474,Miscontrol,True,112.3,51.5,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,a869dd0c-c501-40cb-8a81-9009a2b5e791,2572,,"[75.8, 48.2]",3788758,65,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Goran Pandev,7146.0,Center Forward,134,North Macedonia,2358,,40,,,,,,,,,,,,,,,,North Macedonia,00:20:40.908,Miscontrol,,75.8,48.2,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,301e873c-8527-4f7e-a7ac-d50f225eaedb,2593,,"[103.1, 15.7]",3788758,66,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ezgjan Alioski,4713.0,Left Back,136,North Macedonia,2358,['d881157c-3980-48bb-9925-4928172d1e51'],1,,,,,,,,,,,,,,,,North Macedonia,00:21:01.030,Miscontrol,True,103.1,15.7,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,ba57edd5-c4d3-4b9a-b4c2-6de4cebe619c,2599,,"[102.5, 18.9]",3788758,66,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Aleksandar Trajkovski,30512.0,Left Wing,136,North Macedonia,2358,,4,,,,,,,,,,,,,,,,North Macedonia,00:21:04.574,Miscontrol,,102.5,18.9,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,aac4d902-3504-4df6-a9f3-c8eae5a5da72,2605,,"[92.6, 10.7]",3788758,66,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Arijan Ademi,18879.0,Right Defensive Midfield,137,North Macedonia,2358,,20,,,,,,,,,,,,,,,,North Macedonia,00:21:20.292,Miscontrol,,92.6,10.7,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,474355c2-9ceb-40c2-bea3-0973e402ce08,2882,,"[78.0, 42.5]",3788758,75,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Viktor Tsygankov,16509.0,Right Wing,152,Ukraine,911,['284d7546-dac3-42df-929f-d1d2830d5d15'],16,,,,,,,,,,,,,,,,Ukraine,00:30:16.234,Miscontrol,True,78.0,42.5,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,5c8880fb-a270-426b-a0d4-d9417731492c,3018,,"[86.5, 4.9]",3788758,84,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Artem Besedin,18881.0,Center Forward,162,Ukraine,911,,24,,,,,,,,,,,,,,,,Ukraine,00:39:24.405,Miscontrol,,86.5,4.9,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2bd90848-460e-4933-8d86-3da3407a3965,3243,,"[101.6, 43.6]",3788758,89,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Goran Pandev,7146.0,Center Forward,173,North Macedonia,2358,['324c68cc-9029-45cc-8dc4-85dd681ced4a'],56,,,,,,,,,,,,,,,,North Macedonia,00:44:56.073,Miscontrol,True,101.6,43.6,,,,,
