50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,,,3.101355,,,,,,,,,,,,,,5a75eb26-6de1-4dc6-b922-c08ec80c73a5,15,,,"[56.9, 10.0]",3795109,0,,,,,-0.28415978,,Head,,,,"[88.4, 0.8]",,High Pass,,32.816,Out,,Kasper Dolberg,,,,,,Interception,1,From Kick Off,Jannik Vestergaard,8815.0,Left Center Back,2,Denmark,776,"['47e14a27-2a55-48dd-bf9b-4ad9fadca79a', '58cdd3e6-9931-4418-abe1-3e6b932b8df5']",11,,,,,,,,,,,,,,,,Denmark,00:00:11.559,Pass,,56.9,10.0,88.4,0.8,,,
,,,,,,,,,,,,,,,,,,,0.824232,,,,,,,,,,,,,,c05892d0-1578-4594-9da0-9c18efe221dc,17,,,"[34.5, 80.0]",3795109,0,,,,,-0.986051,,,,,,"[39.2, 72.9]",,Low Pass,,8.514693,,,Antonín Barák,,,,,,Throw-in,1,From Throw In,Vladimír Coufal,16570.0,Right Back,3,Czech Republic,912,['958ed221-43ba-4e92-8739-f0416f679ebc'],32,,,,,,,,,,,,,,,,Czech Republic,00:00:32.513,Pass,,34.5,80.0,39.2,72.9,,,
,,,,,,,,,,,,,,,,,,,0.578578,,,,,,,,,,,,,,97219577-d649-413e-b424-199bcc88804a,21,,,"[36.9, 73.3]",3795109,0,,,,,2.9242992,,Left Foot,,,,"[29.2, 75.0]",,Ground Pass,,7.8854294,,,Vladimír Coufal,,,,,,,1,From Throw In,Antonín Barák,7801.0,Center Attacking Midfield,3,Czech Republic,912,"['992d7fed-837c-466a-9255-fde6df7b2b26', 'e436c99c-b0ef-4e17-8b9e-83cac395f79e']",34,,,,,,,,,,,,,,,,Czech Republic,00:00:34.043,Pass,True,36.9,73.3,29.2,75.0,,,
,,,,,,,,,,,,,,,,,,,5.164499,,,,,,,,,,,,,,131c2df1-8a07-4b93-8649-dd65680927cc,24,,,"[29.2, 75.0]",3795109,0,,,,,-0.3267422,,Right Foot,,,,"[101.2, 50.6]",,High Pass,,76.0221,Incomplete,,Patrik Schick,,,,,,,1,From Throw In,Vladimír Coufal,16570.0,Right Back,3,Czech Republic,912,"['45e444cc-3979-4aff-a4c2-5fa5181a8eb9', '63fce548-149d-49f9-b64a-c1ffe808ce95']",34,,,,,,,,,,,,,,,,Czech Republic,00:00:34.662,Pass,,29.2,75.0,101.2,50.6,,,
,,,,,,,,,,,,,,,,,,,1.621626,,,,,,,,,,,,,,63fce548-149d-49f9-b64a-c1ffe808ce95,26,,,"[18.9, 29.5]",3795109,0,,,,,-0.30859342,,Right Foot,,,,"[41.8, 22.2]",,High Pass,,24.03539,,,Thomas Delaney,,,,,,Recovery,1,Regular Play,Kasper Schmeichel,3815.0,Goalkeeper,4,Denmark,776,"['131c2df1-8a07-4b93-8649-dd65680927cc', '824a6840-ee11-4786-a44d-60434e6da75a']",39,,,,,,,,,,,,,,,,Denmark,00:00:39.826,Pass,,18.9,29.5,41.8,22.2,,,
,,,,,,,,,,,,,,,,,,,1.746671,,,,,,,,,,,,,,9279b6eb-6ad5-4cc2-9a12-fe926b63885b,28,,,"[41.5, 22.2]",3795109,0,,,,True,-0.20820595,,,,,,"[48.6, 20.7]",,High Pass,,7.256721,Incomplete,,Joakim Mæhle,,,,,,,1,Regular Play,Thomas Delaney,5527.0,Left Defensive Midfield,4,Denmark,776,"['066309c4-931d-46e7-ac75-15a62c3db071', 'eb23e2e3-8306-4751-908b-213f52a11b34', 'ee8d5713-1938-426e-ac2f-73f1d4f5b1b7']",41,,,,,,,,,,,,,,,,Denmark,00:00:41.448,Pass,True,41.5,22.2,48.6,20.7,,,
,,,,,,,,,,,,,,,,,,,1.336529,,,,,,,,,,,,,,ee8d5713-1938-426e-ac2f-73f1d4f5b1b7,31,,,"[71.5, 59.4]",3795109,0,,,,,-0.11710875,,Other,,,,"[73.2, 59.2]",,Low Pass,,1.7117243,Incomplete,,,,,,,,Recovery,1,Regular Play,Tomáš Souček,4870.0,Left Center Midfield,4,Denmark,776,"['5f346021-db3c-4384-903e-973e6c9f36d7', '9279b6eb-6ad5-4cc2-9a12-fe926b63885b']",43,,,,,,,,,,,,,,,,Czech Republic,00:00:43.195,Pass,,71.5,59.4,73.2,59.2,,,
,,,,,,,,,,,,,,,,,,,1.878726,,,,,,,,,,,,,,952bba0a-75b9-4fe6-b88b-f32a5406c6b3,34,,,"[40.0, 37.0]",3795109,0,,,,,1.6922297,,Right Foot,,,,"[36.4, 66.5]",,Ground Pass,,29.71885,,,Jens Stryger Larsen,,,,,,,1,Regular Play,Pierre-Emile Højbjerg,3570.0,Right Defensive Midfield,4,Denmark,776,['523f81cc-954e-44fe-b15c-931e3f1935ba'],45,,,,,,,,,,,,,,,,Denmark,00:00:45.746,Pass,,40.0,37.0,36.4,66.5,,,
,,,,,,,,,,,,,,,,,,,1.252534,,,,,,,,,,,,,,95ce9e2a-aea3-4b57-90f6-b14ae327be90,40,,,"[36.8, 56.0]",3795109,1,,,,,-2.0922308,,Right Foot,,,,"[28.7, 41.9]",,Ground Pass,,16.260996,,,Simon Thorup Kjær,,,,,,Recovery,1,Other,Andreas Christensen,3959.0,Right Center Back,6,Denmark,776,['83d08145-6662-4341-bb10-749e1728685f'],42,,,,,,,,,,,,,,,,Denmark,00:01:42.218,Pass,,36.8,56.0,28.7,41.9,,,
,,,,,,,,,,,,,,,,,,,1.12545,,,,,,,,,,,,,,9aca30cd-c0fd-42d7-bccd-e1fc8f47d6df,43,,,"[31.1, 40.4]",3795109,1,,,,,0.22545837,,Right Foot,,,,"[42.0, 42.9]",,Ground Pass,,11.1830225,,,Pierre-Emile Højbjerg,,,,,,,1,Other,Simon Thorup Kjær,5534.0,Center Back,6,Denmark,776,['ad60afe4-77f2-4ff8-93cc-bb4482b7d309'],47,,,,,,,,,,,,,,,,Denmark,00:01:47.010,Pass,,31.1,40.4,42.0,42.9,,,
,,,,,,,,,,,,,,,,,,,0.939265,,,,,,,,,,,,,,ec18baa5-ef21-42d9-883b-bd2809b62a17,47,,,"[42.0, 42.9]",3795109,1,,,,,2.039693,,Right Foot,,,,"[34.3, 58.1]",,Ground Pass,,17.039072,,,Andreas Christensen,,,,,,,1,Other,Pierre-Emile Højbjerg,3570.0,Right Defensive Midfield,6,Denmark,776,['7e63fced-72b0-43ca-bd2b-69c0c38327a3'],48,,,,,,,,,,,,,,,,Denmark,00:01:48.175,Pass,,42.0,42.9,34.3,58.1,,,
,,,,,,,,,,,,,,,,,,,2.103624,,,,,,,,,,,,,,f0144297-433a-477c-8657-13da3f2aa529,50,,,"[41.3, 60.7]",3795109,1,,,,,-1.9431145,,Right Foot,,,,"[34.7, 43.8]",,Ground Pass,,18.143044,,,Simon Thorup Kjær,,,,,,,1,Other,Andreas Christensen,3959.0,Right Center Back,6,Denmark,776,['f6a2e7f9-5232-43cf-b896-c00caa02411e'],55,,,,,,,,,,,,,,,,Denmark,00:01:55.648,Pass,,41.3,60.7,34.7,43.8,,,
,,,,,,,,,,,,,,,,,,,1.242928,,,,,,,,,,,,,,1a8c6501-ad71-4000-9fc7-a7b42aa39104,53,,,"[40.9, 39.1]",3795109,2,,,,,-0.4723054,,Left Foot,,,,"[50.1, 34.4]",,Ground Pass,,10.331021,,,Thomas Delaney,,,,,,,1,Other,Simon Thorup Kjær,5534.0,Center Back,6,Denmark,776,['32726c1c-fb0b-449c-b665-943947bfcae6'],1,,,,,,,,,,,,,,,,Denmark,00:02:01.190,Pass,,40.9,39.1,50.1,34.4,,,
,,,,,,,,,,,,,,,,,,,1.292293,,,,,,,,,,,,,,d9d48c97-cb09-463d-a5d2-ff5cd0395a39,56,,,"[51.4, 33.5]",3795109,2,,,,,2.3157182,,Left Foot,,,,"[36.0, 50.2]",,Ground Pass,,22.716734,,,Andreas Christensen,,,,,,,1,Other,Thomas Delaney,5527.0,Left Defensive Midfield,6,Denmark,776,"['a714b858-61d1-4a07-be0b-31d7556e43e3', 'dd3e99f9-4ac0-4e0a-8cdc-f5a5cac6f2b3']",2,,,,,,,,,,,,,,,,Denmark,00:02:02.433,Pass,True,51.4,33.5,36.0,50.2,,,
