50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,,,1.422571,,,,,,,,,,,,,,4e27b769-951c-4f8b-8e4e-c08a3d4bc70a,2235,,,"[5.3, 5.2]",3788752,53,,,,-0.24127954,,Left Foot,,,"[24.4, 0.5]",,Low Pass,19.669773,,,Out,,Ádám Szalai,,,,,,2,Regular Play,Attila Fiola,11268.0,Left Wing Back,126,Hungary,916,['d60fcc04-f2e9-4cd4-be76-a5433289aa94'],27,,,,,,,,,,,,,,,Hungary,00:08:27.992,Pass,,5.3,5.2,24.4,0.5,,,
,,,,,,,,,,,,,,,,,,,0.826094,,,,,,,,,,,,,,f1dbc728-9c5f-4d75-8183-69ca72ac910c,2237,,,"[100.9, 80.0]",3788752,53,,,,-1.2490457,,,,,"[103.3, 72.8]",,Low Pass,7.5894666,,,,,Bernardo Mota Veiga de Carvalho e Silva,,,,,Throw-in,2,From Throw In,Nélson Cabral Semedo,6374.0,Right Back,127,Portugal,780,['c74ad6eb-3bfe-4e97-b696-90670b23c183'],35,,,,,,,,,,,,,,,Portugal,00:08:35.520,Pass,,100.9,80.0,103.3,72.8,,,
,,,,,,,,,,,,,,,,,,,0.505843,,,,,,,,,,,,,,d1f6c582-f02d-4488-b7e1-75cab8204f2e,2239,,,"[102.2, 72.7]",3788752,53,,,,2.406153,,Left Foot,,,"[100.1, 74.6]",,Ground Pass,2.8319604,,,Incomplete,,Nélson Cabral Semedo,,,,,,2,From Throw In,Bernardo Mota Veiga de Carvalho e Silva,3193.0,Right Wing,127,Portugal,780,"['22f226c1-52b2-41c6-a933-2c2a0dd3fd30', 'dcfa9b53-8d0c-4389-8851-8a369dd0c08f']",36,,,,,,,,,,,,,,,Portugal,00:08:36.346,Pass,,102.2,72.7,100.1,74.6,,,
,,,,,,,,,,,,,,,,,,,1.17689,,,,,,,,,,,,,,37f6c498-2db5-40fd-9a51-e89d44d6c0c6,2244,,,"[22.0, 6.0]",3788752,53,,,,0.35877067,,Right Foot,,,"[34.0, 10.5]",,Ground Pass,12.816006,,,,,Ádám Szalai,,,,,,2,From Throw In,András Schäfer,42822.0,Left Center Midfield,127,Portugal,780,"['4e3ce635-7c91-4c0b-b303-5f28058cd1b7', 'd7d17506-d915-4b8f-bbac-113542140e77']",37,,,,,,,,,,,,,,,Hungary,00:08:37.613,Pass,True,22.0,6.0,34.0,10.5,,,
,,,,,,,,,,,,,,,,,,,0.551745,,,,,,,,,,,,,,118ac21c-87f2-402b-99fb-c4f17ef75bb1,2251,,,"[82.3, 74.6]",3788752,53,,,,0.5585993,,Right Foot,,,"[84.7, 76.1]",,Low Pass,2.8301942,,,,,Bernardo Mota Veiga de Carvalho e Silva,,,,,,2,From Throw In,William Silva de Carvalho,5214.0,Left Center Midfield,127,Portugal,780,['935406dc-ee08-42db-b393-f11b823ea374'],40,,,,,,,,,,,,,,,Portugal,00:08:40.461,Pass,,82.3,74.6,84.7,76.1,,,
,,,,,,,,,,,,,,,,,,,1.323597,,,,,,,,,,,,,,f605420d-f9ce-45aa-8653-93929b34a9bf,2255,,,"[84.4, 75.9]",3788752,53,,,,-1.805519,,Right Foot,,,"[83.3, 71.3]",,Ground Pass,4.7296934,,,Incomplete,,,,,,,,2,From Throw In,Bernardo Mota Veiga de Carvalho e Silva,3193.0,Right Wing,127,Portugal,780,['794dfbf7-f959-46cd-a7e3-25dee562aa12'],41,,,,,,,,,,,,,,,Portugal,00:08:41.868,Pass,,84.4,75.9,83.3,71.3,,,
,,,,,,,,,,,,,True,,,,,,0.601422,,,,,,,,,,,,,,794dfbf7-f959-46cd-a7e3-25dee562aa12,2258,,,"[36.8, 8.8]",3788752,53,,,,-2.8049178,,Right Foot,,,"[28.8, 6.0]",,Ground Pass,8.475848,,,,,Attila Fiola,,,,,Interception,2,Regular Play,András Schäfer,42822.0,Left Center Midfield,128,Hungary,916,"['a49d7496-80de-4072-9ace-fff53735b36f', 'c8b79cd2-7f8e-4cd4-9115-c02054cb2237', 'e2cc1669-5bf8-44fd-83d4-52ce18e0386c', 'f605420d-f9ce-45aa-8653-93929b34a9bf']",43,,,,,,,,,,,,,,,Hungary,00:08:43.191,Pass,True,36.8,8.8,28.8,6.0,,,
,,,,,,,,,,,,,,,,,,,0.808139,,,,,,,,,,,,,,2758b873-005d-4434-b8b3-66fd8cfea1d8,2262,,,"[29.3, 6.0]",3788752,53,,,,1.6332152,,Right Foot,,,"[28.9, 12.4]",,Ground Pass,6.412488,,,,,Ádám Nagy,,,,,,2,Regular Play,Attila Fiola,11268.0,Left Wing Back,128,Hungary,916,"['14bfa3e0-d384-487e-a496-b1384a3567c3', '799cd961-e91e-4c3e-a99d-94e5fffbe714']",43,,,,,,,,,,,,,,,Hungary,00:08:43.825,Pass,True,29.3,6.0,28.9,12.4,,,
,,,,,,,,,,,,,,,,,,,0.90223,,,,,,,,,,,,,,74bfa0e3-e65f-42e8-8dac-285642891dde,2265,,,"[27.1, 13.1]",3788752,53,,,,2.0005586,,Right Foot,,,"[21.6, 25.1]",,Ground Pass,13.200378,,,,,Attila Szalai,,,,,,2,Regular Play,Ádám Nagy,7162.0,Center Defensive Midfield,128,Hungary,916,['4a24c920-08d2-47e5-a05a-d54a72870bf2'],45,,,,,,,,,,,,,,,Hungary,00:08:45.665,Pass,,27.1,13.1,21.6,25.1,,,
,,,,,,,,,,,,,,,,,,,1.612382,,,,,,,,,,,,,,ac29843f-931c-4a4f-8818-7c313b85a62d,2268,,,"[26.9, 26.5]",3788752,53,,,,1.0334462,,Left Foot,,,"[41.2, 50.5]",,Ground Pass,27.937252,,,,,László Kleinheisler,,,,,,2,Regular Play,Attila Szalai,46376.0,Left Center Back,128,Hungary,916,['4ed9988d-57b8-4747-ae17-34da333ed7f4'],47,,,,,,,,,,,,,,,Hungary,00:08:47.487,Pass,,26.9,26.5,41.2,50.5,,,
,,,,,,,,,,,,,,,,,,,4.007709,,,,,,,,,,,,,,f7a4bda9-0a31-496b-9e7c-db1f85d49db2,2275,,,"[48.8, 68.2]",3788752,53,,,,-0.38800964,,Right Foot,,,"[99.2, 47.6]",,High Pass,54.447407,,,Incomplete,,,,,,,,2,Regular Play,László Kleinheisler,16502.0,Right Center Midfield,128,Hungary,916,['ee67dc93-0101-4c6a-8005-9cbf55205065'],53,,,,,,,,,,,,,,,Hungary,00:08:53.096,Pass,,48.8,68.2,99.2,47.6,,,
,,,,,,,,,,,,,,,,,,,1.784252,,,,,,,,,,,,,,a067b2bb-56ad-4bc9-a77e-bb2a74e1af26,2277,,,"[22.5, 31.0]",3788752,54,True,,,-1.3249623,,Left Foot,,,"[29.4, 3.5]",,Ground Pass,28.352425,,,,,Raphaël Adelino José Guerreiro,,,,,,2,Regular Play,Kléper Laveran Lima Ferreira,20016.0,Right Center Back,129,Portugal,780,['4d7dde05-fc88-4e77-943a-ef2bcadbfd18'],0,,,,,,,,,,,,,,,Portugal,00:09:00.173,Pass,,22.5,31.0,29.4,3.5,,,
,,,,,,,,,,,,,,,,,,,1.138751,,,,,,,,,,,,,,76c33219-b5c9-479a-a740-fd1fc4f64960,2279,,,"[29.4, 3.5]",3788752,54,,,,1.5088601,,Left Foot,,,"[30.2, 16.4]",,Ground Pass,12.924783,,,,,Danilo Luís Hélio Pereira,,,,,,2,Regular Play,Raphaël Adelino José Guerreiro,5209.0,Left Back,129,Portugal,780,['f718c8f8-e8a3-472a-8b2f-1672c338092c'],2,,,,,,,,,,,,,,,Portugal,00:09:02.082,Pass,,29.4,3.5,30.2,16.4,,,
,,,,,,,,,,,,,,,,,,,1.796427,,,,,,,,,,,,,,2643b56a-4e26-476e-8b1f-f5c1af6c4936,2281,,,"[30.2, 16.4]",3788752,54,,,,-2.309109,,Right Foot,,,"[21.1, 6.4]",,Ground Pass,13.520725,,,,,Kléper Laveran Lima Ferreira,,,,,,2,Regular Play,Danilo Luís Hélio Pereira,13621.0,Right Center Midfield,129,Portugal,780,['6370f900-eeac-4556-b492-63b4bb6f962d'],3,,,,,,,,,,,,,,,Portugal,00:09:03.221,Pass,,30.2,16.4,21.1,6.4,,,
,,,,,,,,,,,,,,,,,,,1.857469,,,,,,,,,,,,,,557eaf4b-4f82-40ce-aca6-959f147d67e8,2287,,,"[27.0, 10.3]",3788752,54,True,,,-0.31114087,,Right Foot,,,"[49.7, 3.0]",,Ground Pass,23.844915,,,,,Raphaël Adelino José Guerreiro,,,,,Recovery,2,Regular Play,Rúben Santos Gato Alves Dias,5206.0,Left Center Back,132,Portugal,780,['f0e61b19-e38f-49f1-9295-ad8508f1b63e'],49,,,,,,,,,,,,,,,Portugal,00:09:49.434,Pass,,27.0,10.3,49.7,3.0,,,
