50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,"[54.2, 64.5]",,,,,,,,,,,,1.191504,,,,,,,,,,,,,98005880-4be8-44ee-be41-42d466f9bf9d,3401,,,"[54.2, 64.5]",3788771,87,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Andrew Robertson,3655.0,Left Back,168,Scotland,942,"['dcb4bc52-d3c3-4e65-805a-7475715f8cd6', 'dd677552-651f-45f0-96ac-271deb6cbc3a']",36,,,,,,,,,,,,,,,Scotland,00:42:36.221,Carry,,54.2,64.5,,,,,
,,,,"[49.6, 73.5]",,,,,,,,,,,,0.898456,,,,,,,,,,,,,678c3aac-3c99-4f74-af55-bf5e25dfc730,3404,,,"[50.0, 73.7]",3788771,87,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Nathan Patterson,37338.0,Right Back,168,Scotland,942,"['4324e5f4-c81a-4ff5-8172-7aac31320804', '4c325c38-bef7-469d-8764-213586702be8']",38,,,,,,,,,,,,,,,Scotland,00:42:38.323,Carry,,50.0,73.7,,,,,
,,,,"[56.6, 55.7]",,,,,,,,,,,,3.702099,,,,,,,,,,,,,bff1580f-7599-4d06-8009-f206b308972b,3407,,,"[47.9, 68.4]",3788771,87,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Andrew Robertson,3655.0,Left Back,168,Scotland,942,"['06655de8-f9f7-4e56-9a7c-2909afab83ff', '226d6536-73cc-4d60-a272-a174b53b5615', 'b0957e50-c4df-41a4-832e-1d34eb921675']",40,,,,,,,,,,,,,,,Scotland,00:42:40.133,Carry,True,47.9,68.4,,,,,
,,,,"[41.8, 38.4]",,,,,,,,,,,,0.279998,,,,,,,,,,,,,391145fb-70ff-4871-9c36-2032eaf618c9,3412,,,"[42.7, 39.9]",3788771,87,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Scott McKenna,10002.0,Right Center Back,168,Scotland,942,"['302aefab-d1e3-4882-81fb-6d8ae5b332cb', 'a382eb1a-16e1-44e6-8c8d-b150b75ab82c', 'e0101eb5-3cbd-4634-9749-4d60a7ffe744']",46,,,,,,,,,,,,,,,Scotland,00:42:46.675,Carry,True,42.7,39.9,,,,,
,,,,"[63.1, 18.3]",,,,,,,,,,,,5.178328,,,,,,,,,,,,,813945da-a0f0-4ee1-b118-fd03708c9d31,3417,,,"[57.5, 4.0]",3788771,87,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Ryan Fraser,3581.0,Left Center Midfield,168,Scotland,942,"['cce12286-59d7-4a99-a7af-d8330d3b5628', 'f3fee826-8f09-4cce-8b95-7d91089f1518']",50,,,,,,,,,,,,,,,Scotland,00:42:50.056,Carry,,57.5,4.0,,,,,
,,,,"[54.2, 39.4]",,,,,,,,,,,,1.328403,,,,,,,,,,,,,421a9321-f974-4bfa-9ada-c7f1e604f0a1,3420,,,"[53.0, 36.3]",3788771,87,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Callum McGregor,10534.0,Center Defensive Midfield,168,Scotland,942,"['19ccd831-247d-434c-854e-656138abbd92', 'ecd2d68d-431d-432d-b6fc-c3189d39b510']",56,,,,,,,,,,,,,,,Scotland,00:42:56.352,Carry,,53.0,36.3,,,,,
,,,,"[69.9, 63.1]",,,,,,,,,,,,2.239258,,,,,,,,,,,,,949f8367-7216-4bcd-86b5-41c2bf108ca5,3423,,,"[62.6, 71.3]",3788771,87,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Nathan Patterson,37338.0,Right Back,168,Scotland,942,"['39fffb1a-19b0-444a-a2a3-ed1aae45bc58', 'd6ae65cf-2b31-4931-a0aa-93046dec60c9']",59,,,,,,,,,,,,,,,Scotland,00:42:59.420,Carry,,62.6,71.3,,,,,
,,,,"[26.2, 38.3]",,,,,,,,,,,,2.868049,,,,,,,,,,,,,0b837922-dd82-43ff-b4f5-d7eade666a0d,3428,,,"[23.3, 31.0]",3788771,88,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Marcelo Brozović,5469.0,Center Defensive Midfield,169,Croatia,785,"['0e5088df-697a-412a-b5d6-290727c9809d', '4c36b4b9-4b7d-4f0f-878b-46a39193a93b', 'c621adc5-b413-49aa-b1d0-808ae4a3d85c']",4,,,,,,,,,,,,,,,Croatia,00:43:04.182,Carry,True,23.3,31.0,,,,,
,,,,"[11.3, 52.6]",,,,,,,,,,,,1.744676,,,,,,,,,,,,,03a53c68-b026-4bac-90f9-cd2c325794a3,3432,,,"[13.2, 49.8]",3788771,88,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Dejan Lovren,3471.0,Right Center Back,169,Croatia,785,"['dbc4d44a-502f-4fb8-b2bf-6ce7001b3ba1', 'e336f9f5-be8a-4a5c-986c-4fe4a8b958f2', 'f21057fb-dcb9-4a2f-bcc5-e05a643fdff3']",7,,,,,,,,,,,,,,,Croatia,00:43:07.936,Carry,True,13.2,49.8,,,,,
,,,,"[57.1, 71.9]",,,,,,,,,,,,0.300957,,,,,,,,,,,,,896b2319-ad7a-4e41-a4db-3fad6691b0f9,3436,,,"[57.5, 71.6]",3788771,88,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Luka Ivanušec,28368.0,Right Wing,169,Croatia,785,"['a2f459e2-67cc-430f-8fd3-2358cab88ed4', 'dfecc4cb-645c-461d-b207-fff72d315737']",12,,,,,,,,,,,,,,,Croatia,00:43:12.363,Carry,,57.5,71.6,,,,,
