ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,1.622207,,,,,,,,,,,,,,82b382e5-ac1b-4e59-a453-3f4cd48aed41,2243,,,"[50.3, 48.3]",3788754,53,,,,1.1431442,,Right Foot,,,"[63.7, 77.7]",,Ground Pass,,32.30975,,,,,Kevin Mbabu,,,,,,2,Regular Play,Remo Freuler,6983.0,Right Defensive Midfield,96,Switzerland,773,['9f25eccb-b73b-4c08-9756-a77abff37f61'],3,,,,,,,,,,,,,,,Switzerland,00:08:03.411,Pass,,50.3,48.3,63.7,77.7,,,
,,,,,,,,,,,,,,,,1.50277,,,,,,,,,,,,,,8b559a65-81b6-4ab4-b914-522128e2970c,2246,,,"[63.7, 77.7]",3788754,53,,,,-2.9633794,,Right Foot,,,"[47.6, 74.8]",,Ground Pass,,16.359095,,,,,Nico Elvedi,,,,,,2,Regular Play,Kevin Mbabu,16027.0,Right Wing Back,96,Switzerland,773,['80e146be-7a58-4406-8358-8d33ae4dab29'],5,,,,,,,,,,,,,,,Switzerland,00:08:05.153,Pass,,63.7,77.7,47.6,74.8,,,
,,,,,,,,,,,,,,,,0.968473,,,,,,,,,,,,,,24d234bf-444a-4196-9d85-06be8b77881a,2249,,,"[61.5, 77.1]",3788754,53,,,,0.21979508,,Right Foot,,,"[70.9, 79.2]",,Ground Pass,,9.631719,,,,,Kevin Mbabu,,,,,,2,Regular Play,Nico Elvedi,8814.0,Right Center Back,96,Switzerland,773,['52ab9413-a550-4514-9df2-deda60c571e4'],13,,,,,,,,,,,,,,,Switzerland,00:08:13.779,Pass,,61.5,77.1,70.9,79.2,,,
,,,,,,,,,,,,,,,,0.719704,,,,,,,,,,,,,,9dc9e93e-26ae-4a5c-8274-5b68ed330b38,2257,,,"[41.4, 0.6]",3788754,53,,,,0.9936041,,Right Foot,,,"[44.2, 4.9]",,Ground Pass,,5.1312766,,,,,Jorge Luiz Frello Filho,,,,,,2,Regular Play,Leonardo Spinazzola,8286.0,Left Back,97,Italy,914,"['16bde8a9-b72d-4310-aa5d-9c2008e55721', 'a31d89b9-0420-40d4-a0b5-ff99279d1f6a']",19,,,,,,,,,,,,,,,Italy,00:08:19.347,Pass,True,41.4,0.6,44.2,4.9,,,
,,,,,,,,,,,,,,,,1.056377,,,,,,,,,,,,,,0e1f119a-a58a-49da-ae8e-7a66148eafb6,2261,,,"[44.6, 4.0]",3788754,53,,,,0.07074787,,Right Foot,,,"[57.3, 4.9]",,Ground Pass,,12.73185,,,,,Lorenzo Insigne,,,,,,2,Regular Play,Jorge Luiz Frello Filho,7024.0,Center Defensive Midfield,97,Italy,914,"['b11defb6-c92e-4fdf-b46f-e811706d86d6', 'b53cc029-9b67-475d-a06e-22c50308bf67']",20,,,,,,,,,,,,,,,Italy,00:08:20.853,Pass,True,44.6,4.0,57.3,4.9,,,
,,,,,,,,,,,,,,,,0.992549,,,,,,,,,,,,,,1e45b8af-2574-4277-8bee-9eca424986a3,2264,,,"[58.4, 5.7]",3788754,53,,,,0.59917533,,Right Foot,,,"[66.6, 11.3]",,Ground Pass,,9.929753,,,,,Ciro Immobile,,,,,,2,Regular Play,Lorenzo Insigne,7037.0,Left Wing,97,Italy,914,"['796aa45e-474b-4896-8570-08368a3c7b43', 'c5a96ff6-0eaa-4db0-969a-2b931d7c735c']",21,,,,,,,,,,,,,,,Italy,00:08:21.910,Pass,True,58.4,5.7,66.6,11.3,,,
,,,,,,,,,,,,,,,,0.814562,,,,,,,,,,,,,,5fe116f4-c9cc-4d30-bbec-15d3da383d97,2267,,,"[66.6, 12.1]",3788754,53,,,,-2.6098685,,Right Foot,,,"[61.5, 9.1]",,Ground Pass,,5.916925,,,,,Lorenzo Insigne,,,,,,2,Regular Play,Ciro Immobile,7788.0,Center Forward,97,Italy,914,"['09796a98-20c6-4b09-a54b-01a1fb7d8701', '89ecd748-7627-42ad-8f57-7bf75c630988']",22,,,,,,,,,,,,,,,Italy,00:08:22.902,Pass,True,66.6,12.1,61.5,9.1,,,
,,,,,,,,,,,,,,,,2.033458,,,,,,,,,,,,,,88579a8e-a280-4948-9eeb-858e2c0150d8,2269,,,"[61.5, 9.1]",3788754,53,,,,0.611497,,Right Foot,,,"[87.6, 27.4]",,Ground Pass,,31.876324,,,Incomplete,,Nicolò Barella,,,,,,2,Regular Play,Lorenzo Insigne,7037.0,Left Wing,97,Italy,914,"['12ef5b3a-a9f4-4d0a-aea8-384e21ff4d45', '7ae7a0cb-fb26-452b-8016-604dc9afc9bb']",23,,,,,,,,,,,,,,,Italy,00:08:23.717,Pass,,61.5,9.1,87.6,27.4,,,
,,,,,,,,,,,,,,,,1.35356,,,,,,,,,,,,,,f9c25786-9bcd-4cb8-814d-006013f133ed,2277,,,"[25.7, 80.0]",3788754,54,,,,-0.50959224,,,,,"[42.7, 70.5]",,Low Pass,,19.474342,,,Incomplete,,Mario Gavranović,,,,,Throw-in,2,From Throw In,Kevin Mbabu,16027.0,Right Wing Back,98,Switzerland,773,"['4de10857-7c48-491f-a4c3-6a6b9a35951b', '9458cc61-2b48-43d3-a4c8-1b78cad8ef36']",4,,,,,,,,,,,,,,,Switzerland,00:09:04.686,Pass,,25.7,80.0,42.7,70.5,,,
,,,,,,,,,,,,,,,,4.40217,,,,,,,,,,,,,,9278fb43-4427-43ea-9c35-14da025b5ba7,2280,,,"[21.1, 80.0]",3788754,54,,,,-0.36818436,,,,,"[67.5, 62.1]",,High Pass,,49.732986,,,Incomplete,,Mario Gavranović,,,,,Throw-in,2,From Throw In,Kevin Mbabu,16027.0,Right Wing Back,99,Switzerland,773,"['415e822f-f80f-48d0-98c7-56e0aefa221d', 'fc496676-bb33-4c99-9fc0-cb8f3b67a9a9']",21,,,,,,,,,,,,,,,Switzerland,00:09:21.348,Pass,,21.1,80.0,67.5,62.1,,,
,,,,,,,,,,,,,,,,2.887875,,,,,,,,,,,,,,fc496676-bb33-4c99-9fc0-cb8f3b67a9a9,2283,,,"[52.6, 18.0]",3788754,54,,,,1.7492068,,Right Foot,,,"[47.1, 48.5]",,Ground Pass,,30.991934,,,,,Giovanni Di Lorenzo,,,,,Recovery,2,Regular Play,Leonardo Bonucci,7173.0,Right Center Back,100,Italy,914,"['8f6fd9c1-88f8-4581-bca3-c0f8e6a3293d', '9278fb43-4427-43ea-9c35-14da025b5ba7']",25,,,,,,,,,,,,,,,Italy,00:09:25.750,Pass,,52.6,18.0,47.1,48.5,,,
,,,,,,,,,,,,,,,,1.2029,,,,,,,,,,,,,,01dfe725-a497-4c99-a56e-95b29db5335b,2286,,,"[51.4, 53.2]",3788754,54,,,,-0.731791,,Right Foot,,,"[62.2, 43.5]",,Ground Pass,,14.516542,,,,,Jorge Luiz Frello Filho,,,,,,2,Regular Play,Giovanni Di Lorenzo,11514.0,Right Back,100,Italy,914,['cb5a3f37-8a2a-449c-9b9e-5d873ea979c4'],29,,,,,,,,,,,,,,,Italy,00:09:29.780,Pass,,51.4,53.2,62.2,43.5,,,
,,,,,,,,,,,,,,,,0.855196,,,,,,,,,,,,,,8cf8ce9c-73a3-45ef-a4e7-39a6485d49d7,2289,,,"[58.4, 47.1]",3788754,54,,,,1.5437759,,Right Foot,,,"[58.8, 61.9]",,Ground Pass,,14.805405,,,,,Giovanni Di Lorenzo,,,,,,2,Regular Play,Jorge Luiz Frello Filho,7024.0,Center Defensive Midfield,100,Italy,914,['c3d43d8d-82de-432a-a5f7-e509ab2f8633'],32,,,,,,,,,,,,,,,Italy,00:09:32.098,Pass,,58.4,47.1,58.8,61.9,,,
