ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,1.1347,,,,,,,,,,,,ddc7125d-7788-4639-87da-e4e952abc6a6,15,,,"[33.6, 42.6]",3788776,0,,,,,-0.08673834,,Head,,,,"[42.8, 41.8]",,High Pass,,9.234717,,,Piotr Zieliński,,,,,,1,Regular Play,Mateusz Andrzej Klich,9622.0,Left Defensive Midfield,3,Poland,789,['ab6dd592-ea79-44b2-913f-a2bcced3f5de'],10,,,,,,,,,,,,,,Poland,00:00:10.344,Pass,,33.6,42.6,42.8,41.8,,,
,,,,,,,,,,,,,,0.943119,,,,,,,,,,,,a2b8fa0b-9e6a-444c-9be5-63a877a2c8fd,19,,,"[40.8, 34.5]",3788776,0,,,,,-0.8533207,,Left Foot,,,,"[54.5, 18.8]",,Ground Pass,,20.836987,,,Robert Lewandowski,,,,,,1,Regular Play,Piotr Zieliński,5660.0,Center Attacking Midfield,3,Poland,789,['b5ff9c0b-432a-4b3a-a484-3a0d40204c56'],13,,,,,,,,,,,,,,Poland,00:00:13.421,Pass,,40.8,34.5,54.5,18.8,,,
,,,,,,,,,,,,,,1.217093,,,,,,,,,,,,323739b7-3b01-4144-8b3c-b3522b2bad0a,23,,,"[50.0, 18.7]",3788776,0,,,,,-2.547379,,Left Foot,,,,"[38.9, 11.2]",,Ground Pass,,13.396268,,,Tymoteusz Puchacz,,,,,,1,Regular Play,Robert Lewandowski,5668.0,Left Center Forward,3,Poland,789,"['5607b9ef-90aa-4a9b-ba46-07a45848e2eb', '7877bf5f-32bf-40d7-8646-f3eb98a838de']",15,,,,,,,,,,,,,,Poland,00:00:15.523,Pass,True,50.0,18.7,38.9,11.2,,,
,,,,,,,,,,,,,,0.970764,,,,,,,,,,,,19df31c7-91e1-4b1c-8d12-3e75ab4a7aa6,26,,,"[38.1, 12.3]",3788776,0,,,,,2.1208208,,Left Foot,,,,"[29.7, 26.0]",,Ground Pass,,16.070158,,,Jan Bednarek,,,,,,1,Regular Play,Tymoteusz Puchacz,8737.0,Left Wing Back,3,Poland,789,['4a05133c-9c64-4687-8cd5-e12e0d223b63'],17,,,,,,,,,,,,,,Poland,00:00:17.456,Pass,,38.1,12.3,29.7,26.0,,,
,,,,,,,,,,,,,,1.406172,,,,,,,,,,,,5240462f-5071-426f-9d08-04d385e78e05,29,,,"[27.8, 28.8]",3788776,0,,,,,1.3948567,,Right Foot,,,,"[35.0, 69.3]",,Ground Pass,,41.13502,,,Bartosz Bereszyński,,True,,,,1,Regular Play,Jan Bednarek,4626.0,Left Center Back,3,Poland,789,['6368d24e-41a5-443c-850f-ef8d31d8695d'],19,,,,,,,,,,,,,,Poland,00:00:19.747,Pass,,27.8,28.8,35.0,69.3,,,
,,,,,,,,,,,,,,1.381734,,,,,,,,,,,,a2981f47-397f-40b3-90cb-a4fce187293c,32,,,"[43.4, 71.8]",3788776,0,,,,,-2.4386518,,Right Foot,,,,"[30.3, 60.7]",,Ground Pass,,17.170322,,,Kamil Glik,,,,,,1,Regular Play,Bartosz Bereszyński,5673.0,Right Center Back,3,Poland,789,['3d8fd10c-d416-4b69-b75a-4f153441b4f3'],25,,,,,,,,,,,,,,Poland,00:00:25.168,Pass,,43.4,71.8,30.3,60.7,,,
,,,,,,,,,,,,,,1.650539,,,,,,,,,,,,72a27009-5a74-418f-a152-0f7cda6f1944,35,,,"[30.9, 58.5]",3788776,0,,,,,-1.4183825,,Right Foot,,,,"[35.8, 26.6]",,Ground Pass,,32.27414,,,Jan Bednarek,,,,,,1,Regular Play,Kamil Glik,3034.0,Center Back,3,Poland,789,['12aa8f82-80e0-4c60-a940-25d4f9596baf'],27,,,,,,,,,,,,,,Poland,00:00:27.497,Pass,,30.9,58.5,35.8,26.6,,,
,,,,,,,,,,,,,,1.217783,,,,,,,,,,,,57f9bf42-f34f-41df-8cbb-991010649d2a,38,,,"[42.0, 30.2]",3788776,0,,,,,1.943784,,Left Foot,,,,"[33.9, 50.9]",,Ground Pass,,22.228361,,,Kamil Glik,,,,,,1,Regular Play,Jan Bednarek,4626.0,Left Center Back,3,Poland,789,['027d1fad-9268-4594-8ea0-dc344994ffac'],32,,,,,,,,,,,,,,Poland,00:00:32.173,Pass,,42.0,30.2,33.9,50.9,,,
,,,,,,,,,,,,,,1.457762,,,,,,,,,,,,485c33da-2709-4534-856f-cb6463de856a,41,,,"[33.9, 50.9]",3788776,0,,,,,-1.4394146,,Right Foot,,,,"[37.6, 22.9]",,Ground Pass,,28.243406,,,Jan Bednarek,,,,,,1,Regular Play,Kamil Glik,3034.0,Center Back,3,Poland,789,['6272b22e-d322-4899-ad9a-9d15433610a7'],33,,,,,,,,,,,,,,Poland,00:00:33.710,Pass,,33.9,50.9,37.6,22.9,,,
,,,,,,,,,,,,,,1.900224,,,,,,,,,,,,8e13a083-d352-4598-8e9d-eaa6c07be9ae,45,,,"[38.4, 18.2]",3788776,0,,,,,0.26667613,,Left Foot,,,,"[78.3, 29.1]",,High Pass,,41.36206,Incomplete,,,,,,,,1,Regular Play,Jan Bednarek,4626.0,Left Center Back,3,Poland,789,"['175aaf0a-2a80-4fca-848a-213e6f0d36d3', 'b752b906-0ba2-445d-850f-1b2dc3f522e2']",36,,,,,,,,,,,,,,Poland,00:00:36.475,Pass,True,38.4,18.2,78.3,29.1,,,
