ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,2.150735,,,,,,,,,,e0bc7c6c-dc40-41a1-a85f-2903dc42d133,21,,,"[93.3, 68.0]",3788748,0,,,,,0.1045556,,Right Foot,,,,"[109.5, 69.7]",,Ground Pass,,16.288954,,Incomplete,,John McGinn,,,,,,1,From Kick Off,"Stephen O""Donnell",9048.0,Right Wing Back,2,Scotland,942,"['1f873592-e10d-475b-b499-0c410dfe9acb', '43d21f13-6054-42bd-9153-591bcf42317b', 'a496e16a-eb30-4d7c-97d3-6bf03942463e']",12,,,,,,,,,,,,,,,Scotland,00:00:12.387,Pass,True,93.3,68.0,109.5,69.7,,,
,,,,,,,,,,,,,,,,3.495001,,,,,,,,,,9fbea9a6-7327-41d2-a690-41bfd35848eb,26,,,"[12.5, 2.9]",3788748,0,,,,,-0.057946105,,Left Foot,,,,"[48.7, 0.8]",,High Pass,,36.26086,,Out,,Patrik Schick,,,,,,1,From Kick Off,Tomáš Souček,4870.0,Left Defensive Midfield,2,Scotland,942,['6a21e7a8-0b37-4e51-b5bc-a21142c84e70'],15,,,,,,,,,,,,,,,Czech Republic,00:00:15.870,Pass,,12.5,2.9,48.7,0.8,,,
,,,,,,,,,,,,,,,,1.310333,,,,,,,,,,074aa04d-b925-4538-b02f-b2892420db1e,28,,,"[71.4, 80.0]",3788748,0,,,,,-0.53581125,,,,,,"[90.6, 68.6]",,Low Pass,,22.329353,,,,Lyndon Dykes,,,,,Throw-in,1,From Throw In,"Stephen O""Donnell",9048.0,Right Wing Back,3,Scotland,942,['df8dfd8b-05a3-4beb-8d96-8476ef72844e'],33,,,,,,,,,,,,,,,Scotland,00:00:33.071,Pass,,71.4,80.0,90.6,68.6,,,
,,,,,,,,,,,,,,,,1.687438,,,,,,,,,,4aaf174d-fe22-45de-bec9-ca411e630e0c,32,,,"[91.2, 67.5]",3788748,0,,,,,-1.5147802,,Other,,,,"[91.8, 56.8]",,High Pass,,10.716809,,Incomplete,,Ryan Christie,,,,,,1,From Throw In,Lyndon Dykes,29571.0,Right Center Forward,3,Scotland,942,"['0747db62-dcda-4918-8d16-217cf0e2c8a6', 'cf4915b8-40bd-4e22-a0e1-f0e8bb9ce5b4', 'f955359c-515e-4192-8e0d-d23c590e6b34']",34,,,,,,,,,,,,,,,Scotland,00:00:34.386,Pass,True,91.2,67.5,91.8,56.8,,,
,,,,,,,,,,,,,,,,1.503791,,,,,,,,,,b7a0fecd-93f3-4fc8-8ddc-801543b7d6aa,36,,,"[25.0, 28.1]",3788748,0,,,,,1.9117752,,Left Foot,,,,"[17.3, 49.8]",,Ground Pass,,23.025639,,,,Vladimír Coufal,,,,,,1,From Throw In,Tomáš Souček,4870.0,Left Defensive Midfield,3,Scotland,942,['fe419659-0564-4ba2-b904-e5f83f7e72a2'],37,,,,,,,,,,,,,,,Czech Republic,00:00:37.506,Pass,,25.0,28.1,17.3,49.8,,,
,,,,,,,,,,,,,,,,2.043781,,,,,,,,,,ec105309-4f58-4959-8630-607a02690c99,39,,,"[17.3, 50.4]",3788748,0,,,,,-0.12095365,,Right Foot,,,,"[53.5, 46.0]",,High Pass,,36.466423,,Incomplete,,Vladimír Darida,,,,,,1,From Throw In,Vladimír Coufal,16570.0,Right Back,3,Scotland,942,"['33ffeee9-b7b4-47b8-b735-1399a7ca0c48', 'c3abf88c-23eb-4136-963d-2f46021ffe1d']",39,,,,,,,,,,,,,,,Czech Republic,00:00:39.388,Pass,,17.3,50.4,53.5,46.0,,,
,,,,,,,,,,,,,,,,4.194179,,,,,,,,,,23bab52a-cbb2-47c9-b68d-9949da1c752f,46,,,"[43.1, 25.7]",3788748,0,,,,,2.6768315,,Right Foot,,,,"[7.2, 43.7]",,Ground Pass,,40.159805,,,,David Marshall,,,,,,1,From Throw In,Grant Hanley,9481.0,Center Back,3,Scotland,942,"['96c45e41-5559-49ab-b4ba-34f7dcaeec56', 'd7808100-12d4-486a-98eb-cf45152ae4b2']",44,,,,,,,,,,,,,,,Scotland,00:00:44.230,Pass,True,43.1,25.7,7.2,43.7,,,
,,,,,,,,,,,,,,,,3.790574,,,,,,,,,,cc17c903-b58b-4e98-8ac8-2b5415295eed,49,,,"[15.0, 55.3]",3788748,1,,,,,-0.17384411,,Right Foot,,,,"[83.9, 43.2]",,High Pass,,69.954414,,Incomplete,,Lyndon Dykes,,,,,,1,From Throw In,David Marshall,9645.0,Goalkeeper,3,Scotland,942,"['66b2bc9d-2c62-4ec2-aa66-8847f3b7642e', '7c85f9b9-5c65-488d-9b1b-d98a69468358']",0,,,,,,,,,,,,,,,Scotland,00:01:00.951,Pass,,15.0,55.3,83.9,43.2,,,
,,,,,,,,,,,,,,,,0.245299,,,,,,,,,,8253ff8a-c78e-4867-93b4-6b6360b9befd,53,,,"[47.5, 51.6]",3788748,1,,,,True,-1.1071488,,,,,,"[48.1, 50.4]",,Low Pass,,1.3416408,,Incomplete,,Vladimír Darida,,,,,Recovery,1,From Throw In,Lukáš Masopust,16472.0,Right Wing,3,Scotland,942,"['068aef1c-ccf0-4971-8a7c-916492230bb5', '839e804f-0b38-47c6-a702-16bdd90f6d1b', 'dabfa3dd-fa5e-4170-b64c-41ec8d4a5071']",6,,,,,,,,,,,,,,,Czech Republic,00:01:06.332,Pass,True,47.5,51.6,48.1,50.4,,,
,,,,,,,,,,,,,,,,0.466829,,,,,,,,,,9984044f-0ee5-4cb5-a609-8bbdf6a4854d,57,,,"[52.2, 45.6]",3788748,1,,,,,-2.2960262,,Right Foot,,,,"[48.3, 41.2]",,Ground Pass,,5.879626,,,,Alex Král,,,,,Recovery,1,From Throw In,Vladimír Darida,8579.0,Center Attacking Midfield,3,Scotland,942,['724b3422-05cd-41c2-bec8-09a67be74564'],7,,,,,,,,,,,,,,,Czech Republic,00:01:07.406,Pass,,52.2,45.6,48.3,41.2,,,
