50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,1.438552,,,,,,,,,,,,8073d00c-d8ff-4dce-b67d-288170dd04db,1270,,,"[64.3, 42.0]",3788747,31,,,,-1.1441689,,Left Foot,,,,"[80.8, 5.7]",,Low Pass,,39.87405,,,Andreas Ulmer,,,,,,1,From Throw In,David Olatukunbo Alaba,8220.0,Center Back,75,Austria,915,['eac27fea-3d8f-4584-971b-a32991552b38'],22,,,,,,,,,,,,,,Austria,00:31:22.529,Pass,,64.3,42.0,80.8,5.7,,,
,,,,,,,,,,,,,,,,1.560496,,,,,,,,,,,,e91f7f00-b640-4ec6-a3b0-ebea31be8e9a,1274,,,"[81.8, 5.7]",3788747,31,,,,2.9037566,,Right Foot,,,,"[65.3, 9.7]",,Ground Pass,,16.977926,,,Martin Hinteregger,,,,,,1,From Throw In,Andreas Ulmer,8777.0,Left Wing Back,75,Austria,915,['24b89212-ed22-43f5-aa28-02cdce65c454'],25,,,,,,,,,,,,,,Austria,00:31:25.137,Pass,,81.8,5.7,65.3,9.7,,,
,,,,,,,,,,,,,,,,2.397517,,,,,,,,,,,,48ceb554-6898-4bdc-b144-b810dd21a432,1277,,,"[56.2, 11.8]",3788747,31,,,,2.4500358,,Left Foot,,,,"[28.3, 34.9]",,Ground Pass,,36.221817,,,Daniel Bachmann,,,,,,1,From Throw In,Martin Hinteregger,8307.0,Left Center Back,75,Austria,915,['e86c894d-cd63-48d6-8b41-a632b4f37346'],28,,,,,,,,,,,,,,Austria,00:31:28.392,Pass,,56.2,11.8,28.3,34.9,,,
,,,,,,,,,,,,,,,,1.536661,,,,,,,,,,,,1b26b0c9-f4a5-4ee8-aea2-b61cbc91eb5d,1280,,,"[28.3, 34.9]",3788747,31,,,,0.8973314,,Right Foot,,,,"[51.2, 63.6]",,Ground Pass,,36.71648,,,Aleksandar Dragović,,,,,,1,From Throw In,Daniel Bachmann,21532.0,Goalkeeper,75,Austria,915,['fe01f1a9-17e9-4460-915a-cf547ee69417'],31,,,,,,,,,,,,,,Austria,00:31:31.827,Pass,,28.3,34.9,51.2,63.6,,,
,,,,,,,,,,,,,,,,0.964374,,,,,,,,,,,,d5d2f31f-d530-46b7-b947-61a7e1c09e47,1283,,,"[68.9, 63.6]",3788747,31,,,,-0.33891624,,Right Foot,,,,"[82.8, 58.7]",,Ground Pass,,14.738385,Incomplete,,Christoph Baumgartner,,,,,,1,From Throw In,Aleksandar Dragović,3969.0,Right Center Back,75,Austria,915,"['767d59f9-d135-4080-be38-edb22e0c9878', '9b7f7245-f779-4635-9d05-731ee70d3a20']",37,,,,,,,,,,,,,,Austria,00:31:37.865,Pass,,68.9,63.6,82.8,58.7,,,
,,,,,,,,,,,,,,,,0.879782,,,,,,,,,,,,79c88df9-0e0b-4a3d-bd1f-55dd311c4438,1286,,,"[41.8, 23.3]",3788747,31,,,,-1.7263912,,Left Foot,,,,"[40.2, 13.1]",,Ground Pass,,10.324728,,,Ezgjan Alioski,,,,,Recovery,1,Regular Play,Eljif Elmas,16535.0,Left Center Midfield,76,North Macedonia,2358,['938f32fb-c7dd-4ceb-a9c2-26190f4b7bf4'],39,,,,,,,,,,,,,,North Macedonia,00:31:39.565,Pass,,41.8,23.3,40.2,13.1,,,
,,,,,,,,,,,,,,,,0.889693,,,,,,,,,,,,023f1f04-5d95-407c-abad-84800457247f,1289,,,"[40.2, 13.1]",3788747,31,,,,0.52278906,,Left Foot,,,,"[57.9, 23.3]",,Ground Pass,,20.428656,,,Goran Pandev,,,,,,1,Regular Play,Ezgjan Alioski,4713.0,Left Wing Back,76,North Macedonia,2358,['ddcfb7c3-c786-4e7d-814b-bb78a533d9eb'],40,,,,,,,,,,,,,,North Macedonia,00:31:40.525,Pass,,40.2,13.1,57.9,23.3,,,
,,,,,,,,,,,,,,,,1.344042,,,,,,,,,,,,407adc38-ebc5-4106-a741-e5bbd178f0db,1295,,,"[54.3, 12.1]",3788747,31,,,,2.7424622,,Left Foot,,,,"[39.6, 18.3]",,Ground Pass,,15.953997,,,Visar Musliu,,,,,Free Kick,1,From Free Kick,Ezgjan Alioski,4713.0,Left Wing Back,77,North Macedonia,2358,['100dc8f8-be79-49c3-ac1e-7b87de9906d6'],57,,,,,,,,,,,,,,North Macedonia,00:31:57.227,Pass,,54.3,12.1,39.6,18.3,,,
,,,,,,,,,,,,,,,,3.046233,,,,,,,,,,,,989c2b94-ca96-4a6c-9c2a-ebcba7026cdd,1298,,,"[39.5, 18.1]",3788747,31,,,,1.5150771,,Right Foot,,,,"[42.3, 68.3]",,Ground Pass,,50.278027,,,Stefan Ristovski,,True,,,,1,From Free Kick,Visar Musliu,46906.0,Left Center Back,77,North Macedonia,2358,['e795239f-5e4e-4cbd-b63e-2438c2b48338'],59,,,,,,,,,,,,,,North Macedonia,00:31:59.318,Pass,,39.5,18.1,42.3,68.3,,,
,,,,,,,,,,,,,,,,1.321366,,,,,,,,,,,,9fab263b-1415-4a41-92aa-ec7920794d40,1301,,,"[42.3, 68.3]",3788747,32,,,,-0.06479467,,Right Foot,,,,"[68.5, 66.6]",,Ground Pass,,26.255095,,,Aleksandar Trajkovski,,,,,,1,From Free Kick,Stefan Ristovski,10592.0,Right Center Back,77,North Macedonia,2358,['f030dce6-e031-4910-a59c-abd90711d17e'],4,,,,,,,,,,,,,,North Macedonia,00:32:04.816,Pass,,42.3,68.3,68.5,66.6,,,
