ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,2.451711,,,,,,,,,,a1f7f969-38c5-474d-b571-a215f6125a7d,17,,"[57.1, 9.1]",3788768,0,,,,,2.1466467,,Left Foot,,,"[48.4, 22.5]",,Ground Pass,,15.976545,,,,,Thomas Vermaelen,,,,,,1,From Kick Off,Kevin De Bruyne,3089.0,Right Defensive Midfield,2,Belgium,782,['f560a894-8a55-4a35-9854-911d3602da35'],12,,,,,,,,,,,,,,Belgium,00:00:12.681,Pass,,57.1,9.1,48.4,22.5,,,
,,,,,,,,,,,,,,,1.532126,,,,,,,,,,85fbd8ad-8b30-45da-a651-2b9294c3b261,19,,"[48.7, 22.5]",3788768,0,,,,,1.8289495,,Left Foot,,,"[44.0, 40.3]",,Ground Pass,,18.410051,,,,,Anga Dedryck Boyata,,,,,,1,From Kick Off,Thomas Vermaelen,6332.0,Left Center Back,2,Belgium,782,['074e9bd9-693d-46f1-9a6c-adf94eb9564c'],15,,,,,,,,,,,,,,Belgium,00:00:15.132,Pass,,48.7,22.5,44.0,40.3,,,
,,,,,,,,,,,,,,,1.787774,,,,,,,,,,3f098875-e3c4-4d7a-b640-327cfebda798,22,,"[44.0, 44.0]",3788768,0,,,,,1.3706152,,Left Foot,,,"[49.6, 71.6]",,Ground Pass,,28.162386,,,,,Jason Denayer,,,,,,1,From Kick Off,Anga Dedryck Boyata,5639.0,Center Back,2,Belgium,782,['353fac96-1ccb-46a6-b90b-f8af91508e11'],17,,,,,,,,,,,,,,Belgium,00:00:17.020,Pass,,44.0,44.0,49.6,71.6,,,
,,,,,,,,,,,,,,,1.032447,,,,,,,,,,31398f81-104d-450c-8c6b-9f51f4afcaf2,25,,"[54.6, 72.5]",3788768,0,,,,,0.3366748,,Right Foot,,,"[62.6, 75.3]",,Ground Pass,,8.475848,,,,,Leandro Trossard,,,,,,1,From Kick Off,Jason Denayer,13116.0,Right Center Back,2,Belgium,782,['3f851d7f-0e4d-4dce-98f4-439c8d6cad0c'],20,,,,,,,,,,,,,,Belgium,00:00:20.159,Pass,,54.6,72.5,62.6,75.3,,,
,,,,,,,,,,,,,,,1.626993,,,,,,,,,,e15a3462-a6ba-41ac-9dbe-6cf7c3cac50e,28,,"[63.1, 75.3]",3788768,0,,,,,-2.878195,,Right Foot,,,"[54.2, 72.9]",,Ground Pass,,9.217917,,,,,Jason Denayer,,,,,,1,From Kick Off,Leandro Trossard,16559.0,Right Wing Back,2,Belgium,782,['dd3f7c46-1852-4cad-bd88-1fbfea5d1ded'],22,,,,,,,,,,,,,,Belgium,00:00:22.485,Pass,,63.1,75.3,54.2,72.9,,,
,,,,,,,,,,,,,,,1.906633,,,,,,,,,,ccf4a6cf-059a-4999-b4f5-410e6d258b43,30,,"[54.2, 70.8]",3788768,0,,,,,-2.058962,,Right Foot,,,"[46.5, 56.3]",,Ground Pass,,16.417673,,,,,Anga Dedryck Boyata,,,,,,1,From Kick Off,Jason Denayer,13116.0,Right Center Back,2,Belgium,782,['b6da42f4-938a-43e5-9668-b1bcc0dead68'],24,,,,,,,,,,,,,,Belgium,00:00:24.112,Pass,,54.2,70.8,46.5,56.3,,,
,,,,,,,,,,,,,,,1.831366,,,,,,,,,,a58af5e4-492c-4da9-baf2-12aab6b7fb76,33,,"[48.8, 49.1]",3788768,0,,,,,-1.3045443,,Right Foot,,,"[56.0, 22.7]",,Ground Pass,,27.36421,,,,,Thomas Vermaelen,,,,,,1,From Kick Off,Anga Dedryck Boyata,5639.0,Center Back,2,Belgium,782,['dcbf7ae0-13d0-43c0-a9ef-ce982c62300e'],26,,,,,,,,,,,,,,Belgium,00:00:26.485,Pass,,48.8,49.1,56.0,22.7,,,
,,,,,,,,,,,,,,,1.052945,,,,,,,,,,8ba3aabe-a7d9-4374-9381-8e645edbb610,36,,"[62.1, 20.3]",3788768,0,,,,,1.4616429,,Left Foot,,,"[62.9, 27.6]",,Ground Pass,,7.3437047,,,,,Kevin De Bruyne,,,,,,1,From Kick Off,Thomas Vermaelen,6332.0,Left Center Back,2,Belgium,782,['75a4915a-5bfb-4916-aeee-fa4f0d7b515a'],29,,,,,,,,,,,,,,Belgium,00:00:29.086,Pass,,62.1,20.3,62.9,27.6,,,
,,,,,,,,,,,,,,,3.048572,,,,,,,,,,8738a140-3147-4c69-9995-f709082dbf5f,39,,"[62.5, 30.0]",3788768,0,,,,,1.0281469,,Right Foot,,,"[90.3, 76.1]",,High Pass,,53.833538,,,,,Leandro Trossard,,True,,,,1,From Kick Off,Kevin De Bruyne,3089.0,Right Defensive Midfield,2,Belgium,782,['0728220f-1acc-4c6e-822e-d59b14e94e17'],31,,,,,,,,,,,,,,Belgium,00:00:31.390,Pass,,62.5,30.0,90.3,76.1,,,
,,,,,,,,,,,,,,,1.014176,,,,,,,,,,5b5ce4aa-a4e8-419c-8ae5-53c0d88113b1,43,,"[93.9, 78.1]",3788768,0,,,,,-1.7268212,,Right Foot,,,"[92.5, 69.2]",,Low Pass,,9.009439,,,,,Jeremy Doku,,,,,,1,From Kick Off,Leandro Trossard,16559.0,Right Wing Back,2,Belgium,782,['188e4d5f-16fb-4cfb-90ff-15bbacb78a7b'],34,,,,,,,,,,,,,,Belgium,00:00:34.691,Pass,,93.9,78.1,92.5,69.2,,,
,,,,,,,,,,,,,,,0.831809,,,,,,,,,,64fd777c-4829-411e-8460-1dc1ac719b9f,46,,"[92.5, 69.2]",3788768,0,,,,,1.7234457,,Right Foot,,,"[91.3, 77.0]",,Ground Pass,,7.891768,,,,,Leandro Trossard,,,,,,1,From Kick Off,Jeremy Doku,23650.0,Right Attacking Midfield,2,Belgium,782,['7f1acc57-b2a8-4573-9360-9eba58ea12ae'],36,,,,,,,,,,,,,,Belgium,00:00:36.564,Pass,,92.5,69.2,91.3,77.0,,,
,,,,,,,,,,,,,,,1.795348,,,,,,,,,,6084567f-004e-4489-8515-6fb3811cb488,49,,"[92.0, 77.1]",3788768,0,,,,,-0.055116534,,Right Foot,,,"[106.5, 76.3]",,Low Pass,,14.522052,,,,,Jeremy Doku,,,,,,1,From Kick Off,Leandro Trossard,16559.0,Right Wing Back,2,Belgium,782,['50cc2dc9-9ab9-4795-919d-9ce082b2ab7f'],38,,,,,,,,,,,,,,Belgium,00:00:38.268,Pass,,92.0,77.1,106.5,76.3,,,
,,,,,,,,,,,,,,,1.10972,,,,,,,,,,98cda413-8b58-4dc1-9f8b-e2a48b9b0d82,53,,"[113.4, 73.9]",3788768,0,,,,,3.1318843,,Right Foot,,,"[103.1, 74.0]",,Ground Pass,,10.300486,,,,,Leandro Trossard,,,,,,1,From Kick Off,Jeremy Doku,23650.0,Right Attacking Midfield,2,Belgium,782,"['29a6026f-c2e1-4908-ac25-3ea452b48046', '68a20be6-a4e7-4677-82c9-13810ede149a']",45,,,,,,,,,,,,,,Belgium,00:00:45.088,Pass,True,113.4,73.9,103.1,74.0,,,
,,,,,,,,,,,,,,,0.9,,,,,,,,,,c29004be-8f19-49ad-ac2d-cf80b81b4e2a,59,,"[20.2, 11.4]",3788768,0,,,,,1.7183644,,Right Foot,,,"[19.1, 18.8]",,Ground Pass,,7.48131,,,,,Tim Sparv,,,,,Recovery,1,Regular Play,Glen Kamara,13215.0,Left Center Midfield,3,Finland,1835,['d7bbf1f3-d733-4bd7-a30e-8f0facdd3162'],48,,,,,,,,,,,,,,Finland,00:00:48.634,Pass,,20.2,11.4,19.1,18.8,,,
,,,,,,,,,,,,,,,1.173049,,,,,,,,,,9b54619c-b00e-4052-b189-7e51b077e7fc,61,,"[19.1, 18.8]",3788768,0,,,,,0.17946409,,Left Foot,,,"[41.7, 22.9]",,Ground Pass,,22.968891,,,,,Teemu Pukki,,,,,,1,Regular Play,Tim Sparv,24648.0,Center Defensive Midfield,3,Finland,1835,['8984142f-ec97-4f22-8122-f2040975a98d'],49,,,,,,,,,,,,,,Finland,00:00:49.495,Pass,,19.1,18.8,41.7,22.9,,,
,,,,,,,,,,,,,,,0.849709,,,,,,,,,,b9a660d8-ce5f-449f-b065-e302d4438a40,64,,"[41.7, 22.4]",3788768,0,,,,,-2.6356423,,Right Foot,,,"[34.3, 18.3]",,Ground Pass,,8.459906,,,,,Joel Pohjanpalo,,,,,,1,Regular Play,Teemu Pukki,9476.0,Right Center Forward,3,Finland,1835,['ccb11d95-d63a-4487-86bf-5c46fabdb774'],50,,,,,,,,,,,,,,Finland,00:00:50.788,Pass,,41.7,22.4,34.3,18.3,,,
