50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,2.517073,,,,,,,,,,,,,71ef7bab-6862-4b3d-a312-86a79d3f7e43,17,,,"[40.2, 7.4]",3794690,0,,,,-0.0088493265,,Left Foot,,,"[85.4, 7.0]",,High Pass,,45.20177,,,,Donyell Malen,,,,,,1,Regular Play,Patrick van Aanholt,3321.0,Left Wing Back,3,Netherlands,941,['480daef6-175f-45a4-a514-b505939bed74'],12,,,,,,,,,,,,,,,,,Netherlands,00:00:12.711,Pass,,40.2,7.4,85.4,7.0,,,
,,,,,,,,,,,,,,,,,2.874059,,,,,,,,,,,,,005873f6-6c7b-43f6-a714-7c5ea0b2ad4c,20,,,"[84.4, 6.1]",3794690,0,,,,0.1682958,,Right Foot,,,"[105.0, 9.6]",,Ground Pass,,20.895214,,Incomplete,,Memphis Depay,,,,,,1,Regular Play,Donyell Malen,15582.0,Left Center Forward,3,Netherlands,941,"['6d145a06-1938-4026-a847-7451dff85949', 'fe8c465e-6f04-441f-bedf-1918a5a84e1d']",16,,,,,,,,,,,,,,,,,Netherlands,00:00:16.550,Pass,,84.4,6.1,105.0,9.6,,,
,,,,,,,,,,,,,,,,,0.463373,,,,,,,,,,,,,c7503ec8-b1a2-4c8e-93cf-099d2f208354,23,,,"[71.1, 5.5]",3794690,0,,,,0.92358464,,Left Foot,,,"[77.6, 14.1]",,Low Pass,,10.780074,,Incomplete,,Georginio Wijnaldum,,,,,Recovery,1,Regular Play,Patrick van Aanholt,3321.0,Left Wing Back,3,Netherlands,941,"['ae5fd03d-63e9-4b5a-b523-b618ed28a199', 'f350c5ea-a3f9-4b00-922c-e56d3fa5b962']",21,,,,,,,,,,,,,,,,,Netherlands,00:00:21.458,Pass,,71.1,5.5,77.6,14.1,,,
,,,,,,,,,,,,,,,,,1.33125,,,,,,,,,,,,,2ac1d157-e56f-4b4e-8d28-0f3047c2a242,26,,,"[37.6, 58.8]",3794690,0,,,,-0.049958397,,Head,,,"[49.6, 58.2]",,High Pass,,12.014991,,Incomplete,,Tomáš Souček,,,,,Recovery,1,Regular Play,Tomáš Holeš,16469.0,Center Defensive Midfield,3,Netherlands,941,"['2d8d3e47-1322-41fd-a73f-a1acba3aaafc', 'f724027b-064c-4374-a7eb-9465bd35e4ba']",23,,,,,,,,,,,,,,,,,Czech Republic,00:00:23.304,Pass,,37.6,58.8,49.6,58.2,,,
,,,,,,,,,,,,,,,,,1.526041,,,,,,,,,,,,,2d8d3e47-1322-41fd-a73f-a1acba3aaafc,28,,,"[70.5, 21.9]",3794690,0,,,True,-0.6508002,,,,,"[81.4, 13.6]",,Low Pass,,13.700365,,Incomplete,,Frenkie de Jong,,,,,Recovery,1,Regular Play,Marten de Roon,6994.0,Right Defensive Midfield,3,Netherlands,941,"['091626ab-5312-4372-a5d0-ef86f269b521', '2ac1d157-e56f-4b4e-8d28-0f3047c2a242', 'b8813db7-72ca-428d-950b-80588f5da555', 'eb71fa3a-97a9-43d5-abfe-0fcdacb497aa']",24,,,,,,,,,,,,,,,,,Netherlands,00:00:24.635,Pass,True,70.5,21.9,81.4,13.6,,,
,,,,,,,,,,,,,,,,,1.592143,,,,,,,,,,,,,cfb9f59f-c33d-422c-ace8-b1f6f1d0cee8,34,,,"[38.9, 64.2]",3794690,0,,,,-0.37267736,,Left Foot,,,"[63.2, 54.7]",,High Pass,,26.090994,,Incomplete,,Patrik Schick,,,,,,1,Regular Play,Vladimír Coufal,16570.0,Right Back,3,Netherlands,941,"['1e2d5de2-311e-4173-af30-12f506463bd9', 'e020e61a-3ba0-4b8b-a667-80f569dda7b7']",26,,,,,,,,,,,,,,,,,Czech Republic,00:00:26.650,Pass,,38.9,64.2,63.2,54.7,,,
,,,,,,,,,,,,,,,,,1.912917,,,,,,,,,,,,,043d8464-8337-4e42-bde8-62aa31d8d699,39,,,"[50.7, 52.6]",3794690,0,,,,0.68231654,,Right Foot,,,"[63.5, 63.0]",,Low Pass,,16.492422,,Incomplete,,Lukáš Masopust,,,,,Recovery,1,Regular Play,Tomáš Holeš,16469.0,Center Defensive Midfield,3,Netherlands,941,"['1f698c24-ab57-442f-9c39-bb2442e4abd4', '95b95262-dfca-4a97-ae4d-122aefc61c05', 'a8d575a3-8fd2-47f9-bf5c-097bb06319fa']",30,,,,,,,,,,,,,,,,,Czech Republic,00:00:30.268,Pass,True,50.7,52.6,63.5,63.0,,,
,,,,,,,,,,,,,,,,,0.738063,,,,,,,,,,,,,a8d575a3-8fd2-47f9-bf5c-097bb06319fa,41,,,"[56.6, 17.1]",3794690,0,,,,-0.14707835,,Left Foot,,,"[72.8, 14.7]",,Low Pass,,16.376812,,,,Frenkie de Jong,,,,,Recovery,1,Regular Play,Patrick van Aanholt,3321.0,Left Wing Back,3,Netherlands,941,"['043d8464-8337-4e42-bde8-62aa31d8d699', '6615ac22-b16e-4d72-9e01-d5a08dd2f283']",32,,,,,,,,,,,,,,,,,Netherlands,00:00:32.181,Pass,,56.6,17.1,72.8,14.7,,,
,,,,,,,,,,,,,,,,,1.001839,,,,,,,,,,,,,bb8eba47-38c7-4a4b-884b-3b68fb16c566,44,,,"[70.9, 11.1]",3794690,0,,,,-0.80829495,,Left Foot,,,"[77.3, 4.4]",,Ground Pass,,9.265528,,,,Memphis Depay,,,,,,1,Regular Play,Frenkie de Jong,8118.0,Left Defensive Midfield,3,Netherlands,941,['5fbc972f-4644-4fe7-af8d-0d0944a60fe2'],33,,,,,,,,,,,,,,,,,Netherlands,00:00:33.994,Pass,,70.9,11.1,77.3,4.4,,,
,,,,,,,,,,,,,,,,,2.671953,,,,,,,,,,,,,06fd566a-f31e-4235-a831-3c3ccc1c48e0,47,,,"[77.3, 4.4]",3794690,0,,,,0.15070055,,Left Foot,,,"[104.3, 8.5]",,Ground Pass,,27.309523,,,,Donyell Malen,,,,,,1,Regular Play,Memphis Depay,2988.0,Right Center Forward,3,Netherlands,941,['8fe5ba6b-6aae-4692-a581-53dcc3226b2b'],35,,,,,,,,,,,,,,,,,Netherlands,00:00:35.625,Pass,,77.3,4.4,104.3,8.5,,,
,,,,,,,,,,,,,,,,,1.982314,,,,,,,,,,,,,e6118d16-577c-4a17-83ef-9a76ff70de02,50,,,"[107.6, 10.2]",3794690,0,,,,1.294311,,Right Foot,True,,"[120.0, 53.9]",,High Pass,,45.425213,,Out,,Denzel Dumfries,,True,,,,1,Regular Play,Donyell Malen,15582.0,Left Center Forward,3,Netherlands,941,['9b1b3e92-7038-4f69-b3e2-7ad7442a3a4f'],40,,,,,,,,,,,,,,,,,Netherlands,00:00:40.917,Pass,,107.6,10.2,120.0,53.9,,,
,,,,,,,,,,,,,,,,,1.416508,,,,,,,,,,,,,f4387424-0302-4924-b282-32fee6bebc98,52,,,"[6.0, 44.0]",3794690,0,True,,,1.2939594,,Right Foot,,,"[13.7, 71.1]",,Ground Pass,,28.172682,,,,Ondrej Celustka,,,,,Goal Kick,1,From Goal Kick,Tomáš Vaclík,11541.0,Goalkeeper,4,Czech Republic,912,['6e1de9d2-4d99-4d84-9ce3-f43db31f3702'],57,,,,,,,,,,,,,,,,,Czech Republic,00:00:57.184,Pass,,6.0,44.0,13.7,71.1,,,
,,,,,,,,,,,,,,,,,1.921911,,,,,,,,,,,,,abfd30a5-1725-43c9-8a28-912c89551bff,54,,,"[13.3, 69.2]",3794690,1,True,,,0.5947593,,Right Foot,,,"[23.5, 76.1]",,Ground Pass,,12.314626,,,,Vladimír Coufal,,,,,,1,From Goal Kick,Ondrej Celustka,30328.0,Right Center Back,4,Czech Republic,912,['fd2b3085-337b-4478-a86e-ced8c17e7458'],0,,,,,,,,,,,,,,,,,Czech Republic,00:01:00.091,Pass,,13.3,69.2,23.5,76.1,,,
,,,,,,,,,,,,,,,,,0.773368,,,,,,,,,,,,,c9a7e76b-9c55-4ae5-bbd9-b841b3c9b8d7,56,,,"[23.7, 76.1]",3794690,1,,,,-0.6219217,,Right Foot,,,"[35.0, 68.0]",,Ground Pass,,13.903237,,,,Lukáš Masopust,,,,,,1,From Goal Kick,Vladimír Coufal,16570.0,Right Back,4,Czech Republic,912,['4fc645a6-3eed-4302-bdf5-e86d68872c58'],3,,,,,,,,,,,,,,,,,Czech Republic,00:01:03.056,Pass,,23.7,76.1,35.0,68.0,,,
,,,,,,,,,,,,,,,,,2.731464,,,,,,,,,,,,,e9549f03-7b8c-44cb-a76e-db0f6379f186,59,,,"[30.6, 59.1]",3794690,1,,,,-1.4690692,,Left Foot,,,"[36.0, 6.2]",,High Pass,,53.1749,,,,Pavel Kadeřábek,,True,,,,1,From Goal Kick,Lukáš Masopust,16472.0,Right Midfield,4,Czech Republic,912,['e0b86b19-c18c-4d09-88a0-d9fe0e16ab5a'],5,,,,,,,,,,,,,,,,,Czech Republic,00:01:05.809,Pass,,30.6,59.1,36.0,6.2,,,
,,,,,,,,,,,,,,,,,1.440547,,,,,,,,,,,,,bf8c1f03-e15e-43a2-8315-0315eb7b4bff,62,,,"[35.6, 2.7]",3794690,1,,,,2.3229964,,Right Foot,,,"[22.5, 16.7]",,Ground Pass,,19.173159,,,,Tomáš Kalas,,,,,,1,From Goal Kick,Pavel Kadeřábek,9397.0,Left Back,4,Czech Republic,912,['bdb80bdc-9318-4a40-8359-248617a1a7ed'],11,,,,,,,,,,,,,,,,,Czech Republic,00:01:11.070,Pass,,35.6,2.7,22.5,16.7,,,
