50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,1.013468,,,,,,,,,,,,,b5174543-a70f-422b-ba66-8f0d6475ac8a,17,,,"[90.1, 14.1]",3788765,0,,,,,3.098454,,Left Foot,,,,"[76.2, 14.7]",,Ground Pass,,13.912944,,,,Granit Xhaka,,,,,,1,From Kick Off,Xherdan Shaqiri,3533.0,Center Attacking Midfield,2,Switzerland,773,['11eedb3a-1465-422b-af36-686e9d38d57f'],11,,,,,,,,,,,,,,,Switzerland,00:00:11.602,Pass,,90.1,14.1,76.2,14.7,,,
,,,,,,,,,,,,,,,1.052318,,,,,,,,,,,,,02802511-9272-4a88-b0c9-24249622dede,20,,,"[71.3, 13.2]",3788765,0,,,,,-2.9521124,,Right Foot,,,,"[56.7, 10.4]",,Ground Pass,,14.866069,,,,Ricardo Iván Rodríguez Araya,,,,,,1,From Kick Off,Granit Xhaka,3500.0,Left Defensive Midfield,2,Switzerland,773,['9d503838-e3af-41b9-a571-2964f420c96f'],13,,,,,,,,,,,,,,,Switzerland,00:00:13.664,Pass,,71.3,13.2,56.7,10.4,,,
,,,,,,,,,,,,,,,1.580319,,,,,,,,,,,,,b4b4f3cc-c76a-4217-8c77-1fbab179110a,22,,,"[56.9, 10.2]",3788765,0,,,,,-0.38050637,,Left Foot,,,,"[73.4, 3.6]",,Ground Pass,,17.771044,,,,Steven Zuber,,,,,,1,From Kick Off,Ricardo Iván Rodríguez Araya,5544.0,Left Center Back,2,Switzerland,773,['d6be184b-fb31-4566-9c87-be8f25c5cb9c'],14,,,,,,,,,,,,,,,Switzerland,00:00:14.716,Pass,,56.9,10.2,73.4,3.6,,,
,,,,,,,,,,,,,,,0.720961,,,,,,,,,,,,,04ba5d38-1d5a-4486-9f10-71ef08cc9351,26,,,"[71.5, 6.6]",3788765,0,,,,,2.4636922,,Right Foot,,,,"[63.8, 12.8]",,Ground Pass,,9.885848,,,,Granit Xhaka,,,,,,1,From Kick Off,Steven Zuber,5548.0,Left Wing Back,2,Switzerland,773,"['39cddc40-da82-4f7c-97c4-bacf23d5ea4b', '565ab4bd-2d2e-4ba0-9cd1-3e4e10e7bf67']",17,,,,,,,,,,,,,,,Switzerland,00:00:17.086,Pass,True,71.5,6.6,63.8,12.8,,,
,,,,,,,,,,,,,,,0.862716,,,,,,,,,,,,,8b054796-7f95-4237-933e-0192ba0cc518,29,,,"[63.8, 13.0]",3788765,0,,,,,-0.09600029,,Left Foot,,,,"[77.3, 11.7]",,High Pass,,13.5624485,,Unknown,,,,,,,,1,From Kick Off,Granit Xhaka,3500.0,Left Defensive Midfield,2,Switzerland,773,,17,,,,,,,,,,,,,,,Switzerland,00:00:17.807,Pass,,63.8,13.0,77.3,11.7,,,
,,,,,,,,,,,,,,,0.871696,,,,,,,,,,,,,11e0741f-bbd9-4d9b-8e8c-feb46ee2c485,32,,,"[29.2, 66.0]",3788765,0,,,,,-0.3327391,,Right Foot,,,,"[42.8, 61.3]",,Ground Pass,,14.389232,,,,Kaan Ayhan,,,,,Free Kick,1,From Free Kick,Merih Demiral,23558.0,Right Center Back,3,Turkey,909,['5c82c9f6-9533-4e20-83bd-ad5cbcc673d9'],35,,,,,,,,,,,,,,,Turkey,00:00:35.758,Pass,,29.2,66.0,42.8,61.3,,,
,,,,,,,,,,,,,,,0.909281,,,,,,,,,,,,,d7422ec2-f6ab-42e6-bf14-0e7d886e268d,35,,,"[37.5, 62.4]",3788765,0,,,,,3.051672,,Right Foot,,,,"[25.3, 63.5]",,Ground Pass,,12.24949,,,,Merih Demiral,,,,,,1,From Free Kick,Kaan Ayhan,12293.0,Center Defensive Midfield,3,Turkey,909,['6ef7300e-856f-44cd-95ab-b6ca6699afd6'],37,,,,,,,,,,,,,,,Turkey,00:00:37.971,Pass,,37.5,62.4,25.3,63.5,,,
,,,,,,,,,,,,,,,4.081808,,,,,,,,,,,,,dea7e8c0-a1c8-40b2-aba7-a37cf480d659,38,,,"[25.5, 63.7]",3788765,0,,,,,-0.25092155,,Right Foot,,,,"[84.8, 48.5]",,High Pass,,61.21707,,Incomplete,,,,,,,,1,From Free Kick,Merih Demiral,23558.0,Right Center Back,3,Turkey,909,['7eb20cfc-46ce-4559-9b28-fff473da9545'],40,,,,,,,,,,,,,,,Turkey,00:00:40.381,Pass,,25.5,63.7,84.8,48.5,,,
,,,,,,,,,,,,,,,2.534735,,,,,,,,,,,,,7eb20cfc-46ce-4559-9b28-fff473da9545,39,,,"[35.3, 31.6]",3788765,0,,,,,1.922415,,Head,,,,"[29.1, 48.5]",,Low Pass,,18.001389,,,,Nico Elvedi,,,,,Recovery,1,Regular Play,Ricardo Iván Rodríguez Araya,5544.0,Left Center Back,4,Switzerland,773,"['617e0ace-4c80-4f43-b323-7ff0b34c365b', 'dea7e8c0-a1c8-40b2-aba7-a37cf480d659']",44,,,,,,,,,,,,,,,Switzerland,00:00:44.463,Pass,,35.3,31.6,29.1,48.5,,,
,,,,,,,,,,,,,,,2.733408,,,,,,,,,,,,,280814cd-6cec-4623-9854-200e5014891c,42,,,"[29.1, 48.5]",3788765,0,,,,,1.0407186,,Right Foot,,,,"[40.0, 67.1]",,Ground Pass,,21.558525,,,,Manuel Obafemi Akanji,,,,,,1,Regular Play,Nico Elvedi,8814.0,Right Center Back,4,Switzerland,773,"['18bc6d9b-232e-47e8-bf9a-dc96d6d27202', '78d32aaf-2dc5-447f-9702-f8438a6fc631']",46,,,,,,,,,,,,,,,Switzerland,00:00:46.997,Pass,True,29.1,48.5,40.0,67.1,,,
,,,,,,,,,,,,,,,0.147131,,,,,,,,,,,,,d93b59a3-8b6b-49b7-b80b-bdf856e79e7d,45,,,"[41.1, 68.6]",3788765,0,,,,,0.8086498,,Right Foot,,,,"[43.2, 70.8]",,Ground Pass,,3.0413814,,Incomplete,,Breel-Donald Embolo,,,,,,1,Regular Play,Manuel Obafemi Akanji,5549.0,Center Back,4,Switzerland,773,"['0025a3e4-1d7d-45de-b5b0-641e378b252d', '2135abae-6da3-4516-850f-a2ff996fb840', '66cbd7fa-f1bb-4daf-83bb-749a28cc4ea2']",49,,,,,,,,,,,,,,,Switzerland,00:00:49.731,Pass,True,41.1,68.6,43.2,70.8,,,
,,,,,,,,,,,,,,,3.427586,,,,,,,,,,,,,d15be86c-0e18-4e25-9afb-ca79b588420d,48,,,"[77.3, 80.0]",3788765,1,,,,,-0.37076786,,,,,,"[116.4, 64.8]",,High Pass,,41.950565,,,,Xherdan Shaqiri,,,,,Throw-in,1,From Throw In,Silvan Widmer,7796.0,Right Wing Back,5,Switzerland,773,['896f7e6d-7d7d-4b5b-815f-e0e192a2125d'],15,,,,,,,,,,,,,,,Switzerland,00:01:15.152,Pass,,77.3,80.0,116.4,64.8,,,
