50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,1.84481,,,,,,,,,,,,,,,,6bd18d47-c8a2-410d-bb58-7ac0bc507e71,18,,,"[22.8, 56.3]",3788769,0,,,,,-1.5873923,,Right Foot,,,,"[22.4, 32.2]",,Ground Pass,,24.10332,,,,,Jannik Vestergaard,,,,,,1,From Free Kick,Simon Thorup Kjær,5534.0,Center Back,4,Denmark,776,['cb4b586b-083c-4370-bed0-ff7b793bfd74'],35,,,,,,,,,,,,,,Denmark,00:00:35.017,Pass,,22.8,56.3,22.4,32.2,,,
,,,,,,,,,,,,,,,,3.569984,,,,,,,,,,,,,,,,fee03709-9e6f-463c-b2d8-bd239a3e6550,21,,,"[36.8, 30.2]",3788769,0,,,,,0.64150167,,Right Foot,,,,"[92.9, 72.1]",,High Pass,,70.02014,,,Incomplete,,Martin Braithwaite Christensen,,,True,,,1,From Free Kick,Jannik Vestergaard,8815.0,Left Center Back,4,Denmark,776,"['3a75e576-241e-418d-bec4-90f0c3eb68d7', '6d8ea409-3893-4f6b-a672-441dd9148917']",41,,,,,,,,,,,,,,Denmark,00:00:41.728,Pass,,36.8,30.2,92.9,72.1,,,
,,,,,,,,,,,,,,,,1.952698,,,,,,,,,,,,,,,,77f9885b-ea97-4fad-80df-5e1f73f5118b,25,,,"[93.4, 80.0]",3788769,0,,True,,,-3.0093417,,,,,,"[71.6, 77.1]",,Low Pass,,21.992044,,,,,Andreas Christensen,,,,,Throw-in,1,From Throw In,Daniel Wass,6797.0,Right Wing Back,5,Denmark,776,['4eeefbb6-3edb-49af-a888-68249a62323e'],53,,,,,,,,,,,,,,Denmark,00:00:53.323,Pass,,93.4,80.0,71.6,77.1,,,
,,,,,,,,,,,,,,,,1.539797,,,,,,,,,,,,,,,,b9431336-cfc1-4b5d-9bcc-0994cbef411f,27,,,"[71.6, 76.4]",3788769,0,,,,,-2.0458071,,Right Foot,,,,"[60.8, 55.4]",,Ground Pass,,23.614403,,,,,Simon Thorup Kjær,,,,,,1,From Throw In,Andreas Christensen,3959.0,Right Center Back,5,Denmark,776,['7ac36b03-68c2-4ec8-8ddb-7c6a7bff1706'],56,,,,,,,,,,,,,,Denmark,00:00:56.265,Pass,,71.6,76.4,60.8,55.4,,,
,,,,,,,,,,,,,,,,1.502345,,,,,,,,,,,,,,,,b7a5d200-ab79-48b6-a9cb-d17ca35663d5,30,,,"[65.4, 54.2]",3788769,1,,,,,1.1240326,,Right Foot,,,,"[75.7, 75.7]",,Ground Pass,,23.839882,,,,,Andreas Christensen,,,,,,1,From Throw In,Simon Thorup Kjær,5534.0,Center Back,5,Denmark,776,['92f9cf2f-f3db-4f01-a378-31aebbd0da8f'],1,,,,,,,,,,,,,,Denmark,00:01:01.781,Pass,,65.4,54.2,75.7,75.7,,,
,,,,,,,,,,,,,,,,3.522905,,,,,,,,,,,,,,,,883df41f-2597-430a-bc39-456a6274503b,35,,,"[37.7, 0.1]",3788769,1,,,,,0.09131163,,,,,,"[79.2, 3.9]",,High Pass,,41.673615,,,Incomplete,,Artem Dzyuba,,,,,Throw-in,1,From Throw In,Fedor Kudryashov,5677.0,Left Center Back,6,Russia,796,"['4ac407ea-ea2d-42cb-a082-1272526400e6', '5915d761-760b-45cf-9b2e-115768920d48']",18,,,,,,,,,,,,,,Russia,00:01:18.130,Pass,,37.7,0.1,79.2,3.9,,,
,,,,,,,,,,,,,,,,4.245706,,,,,,,,,,,,,,,,21723aa2-e249-418a-a6d8-b4c430d70c84,40,,,"[35.2, 75.3]",3788769,1,,,,,-2.2870617,,Left Foot,,,,"[6.3, 42.1]",,Ground Pass,,44.016476,,,,,Kasper Schmeichel,,,,,,1,Regular Play,Simon Thorup Kjær,5534.0,Center Back,7,Denmark,776,"['796e2a16-0a10-450f-a8dd-0aedc5eee777', 'c74acb88-c5a9-4c01-b3ca-9a5712ddd956']",22,,,,,,,,,,,,,,Denmark,00:01:22.260,Pass,True,35.2,75.3,6.3,42.1,,,
,,,,,,,,,,,,,,,,2.211705,,,,,,,,,,,,,,,,9539da9b-1962-4715-8a65-7bc9b55c9ca8,43,,,"[6.3, 42.3]",3788769,1,,,,,-1.1949226,,Right Foot,,,,"[16.6, 16.2]",,Ground Pass,,28.058867,,,,,Jannik Vestergaard,,,,,,1,Regular Play,Kasper Schmeichel,3815.0,Goalkeeper,7,Denmark,776,['0416fb15-1e03-4479-8746-71335e4c24f3'],26,,,,,,,,,,,,,,Denmark,00:01:26.586,Pass,,6.3,42.3,16.6,16.2,,,
,,,,,,,,,,,,,,,,0.211873,,,,,,,,,,,,,,,,d0bdc294-f586-44a5-94da-94e708de35ea,47,,,"[5.6, 10.0]",3788769,1,,,,,-0.10768987,,Left Foot,,,,"[9.3, 9.6]",,Ground Pass,,3.7215588,,,Incomplete,,,,,,,,1,Regular Play,Jannik Vestergaard,8815.0,Left Center Back,7,Denmark,776,['32b9666c-17ef-4f1c-9a34-8e039654a79b'],31,,,,,,,,,,,,,,Denmark,00:01:31.395,Pass,,5.6,10.0,9.3,9.6,,,
,,,,,,,,,,,,,,,,0.841415,,,,,,,,,,,,,,,,eb2402b3-e315-4610-9e40-1100fbfb047d,49,,,"[14.6, 0.1]",3788769,1,,,,,1.2793396,,,,,,"[18.2, 12.1]",,Low Pass,,12.528368,,,,,Pierre-Emile Højbjerg,,,,,Throw-in,1,From Throw In,Joakim Mæhle,16554.0,Left Wing Back,8,Denmark,776,['a36b888a-73e7-4d12-a8a5-b19c08feb616'],43,,,,,,,,,,,,,,Denmark,00:01:43.665,Pass,,14.6,0.1,18.2,12.1,,,
