50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,,1.908797,,,,,,,,,,,,,d46061d0-3a85-4489-a8a7-ff163dce380c,304,,,"[54.6, 65.6]",3794687,5,,,,-2.3864882,,Right Foot,,,,"[47.8, 59.2]",,Ground Pass,9.338094,,,Toby Alderweireld,,,,,,1,From Goal Kick,Kevin De Bruyne,3089.0,Right Attacking Midfield,9,Belgium,782,['c6c37880-8e65-4d34-bd52-a05900f446de'],54,,,,,,,,,,,,,,,Belgium,00:05:54.031,Pass,,54.6,65.6,47.8,59.2,,,
,,,,,,,,,,,,,,,,,,0.881387,,,,,,,,,,,,,cccff42e-e76b-4449-9c61-5e3349d8d351,307,,,"[52.9, 56.8]",3794687,5,,,,-0.521017,,Right Foot,,,,"[64.4, 50.2]",,Ground Pass,13.259336,,,Eden Hazard,,,,,,1,From Goal Kick,Toby Alderweireld,20005.0,Right Center Back,9,Belgium,782,['ec57e483-6eda-462e-95a0-f430dde23839'],59,,,,,,,,,,,,,,,Belgium,00:05:59.686,Pass,,52.9,56.8,64.4,50.2,,,
,,,,,,,,,,,,,,,,,,0.866091,,,,,,,,,,,,,5b37f4e1-30b4-4247-b754-7e441c983b77,311,,,"[64.7, 51.1]",3794687,6,,,,0.88431096,,Right Foot,,,,"[70.6, 58.3]",,Ground Pass,9.3085985,,,Kevin De Bruyne,,,,,,1,From Goal Kick,Eden Hazard,3621.0,Left Attacking Midfield,9,Belgium,782,"['3e16d96c-c431-41ab-af28-f2e71ecafcbc', '49c7fb11-5ae1-4d8a-9814-5ce6a613e639']",0,,,,,,,,,,,,,,,Belgium,00:06:00.608,Pass,True,64.7,51.1,70.6,58.3,,,
,,,,,,,,,,,,,,,,,,0.606477,,,,,,,,,,,,,7a5a330d-2245-4202-93ae-8e8b32247d70,314,,,"[70.6, 58.5]",3794687,6,,,,-0.70492715,,Right Foot,,,,"[77.3, 52.8]",,Low Pass,8.79659,,,Youri Tielemans,,,,,,1,From Goal Kick,Kevin De Bruyne,3089.0,Right Attacking Midfield,9,Belgium,782,['e80d896d-46e1-4903-8de7-d49814bbd72b'],1,,,,,,,,,,,,,,,Belgium,00:06:01.514,Pass,,70.6,58.5,77.3,52.8,,,
,,,,,,,,,,,,,,,,,,2.165565,,,,,,,,,,,,,ae8c6b77-4627-4631-9273-c1e823d11862,317,,,"[77.3, 52.8]",3794687,6,,,,1.0420235,,Right Foot,,,,"[92.9, 79.5]",,High Pass,30.923292,Out,,Thomas Meunier,,,,,,1,From Goal Kick,Youri Tielemans,2954.0,Right Defensive Midfield,9,Belgium,782,['0718a28e-ad4a-45a2-b46e-9092d67c2556'],2,,,,,,,,,,,,,,,Belgium,00:06:02.278,Pass,,77.3,52.8,92.9,79.5,,,
,,,,,,,,,,,,,,,,,,1.233322,,,,,,,,,,,,,4c6df4e4-f453-4370-919f-06e0e902efbc,319,,,"[18.9, 0.1]",3794687,6,,,,0.20102136,,,,,,"[45.4, 5.5]",,High Pass,27.044592,Incomplete,,Diogo José Teixeira da Silva,,,,,Throw-in,1,From Throw In,Raphaël Adelino José Guerreiro,5209.0,Left Back,10,Portugal,780,"['8f6cf452-945d-49b4-83fa-49b42573c067', 'e8ce8399-3944-4f28-b08b-823e4f7f68df']",19,,,,,,,,,,,,,,,Portugal,00:06:19.900,Pass,,18.9,0.1,45.4,5.5,,,
,,,,,,,,,,,,,,,,,,0.87614,,,,,,,,,,,,,67f7f9e2-b51c-49f1-9c3c-eac2d07be513,324,,,"[85.8, 62.2]",3794687,6,,,,-0.66639787,,Right Foot,,,,"[96.1, 54.1]",,Ground Pass,13.103435,,,Eden Hazard,,,,,,1,Regular Play,Kevin De Bruyne,3089.0,Right Attacking Midfield,11,Belgium,782,['cdbe337b-56b4-44a2-a8cf-70a9434e3624'],23,,,,,,,,,,,,,,,Belgium,00:06:23.425,Pass,,85.8,62.2,96.1,54.1,,,
,,,,,,,,,,,,,,,,,,0.673453,,,,,,,,,,,,,6e147dd5-269a-4607-8ecb-5e25a4bbb0e6,327,,,"[96.1, 54.1]",3794687,6,,,,1.0370882,,Right Foot,,,,"[100.0, 60.7]",,Low Pass,7.6661596,,,Romelu Lukaku Menama,,,,,,1,Regular Play,Eden Hazard,3621.0,Left Attacking Midfield,11,Belgium,782,['6bff5d8e-f8c8-4250-9bbb-21e3d7f87b12'],24,,,,,,,,,,,,,,,Belgium,00:06:24.341,Pass,,96.1,54.1,100.0,60.7,,,
,,,,,,,,,,,,,,,,,,0.730728,,,,,,,,,,,,,74fd4a01-e7a5-4862-83d2-9a5bde978dc1,330,,,"[105.9, 57.0]",3794687,6,,,,-0.6647745,,Left Foot,,,,"[109.6, 54.1]",,Ground Pass,4.7010636,Incomplete,,Eden Hazard,,,,,,1,Regular Play,Romelu Lukaku Menama,3289.0,Center Forward,11,Belgium,782,"['2326df27-3478-4aa0-9cc9-58d3ab2e3c73', '5e797dd7-3221-4f24-a5e4-20b5e2b000e9']",25,,,,,,,,,,,,,,,Belgium,00:06:25.529,Pass,,105.9,57.0,109.6,54.1,,,
,,,,,,,,,,,,,,,,,,0.702348,,,,,,,,,,,,,9738ddf0-61a4-4b5a-93bf-9ffea6dd684b,335,,,"[29.1, 4.2]",3794687,6,,,,0.04790852,,Left Foot,,,,"[43.7, 4.9]",,Ground Pass,14.616771,,,Diogo José Teixeira da Silva,,,,,,1,Regular Play,Rúben Santos Gato Alves Dias,5206.0,Left Center Back,12,Portugal,780,['8b1011fb-0b91-4fe8-9816-221baca27d9a'],31,,,,,,,,,,,,,,,Portugal,00:06:31.710,Pass,,29.1,4.2,43.7,4.9,,,
,,,,,,,,,,,,,,,,,,1.214588,,,,,,,,,,,,,62a31418-25bb-454f-8379-bb60c6edcac3,341,,,"[45.6, 0.1]",3794687,6,,,,0.67474097,,,,,,"[56.1, 8.5]",,High Pass,13.446561,Incomplete,,Renato Júnior Luz Sanches,,,,,Throw-in,1,From Throw In,Raphaël Adelino José Guerreiro,5209.0,Left Back,13,Portugal,780,"['51a613c4-a4a6-49c0-a802-ce5f0397354f', '770998cd-d137-4b05-93e2-68a7122f0d33']",51,,,,,,,,,,,,,,,Portugal,00:06:51.671,Pass,,45.6,0.1,56.1,8.5,,,
,,,,,,,,,,,,,,,,,,1.33272,,,,,,,,,,,,,770998cd-d137-4b05-93e2-68a7122f0d33,343,,,"[64.0, 71.6]",3794687,6,,,,-0.5191461,,Head,,,,"[69.6, 68.4]",,Low Pass,6.449806,Incomplete,,Kevin De Bruyne,,,,,Interception,1,From Throw In,Youri Tielemans,2954.0,Right Defensive Midfield,13,Portugal,780,"['62a31418-25bb-454f-8379-bb60c6edcac3', 'a243bcc7-efac-4d4b-95dc-2806f0809e06', 'd55f1b73-d5b0-41dd-883e-0d289905289e']",52,,,,,,,,,,,,,,,Belgium,00:06:52.886,Pass,,64.0,71.6,69.6,68.4,,,
