ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,2.106972,,,,,,,,,,,,9482f042-b6cd-47e4-b628-432d4273c4a7,1884,,,"[35.3, 7.7]",3788767,46,,,,2.2928846,,Right Foot,,,,"[12.4, 33.7]",,Ground Pass,,34.646935,,,,Daniel Bachmann,,,,,,2,Regular Play,David Olatukunbo Alaba,8220.0,Left Back,109,Austria,915,['f99117be-7938-4fa5-b6af-6aa3e7022ff0'],39,,,,,,,,,,,,,,Austria,00:01:39.939,Pass,,35.3,7.7,12.4,33.7,,,
,,,,,,,,,,,,,,,,,2.496565,,,,,,,,,,,,4070f258-a4df-4ad9-953b-994e073ac17b,1888,,,"[14.6, 38.8]",3788767,46,,,,0.8223045,,Right Foot,,,,"[45.9, 72.5]",,High Pass,,45.99326,,,,Stefan Lainer,,,,,,2,Regular Play,Daniel Bachmann,21532.0,Goalkeeper,109,Austria,915,"['e2b048cb-fe7d-43c3-99dd-657ed3a579e1', 'fca43155-33d5-4ee0-8765-b2aba79a910a']",43,,,,,,,,,,,,,,Austria,00:01:43.250,Pass,True,14.6,38.8,45.9,72.5,,,
,,,,,,,,,,,,,,,,,5.384173,,,,,,,,,,,,e58264bd-da7a-4739-b352-5f3da0561c85,1891,,,"[47.3, 76.8]",3788767,46,,,,-0.19058909,,Right Foot,,,,"[115.2, 63.7]",,High Pass,,69.15215,,Incomplete,,Alessandro Schöpf,,,,,,2,Regular Play,Stefan Lainer,8779.0,Right Back,109,Austria,915,"['95041471-3c9d-4d0b-b7f6-cd9cc772cdfa', '962b864c-c3c6-456f-964e-6feda80afde9']",47,,,,,,,,,,,,,,Austria,00:01:47.928,Pass,,47.3,76.8,115.2,63.7,,,
,,,,,,,,,,,,,,,,,2.075695,,,,,,,,,,,,a442e368-edf2-45b7-8e45-5f283ed99f20,1894,,,"[8.5, 17.2]",3788767,46,True,,,-0.3441447,,Left Foot,,,,"[31.1, 9.1]",,Ground Pass,,24.007708,,,,Mykola Matviyenko,,,,,,2,Regular Play,Heorhii Bushchan,22243.0,Goalkeeper,110,Ukraine,911,['0cc98594-3343-4183-8a38-35a5bdfe2ef9'],54,,,,,,,,,,,,,,Ukraine,00:01:54.602,Pass,,8.5,17.2,31.1,9.1,,,
,,,,,,,,,,,,,,,,,1.580539,,,,,,,,,,,,ad0dd6a1-0ad6-4656-bedd-8c1d16b57c9e,1896,,,"[38.4, 36.8]",3788767,47,,,,1.800259,,Left Foot,,,,"[35.2, 50.5]",,Ground Pass,,14.06876,,,,Illia Zabarnyi,,,,,,2,Regular Play,Mykola Matviyenko,18617.0,Left Center Back,110,Ukraine,911,['08c16ec7-3a90-41fb-9c87-7ca213b5a089'],3,,,,,,,,,,,,,,Ukraine,00:02:03.840,Pass,,38.4,36.8,35.2,50.5,,,
,,,,,,,,,,,,,,,,,1.386729,,,,,,,,,,,,ae45ee1c-872a-464c-a336-1cd21cda694e,1899,,,"[36.1, 51.5]",3788767,47,,,,-1.3621968,,Right Foot,,,,"[39.0, 37.8]",,Ground Pass,,14.003571,,,,Mykola Matviyenko,,,,,,2,Regular Play,Illia Zabarnyi,39136.0,Right Center Back,110,Ukraine,911,['6d1731fd-744e-4152-a52f-1cf7b9f9ccfb'],7,,,,,,,,,,,,,,Ukraine,00:02:07.019,Pass,,36.1,51.5,39.0,37.8,,,
,,,,,,,,,,,,,,,,,1.136741,,,,,,,,,,,,09863ba9-4605-45df-b267-df5edb310c62,1902,,,"[43.5, 34.7]",3788767,47,,,,1.69142,,Left Foot,,,,"[41.5, 51.2]",,Ground Pass,,16.62077,,,,Illia Zabarnyi,,,,,,2,Regular Play,Mykola Matviyenko,18617.0,Left Center Back,110,Ukraine,911,['cbfbced7-4228-49e1-b58f-1d0e74950ac6'],10,,,,,,,,,,,,,,Ukraine,00:02:10.758,Pass,,43.5,34.7,41.5,51.2,,,
,,,,,,,,,,,,,,,,,0.868949,,,,,,,,,,,,76075eae-d15a-4f5d-bfd4-8a168e134664,1905,,,"[36.2, 59.1]",3788767,47,,,,0.93070817,,Right Foot,,,,"[43.2, 68.5]",,Ground Pass,,11.720068,,,,Oleksandr Karavaev,,,,,,2,Regular Play,Illia Zabarnyi,39136.0,Right Center Back,110,Ukraine,911,['dc1a3b88-cd12-4725-86b2-c4687df3da5e'],13,,,,,,,,,,,,,,Ukraine,00:02:13.067,Pass,,36.2,59.1,43.2,68.5,,,
,,,,,,,,,,,,,,,,,1.378471,,,,,,,,,,,,daf6738e-3201-45db-a99b-434b031c377a,1908,,,"[45.7, 71.7]",3788767,47,,,,0.35537702,,Right Foot,,,,"[55.4, 75.3]",,Ground Pass,,10.346497,,,,Andriy Yarmolenko,,,,,,2,Regular Play,Oleksandr Karavaev,31900.0,Right Back,110,Ukraine,911,['225018e7-407f-4570-973f-aac11556b1fc'],14,,,,,,,,,,,,,,Ukraine,00:02:14.579,Pass,,45.7,71.7,55.4,75.3,,,
,,,,,,,,,,,,,,,,,1.53132,,,,,,,,,,,,3579e421-7d01-477b-bba4-5394dd449c71,1913,,,"[49.6, 64.6]",3788767,47,,,,-1.7898788,,Left Foot,,,,"[43.9, 39.0]",,Ground Pass,,26.226894,,,,Mykola Matviyenko,,,,,,2,Regular Play,Andriy Yarmolenko,8830.0,Right Wing,110,Ukraine,911,['03261d73-ab89-441f-9b97-763928ad31ca'],19,,,,,,,,,,,,,,Ukraine,00:02:19.322,Pass,,49.6,64.6,43.9,39.0,,,
,,,,,,,,,,,,,,,,,1.691424,,,,,,,,,,,,9bf7122f-9cc0-41f1-9dab-a2be08ccfb79,1916,,,"[64.0, 34.7]",3788767,47,,,,-0.17891717,,Left Foot,,,,"[73.4, 33.0]",,Ground Pass,,9.552486,,,,Mykola Shaparenko,,,,,,2,Regular Play,Mykola Matviyenko,18617.0,Left Center Back,110,Ukraine,911,['5e91287c-1271-494f-9571-932a628b1560'],24,,,,,,,,,,,,,,Ukraine,00:02:24.816,Pass,,64.0,34.7,73.4,33.0,,,
,,,,,,,,,,,,,,,,,1.468878,,,,,,,,,,,,2e1376cd-a08e-422b-9dce-2a8be1ad3632,1919,,,"[85.9, 36.7]",3788767,47,,,,-0.887087,,Right Foot,,,,"[101.3, 17.8]",,Ground Pass,,24.379705,,,,Viktor Tsygankov,,,,,,2,Regular Play,Mykola Shaparenko,21294.0,Right Center Midfield,110,Ukraine,911,['2d35c64b-1260-4640-937e-6857993c0859'],28,,,,,,,,,,,,,,Ukraine,00:02:28.146,Pass,,85.9,36.7,101.3,17.8,,,
