ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,0.920857,,,,,,,,,,,,,c27140af-9161-4dfe-b761-d538a5a49773,18,,,"[35.5, 0.1]",3788757,0,,,,2.6036484,,,,,,"[23.6, 7.2]",,Low Pass,,13.857128,,,,,Jan Vertonghen,,,,,Throw-in,1,From Throw In,Thorgan Hazard,5632.0,Left Wing Back,4,Belgium,782,['e6345d00-6761-4d42-aa44-7ccc355451b4'],39,,,,,,,,,,,,,,,Belgium,00:00:39.705,Pass,,35.5,0.1,23.6,7.2,,,
,,,,,,,,,,,,,,,,3.313226,,,,,,,,,,,,,50c4d7f7-95e7-474b-b633-e26f9b65ea1e,21,,,"[22.7, 7.4]",3788757,0,,,,0.24558035,,Left Foot,,,,"[61.8, 17.2]",,High Pass,,40.30943,,,Incomplete,,Yannick Ferreira Carrasco,,,,,,1,From Throw In,Jan Vertonghen,3077.0,Left Center Back,4,Belgium,782,"['6a67aaeb-f292-400a-9c06-7076591ae641', '7f485893-39a1-4282-b1ca-b54b51c861f3']",40,,,,,,,,,,,,,,,Belgium,00:00:40.666,Pass,,22.7,7.4,61.8,17.2,,,
,,,,,,,,,,,,,,,,2.62202,,,,,,,,,,,,,7f485893-39a1-4282-b1ca-b54b51c861f3,23,,,"[58.3, 62.9]",3788757,0,,,True,0.36717382,,,,,,"[84.3, 72.9]",,High Pass,,27.856777,,,Incomplete,,Martin Braithwaite Christensen,,,,,Recovery,1,From Throw In,Simon Thorup Kjær,5534.0,Center Back,4,Belgium,782,"['142097a6-7f91-4d81-94fd-d9f0319916bf', '409719da-318a-432c-a359-59e83b645fd6', '50c4d7f7-95e7-474b-b633-e26f9b65ea1e', '71cb5019-2545-4b6f-ae5a-13308be07530']",43,,,,,,,,,,,,,,,Denmark,00:00:43.979,Pass,True,58.3,62.9,84.3,72.9,,,
,,,,,,,,,,,,,,,,3.201334,,,,,,,,,,,,,ef1c1810-518f-432e-90ef-9f867e70969e,28,,,"[73.9, 71.4]",3788757,0,,,,-0.552173,,Right Foot,,,,"[106.2, 51.5]",,High Pass,,37.938107,,,Incomplete,,Yussuf Yurary Poulsen,,,,,Recovery,1,From Throw In,Pierre-Emile Højbjerg,3570.0,Right Defensive Midfield,4,Belgium,782,"['408f1cf1-773c-433d-b564-d663477babaa', 'e50866e8-aef1-4727-bdc8-99e62bb5c1f9']",47,,,,,,,,,,,,,,,Denmark,00:00:47.693,Pass,,73.9,71.4,106.2,51.5,,,
,,,,,,,,,,,,,,,,0.959867,,,,,,,,,,,,,309f48fe-61ae-4636-b788-7e11c76471a3,32,,,"[8.8, 45.3]",3788757,0,,,,-1.4751981,,Keeper Arm,,,,"[9.5, 38.0]",,Ground Pass,,7.3334846,,,,,Jason Denayer,,,,,,1,From Keeper,Thibaut Courtois,3509.0,Goalkeeper,5,Belgium,782,['7280d90b-77af-4d5b-9f83-4d9edd0068f8'],57,,,,,,,,,,,,,,,Belgium,00:00:57.802,Pass,,8.8,45.3,9.5,38.0,,,
,,,,,,,,,,,,,,,,1.444086,,,,,,,,,,,,,ca81ceff-59f2-46b0-b939-fe2ee843347e,35,,,"[8.4, 36.3]",3788757,0,,,,-1.456356,,Right Foot,,,,"[11.4, 10.2]",,Ground Pass,,26.271849,,,,,Jan Vertonghen,,,,,,1,From Keeper,Jason Denayer,13116.0,Center Back,5,Belgium,782,['d9dadd32-3012-4667-b905-0e9ed68d6398'],59,,,,,,,,,,,,,,,Belgium,00:00:59.748,Pass,,8.4,36.3,11.4,10.2,,,
,,,,,,,,,,,,,,,,2.035439,,,,,,,,,,,,,c7251307-508c-4f25-9403-80c4709b352c,37,,,"[12.7, 9.4]",3788757,1,True,,,0.0864889,,Left Foot,,,,"[64.6, 13.9]",,High Pass,,52.094723,,,,,Romelu Lukaku Menama,,,,,,1,From Keeper,Jan Vertonghen,3077.0,Left Center Back,5,Belgium,782,['4b3bdc01-3c5c-4bf9-adca-b76916257ba7'],2,,,,,,,,,,,,,,,Belgium,00:01:02.745,Pass,,12.7,9.4,64.6,13.9,,,
,,,,,,,,,,,,,,,,1.324021,,,,,,,,,,,,,1caa440d-367a-427a-8078-8ba0bbc0a4a2,39,,,"[64.6, 14.1]",3788757,1,,,,3.0216887,,Other,,,True,"[56.3, 15.1]",,Low Pass,,8.3600235,,,,,Yannick Ferreira Carrasco,,,,,,1,From Keeper,Romelu Lukaku Menama,3289.0,Center Forward,5,Belgium,782,['b05888ca-73f5-4eb9-99ad-8ca41528e369'],4,,,,,,,,,,,,,,,Belgium,00:01:04.780,Pass,,64.6,14.1,56.3,15.1,,,
,,,,,,,,,,,,,,,,1.17774,,,,,,,,,,,,,008340fe-ce6c-4787-994d-1936ef30c850,45,,,"[46.3, 70.7]",3788757,1,,,,-2.333471,,Right Foot,,,,"[42.0, 66.2]",,Ground Pass,,6.2241464,,,,,Pierre-Emile Højbjerg,,,,,Recovery,1,Regular Play,Andreas Christensen,3959.0,Right Center Back,6,Denmark,776,['d4567504-3415-4021-9051-fc244b0fb98e'],9,,,,,,,,,,,,,,,Denmark,00:01:09.273,Pass,,46.3,70.7,42.0,66.2,,,
,,,,,,,,,,,,,,,,0.703654,,,,,,,,,,,,,ccf0ce4f-8427-4cc4-8443-286095471ccf,48,,,"[54.2, 69.5]",3788757,1,,,,-1.4680665,,Right Foot,,,,"[55.2, 59.8]",,Ground Pass,,9.7514105,,,,,Thomas Delaney,,,,,,1,Regular Play,Pierre-Emile Højbjerg,3570.0,Right Defensive Midfield,6,Denmark,776,['ead11d1e-04f0-49fa-8e3c-2f84f33ba3dc'],10,,,,,,,,,,,,,,,Denmark,00:01:10.536,Pass,,54.2,69.5,55.2,59.8,,,
,,,,,,,,,,,,,,,,5.108592,,,,,,,,,,,,,2f350e16-f9d3-4a8a-b0a1-5843ec205818,51,,,"[55.2, 59.8]",3788757,1,,,,0.16514868,,Left Foot,,,,"[113.4, 69.5]",,High Pass,,59.002796,,,Pass Offside,,Martin Braithwaite Christensen,,,,,,1,Regular Play,Thomas Delaney,5527.0,Left Defensive Midfield,6,Denmark,776,['a48a31e8-6818-40a5-8c02-a336e8455e70'],11,,,,,,,,,,,,,,,Denmark,00:01:11.279,Pass,,55.2,59.8,113.4,69.5,,,
,,,,,,,,,,,,,,,,1.518436,,,,,,,,,,,,,d2bd7121-bc85-4c3a-a310-c0d7223b5f01,53,,,"[7.5, 12.4]",3788757,1,True,,,0.21576619,,Left Foot,,,,"[22.1, 15.6]",,Ground Pass,,14.946571,,,,,Youri Tielemans,,,,,Free Kick,1,From Free Kick,Jan Vertonghen,3077.0,Left Center Back,7,Belgium,782,['feb4a570-d5b0-4dc7-9b1b-138631ba733e'],25,,,,,,,,,,,,,,,Belgium,00:01:25.593,Pass,,7.5,12.4,22.1,15.6,,,
