ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,1.877681,,,,,,,,,,,,2c151b83-c39e-4d10-8d9c-a29c18d92a3a,2983,,"[70.4, 20.7]",3788745,82,,,,-0.727023,,Right Foot,,,,"[86.7, 6.2]",,Ground Pass,,21.81605,,,Ivan Perišić,,,,,,,2,Regular Play,Luka Modrić,5463.0,Right Center Midfield,130,Croatia,785,['988507e3-6b26-47c9-b0c6-680084106544'],6,,,,,,,,,,,,,,Croatia,00:37:06.406,Pass,,70.4,20.7,86.7,6.2,,,
,,,,,,,,,,,,,,,,,0.653832,,,,,,,,,,,,989bc255-ff22-4cf4-9578-a94fa72d4da0,2986,,"[105.1, 17.1]",3788745,82,,,,1.6150153,,Right Foot,,,,"[104.6, 28.4]",,Ground Pass,,11.311056,,,Nikola Vlašić,,,,,,,2,Regular Play,Ivan Perišić,5474.0,Left Wing,130,Croatia,785,['946703f2-e78d-42e5-846b-fc48afb62df2'],12,,,,,,,,,,,,,,Croatia,00:37:12.098,Pass,,105.1,17.1,104.6,28.4,,,
,,,,,,,,,,,,,,,,,0.707763,,,,,,,,,,,,0834c804-1073-4f48-b728-2785713372e3,2989,,"[105.5, 26.5]",3788745,82,,,,2.692507,,Right Foot,,,,"[97.2, 30.5]",,Ground Pass,,9.213577,,Incomplete,Luka Modrić,,,,,,,2,Regular Play,Nikola Vlašić,3441.0,Center Defensive Midfield,130,Croatia,785,"['0451640f-449d-4619-9b8c-b31c75b453e0', 'b3071e64-9de9-42c7-bd23-c175f8e4141a']",13,,,,,,,,,,,,,,Croatia,00:37:13.826,Pass,,105.5,26.5,97.2,30.5,,,
,,,,,,,,,,,,,,,,,0.80555,,,,,,,,,,,,c759dbc7-8d8f-4880-bcb9-2f46c4a23495,2992,,"[32.8, 46.1]",3788745,82,,,,1.9428641,,Right Foot,,,,"[29.6, 54.3]",,Ground Pass,,8.802273,,,Jude Bellingham,,,,,,Recovery,2,Regular Play,Marcus Rashford,3318.0,Center Forward,130,Croatia,785,['80c0341b-5978-4cce-a660-bbbda38815f4'],15,,,,,,,,,,,,,,England,00:37:15.542,Pass,,32.8,46.1,29.6,54.3,,,
,,,,,,,,,,,,,,,,,0.69283,,,,,,,,,,,,9b38377c-2989-4e6a-903b-abb4223077cb,2997,,"[84.1, 23.5]",3788745,82,,,,2.2111528,,Left Foot,,,,"[80.3, 28.6]",,Ground Pass,,6.3600316,,,Mateo Kovačić,,,,,,Recovery,2,Regular Play,Joško Gvardiol,33018.0,Left Back,130,Croatia,785,['ba448fa4-5315-4cc9-93e7-f86061a88a3d'],17,,,,,,,,,,,,,,Croatia,00:37:17.321,Pass,,84.1,23.5,80.3,28.6,,,
,,,,,,,,,,,,,,,,,1.159219,,,,,,,,,,,,6ed4a47c-0715-4ade-abe9-30c0e5e5bc38,3005,,"[80.5, 32.7]",3788745,82,,,,1.5202066,,Right Foot,,,,"[80.9, 40.6]",,Ground Pass,,7.91012,,Incomplete,Luka Modrić,,,,,,,2,Regular Play,Mateo Kovačić,5456.0,Left Center Midfield,130,Croatia,785,"['1714af39-bc7f-45d7-b3e5-6e9a844f4edd', '9041d45e-4937-4a2b-baea-ffd85530e47e']",20,,,,,,,,,,,,,,Croatia,00:37:20.199,Pass,,80.5,32.7,80.9,40.6,,,
,,,,,,,,,,,,,,,,,3.62654,,,,,,,,,,,,0faf11c0-a65f-4e73-9f31-00089c572832,3009,,"[43.3, 31.4]",3788745,82,,,,-0.01800133,,Right Foot,,,,"[104.4, 30.3]",,High Pass,,61.1099,,Incomplete,Marcus Rashford,,,,Through Ball,True,Recovery,2,Regular Play,Raheem Sterling,3233.0,Left Wing,130,Croatia,785,"['599b91ba-d1ae-488e-b3a3-1fe5e6c6e601', '73b14a03-bd60-4a28-883d-e9ab585da58e']",23,,,,,,,,,,,,,,England,00:37:23.052,Pass,,43.3,31.4,104.4,30.3,,,
,,,,,,,,,,,,,,,,,1.609306,,,,,,,,,,,,3e7629fb-9e55-44a9-a1c0-ec99674768a3,3013,,"[16.9, 49.2]",3788745,82,,,,-1.0326898,,Keeper Arm,,,,"[28.3, 30.1]",,Ground Pass,,22.243425,,,Duje Ćaleta-Car,,,,,,,2,Regular Play,Dominik Livaković,16531.0,Goalkeeper,130,Croatia,785,['b45b335c-823d-4f23-83a0-5a736de584b7'],28,,,,,,,,,,,,,,Croatia,00:37:28.372,Pass,,16.9,49.2,28.3,30.1,,,
,,,,,,,,,,,,,,,,,1.100387,,,,,,,,,,,,77fca7d3-245d-4f23-8bba-c2deb63306d9,3016,,"[39.2, 29.3]",3788745,82,,,,-0.05463308,,Right Foot,,,,"[52.0, 28.6]",,Ground Pass,,12.819126,,,Mateo Kovačić,,,,,,,2,Regular Play,Duje Ćaleta-Car,6307.0,Left Center Back,130,Croatia,785,['cb744a34-586f-4e8e-a98f-4851bcf2c8e0'],32,,,,,,,,,,,,,,Croatia,00:37:32.473,Pass,,39.2,29.3,52.0,28.6,,,
,,,,,,,,,,,,,,,,,0.899009,,,,,,,,,,,,11bfd98c-3bd3-48e7-8853-86d11b1e4910,3019,,"[55.9, 27.8]",3788745,82,,,,-0.53872746,,Right Foot,,,,"[64.6, 22.6]",,Ground Pass,,10.135581,,,Nikola Vlašić,,,,,,,2,Regular Play,Mateo Kovačić,5456.0,Left Center Midfield,130,Croatia,785,['166d98a7-ed05-4305-a833-218547a24d1c'],35,,,,,,,,,,,,,,Croatia,00:37:35.049,Pass,,55.9,27.8,64.6,22.6,,,
,,,,,,,,,,,,,,,,,1.26272,,,,,,,,,,,,e6ca097a-57b2-492d-9770-7e85e2832f6c,3022,,"[64.6, 21.1]",3788745,82,,,,-1.5847814,,Right Foot,,,,"[64.4, 6.8]",,Ground Pass,,14.301398,,,Joško Gvardiol,,,,,,,2,Regular Play,Nikola Vlašić,3441.0,Center Defensive Midfield,130,Croatia,785,['6f0cbd48-7e7d-4ad4-b1ba-97940a06d988'],37,,,,,,,,,,,,,,Croatia,00:37:37.727,Pass,,64.6,21.1,64.4,6.8,,,
,,,,,,,,,,,,,,,,,0.840252,,,,,,,,,,,,7d1165af-fc19-4545-85bc-4033e49e0131,3025,,"[62.9, 10.4]",3788745,82,,,,1.8707435,,Left Foot,,,,"[59.9, 20.1]",,Ground Pass,,10.153324,,,Mateo Kovačić,,,,,,,2,Regular Play,Joško Gvardiol,33018.0,Left Back,130,Croatia,785,['33e2e2c4-a2bd-441b-8b92-5d370d514130'],40,,,,,,,,,,,,,,Croatia,00:37:40.177,Pass,,62.9,10.4,59.9,20.1,,,
,,,,,,,,,,,,,,,,,1.721269,,,,,,,,,,,,83b8cb96-7705-430e-8aae-2773bdbdfd7d,3028,,"[62.9, 25.2]",3788745,82,,,,1.5785782,,Right Foot,,,,"[62.7, 50.9]",,Ground Pass,,25.700779,,,Domagoj Vida,,,,,,,2,Regular Play,Mateo Kovačić,5456.0,Left Center Midfield,130,Croatia,785,['3e4199ce-7b01-4e8f-9609-397044904022'],42,,,,,,,,,,,,,,Croatia,00:37:42.665,Pass,,62.9,25.2,62.7,50.9,,,
,,,,,,,,,,,,,,,,,1.362452,,,,,,,,,,,,47a73792-2d34-402c-ab9c-c725a9cb99af,3031,,"[69.8, 60.9]",3788745,82,,,,0.8147057,,Right Foot,,,,"[84.7, 76.7]",,Ground Pass,,21.717505,,,Josip Brekalo,,,,,,,2,Regular Play,Domagoj Vida,5468.0,Right Center Back,130,Croatia,785,['638dd224-effa-4bb3-b8e7-bf0a521a0280'],45,,,,,,,,,,,,,,Croatia,00:37:45.892,Pass,,69.8,60.9,84.7,76.7,,,
,,,,,,,,,,,,,,,,,1.188309,,,,,,,,,,,,cc26a3a2-256a-4203-923d-3e49295028f1,3034,,"[77.3, 72.0]",3788745,82,,,,-2.350134,,Left Foot,,,,"[69.1, 63.7]",,Ground Pass,,11.667476,,,Domagoj Vida,,,,,,,2,Regular Play,Josip Brekalo,8946.0,Right Wing,130,Croatia,785,['ded0f928-f6d1-456e-86bb-f92c144a8040'],48,,,,,,,,,,,,,,Croatia,00:37:48.701,Pass,,77.3,72.0,69.1,63.7,,,
