50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,,,3.449626,,,,,,,,,,,,,3ea1eb98-39a5-4838-bc20-c876a4597bd2,1546,,,"[20.3, 11.5]",3788750,39,,,,2.1347225,,Right Foot,,,,"[8.6, 30.0]",Ground Pass,,21.889267,,,,Unai Simón Mendibil,,,,,Recovery,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,61,Spain,772,"['04548367-2f17-4d65-aa81-cf22fac49b77', '2bf94d36-db8f-4067-863f-fb235ea2fc82']",22,,,,,,,,,,,,,,,Spain,00:39:22.449,Pass,,20.3,11.5,8.6,30.0,,,
,,,,,,,,,,,,,,,,,,,2.66554,,,,,,,,,,,,,2dfbcafa-0741-4c41-b1eb-108616809efc,1548,,,"[5.9, 34.7]",3788750,39,,,,1.1746405,,Right Foot,,,,"[14.6, 55.5]",Ground Pass,,22.546175,,,,Aymeric Laporte,,,,,,1,Regular Play,Unai Simón Mendibil,11748.0,Goalkeeper,61,Spain,772,['fd900237-6639-48ef-9f66-e8a0c33aeec6'],25,,,,,,,,,,,,,,,Spain,00:39:25.899,Pass,,5.9,34.7,14.6,55.5,,,
,,,,,,,,,,,,,,,,,,,1.193923,,,,,,,,,,,,,1e25d6fa-56b7-4454-bc87-b6cc6cc858b5,1550,,,"[14.4, 55.3]",3788750,39,,,,-0.21608497,,Right Foot,,,,"[26.7, 52.6]",Ground Pass,,12.592855,,,,Jorge Resurrección Merodio,,,,,,1,Regular Play,Aymeric Laporte,4353.0,Right Center Back,61,Spain,772,['2a490dbf-61a2-4343-9681-0e829164a149'],28,,,,,,,,,,,,,,,Spain,00:39:28.564,Pass,,14.4,55.3,26.7,52.6,,,
,,,,,,,,,,,,,,,,,,,0.734602,,,,,,,,,,,,,bb2aaef6-83b6-42b5-81f0-23ab55d71da9,1552,,,"[26.7, 52.6]",3788750,39,,,,-2.0915246,,Left Foot,,,,"[22.8, 45.8]",Ground Pass,,7.839005,,,,Rodrigo Hernández Cascante,,,,,,1,Regular Play,Jorge Resurrección Merodio,5199.0,Right Center Midfield,61,Spain,772,['3a7bd2d3-fc0f-4d49-96d1-d817cc044cbe'],29,,,,,,,,,,,,,,,Spain,00:39:29.758,Pass,,26.7,52.6,22.8,45.8,,,
,,,,,,,,,,,,,,,,,,,2.137101,,,,,,,,,,,,,e6efc1e9-4814-46d0-9f75-582ad23d7c20,1555,,,"[22.8, 46.0]",3788750,39,,,,1.206672,,Right Foot,,,,"[33.7, 74.6]",Ground Pass,,30.606699,,,,Marcos Llorente Moreno,,,,,,1,Regular Play,Rodrigo Hernández Cascante,6765.0,Center Defensive Midfield,61,Spain,772,['fa4deb33-0703-48ee-b46a-3c82353bf7bc'],31,,,,,,,,,,,,,,,Spain,00:39:31.280,Pass,,22.8,46.0,33.7,74.6,,,
,,,,,,,,,,,,,,,,,,,1.235868,,,,,,,,,,,,,3045b674-d1ac-4b78-a5d3-958d5ae64acb,1558,,,"[49.5, 75.4]",3788750,39,,,,-0.5915997,,Right Foot,,,,"[62.3, 66.8]",Ground Pass,,15.420765,,,,Jorge Resurrección Merodio,,,,,,1,Regular Play,Marcos Llorente Moreno,6840.0,Right Back,61,Spain,772,['13285cd5-96ba-4042-aab2-e342a8395202'],36,,,,,,,,,,,,,,,Spain,00:39:36.217,Pass,,49.5,75.4,62.3,66.8,,,
,,,,,,,,,,,,,,,,,,,0.850179,,,,,,,,,,,,,1dba8534-bb54-41c8-a153-6ef652de8e6d,1561,,,"[62.3, 66.8]",3788750,39,,,,2.976444,,Right Foot,,,,"[53.9, 68.2]",Ground Pass,,8.515867,,,,Marcos Llorente Moreno,,,,,,1,Regular Play,Jorge Resurrección Merodio,5199.0,Right Center Midfield,61,Spain,772,['7b1838e6-69f2-4483-ab98-cee7670d7a42'],38,,,,,,,,,,,,,,,Spain,00:39:38.115,Pass,,62.3,66.8,53.9,68.2,,,
,,,,,,,,,,,,,,,,,,,2.253224,,,,,,,,,,,,,a8676795-0e77-423c-91e0-12fc87ae78af,1564,,,"[56.1, 63.9]",3788750,39,,,,-1.6541061,,Right Foot,,,,"[52.0, 14.8]",High Pass,,49.270885,,,,Jordi Alba Ramos,,True,,,,1,Regular Play,Marcos Llorente Moreno,6840.0,Right Back,61,Spain,772,['3db916e6-20fb-41fd-aaed-9b43b61731ca'],40,,,,,,,,,,,,,,,Spain,00:39:40.607,Pass,,56.1,63.9,52.0,14.8,,,
,,,,,,,,,,,,,,,,,,,1.663382,,,,,,,,,,,,,6dffd548-3a54-4401-8204-16b29286e4b5,1567,,,"[53.2, 13.5]",3788750,39,,,,-0.48384687,,Left Foot,,,,"[72.8, 3.2]",Ground Pass,,22.14159,,,,Daniel Olmo Carvajal,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,61,Spain,772,['c78fbf8a-4b29-443a-a566-53f322936a82'],43,,,,,,,,,,,,,,,Spain,00:39:43.829,Pass,,53.2,13.5,72.8,3.2,,,
,,,,,,,,,,,,,,,,,,,1.051055,,,,,,,,,,,,,b3ae74d3-e566-43b4-a16b-bd5d478c258d,1570,,,"[98.7, 10.4]",3788750,39,,,,0.63965005,,Right Foot,,,,"[111.2, 19.7]",Ground Pass,,15.580115,,Pass Offside,,Álvaro Borja Morata Martín,,,,,,1,Regular Play,Daniel Olmo Carvajal,16532.0,Left Wing,61,Spain,772,['b96a4352-8938-4b41-8d38-b991df45e4b5'],51,,,,,,,,,,,,,,,Spain,00:39:51.071,Pass,,98.7,10.4,111.2,19.7,,,
,,,,,,,,,,,,,,,,,,,3.756607,,,,,,,,,,,,,d0815185-58b0-4e53-a768-a61cb23b9b9c,1572,,,"[22.8, 58.8]",3788750,40,,,,0.36704034,,Right Foot,,,,"[73.0, 78.1]",High Pass,,53.782246,,,,Sebastian Larsson,,,,,Free Kick,1,From Free Kick,Robin Olsen,5622.0,Goalkeeper,62,Sweden,790,['ac3a546d-a87d-47fd-b8c1-a91e821512d6'],29,,,,,,,,,,,,,,,Sweden,00:40:29.257,Pass,,22.8,58.8,73.0,78.1,,,
