50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,,2.294621,,,,,,,,,,,,,,1f29c5bd-22ee-4d0a-a6c3-fbcee76183d1,804,,"[57.2, 50.0]",3795107,18,,,,,-1.1170405,,Right Foot,,,,"[79.0, 5.3]",,High Pass,,49.732586,,,Leonardo Spinazzola,,True,,,,1,Regular Play,Leonardo Bonucci,7173.0,Right Center Back,35,Italy,914,['f161f4ad-22b5-420c-8d62-fd768ce2c059'],1,,,,,,,,,,,,,,,,Italy,00:18:01.642,Pass,,57.2,50.0,79.0,5.3,,,
,,,,,,,,,,,,,,,,,,0.872216,,,,,,,,,,,,,,85fda3f9-8d4d-405f-ae8e-512abdc59b27,807,,"[91.6, 5.5]",3795107,18,,,,,3.0118902,,Left Foot,,,,"[84.7, 6.4]",,Ground Pass,,6.958448,,,Lorenzo Insigne,,,,,,1,Regular Play,Leonardo Spinazzola,8286.0,Left Back,35,Italy,914,['08dc5f2f-54b0-4544-b413-de2a66a6e9a1'],9,,,,,,,,,,,,,,,,Italy,00:18:09.437,Pass,,91.6,5.5,84.7,6.4,,,
,,,,,,,,,,,,,,,,,,0.755977,,,,,,,,,,,,,,a7d8567f-aca9-4cd1-963d-52f678e73737,810,,"[84.3, 7.9]",3795107,18,,,,,0.94200003,,Right Foot,,,,"[89.9, 15.6]",,Ground Pass,,9.521029,,,Marco Verratti,,,,,,1,Regular Play,Lorenzo Insigne,7037.0,Left Wing,35,Italy,914,['46538ff2-a44b-495e-9208-4d74a49d0c4b'],12,,,,,,,,,,,,,,,,Italy,00:18:12.143,Pass,,84.3,7.9,89.9,15.6,,,
,,,,,,,,,,,,,,,,,,0.848043,,,,,,,,,,,,,,74623d2c-ff7c-4f9f-a6b2-33d5ff7d6af4,813,,"[92.0, 15.1]",3795107,18,,,,,0.93804747,,Right Foot,,,,"[98.6, 24.1]",,Ground Pass,,11.1606455,,,Ciro Immobile,,,,,,1,Regular Play,Marco Verratti,3166.0,Left Center Midfield,35,Italy,914,['dca86b08-3c25-4531-a463-d2072f6c2ed2'],14,,,,,,,,,,,,,,,,Italy,00:18:14.666,Pass,,92.0,15.1,98.6,24.1,,,
,,,,,,,,,,,,,,,,,,2.035006,,,,,,,,,,,,,,7f2f5bef-a975-4b3e-bfdc-911ce0b95632,822,,"[29.6, 11.1]",3795107,18,,,,,0.5371692,,Right Foot,,,,"[43.2, 19.2]",,Ground Pass,,15.829403,,,Giorgio Chiellini,,,,,,1,Regular Play,Gianluigi Donnarumma,7036.0,Goalkeeper,35,Italy,914,['2c717a72-9156-46df-92aa-92db0d6b9220'],23,,,,,,,,,,,,,,,,Italy,00:18:23.139,Pass,,29.6,11.1,43.2,19.2,,,
,,,,,,,,,,,,,,,,,,1.915069,,,,,,,,,,,,,,f0dd52a7-dc39-448f-b0c8-ff3af2d13c1a,825,,"[43.5, 19.4]",3795107,18,,,,,1.431802,,Right Foot,,,,"[46.2, 38.7]",,Ground Pass,,19.487946,,,Leonardo Bonucci,,,,,,1,Regular Play,Giorgio Chiellini,6954.0,Left Center Back,35,Italy,914,['9ba4e5f0-9cdb-4d41-9403-eec512ca9aeb'],25,,,,,,,,,,,,,,,,Italy,00:18:25.254,Pass,,43.5,19.4,46.2,38.7,,,
,,,,,,,,,,,,,,,,,,1.529542,,,,,,,,,,,,,,b14a4ff4-96cb-44e0-9820-39dbfaf9e646,828,,"[50.9, 41.2]",3795107,18,,,,,-1.399496,,Right Foot,,,,"[55.0, 17.5]",,Ground Pass,,24.052027,,,Giorgio Chiellini,,,,,,1,Regular Play,Leonardo Bonucci,7173.0,Right Center Back,35,Italy,914,['8f1f3126-c65b-4ab4-a6ed-d40fba68f4c1'],29,,,,,,,,,,,,,,,,Italy,00:18:29.810,Pass,,50.9,41.2,55.0,17.5,,,
,,,,,,,,,,,,,,,,,,1.178986,,,,,,,,,,,,,,d044b6f8-1b87-4471-82c4-ea3ac7e6b4bf,831,,"[56.9, 17.5]",3795107,18,,,,,-0.6865478,,Right Foot,,,,"[70.2, 6.6]",,Ground Pass,,17.19593,,,Marco Verratti,,,,,,1,Regular Play,Giorgio Chiellini,6954.0,Left Center Back,35,Italy,914,['81582049-9726-4546-a310-18a365917c44'],32,,,,,,,,,,,,,,,,Italy,00:18:32.199,Pass,,56.9,17.5,70.2,6.6,,,
,,,,,,,,,,,,,,,,,,1.779253,,,,,,,,,,,,,,d8d83ce9-dea8-4f61-9e30-fbbdd41a394b,834,,"[64.6, 9.4]",3795107,18,,,,,2.1660662,,Right Foot,,,,"[43.2, 41.0]",,Low Pass,,38.164383,,,Leonardo Bonucci,,,,,,1,Regular Play,Marco Verratti,3166.0,Left Center Midfield,35,Italy,914,['49a0644f-fc89-4561-90a6-e451e2b4aa8d'],35,,,,,,,,,,,,,,,,Italy,00:18:35.098,Pass,,64.6,9.4,43.2,41.0,,,
,,,,,,,,,,,,,,,,,,1.256991,,,,,,,,,,,,,,771a37b0-5978-49b4-8ed8-4b8a5c6e1c8d,837,,"[42.4, 45.1]",3795107,18,,,,,1.272738,,Right Foot,,,,"[52.2, 77.0]",,Ground Pass,,33.371395,,,Giovanni Di Lorenzo,,,,,,1,Regular Play,Leonardo Bonucci,7173.0,Right Center Back,35,Italy,914,['3ba32805-8f97-4a9f-8651-e525b856d547'],40,,,,,,,,,,,,,,,,Italy,00:18:40.328,Pass,,42.4,45.1,52.2,77.0,,,
