ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_penalty_saved_to_post,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,397b5901-c9b2-4aa6-895b-8d536224c118,4773,,,,3795506,120,,,,,,,,,,,,,,,,,,,,,,,,,,5,From Throw In,,,,212,England,768,['dc73f5ca-02c1-4b90-9a92-bce373a8c704'],0,,,,,,,,,,,,,,,,,,Italy,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,dc73f5ca-02c1-4b90-9a92-bce373a8c704,4774,,,,3795506,120,,,,,,,,,,,,,,,,,,,,,,,,,,5,From Throw In,,,,212,England,768,['397b5901-c9b2-4aa6-895b-8d536224c118'],0,,,,,,,,,,,,,,,,,,England,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,0.663637,,,,,,,,,,,,,,,,0aee931f-9614-4879-b3e8-fd9d7cc80c59,5,,,"[60.0, 40.0]",3795506,0,,,,,-2.566893,,Right Foot,,,,"[49.5, 33.2]",,Ground Pass,,12.509596,,,,,Marco Verratti,,,,,Kick Off,1,From Kick Off,Ciro Immobile,7788.0,Center Forward,2,Italy,914,['307667b2-cc0e-4cf3-8528-ba4c86a1ba83'],0,,,,,,,,,,,,,,,,,,Italy,00:00:00.286,Pass,,60.0,40.0,49.5,33.2,,,
,,,,,,,,,,,,,,1.752085,,,,,,,,,,,,,,,,9440989a-b1a0-4142-9907-1c9e69559ac7,8,,,"[48.0, 35.7]",3795506,0,,,,,1.8224863,,Right Foot,,,,"[39.0, 70.7]",,Ground Pass,,36.138622,,,,,Giovanni Di Lorenzo,,,,,,1,From Kick Off,Marco Verratti,3166.0,Left Center Midfield,2,Italy,914,['a4d7d7f5-f0e1-4b9f-9f38-861f2d52608a'],2,,,,,,,,,,,,,,,,,,Italy,00:00:02.177,Pass,,48.0,35.7,39.0,70.7,,,
,,,,,,,,,,,,,,2.070417,,,,,,,,,,,,,,,,7cc5e22d-caff-46b1-8adf-fb1f3e3bdc1e,11,,,"[39.2, 68.4]",3795506,0,,,,,-2.153463,,Right Foot,,,,"[24.9, 46.7]",,Ground Pass,,25.988073,,,,,Leonardo Bonucci,,,,,,1,From Kick Off,Giovanni Di Lorenzo,11514.0,Right Back,2,Italy,914,['a76f5651-8edc-49b0-91cb-4d8984aa138b'],5,,,,,,,,,,,,,,,,,,Italy,00:00:05.093,Pass,,39.2,68.4,24.9,46.7,,,
,,,,,,,,,,,,,,1.839082,,,,,,,,,,,,,,,,7fd4637f-c40f-4204-a286-6cdd4b18c636,14,,,"[25.3, 46.4]",3795506,0,,,,,-1.602145,,Right Foot,,,,"[24.4, 17.7]",,Ground Pass,,28.714108,,,,,Giorgio Chiellini,,,,,,1,From Kick Off,Leonardo Bonucci,7173.0,Right Center Back,2,Italy,914,['14309d21-a8ac-447d-9bbd-0b56f4d733aa'],8,,,,,,,,,,,,,,,,,,Italy,00:00:08.002,Pass,,25.3,46.4,24.4,17.7,,,
,,,,,,,,,,,,,,1.839995,,,,,,,,,,,,,,,,a06d0e3b-e76f-49b8-9512-8d4a8c25b757,17,,,"[23.9, 18.6]",3795506,0,,,,,1.8568478,,Left Foot,,,,"[16.4, 44.1]",,Ground Pass,,26.580069,,,,,Leonardo Bonucci,,,,,,1,From Kick Off,Giorgio Chiellini,6954.0,Left Center Back,2,Italy,914,['85524932-7a50-4cea-a495-29f422f95934'],10,,,,,,,,,,,,,,,,,,Italy,00:00:10.769,Pass,,23.9,18.6,16.4,44.1,,,
,,,,,,,,,,,,,,2.163877,,,,,,,,,,,,,,,,a9b66158-df7c-4740-b530-eb9150d5b9b9,21,,,"[16.2, 44.3]",3795506,0,,,,,-1.9498407,,Right Foot,,,,"[6.8, 20.7]",,Ground Pass,,25.403149,,,,,Gianluigi Donnarumma,,,,,,1,From Kick Off,Leonardo Bonucci,7173.0,Right Center Back,2,Italy,914,"['1dfdf051-6f8a-4bca-b8cd-fafe87e196ea', '711f0d37-c3fb-4c66-b8be-c9ad7583e890']",13,,,,,,,,,,,,,,,,,,Italy,00:00:13.672,Pass,True,16.2,44.3,6.8,20.7,,,
,,,,,,,,,,,,,,2.651953,,,,,,,,,,,,,,,,68534d9a-244c-479c-a7ae-1a94c47f2277,25,,,"[6.4, 20.4]",3795506,0,,,,,-0.14981246,,Right Foot,,,,"[59.4, 12.4]",,High Pass,,53.600372,,,Incomplete,,Ciro Immobile,,,,,,1,From Kick Off,Gianluigi Donnarumma,7036.0,Goalkeeper,2,Italy,914,"['0215f475-4440-46f5-8069-744fb805d3e5', '6d8c930e-dfe5-49d5-b35c-4ab65eeed088', '751b588e-6043-4f45-ad57-41ad9077cb7b']",18,,,,,,,,,,,,,,,,,,Italy,00:00:18.195,Pass,True,6.4,20.4,59.4,12.4,,,
,,,,,,,,,,,,,,1.109417,,,,,,,,,,,,,,,,6d8c930e-dfe5-49d5-b35c-4ab65eeed088,28,,,"[60.7, 67.7]",3795506,0,,,,True,-0.039978687,,,,,True,"[68.2, 67.4]",,Low Pass,,7.5059977,,,,,Kalvin Phillips,,,,,Recovery,1,Regular Play,John Stones,3244.0,Center Back,3,England,768,"['35d991ff-a3ee-4b00-98a8-249d4b0b21ca', '66a5a4e6-0bdf-4637-ad7e-84c109c2ecf6', '68534d9a-244c-479c-a7ae-1a94c47f2277']",20,,,,,,,,,,,,,,,,,,England,00:00:20.847,Pass,True,60.7,67.7,68.2,67.4,,,
,,,,,,,,,,,,,,1.090482,,,,,,,,,,,,,,,,3a0dfdbe-7e9b-4711-a947-04db0300347b,32,,,"[68.2, 66.5]",3795506,0,,,,,1.8236904,,Right Foot,,,,"[65.9, 75.4]",,High Pass,,9.192389,,,Incomplete,,Kieran Trippier,,,,,,1,Regular Play,Kalvin Phillips,4706.0,Right Defensive Midfield,3,England,768,"['20859ec5-a2eb-483a-93c8-1ee70f6ca21f', 'b45dae5b-8839-46ae-8b45-7d9b0d96140d']",22,,,,,,,,,,,,,,,,,,England,00:00:22.058,Pass,,68.2,66.5,65.9,75.4,,,
,,,,,,,,,,,,,,2.085966,,,,,,,,,,,,,,,,e160bd83-1fea-4346-814e-9ffd36a61999,35,,,"[69.4, 80.0]",3795506,0,,,,,-3.0747907,,,,,,"[41.0, 78.1]",,Low Pass,,28.463486,,,,,Kyle Walker,,,,,Throw-in,1,From Throw In,Kieran Trippier,3308.0,Right Wing Back,4,England,768,['1a26d5dc-9fa4-43cb-8b4f-ff04f1a582af'],35,,,,,,,,,,,,,,,,,,England,00:00:35.614,Pass,,69.4,80.0,41.0,78.1,,,
,,,,,,,,,,,,,,2.649309,,,,,,,,,,,,,,,,76b4b979-eef7-40ba-b6b9-70cc4470a081,38,,,"[35.3, 71.0]",3795506,0,,,,,-2.2323184,,Right Foot,,,,"[12.8, 42.1]",,Ground Pass,,36.625946,,,,,Jordan Pickford,,,,,,1,From Throw In,Kyle Walker,3205.0,Right Center Back,4,England,768,['906951fe-b701-490e-8d64-6605f2e1a84c'],42,,,,,,,,,,,,,,,,,,England,00:00:42.376,Pass,,35.3,71.0,12.8,42.1,,,
,,,,,,,,,,,,,,1.761379,,,,,,,,,,,,,,,,068a2115-cce3-4482-bc04-9b48ec8b6b86,41,,,"[15.0, 37.5]",3795506,0,,,,,-1.5521649,,Left Foot,,,,"[15.3, 21.4]",,Ground Pass,,16.102795,,,,,Harry Maguire,,,,,,1,From Throw In,Jordan Pickford,3468.0,Goalkeeper,4,England,768,['8ee0389c-21b9-4aff-9a7e-bcfb3fe0438f'],50,,,,,,,,,,,,,,,,,,England,00:00:50.192,Pass,,15.0,37.5,15.3,21.4,,,
,,,,,,,,,,,,,,1.231893,,,,,,,,,,,,,,,,814aee68-a860-46d0-a97d-ff2901fab1d7,44,,,"[18.3, 21.8]",3795506,0,,,,,-0.730178,,Right Foot,,,,"[39.3, 3.0]",,Low Pass,,28.185812,,,,,Luke Shaw,,,,,,1,From Throw In,Harry Maguire,3336.0,Left Center Back,4,England,768,['9d351c35-a660-4db7-a4ed-5145ac5c6c22'],54,,,,,,,,,,,,,,,,,,England,00:00:54.081,Pass,,18.3,21.8,39.3,3.0,,,
,,,,,,,,,,,,,,1.329354,,,,,,,,,,,,,,,,7e89e0f3-eeea-40d9-8341-fccb0b6f4216,47,,,"[37.8, 3.9]",3795506,0,,,,,2.7348456,,Left Foot,,,,"[18.3, 12.3]",,Ground Pass,,21.232286,,,,,Harry Maguire,,,,,,1,From Throw In,Luke Shaw,3382.0,Left Wing Back,4,England,768,['bbd131bc-af12-422a-8ccc-4291c1e6dd64'],56,,,,,,,,,,,,,,,,,,England,00:00:56.599,Pass,,37.8,3.9,18.3,12.3,,,
,,,,,,,,,,,,,,1.601916,,,,,,,,,,,,,,,,03aec561-ce20-4301-adc2-d14eb1f03a5e,50,,,"[16.2, 13.0]",3795506,0,,,,,2.3005335,,Right Foot,,,,"[0.1, 31.0]",,Ground Pass,,24.149742,,,Out,,Jordan Pickford,,,,,,1,From Throw In,Harry Maguire,3336.0,Left Center Back,4,England,768,['9243887a-40ca-49b5-a363-2e2ced7b74cc'],59,,,,,,,,,,,,,,,,,,England,00:00:59.036,Pass,,16.2,13.0,0.1,31.0,,,
,,,,,,,,,,,,,,1.657046,,,,,,,,,,,,,,,,5ccb23d2-cde6-4027-8942-deef86080996,52,,,"[120.0, 80.0]",3795506,1,,,,,-1.8139502,,Right Foot,,,,"[110.4, 41.3]",,High Pass,,39.872925,,,Incomplete,True,Leonardo Bonucci,,,Outswinging,,Corner,1,From Corner,Lorenzo Insigne,7037.0,Left Wing,5,Italy,914,"['fc7e13cf-9690-41fb-adf9-2576aac26e72', 'ffa98bde-bc2d-4cbd-b52e-6f2d35410496']",31,,,,,,,,,,,,,,,,,,Italy,00:01:31.826,Pass,,120.0,80.0,110.4,41.3,,,
,,,,,,,,,,,,,,2.377956,,,,,,,,,,,,,,,,f677790e-e0d1-44b9-937e-f224c2767d26,55,,,"[49.4, 16.3]",3795506,1,,,,,-2.1138613,,Head,,,,"[42.7, 5.2]",,High Pass,,12.965339,,,,,Mason Mount,,,,,Recovery,1,Regular Play,Raheem Sterling,3233.0,Right Attacking Midfield,6,England,768,['189f6ddf-f4b7-4c4d-8b4e-7c781a7d9190'],36,,,,,,,,,,,,,,,,,,England,00:01:36.903,Pass,,49.4,16.3,42.7,5.2,,,
,,,,,,,,,,,,,,1.063671,,,,,,,,,,,,,,,,b420105a-0ffe-49b0-9cf0-2aa730f7921d,59,,,"[42.4, 5.1]",3795506,1,,,,,3.069429,,Right Foot,,,,"[25.8, 6.3]",,Low Pass,,16.643316,,,,,Luke Shaw,,,,,,1,Regular Play,Mason Mount,7843.0,Left Attacking Midfield,6,England,768,['c8445d8e-d5d1-471a-a085-45b1cbfdb690'],40,,,,,,,,,,,,,,,,,,England,00:01:40.411,Pass,,42.4,5.1,25.8,6.3,,,
,,,,,,,,,,,,,,0.646494,,,,,,,,,,,,,,,,31464568-641b-40c6-a614-c2e84a9fd479,63,,,"[36.0, 2.8]",3795506,1,,,,,0.71208346,,Left Foot,,,,"[45.5, 11.0]",,Ground Pass,,12.549502,,,,,Harry Kane,,,,,,1,Regular Play,Luke Shaw,3382.0,Left Wing Back,6,England,768,['ee45e98f-4c88-4ea3-bd5b-add6cab0f6e1'],44,,,,,,,,,,,,,,,,,,England,00:01:44.895,Pass,,36.0,2.8,45.5,11.0,,,
,,,,,,,,,,,,,,3.550661,,,,,,,,,,,,,,,,7f738a0f-a22f-4b1a-b2ed-db4f9d7bcfb7,66,,,"[59.8, 27.1]",3795506,1,,,,,0.93646926,,Right Foot,,,,"[92.1, 71.0]",,Ground Pass,,54.502293,,,,,Kieran Trippier,,True,,,,1,Regular Play,Harry Kane,10955.0,Center Forward,6,England,768,['66a7fb0d-df38-40fd-bf6d-1f01f2489673'],49,,,,,,,,,,,,,,,,,,England,00:01:49.033,Pass,,59.8,27.1,92.1,71.0,,,
,,,,,,,,,,,,,,1.819757,,,,,,,,,,,,,,,,782da551-4871-4a1e-91e3-507b36cee275,69,,,"[101.7, 62.4]",3795506,1,,,,,-1.2116412,6605af47-8d44-4f52-9b8d-65598a9c0ef1,Right Foot,True,,,"[112.4, 33.9]",True,High Pass,,30.442404,,,,,Luke Shaw,,,,,,1,Regular Play,Kieran Trippier,3308.0,Right Wing Back,6,England,768,['5327f46e-b863-4db3-88be-c291cb0d0501'],55,,,,,,,,,,,,,,,,,,England,00:01:55.338,Pass,,101.7,62.4,112.4,33.9,,,
,,,,,,,,,,,,,,1.070404,,,,,,,,,,,,,,,,2056b2d2-c17c-4333-a002-468e024ceb85,73,,,"[60.0, 40.0]",3795506,3,,True,,,2.8430936,,Right Foot,,,,"[43.1, 45.2]",,Ground Pass,,17.681911,,,,,Jorge Luiz Frello Filho,,,,,Kick Off,1,From Kick Off,Ciro Immobile,7788.0,Center Forward,7,Italy,914,['95419b20-d60d-4075-a1e0-db7facd9cd15'],18,,,,,,,,,,,,,,,,,,Italy,00:03:18.758,Pass,,60.0,40.0,43.1,45.2,,,
,,,,,,,,,,,,,,2.751755,,,,,,,,,,,,,,,,eee49212-e8d5-4454-8d1f-1b5d62ea0ef1,75,,,"[43.0, 49.9]",3795506,3,,True,,,1.1978086,,Right Foot,,,,"[52.9, 75.2]",,Ground Pass,,27.167995,,,,,Giovanni Di Lorenzo,,,,,,1,From Kick Off,Jorge Luiz Frello Filho,7024.0,Center Defensive Midfield,7,Italy,914,['3cc67505-2814-4f64-8cf0-3334745dc8b9'],20,,,,,,,,,,,,,,,,,,Italy,00:03:20.768,Pass,,43.0,49.9,52.9,75.2,,,
,,,,,,,,,,,,,,1.036335,,,,,,,,,,,,,,,,4fdb267d-025f-4663-abb4-3ffebd2aa17f,78,,,"[62.5, 77.1]",3795506,3,,,,,-0.36879143,,Right Foot,,,,"[83.2, 69.1]",,Ground Pass,,22.192116,,,,,Federico Chiesa,,,,,,1,From Kick Off,Giovanni Di Lorenzo,11514.0,Right Back,7,Italy,914,"['1785a5e5-1b2f-4e61-b0ed-b3e5b7855b1e', '73c143bc-8c40-48b8-b4b6-c1fbf6f2058a']",25,,,,,,,,,,,,,,,,,,Italy,00:03:25.174,Pass,True,62.5,77.1,83.2,69.1,,,
,,,,,,,,,,,,,,1.371118,,,,,,,,,,,,,,,,5f9fc4d9-c994-437d-b8f6-67c3d33d0c8a,80,,,"[83.1, 69.0]",3795506,3,,,,,-1.7342727,,Right Foot,,,,"[81.5, 59.3]",,Ground Pass,,9.831073,,,,,Ciro Immobile,,,,,,1,From Kick Off,Federico Chiesa,7156.0,Right Wing,7,Italy,914,['b80a13a5-a913-4e66-bb93-53174c670e97'],26,,,,,,,,,,,,,,,,,,Italy,00:03:26.211,Pass,,83.1,69.0,81.5,59.3,,,
,,,,,,,,,,,,,,0.813027,,,,,,,,,,,,,,,,2e065960-eca6-4994-a640-f7194b775a37,83,,,"[80.0, 59.1]",3795506,3,,,,,-1.4393014,,Right Foot,,,,"[84.1, 28.1]",,Low Pass,,31.269953,,,Incomplete,,Lorenzo Insigne,,,,,,1,From Kick Off,Ciro Immobile,7788.0,Center Forward,7,Italy,914,"['0a3e07af-08d8-47b3-8120-2a4d8169fedf', '6e875139-9b92-4f83-aab5-7380494eb107', '949d2366-1906-400e-95c3-b17619b28ee8']",27,,,,,,,,,,,,,,,,,,Italy,00:03:27.582,Pass,True,80.0,59.1,84.1,28.1,,,
,,,,,,,,,,,,,,2.690141,,,,,,,,,,,,,,,,e606ac75-0ddd-40b7-8041-b5b1fd3ebc52,87,,,"[38.3, 57.8]",3795506,3,,,,,-0.14074697,,Right Foot,,,,"[87.0, 50.9]",,High Pass,,49.18638,,,Incomplete,,Raheem Sterling,,,,,,1,From Kick Off,Kieran Trippier,3308.0,Right Wing Back,7,Italy,914,"['1e2da12f-164f-4b71-9750-70cfe8fed44f', 'b8b1dd7e-6dc2-49fa-a595-1eaa24ae06fd']",30,,,,,,,,,,,,,,,,,,England,00:03:30.516,Pass,,38.3,57.8,87.0,50.9,,,
,,,,,,,,,,,,,,3.058317,,,,,,,,,,,,,,,,b8b1dd7e-6dc2-49fa-a595-1eaa24ae06fd,90,,,"[33.1, 29.2]",3795506,3,,,,True,-1.028217,,,,,,"[41.3, 15.6]",,High Pass,,15.880806,,,,,Emerson Palmieri dos Santos,,,,,Recovery,1,From Kick Off,Giorgio Chiellini,6954.0,Left Center Back,7,Italy,914,"['81ebf058-426c-45a3-b590-5fb453a33a3b', 'e606ac75-0ddd-40b7-8041-b5b1fd3ebc52', 'fbc6e2bc-d876-4d93-a363-aec6ceaece3b']",33,,,,,,,,,,,,,,,,,,Italy,00:03:33.206,Pass,True,33.1,29.2,41.3,15.6,,,
,,,,,,,,,,,,,,0.804913,,,,,,,,,,,,,,,,cc004898-1fec-4d4b-a67a-b66f0d7dac8c,94,,,"[38.8, 15.1]",3795506,3,,,,,0.5354195,,Left Foot,,,,"[44.7, 18.6]",,Low Pass,,6.860029,,,,,Marco Verratti,,,,,,1,From Kick Off,Emerson Palmieri dos Santos,4355.0,Left Back,7,Italy,914,"['480a228b-ebf2-4253-ae24-4a123c250b33', '7947b3a3-f63a-438f-9778-75fc7cbb05c3']",36,,,,,,,,,,,,,,,,,,Italy,00:03:36.589,Pass,True,38.8,15.1,44.7,18.6,,,
,,,,,,,,,,,,,,1.875154,,,,,,,,,,,,,,,,bceb76c8-38d1-4915-9cba-8a429806d082,96,,,"[44.7, 18.6]",3795506,3,,,,,2.1808703,,Right Foot,,,,"[37.5, 28.9]",,Ground Pass,,12.56702,,,,,Jorge Luiz Frello Filho,,,,,,1,From Kick Off,Marco Verratti,3166.0,Left Center Midfield,7,Italy,914,['b0d0d311-c3c3-4a6b-b840-ed65179e51b9'],37,,,,,,,,,,,,,,,,,,Italy,00:03:37.394,Pass,,44.7,18.6,37.5,28.9,,,
