bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,,1.275289,,,,,,,,,,,,,48773e76-b521-4486-8e32-a36564207f16,5,,,"[60.0, 40.0]",3794686,0,,,,,-2.5325897,,Right Foot,,,"[40.5, 26.4]",,Ground Pass,23.774145,,,,Aymeric Laporte,,,,,Kick Off,1,From Kick Off,Pedro González López,30486.0,Left Center Midfield,2,Spain,772,['3e9d3f2b-d5b6-4e13-a9a2-c07743f3cb10'],0,,,,,,,,,,,,,,,,,Spain,00:00:00.409,Pass,,60.0,40.0,40.5,26.4,,,
,,,,,,,,,,,,,,,,,,4.938691,,,,,,,,,,,,,1dcd88b3-2c97-4298-9740-5eab8c12ce6d,8,,,"[41.4, 26.7]",3794686,0,,,,,0.7797697,,Left Foot,,,"[95.0, 79.7]",,High Pass,75.37878,,Out,,Ferrán Torres García,,True,,,,1,From Kick Off,Aymeric Laporte,4353.0,Left Center Back,2,Spain,772,['c8cbb51d-808f-4c17-9b53-c3f7289f0172'],3,,,,,,,,,,,,,,,,,Spain,00:00:03.163,Pass,,41.4,26.7,95.0,79.7,,,
,,,,,,,,,,,,,,,,,,1.288681,,,,,,,,,,,,,661322b8-0323-4c82-bc89-5ad19594e039,10,,,"[25.5, 0.1]",3794686,0,,,,,0.28551266,,,,,"[45.6, 6.0]",,Low Pass,20.94803,,,,Bruno Petković,,,,,Throw-in,1,From Throw In,Joško Gvardiol,33018.0,Left Back,3,Croatia,785,['c4e61909-f9f7-4fac-bbe5-d9818331ba28'],23,,,,,,,,,,,,,,,,,Croatia,00:00:23.881,Pass,,25.5,0.1,45.6,6.0,,,
,,,,,,,,,,,,,,,,,,1.721902,,,,,,,,,,,,,1cc6d8a9-d21d-4c73-9689-2f5ba2f3249d,15,,,"[47.2, 6.4]",3794686,0,,,,,0.27690884,,Right Foot,,,"[56.7, 9.1]",,Low Pass,9.876234,,Incomplete,,Marcelo Brozović,,,,,,1,From Throw In,Bruno Petković,7693.0,Center Forward,3,Croatia,785,"['1509947f-022a-41d3-8f2e-70998954ebc0', '1b4513b9-9158-4f96-bf8f-448360317d2a', '3d64e9ca-1894-4235-80e1-4077e5aefb1e', 'ffc18356-2b1a-4528-92e7-270aee1992a2']",25,,,,,,,,,,,,,,,,,Croatia,00:00:25.603,Pass,True,47.2,6.4,56.7,9.1,,,
,,,,,,,,,,,,,,,,,,1.303223,,,,,,,,,,,,,1b4513b9-9158-4f96-bf8f-448360317d2a,18,,,"[63.4, 71.0]",3794686,0,,,,,-0.3074949,,Right Foot,,,"[78.2, 66.3]",,High Pass,15.528361,,Incomplete,,Pedro González López,,,,,Interception,1,From Throw In,Eric García Martret,31953.0,Right Center Back,3,Croatia,785,"['1cc6d8a9-d21d-4c73-9689-2f5ba2f3249d', '87d2de79-cab7-4264-91ed-6f733de64f0f', 'ce37e2de-5de9-431e-9e0a-83bcf0417c98']",27,,,,,,,,,,,,,,,,,Spain,00:00:27.325,Pass,,63.4,71.0,78.2,66.3,,,
,,,,,,,,,,,,,,,,,,2.280916,,,,,,,,,,,,,87d2de79-cab7-4264-91ed-6f733de64f0f,20,,,"[41.9, 13.8]",3794686,0,,,,,0.31154683,,Right Foot,,,"[53.7, 17.6]",,High Pass,12.396773,,Incomplete,,Ante Rebić,,,,,Recovery,1,From Throw In,Marcelo Brozović,5469.0,Center Defensive Midfield,3,Croatia,785,"['1b4513b9-9158-4f96-bf8f-448360317d2a', '67396aef-f8d5-40b9-8d58-f6f3240e8cdf', '995c37ba-9c26-4b06-a33c-bd02d4fc1b29']",28,,,,,,,,,,,,,,,,,Croatia,00:00:28.628,Pass,,41.9,13.8,53.7,17.6,,,
,,,,,,,,,,,,,,,,,,1.548128,,,,,,,,,,,,,67396aef-f8d5-40b9-8d58-f6f3240e8cdf,23,,,"[66.4, 62.5]",3794686,0,,,,True,1.8060287,,,,,"[63.5, 74.6]",,Low Pass,12.442669,,,,César Azpilicueta Tanco,,,,,Recovery,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,4,Spain,772,"['0ebed592-8e4d-46c3-8dc8-01bf2e46f9ae', '87d2de79-cab7-4264-91ed-6f733de64f0f', 'ff3d511c-7273-4fe1-8747-669bdf4e6244']",30,,,,,,,,,,,,,,,,,Spain,00:00:30.909,Pass,True,66.4,62.5,63.5,74.6,,,
,,,,,,,,,,,,,,,,,,3.069654,,,,,,,,,,,,,6319f8b1-0bab-4586-b4ab-d71b2e86f59d,26,,,"[63.5, 74.2]",3794686,0,,,,,-2.3065116,,Right Foot,,,"[46.3, 55.2]",,Low Pass,25.62889,,,,Eric García Martret,,,,,,1,Regular Play,César Azpilicueta Tanco,3957.0,Right Back,4,Spain,772,['df1410d4-453e-4488-b35b-e8c852e108c2'],32,,,,,,,,,,,,,,,,,Spain,00:00:32.493,Pass,,63.5,74.2,46.3,55.2,,,
,,,,,,,,,,,,,,,,,,2.021311,,,,,,,,,,,,,3946d884-9eb8-4672-a3a2-21fee03349f1,28,,,"[45.5, 54.2]",3794686,0,,,,,-1.784857,,Left Foot,,,"[42.0, 38.1]",,Ground Pass,16.476044,,,,Aymeric Laporte,,,,,,1,Regular Play,Eric García Martret,31953.0,Right Center Back,4,Spain,772,['396ed17d-c716-46f0-aacd-44f5e8ffe715'],35,,,,,,,,,,,,,,,,,Spain,00:00:35.562,Pass,,45.5,54.2,42.0,38.1,,,
,,,,,,,,,,,,,,,,,,1.66055,,,,,,,,,,,,,0dea0487-2a83-4b86-aa55-2c009517ea0e,31,,,"[44.5, 37.5]",3794686,0,,,,,-1.2883742,,Left Foot,,,"[51.0, 15.1]",,Ground Pass,23.324022,,,,José Luis Gayà Peña,,,,,,1,Regular Play,Aymeric Laporte,4353.0,Left Center Back,4,Spain,772,['c747ee73-00e3-4408-93b5-72f05105d08d'],39,,,,,,,,,,,,,,,,,Spain,00:00:39.938,Pass,,44.5,37.5,51.0,15.1,,,
