ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2fa3e588-afc0-483b-baf4-a8c6950fa0ca,4806,,,,3795220,120,,,,,,,,,,,,,,,,,,,,,,,,5,From Throw In,,,,269,Italy,914,['6e7f6162-14aa-4088-9415-92f007ab3472'],0,,,,,,,,,,,,,,,Italy,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,6e7f6162-14aa-4088-9415-92f007ab3472,4807,,,,3795220,120,,,,,,,,,,,,,,,,,,,,,,,,5,From Throw In,,,,269,Italy,914,['2fa3e588-afc0-483b-baf4-a8c6950fa0ca'],0,,,,,,,,,,,,,,,Spain,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,1.343146,,,,,,,,,,,5ca9ecb5-21d1-42fd-afef-aa79929facae,5,,,"[60.0, 40.0]",3795220,0,,,,-2.9100153,,Right Foot,,,,"[37.1, 34.6]",,Ground Pass,,23.528069,,,,Aymeric Laporte,,,,,Kick Off,1,From Kick Off,Daniel Olmo Carvajal,16532.0,Center Forward,2,Spain,772,['5d95db51-c9e6-4464-9a04-c15bf0290436'],0,,,,,,,,,,,,,,,Spain,00:00:00.911,Pass,,60.0,40.0,37.1,34.6,,,
,,,,,,,,,,,,,,,2.680299,,,,,,,,,,,1523f029-3595-4228-9474-848a0f1052b7,8,,,"[35.8, 34.4]",3795220,0,,,,0.68964666,,Left Foot,,,,"[84.3, 74.4]",,High Pass,,62.866924,,,,Mikel Oyarzabal Ugarte,,True,,,,1,From Kick Off,Aymeric Laporte,4353.0,Left Center Back,2,Spain,772,['a74d0942-940e-42ad-90a5-7074de12e97d'],3,,,,,,,,,,,,,,,Spain,00:00:03.590,Pass,,35.8,34.4,84.3,74.4,,,
,,,,,,,,,,,,,,,0.958601,,,,,,,,,,,b50fd511-f862-4c04-94ea-953558db6ad6,12,,,"[32.8, 0.1]",3795220,0,,,,0.31808758,,,,,,"[49.2, 5.5]",,High Pass,,17.266151,,,,Ciro Immobile,,,,,Throw-in,1,From Throw In,Emerson Palmieri dos Santos,4355.0,Left Back,3,Italy,914,['b211b804-3963-45eb-8dfd-cab6307d0e4d'],18,,,,,,,,,,,,,,,Italy,00:00:18.705,Pass,,32.8,0.1,49.2,5.5,,,
,,,,,,,,,,,,,,,3.178538,,,,,,,,,,,68c99a72-14e8-40df-b56d-50e41fb58f5a,14,,,"[49.2, 5.5]",3795220,0,,,,0.30413124,,Head,,,,"[76.6, 14.1]",,Low Pass,,28.71794,,Incomplete,,,,,,,,1,From Throw In,Ciro Immobile,7788.0,Center Forward,3,Italy,914,['613318e8-0614-4d34-ad20-b1a4325c46e9'],19,,,,,,,,,,,,,,,Italy,00:00:19.703,Pass,,49.2,5.5,76.6,14.1,,,
,,,,,,,,,,,,,,,2.863385,,,,,,,,,,,613318e8-0614-4d34-ad20-b1a4325c46e9,15,,,"[43.5, 66.0]",3795220,0,,,,-2.410405,,Right Foot,,,,"[16.3, 41.6]",,Ground Pass,,36.54039,,,,Unai Simón Mendibil,,,,,Recovery,1,Regular Play,Eric García Martret,31953.0,Right Center Back,4,Spain,772,"['68c99a72-14e8-40df-b56d-50e41fb58f5a', 'f2ff1180-9563-4b85-b608-8b8c25ddf488']",22,,,,,,,,,,,,,,,Spain,00:00:22.882,Pass,,43.5,66.0,16.3,41.6,,,
,,,,,,,,,,,,,,,1.563646,,,,,,,,,,,2783a894-1ce0-42e6-a1d2-4e9f31d82eb6,18,,,"[16.3, 41.6]",3795220,0,,,,-1.282887,,Right Foot,,,,"[23.2, 18.3]",,Ground Pass,,24.300205,,,,Aymeric Laporte,,,,,,1,Regular Play,Unai Simón Mendibil,11748.0,Goalkeeper,4,Spain,772,['304c148c-c619-422b-adc8-53c5fffff91c'],28,,,,,,,,,,,,,,,Spain,00:00:28.400,Pass,,16.3,41.6,23.2,18.3,,,
,,,,,,,,,,,,,,,1.0995,,,,,,,,,,,713c0a17-f371-4935-b9c7-9fc9c0776781,21,,,"[30.4, 16.8]",3795220,0,,,,0.6979028,,Left Foot,,,,"[49.0, 32.4]",,Ground Pass,,24.275913,,,,Daniel Olmo Carvajal,,,,,,1,Regular Play,Aymeric Laporte,4353.0,Left Center Back,4,Spain,772,['e41040d1-8069-4f52-a41f-e2600a2d26f6'],33,,,,,,,,,,,,,,,Spain,00:00:33.424,Pass,,30.4,16.8,49.0,32.4,,,
,,,,,,,,,,,,,,,2.070275,,,,,,,,,,,8bfd3b04-f37a-4348-a5b0-f678156f4e13,27,,,"[54.8, 29.0]",3795220,0,True,,,1.8674531,,Right Foot,,,,"[47.8, 51.9]",,Ground Pass,,23.94598,,,,Eric García Martret,,,,,Free Kick,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,5,Spain,772,['adf26ecb-6a07-4744-9009-fa89f56087f4'],46,,,,,,,,,,,,,,,Spain,00:00:46.670,Pass,,54.8,29.0,47.8,51.9,,,
,,,,,,,,,,,,,,,1.836527,,,,,,,,,,,c95dcec9-8eb5-40c4-9df9-f5fe892ee8cd,29,,,"[51.2, 49.3]",3795220,0,,,,-1.7446976,,Right Foot,,,,"[47.3, 27.1]",,Ground Pass,,22.539965,,,,Aymeric Laporte,,,,,,1,From Free Kick,Eric García Martret,31953.0,Right Center Back,5,Spain,772,['661c6e61-0c3b-40b0-8e13-a044feedfc8b'],50,,,,,,,,,,,,,,,Spain,00:00:50.398,Pass,,51.2,49.3,47.3,27.1,,,
,,,,,,,,,,,,,,,1.164062,,,,,,,,,,,ad956e81-cfa6-4f18-8d1a-bc28f11fe9ea,32,,,"[49.5, 27.1]",3795220,0,,,,-1.2268273,,Left Foot,,,,"[56.7, 7.0]",,Ground Pass,,21.350643,,,,Jordi Alba Ramos,,,,,,1,From Free Kick,Aymeric Laporte,4353.0,Left Center Back,5,Spain,772,['8e7edb18-bba5-4a54-92f3-825b12611ae1'],53,,,,,,,,,,,,,,,Spain,00:00:53.172,Pass,,49.5,27.1,56.7,7.0,,,
,,,,,,,,,,,,,,,1.00342,,,,,,,,,,,d4979fca-05d6-4685-8fd4-4412f4341406,35,,,"[57.0, 7.6]",3795220,0,,,,-0.36717382,,Left Foot,,,,"[71.3, 2.1]",,Ground Pass,,15.321227,,,,Ferrán Torres García,,,,,,1,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,5,Spain,772,['e20359bd-8f15-4794-8a79-99eda8aae05b'],55,,,,,,,,,,,,,,,Spain,00:00:55.540,Pass,,57.0,7.6,71.3,2.1,,,
,,,,,,,,,,,,,,,0.890137,,,,,,,,,,,b8e84148-0cbc-447c-ad5a-54f25d4815c1,39,,,"[71.1, 3.4]",3795220,0,,,,3.1142023,,Right Foot,,,,"[56.5, 3.8]",,Ground Pass,,14.605478,,,,Jordi Alba Ramos,,,,,,1,From Free Kick,Ferrán Torres García,6748.0,Left Wing,5,Spain,772,['f9ece8f4-18a4-4f51-b43a-86b31a121403'],57,,,,,,,,,,,,,,,Spain,00:00:57.912,Pass,,71.1,3.4,56.5,3.8,,,
,,,,,,,,,,,,,,,1.343526,,,,,,,,,,,bf9d4f53-0f78-4eb6-a611-14cbd09127f7,42,,,"[55.0, 3.4]",3795220,0,,,,2.894762,,Left Foot,,,,"[29.6, 9.8]",,Ground Pass,,26.193892,,,,Aymeric Laporte,,,,,,1,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,5,Spain,772,['1ab5e696-3a89-420a-92b8-8c57dd96d4ab'],59,,,,,,,,,,,,,,,Spain,00:00:59.829,Pass,,55.0,3.4,29.6,9.8,,,
,,,,,,,,,,,,,,,0.434727,,,,,,,,,,,8c5a0e6f-b09b-4f43-9a4b-bf39880b29bc,46,,,"[41.1, 7.8]",3795220,1,,,,-0.50016105,,Left Foot,,,,"[49.7, 3.1]",,Ground Pass,,9.80051,,,,Jordi Alba Ramos,,,,,,1,From Free Kick,Aymeric Laporte,4353.0,Left Center Back,5,Spain,772,['5dd47920-0b55-4a11-97ff-62482048181d'],6,,,,,,,,,,,,,,,Spain,00:01:06.756,Pass,,41.1,7.8,49.7,3.1,,,
,,,,,,,,,,,,,,,1.92537,,,,,,,,,,,921395a4-2ded-4779-b5ab-d30826ee25b0,49,,,"[51.2, 2.3]",3795220,1,,,,2.4775465,,Left Foot,,,,"[35.1, 14.9]",,Ground Pass,,20.444315,,,,Sergio Busquets i Burgos,,,,,,1,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,5,Spain,772,['3b93afaa-97c4-40b5-bb38-af953944d922'],7,,,,,,,,,,,,,,,Spain,00:01:07.230,Pass,,51.2,2.3,35.1,14.9,,,
,,,,,,,,,,,,,,,0.754422,,,,,,,,,,,e3c9a9c3-24e4-4d07-8f9c-99003671d143,53,,,"[36.0, 13.0]",3795220,1,,,,0.15204327,,Right Foot,,,,"[48.4, 14.9]",,Ground Pass,,12.54472,,Incomplete,,Daniel Olmo Carvajal,,,,,,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,5,Spain,772,"['6c33bb18-ae1b-49eb-99b2-e08a675c10ea', 'eea60be7-76d2-4729-b352-97b5c8060713']",11,,,,,,,,,,,,,,,Spain,00:01:11.269,Pass,,36.0,13.0,48.4,14.9,,,
,,,,,,,,,,,,,,,1.17234,,,,,,,,,,,77ba34a3-4150-4966-be37-e39cdc927478,58,,,"[71.3, 65.4]",3795220,1,,,,0.7853982,,Right Foot,,,,"[77.7, 71.8]",,Ground Pass,,9.050967,,,,Federico Chiesa,,,,,,1,From Free Kick,Jorge Luiz Frello Filho,7024.0,Center Defensive Midfield,5,Spain,772,"['7a782ede-f97e-43bf-bd76-cc6266d3d0b0', 'ac852378-4691-4ab2-b690-7a0e5aada540']",13,,,,,,,,,,,,,,,Italy,00:01:13.261,Pass,True,71.3,65.4,77.7,71.8,,,
,,,,,,,,,,,,,,,0.666182,,,,,,,,,,,f486f38b-255f-4f53-a01a-bc6bada6eb06,61,,,"[77.9, 72.0]",3795220,1,,,,-3.0172377,,Right Foot,,,,"[71.5, 71.2]",,Ground Pass,,6.449806,,Incomplete,,Jorge Luiz Frello Filho,,,,,,1,From Free Kick,Federico Chiesa,7156.0,Right Wing,5,Spain,772,"['0ab16c74-073d-47f2-9500-8272bc3bc089', '7a782ede-f97e-43bf-bd76-cc6266d3d0b0', 'c1cd5eb0-5c5b-4d2a-a2c7-bcebfc43efbc']",14,,,,,,,,,,,,,,,Italy,00:01:14.474,Pass,True,77.9,72.0,71.5,71.2,,,
,,,,,,,,,,,,,,,0.973147,,,,,,,,,,,01dc6a5e-d1e5-4dd9-b107-1d0dddc2770f,65,,,"[48.2, 13.4]",3795220,1,,,,2.1175852,,Right Foot,,,,"[42.6, 22.6]",,Ground Pass,,10.770329,,,,Jorge Resurrección Merodio,,,,,,1,From Free Kick,Ferrán Torres García,6748.0,Left Wing,5,Spain,772,['92e157d1-1228-4044-aeed-f1492ea732d1'],16,,,,,,,,,,,,,,,Spain,00:01:16.578,Pass,,48.2,13.4,42.6,22.6,,,
,,,,,,,,,,,,,,,1.464452,,,,,,,,,,,29c761ee-4dd3-473b-bfbd-ffbb6abe7c5d,68,,,"[37.1, 28.6]",3795220,1,,,,1.297531,,Right Foot,,,,"[45.2, 57.5]",,Ground Pass,,30.013664,,,,César Azpilicueta Tanco,,,,,,1,From Free Kick,Jorge Resurrección Merodio,5199.0,Right Center Midfield,5,Spain,772,['170b838c-cf0b-4566-923d-b71ce6cead96'],18,,,,,,,,,,,,,,,Spain,00:01:18.947,Pass,,37.1,28.6,45.2,57.5,,,
,,,,,,,,,,,,,,,0.944855,,,,,,,,,,,34c50f9a-b32c-48fc-a6f0-4143aff0d0ee,71,,,"[55.0, 64.3]",3795220,1,,,,-0.38050637,,Right Foot,,,,"[77.5, 55.3]",,Low Pass,,24.233242,,,,Mikel Oyarzabal Ugarte,,,,,,1,From Free Kick,César Azpilicueta Tanco,3957.0,Right Back,5,Spain,772,['e8943a6b-64ef-48c7-ab63-51efe57d6e04'],21,,,,,,,,,,,,,,,Spain,00:01:21.914,Pass,,55.0,64.3,77.5,55.3,,,
,,,,,,,,,,,,,,,1.666964,,,,,,,,,,,fceeb8c5-8933-4a41-864f-ae901d9b7c32,78,,,"[35.8, 29.3]",3795220,1,,,,-2.385172,,Right Foot,,,,"[28.7, 22.6]",,Ground Pass,,9.762172,,,,Emerson Palmieri dos Santos,,,,,,1,Regular Play,Giorgio Chiellini,6954.0,Left Center Back,6,Italy,914,"['7b1f1225-9bdf-43a6-8478-ce4a2866a494', '95cc540a-e016-4848-abc1-3d51073fb353']",24,,,,,,,,,,,,,,,Italy,00:01:24.982,Pass,True,35.8,29.3,28.7,22.6,,,
