bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,0.623715,,,,,,,,,,,,,,,2f1dbe0b-280d-4ec4-a67a-c1f582b63fa7,14,,,"[18.0, 75.2]",3788755,0,,,,,-1.0761851,,Right Foot,,,"[22.8, 66.3]",,Ground Pass,,10.111875,,,Okay Yokuşlu,,,,,,,1,From Throw In,Mehmet Zeki Çelik,10349.0,Right Back,3,Turkey,909,['3e65d7d4-9efc-4c65-a620-99fb230698a4'],21,,,,,,,,,,,,,,,,Turkey,00:00:21.588,Pass,,18.0,75.2,22.8,66.3,,,
,,,,,,,,,,,,,,,1.215502,,,,,,,,,,,,,,,76a108c1-a81e-4473-85ca-b62a6bd74f4d,28,,,"[29.2, 49.1]",3788755,0,,,,,1.6030432,,Right Foot,,,"[28.9, 58.4]",,Ground Pass,,9.304837,,,Okay Yokuşlu,,,,,,,1,From Throw In,Hakan Çalhanoğlu,7039.0,Left Center Midfield,3,Turkey,909,['cb9c4899-bf50-416b-80c6-d85eadf70cde'],26,,,,,,,,,,,,,,,,Turkey,00:00:26.988,Pass,,29.2,49.1,28.9,58.4,,,
,,,,,,,,,,,,,,,0.993996,,,,,,,,,,,,,,,8e885554-3787-4b86-b005-f204ea9bb76d,32,,,"[28.9, 61.2]",3788755,0,,,,,1.1603899,,Left Foot,,,"[34.6, 74.3]",,Ground Pass,,14.286357,,,Cengiz Ünder,,,,,,,1,From Throw In,Okay Yokuşlu,12555.0,Center Defensive Midfield,3,Turkey,909,"['53f5708c-778c-4ed7-a023-19b5ce09e4c4', '6a41b3cf-063c-46f3-b2db-8dd314d8e2ca']",28,,,,,,,,,,,,,,,,Turkey,00:00:28.360,Pass,True,28.9,61.2,34.6,74.3,,,
,,,,,,,,,,,,,,,1.145723,,,,,,,,,,,,,,,dfa946d7-8c5a-403c-b2cc-9d11cc4e4684,41,,,"[41.0, 73.0]",3788755,0,,,,,2.772259,,Right Foot,,,"[34.8, 75.4]",,Ground Pass,,6.6483083,,,Mehmet Zeki Çelik,,,,,,,1,From Throw In,Cengiz Ünder,6971.0,Right Midfield,3,Turkey,909,['d660de9d-f82b-41aa-80ec-be3378f48440'],31,,,,,,,,,,,,,,,,Turkey,00:00:31.407,Pass,,41.0,73.0,34.8,75.4,,,
,,,,,,,,,,,,,,,2.98819,,,,,,,,,,,,,,,65d4e749-cfc4-482d-ae1b-e56e96140931,44,,,"[33.6, 74.6]",3788755,0,,,,,-0.21616943,,Right Foot,,,"[88.7, 62.5]",,High Pass,,56.41294,,,Burak Yılmaz,,,,Through Ball,True,,1,From Throw In,Mehmet Zeki Çelik,10349.0,Right Back,3,Turkey,909,"['0b373969-7831-4b36-a762-d2cd793a9762', 'efc52979-fa16-46c8-98f8-5b436f987a98']",32,,,,,,,,,,,,,,,,Turkey,00:00:32.553,Pass,True,33.6,74.6,88.7,62.5,,,
,,,,,,,,,,,,,,,1.857207,,,,,,,,,,,,,,,de240e20-31b6-4d0f-96f2-a3ebae1d4e6b,47,,,"[109.6, 72.5]",3788755,0,,,,,-1.7845615,,Right Foot,True,,"[103.5, 44.4]",,Ground Pass,,28.754478,Incomplete,,Kenan Karaman,,,,,,,1,From Throw In,Burak Yılmaz,11086.0,Center Forward,3,Turkey,909,"['7883adfa-7528-410a-baa5-a8a9265088d0', '81c540ec-2e78-476a-9488-0fd9647b08ee']",39,,,,,,,,,,,,,,,,Turkey,00:00:39.206,Pass,,109.6,72.5,103.5,44.4,,,
,,,,,,,,,,,,,,,0.942351,,,,,,,,,,,,,,,61d36ad8-fe18-43f0-a2e0-cf96e9349e76,50,,,"[27.0, 14.8]",3788755,0,,,,,0.12326567,,Head,,,"[38.3, 16.2]",,Low Pass,,11.386395,,,Aaron Ramsey,,,,,,Recovery,1,Regular Play,Ben Davies,3086.0,Left Back,4,Wales,907,['5770aa4b-7bad-4f09-8b45-38aa1db0138e'],43,,,,,,,,,,,,,,,,Wales,00:00:43.134,Pass,,27.0,14.8,38.3,16.2,,,
,,,,,,,,,,,,,,,1.437969,,,,,,,,,,,,,,,2a32ec98-30b0-45ed-97b6-fe623e0983d8,54,,,"[72.7, 74.9]",3788755,0,,,,,0.0,,Right Foot,,,"[76.8, 74.9]",,Low Pass,,4.1,Incomplete,,Cengiz Ünder,,,,,,Recovery,1,Regular Play,Mehmet Zeki Çelik,10349.0,Right Back,4,Wales,907,"['338c1a25-1201-4535-93b8-94e08793fd72', '9cbc16d7-8fd7-4165-969c-430f16ef49c0', 'd9e16b07-e029-4edd-bef0-10d05f88f7e3']",46,,,,,,,,,,,,,,,,Turkey,00:00:46.438,Pass,True,72.7,74.9,76.8,74.9,,,
,,,,,,,,,,,,,,,0.894017,,,,,,,,,,,,,,,4df55995-35b4-495a-9dcc-bc503a6fd9ee,59,,,"[45.0, 6.5]",3788755,0,,,,,2.9816794,,Right Foot,,,"[32.6, 8.5]",,Low Pass,,12.560255,,,Ben Davies,,,,,,,1,Regular Play,Aaron Ramsey,3517.0,Left Center Midfield,4,Wales,907,['c84fbf7c-c46f-4666-b945-e4d95dde4522'],48,,,,,,,,,,,,,,,,Wales,00:00:48.435,Pass,,45.0,6.5,32.6,8.5,,,
,,,,,,,,,,,,,,,0.850262,,,,,,,,,,,,,,,5cb1c637-2fe9-47e5-bd3d-f83454ddd199,63,,,"[32.6, 8.5]",3788755,0,,,,,1.2277724,,Left Foot,,,"[36.1, 18.3]",,Ground Pass,,10.406248,,,Joe Allen,,,,,,,1,Regular Play,Ben Davies,3086.0,Left Back,4,Wales,907,"['7e042471-3be9-4b86-908f-2405df0ac923', 'dc365dcd-df0a-4f2b-8e4e-f8a1a4c40911']",50,,,,,,,,,,,,,,,,Wales,00:00:50.223,Pass,True,32.6,8.5,36.1,18.3,,,
