bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,1.359787,,,,,,,,,,,,9ccf2cd8-df22-416d-a7b3-9bd24b523dd5,4004,,"[70.0, 71.2]",3794692,92,,,,0.5880026,,Right Foot,,,,"[78.4, 76.8]",,Ground Pass,,10.095544,,,,Oleksandr Karavaev,,,,,,3,From Throw In,Illia Zabarnyi,39136.0,Right Center Back,142,Ukraine,911,['be42959a-40c5-4c40-9bd2-5fe22c662d27'],51,,,,,,,,,,,,,,,Ukraine,00:02:51.398,Pass,,70.0,71.2,78.4,76.8,,,
,,,,,,,,,,,,,,,,,0.865089,,,,,,,,,,,,211c29b2-cad3-4cf5-bf94-beafc8516f79,4007,,"[78.4, 76.8]",3794692,92,,,,-1.9025134,,Right Foot,,,,"[75.3, 67.8]",,Ground Pass,,9.518929,,,,Ruslan Malinovskiy,,,,,,3,From Throw In,Oleksandr Karavaev,31900.0,Right Wing Back,142,Ukraine,911,['a4a4bcbb-9790-42b5-8ded-a7ac74e4cf60'],53,,,,,,,,,,,,,,,Ukraine,00:02:53.677,Pass,,78.4,76.8,75.3,67.8,,,
,,,,,,,,,,,,,,,,,3.138738,,,,,,,,,,,,44cb6aa1-ffb1-4946-b4ea-1966ac193009,4010,,"[71.3, 63.2]",3794692,92,,,,-1.0155331,,Left Foot,,,,"[98.1, 20.0]",,High Pass,,50.83778,,,,Oleksandr Zinchenko,,True,,,,3,From Throw In,Ruslan Malinovskiy,16557.0,Left Center Midfield,142,Ukraine,911,['ad282869-e388-42b6-87c8-fa595546095e'],56,,,,,,,,,,,,,,,Ukraine,00:02:56.205,Pass,,71.3,63.2,98.1,20.0,,,
,,,,,,,,,,,,,,,,,0.912502,,,,,,,,,,,,d6044b23-44a0-46a5-bc46-6294612f9882,4013,,"[92.9, 27.1]",3794692,93,,,,-1.1399652,,Left Foot,,,,"[100.3, 11.0]",,Ground Pass,,17.719198,,,,Taras Stepanenko,,,,,,3,From Throw In,Oleksandr Zinchenko,3575.0,Left Wing Back,142,Ukraine,911,['25cbb8bc-6955-4b84-b2c6-c6aeb40b3dfc'],4,,,,,,,,,,,,,,,Ukraine,00:03:04.262,Pass,,92.9,27.1,100.3,11.0,,,
,,,,,,,,,,,,,,,,,1.333047,,,,,,,,,,,,88c6e025-7b03-4c6f-b322-1a4a3b529e5b,4016,,"[100.3, 11.3]",3794692,93,,,,2.3855977,,Right Foot,,,,"[89.8, 21.2]",,Ground Pass,,14.431216,,,,Oleksandr Zinchenko,,,,,,3,From Throw In,Taras Stepanenko,11000.0,Center Defensive Midfield,142,Ukraine,911,['74c37ff8-7a48-4182-9bf7-0f2352730dec'],5,,,,,,,,,,,,,,,Ukraine,00:03:05.215,Pass,,100.3,11.3,89.8,21.2,,,
,,,,,,,,,,,,,,,,,1.337473,,,,,,,,,,,,4af021cd-60d2-41b5-bc02-f1d1d581d92f,4019,,"[85.8, 21.8]",3794692,93,,,,2.453234,,Left Foot,,,,"[73.4, 32.0]",,Ground Pass,,16.056152,,,,Serhii Sydorchuk,,,,,,3,From Throw In,Oleksandr Zinchenko,3575.0,Left Wing Back,142,Ukraine,911,['59a70f2f-7506-4472-aab3-9fcb27417feb'],8,,,,,,,,,,,,,,,Ukraine,00:03:08.590,Pass,,85.8,21.8,73.4,32.0,,,
,,,,,,,,,,,,,,,,,1.482702,,,,,,,,,,,,3f1088b4-4a7e-4ce0-89d5-16525b119a6f,4022,,"[70.7, 33.3]",3794692,93,,,,1.6080924,,Right Foot,,,,"[69.7, 60.1]",,Ground Pass,,26.81865,,,,Illia Zabarnyi,,,,,,3,From Throw In,Serhii Sydorchuk,16514.0,Right Center Midfield,142,Ukraine,911,['38909b5b-3733-49a2-8142-d18220d1134a'],11,,,,,,,,,,,,,,,Ukraine,00:03:11.419,Pass,,70.7,33.3,69.7,60.1,,,
,,,,,,,,,,,,,,,,,1.306992,,,,,,,,,,,,ce7e1a42-2486-4c9a-9ea9-81de19035cd1,4025,,"[73.7, 63.5]",3794692,93,,,,0.94863844,,Left Foot,,,,"[80.8, 73.4]",,Ground Pass,,12.182775,,,,Oleksandr Karavaev,,,,,,3,From Throw In,Illia Zabarnyi,39136.0,Right Center Back,142,Ukraine,911,['a51c4f49-7a59-402a-b613-3daafe882634'],16,,,,,,,,,,,,,,,Ukraine,00:03:16.525,Pass,,73.7,63.5,80.8,73.4,,,
,,,,,,,,,,,,,,,,,0.749623,,,,,,,,,,,,db9819dc-9694-4ab1-a2f0-f91b8264bd24,4028,,"[103.1, 75.2]",3794692,93,,,,-1.2832205,,Right Foot,,,,"[105.2, 68.1]",,Ground Pass,,7.4040527,,,,Andriy Yarmolenko,,,,,,3,From Throw In,Oleksandr Karavaev,31900.0,Right Wing Back,142,Ukraine,911,['19be4423-d774-4743-8a6c-cd1ccd39ea8f'],20,,,,,,,,,,,,,,,Ukraine,00:03:20.579,Pass,,103.1,75.2,105.2,68.1,,,
,,,,,,,,,,,,,,,,,0.818153,,,,,,,,,,,,9fbf85f1-2fc1-4f2b-b06e-5c6d38068c39,4032,,"[109.5, 71.8]",3794692,93,,,,2.252402,,Left Foot,,,,"[105.2, 77.1]",,Ground Pass,,6.824954,,,,Oleksandr Karavaev,,,,,,3,From Throw In,Andriy Yarmolenko,8830.0,Right Center Forward,142,Ukraine,911,['e13e0fe0-07ab-427d-a891-9eb92c232ec8'],25,,,,,,,,,,,,,,,Ukraine,00:03:25.459,Pass,,109.5,71.8,105.2,77.1,,,
,,,,,,,,,,,,,,,,,0.231128,,,,,,,,,,,,2bef1f82-050d-4783-9c96-612200df4bd8,4035,,"[105.8, 76.5]",3794692,93,,,,-2.406153,,Right Foot,,,,"[103.7, 74.6]",,Ground Pass,,2.8319604,,,,Andriy Yarmolenko,,,,,,3,From Throw In,Oleksandr Karavaev,31900.0,Right Wing Back,142,Ukraine,911,['88281f18-2071-459a-a715-4000356b92d1'],26,,,,,,,,,,,,,,,Ukraine,00:03:26.355,Pass,,105.8,76.5,103.7,74.6,,,
,,,,,,,,,,,,,,,,,0.922062,,,,,,,,,,,,84ed6822-01ee-4044-9cd1-c610086f15b7,4037,,"[103.7, 74.6]",3794692,93,,,,-2.2398393,,No Touch,,,,"[96.9, 66.0]",,Ground Pass,,10.963576,True,,,Serhii Sydorchuk,,,,,,3,From Throw In,Andriy Yarmolenko,8830.0,Right Center Forward,142,Ukraine,911,['feb344e0-3ce0-4b64-9f9f-281bb8da0bca'],26,,,,,,,,,,,,,,,Ukraine,00:03:26.586,Pass,,103.7,74.6,96.9,66.0,,,
,,,,,,,,,,,,,,,,,0.965823,,,,,,,,,,,,2edcf46e-8374-4bb7-b6a2-7efc0977e5a6,4040,,"[96.9, 66.0]",3794692,93,,,,1.972667,,Right Foot,,,,"[93.5, 74.0]",,Ground Pass,,8.692526,,,,Andriy Yarmolenko,,,,,,3,From Throw In,Serhii Sydorchuk,16514.0,Right Center Midfield,142,Ukraine,911,['f5f12b1d-b6d7-447b-80cd-202ad0de84e5'],27,,,,,,,,,,,,,,,Ukraine,00:03:27.694,Pass,,96.9,66.0,93.5,74.0,,,
,,,,,,,,,,,,,,,,,2.029632,,,,,,,,,,,,11f807db-6e7c-4f77-a4d3-c453adb477b6,4043,,"[92.6, 73.7]",3794692,93,,,,-2.8717434,,Right Foot,,,,"[69.1, 67.2]",,Ground Pass,,24.38237,,,,Illia Zabarnyi,,,,,,3,From Throw In,Andriy Yarmolenko,8830.0,Right Center Forward,142,Ukraine,911,['e40e1af0-b011-4692-a929-fb6b134e32c5'],29,,,,,,,,,,,,,,,Ukraine,00:03:29.816,Pass,,92.6,73.7,69.1,67.2,,,
,,,,,,,,,,,,,,,,,4.543551,,,,,,,,,,,,5da6697f-162e-478c-8e17-81cb9e9b1ee1,4046,,"[69.1, 67.2]",3794692,93,,,,0.28007954,,Left Foot,,,,"[113.6, 80.0]",,High Pass,,46.30432,,Out,,Artem Besedin,,,,,,3,From Throw In,Illia Zabarnyi,39136.0,Right Center Back,142,Ukraine,911,['be906e93-4d64-4ddd-bb02-565b26a917f0'],34,,,,,,,,,,,,,,,Ukraine,00:03:34.088,Pass,,69.1,67.2,113.6,80.0,,,
,,,,,,,,,,,,,,,,,1.483684,,,,,,,,,,,,ca155a7d-d159-453f-8033-58b1d7e9ed15,4049,,"[9.3, 0.1]",3794692,94,,,,0.22679885,,,,,,"[27.5, 4.3]",,High Pass,,18.67833,,Incomplete,,Dejan Kulusevski,,,,,Throw-in,3,From Throw In,Pierre Bengtsson,20871.0,Left Back,143,Sweden,790,"['73a5a66c-8d19-462f-8b01-1b05c5db9759', 'd6649777-5e39-434b-8af6-8b877c018f07']",38,,,,,,,,,,,,,,,Sweden,00:04:38.764,Pass,,9.3,0.1,27.5,4.3,,,
,,,,,,,,,,,,,,,,,1.746123,,,,,,,,,,,,56c5a858-e0c6-46bb-b25d-b963c8db0c36,4053,,"[25.7, 16.0]",3794692,94,,,True,2.425051,,,,,,"[13.3, 26.8]",,Low Pass,,16.443844,,,,Victor Nilsson Lindelöf,,,,,Recovery,3,From Throw In,Albin Ekdal,5624.0,Left Defensive Midfield,143,Sweden,790,"['79a322ff-fb08-4541-8d6c-7b874a73df8f', 'b322c7a3-7fe4-4bc2-bb76-6d63ff04540f']",42,,,,,,,,,,,,,,,Sweden,00:04:42.638,Pass,True,25.7,16.0,13.3,26.8,,,
,,,,,,,,,,,,,,,,,2.52452,,,,,,,,,,,,53218678-df4a-46d1-94d4-3eb03e9dc2a0,4056,,"[14.3, 33.6]",3794692,94,,,,1.0340095,,Right Foot,,,,"[31.2, 62.0]",,Ground Pass,,33.047997,,,,Emil Krafth,,,,,,3,From Throw In,Victor Nilsson Lindelöf,3702.0,Right Center Back,143,Sweden,790,['0b25ed39-b0c9-4b8a-932f-a8bf4e938397'],44,,,,,,,,,,,,,,,Sweden,00:04:44.941,Pass,,14.3,33.6,31.2,62.0,,,
,,,,,,,,,,,,,,,,,1.341294,,,,,,,,,,,,ebbcba89-2f13-45d6-b5e8-d085b71d71ef,4065,,"[48.5, 50.2]",3794692,94,,,,-1.9249284,,Right Foot,,,,"[38.0, 21.8]",,Ground Pass,,30.27887,,,,Marcus Andreas Danielsson,,,,,,3,From Throw In,Kristoffer Olsson,23444.0,Right Defensive Midfield,143,Sweden,790,['14e268ea-05d1-4058-bdf7-e27d309123b1'],54,,,,,,,,,,,,,,,Sweden,00:04:54.666,Pass,,48.5,50.2,38.0,21.8,,,
,,,,,,,,,,,,,,,,,1.711503,,,,,,,,,,,,95e14284-83b9-4af7-98cb-4c493abef81b,4068,,"[43.0, 21.8]",3794692,94,,,,-0.71046364,,Right Foot,,,,"[60.9, 6.4]",,Ground Pass,,23.61292,,,,Pierre Bengtsson,,,,,,3,From Throw In,Marcus Andreas Danielsson,26875.0,Left Center Back,143,Sweden,790,['7676d940-29a7-4462-8d83-0485f5b232af'],56,,,,,,,,,,,,,,,Sweden,00:04:56.936,Pass,,43.0,21.8,60.9,6.4,,,
,,,,,,,,,,,,,,,,,0.497685,,,,,,,,,,,,fad3aa6d-7700-4761-87f5-2877b6bac619,4071,,"[68.6, 5.5]",3794692,95,,,,-2.6224465,,Left Foot,,,,"[65.8, 3.9]",,Ground Pass,,3.224903,,,,Emil Peter Forsberg,,,,,,3,From Throw In,Pierre Bengtsson,20871.0,Left Back,143,Sweden,790,['2cccfd93-5138-4f2b-9a9e-e89ba2527961'],0,,,,,,,,,,,,,,,Sweden,00:05:00.006,Pass,,68.6,5.5,65.8,3.9,,,
