50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,398bceb4-6bc4-48f0-9106-412df19b3eab,4547,,,,3794691,120,,,,,,,,,,,,,,,,,,,,,,,,,5,From Free Kick,,,,226,Switzerland,773,['9e1b7c5c-81ca-46b0-a965-b4b19f65499e'],0,,,,,,,,,,,,,,,,France,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,9e1b7c5c-81ca-46b0-a965-b4b19f65499e,4548,,,,3794691,120,,,,,,,,,,,,,,,,,,,,,,,,,5,From Free Kick,,,,226,Switzerland,773,['398bceb4-6bc4-48f0-9106-412df19b3eab'],0,,,,,,,,,,,,,,,,Switzerland,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,,1.583845,,,,,,,,,,,,,,,580a829a-793d-42d8-8ea8-d95e8ba9f0a7,5,,,"[61.0, 40.1]",3794691,0,,,,,-2.947712,,Left Foot,,,,"[39.1, 35.8]",,Ground Pass,,22.318153,,,,Manuel Obafemi Akanji,,,,,Kick Off,1,From Kick Off,Xherdan Shaqiri,3533.0,Center Attacking Midfield,2,Switzerland,773,['960b2d9c-c20e-45af-8d7d-bf0ca4163a86'],0,,,,,,,,,,,,,,,,Switzerland,00:00:00.390,Pass,,61.0,40.1,39.1,35.8,,,
,,,,,,,,,,,,,,,,,,,1.327168,,,,,,,,,,,,,,,4e693e9f-e835-40b3-97cf-79deb65532b0,8,,,"[39.5, 35.8]",3794691,0,,,,,-1.1248852,,Right Foot,,,,"[48.2, 17.6]",,Ground Pass,,20.172506,,,,Ricardo Iván Rodríguez Araya,,,,,,1,From Kick Off,Manuel Obafemi Akanji,5549.0,Center Back,2,Switzerland,773,['cd3e44bd-ce94-4379-9430-3160180306b3'],3,,,,,,,,,,,,,,,,Switzerland,00:00:03.048,Pass,,39.5,35.8,48.2,17.6,,,
,,,,,,,,,,,,,,,,,,,1.070214,,,,,,,,,,,,,,,e4561447-20ae-4e44-af60-4bc2f7a866c5,11,,,"[55.6, 12.7]",3794691,0,,,,,-0.3954084,,Right Foot,,,,"[67.1, 7.9]",,Ground Pass,,12.461541,,,,Steven Zuber,,,,,,1,From Kick Off,Ricardo Iván Rodríguez Araya,5544.0,Left Center Back,2,Switzerland,773,['487a61d9-1b46-4848-b1f2-dadaf50c28b2'],5,,,,,,,,,,,,,,,,Switzerland,00:00:05.718,Pass,,55.6,12.7,67.1,7.9,,,
,,,,,,,,,,,,,,,,,,,1.18931,,,,,,,,,,,,,,,291d0368-7baf-42f6-b9d1-216d13deae01,14,,,"[66.9, 7.9]",3794691,0,,,,,1.7396282,,Right Foot,,,,"[63.9, 25.5]",,Ground Pass,,17.853851,,,,Granit Xhaka,,,,,,1,From Kick Off,Steven Zuber,5548.0,Left Wing Back,2,Switzerland,773,['abb06d1d-a0d3-4d42-a880-a28729bcfbcf'],7,,,,,,,,,,,,,,,,Switzerland,00:00:07.655,Pass,,66.9,7.9,63.9,25.5,,,
,,,,,,,,,,,,,,,,,,,0.954093,,,,,,,,,,,,,,,46665db2-86e1-433f-bbc6-da3753166765,17,,,"[57.8, 22.0]",3794691,0,,,,,2.7187388,,Left Foot,,,,"[41.8, 29.2]",,Ground Pass,,17.54537,,,,Manuel Obafemi Akanji,,,,,,1,From Kick Off,Granit Xhaka,3500.0,Left Defensive Midfield,2,Switzerland,773,['06e9a4cc-84c7-4c8d-98d6-da5496e72ce0'],9,,,,,,,,,,,,,,,,Switzerland,00:00:09.658,Pass,,57.8,22.0,41.8,29.2,,,
,,,,,,,,,,,,,,,,,,,1.004452,,,,,,,,,,,,,,,dfd66e94-3509-4195-91e1-becd182f5849,20,,,"[52.3, 42.2]",3794691,0,,,,,-1.7884469,,Right Foot,,,,"[47.7, 21.4]",,Ground Pass,,21.302582,,,,Ricardo Iván Rodríguez Araya,,,,,,1,From Kick Off,Manuel Obafemi Akanji,5549.0,Center Back,2,Switzerland,773,['a35e082b-c72c-4c73-9d68-be77b4079506'],15,,,,,,,,,,,,,,,,Switzerland,00:00:15.988,Pass,,52.3,42.2,47.7,21.4,,,
,,,,,,,,,,,,,,,,,,,2.097727,,,,,,,,,,,,,,,7ae10b9c-96fd-446c-9c30-6f746740f59c,23,,,"[56.1, 15.5]",3794691,0,,,,,-0.6601826,,Left Foot,,,,"[72.2, 3.0]",,Ground Pass,,20.382835,,,,Breel-Donald Embolo,,,,,,1,From Kick Off,Ricardo Iván Rodríguez Araya,5544.0,Left Center Back,2,Switzerland,773,['2b9bd285-a566-4814-a653-ba445068aee8'],19,,,,,,,,,,,,,,,,Switzerland,00:00:19.669,Pass,,56.1,15.5,72.2,3.0,,,
,,,,,,,,,,,,,,,,,,,1.481509,,,,,,,,,,,,,,,40cd8e6a-e7b9-442b-9712-281ed4069665,26,,,"[67.6, 6.4]",3794691,0,,,,,2.6795273,,Right Foot,,,,"[42.3, 19.0]",,Low Pass,,28.263935,,,,Manuel Obafemi Akanji,,,,,,1,From Kick Off,Breel-Donald Embolo,5545.0,Right Center Forward,2,Switzerland,773,['d4d40371-96f7-4487-92fa-c3ee10558244'],24,,,,,,,,,,,,,,,,Switzerland,00:00:24.254,Pass,,67.6,6.4,42.3,19.0,,,
