50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,1.298648,,,,,,,,,,,53f1a530-8650-43e1-90c8-37b11f0c1ea4,1619,,"[63.2, 75.9]",3794688,40,,,,,-2.1013541,,Right Foot,,,,"[58.8, 68.4]",,Ground Pass,,8.695401,,,,,Kalvin Phillips,,,,,,1,Regular Play,Kieran Trippier,3308.0,Right Wing Back,106,England,768,['20ac5632-b87f-41c4-8f96-3832f0351cfc'],31,,,,,,,,,,,,,,,,England,00:40:31.429,Pass,,63.2,75.9,58.8,68.4,,,
,,,,,,,,,,,,,,,,1.209449,,,,,,,,,,,8b2e6cab-046a-4c0d-8d15-6da182fa9e94,1622,,"[58.8, 68.4]",3794688,40,,,,,1.9740778,,Right Foot,,,,"[55.6, 75.9]",,Ground Pass,,8.15414,,,,,Kieran Trippier,,,,,,1,Regular Play,Kalvin Phillips,4706.0,Right Defensive Midfield,106,England,768,['9afbc3e4-7d9f-4355-aeb7-1ccde959130b'],32,,,,,,,,,,,,,,,,England,00:40:32.946,Pass,,58.8,68.4,55.6,75.9,,,
,,,,,,,,,,,,,,,,1.398148,,,,,,,,,,,615dbf34-f200-4c3f-a277-1842c881f0e1,1625,,"[52.3, 77.0]",3794688,40,,,,,-3.0603242,,Right Foot,,,,"[30.2, 75.2]",,Ground Pass,,22.173182,,,,,Kyle Walker,,,,,,1,Regular Play,Kieran Trippier,3308.0,Right Wing Back,106,England,768,['1ecf397c-17eb-496c-9855-f6810ab6725e'],34,,,,,,,,,,,,,,,,England,00:40:34.236,Pass,,52.3,77.0,30.2,75.2,,,
,,,,,,,,,,,,,,,,2.021729,,,,,,,,,,,879bf7fb-4e49-4b38-9022-62668af51d11,1628,,"[28.5, 73.0]",3794688,40,,,,,-2.2380352,,Right Foot,,,,"[6.6, 45.2]",,Low Pass,,35.38997,,,,,Jordan Pickford,,,,,,1,Regular Play,Kyle Walker,3205.0,Right Center Back,106,England,768,['da027175-5765-415d-a758-0de83258453f'],37,,,,,,,,,,,,,,,,England,00:40:37.025,Pass,,28.5,73.0,6.6,45.2,,,
,,,,,,,,,,,,,,,,2.405032,,,,,,,,,,,dedc1c22-1268-4b17-9a45-b06ae94601dd,1631,,"[8.0, 35.5]",3794688,40,,,,,0.14103276,,Left Foot,,,,"[56.6, 42.4]",,High Pass,,49.08737,,,,,Harry Kane,,,,,,1,Regular Play,Jordan Pickford,3468.0,Goalkeeper,106,England,768,['49ebf1b3-0936-4bdf-81c8-32256a90e2a2'],42,,,,,,,,,,,,,,,,England,00:40:42.820,Pass,,8.0,35.5,56.6,42.4,,,
,,,,,,,,,,,,,,,,2.072381,,,,,,,,,,,e73a77a1-4f4c-4050-a5cf-e17c29bd8685,1634,,"[56.6, 42.4]",3794688,40,,,,True,-0.51067173,,,,,,"[73.2, 33.1]",,Low Pass,,19.02761,,,,,Raheem Sterling,,,,,,1,Regular Play,Harry Kane,10955.0,Center Forward,106,England,768,"['715d28a1-3fa8-48fc-8179-653a90402fbb', 'ddb06097-fcb3-43e4-98c8-4aefb07599c3']",45,,,,,,,,,,,,,,,,England,00:40:45.265,Pass,True,56.6,42.4,73.2,33.1,,,
,,,,,,,,,,,,,,,,0.983253,,,,,,,,,,,7e284dec-f46f-4a39-839a-5b52198ea753,1640,,"[43.8, 49.2]",3794688,40,,,,,2.1251037,,Right Foot,,,,"[38.6, 57.6]",,Ground Pass,,9.8792715,,,,,Joshua Kimmich,,,,,Recovery,1,Regular Play,Matthias Ginter,8808.0,Right Center Back,107,Germany,770,"['9d4b2ce9-6667-4bd9-bc18-ca6df814c5f3', 'aac240f7-111f-49a1-930a-135389692d6f']",48,,,,,,,,,,,,,,,,Germany,00:40:48.546,Pass,True,43.8,49.2,38.6,57.6,,,
,,,,,,,,,,,,,,,,2.451482,,,,,,,,,,,95ee5085-6768-4ecf-9b30-f05681ee4dbd,1642,,"[38.6, 57.6]",3794688,40,,,,,-2.447829,,Right Foot,,,,"[18.4, 40.8]",,Ground Pass,,26.27318,,,,,Manuel Neuer,,,,,,1,Regular Play,Joshua Kimmich,5579.0,Right Wing Back,107,Germany,770,['82b8153c-a3b0-4f4e-9efd-03dafb0e869e'],49,,,,,,,,,,,,,,,,Germany,00:40:49.529,Pass,,38.6,57.6,18.4,40.8,,,
,,,,,,,,,,,,,,,,1.178968,,,,,,,,,,,c8dbd0e7-843b-4058-8940-6d3d9a24f791,1645,,"[20.2, 46.8]",3794688,40,,,,,-0.30704573,,Right Foot,,,,"[36.6, 41.6]",,Ground Pass,,17.20465,,,,,Toni Kroos,,,,,,1,Regular Play,Manuel Neuer,5570.0,Goalkeeper,107,Germany,770,['9d73c290-82a6-4635-9bd4-f8a9ed4f785a'],57,,,,,,,,,,,,,,,,Germany,00:40:57.902,Pass,,20.2,46.8,36.6,41.6,,,
,,,,,,,,,,,,,,,,1.132375,,,,,,,,,,,cd17f2c4-dab3-45bc-844a-06aed0073384,1649,,"[35.5, 41.2]",3794688,41,,,,,2.0048358,,Right Foot,,,,"[24.7, 64.5]",,Ground Pass,,25.681316,,,,,Matthias Ginter,,,,,,1,Regular Play,Toni Kroos,5574.0,Right Defensive Midfield,107,Germany,770,"['2721290f-1c87-477a-980a-7c90d49187aa', 'e8e84255-afe1-4514-a835-bdce4e865050']",0,,,,,,,,,,,,,,,,Germany,00:41:00.077,Pass,True,35.5,41.2,24.7,64.5,,,
,,,,,,,,,,,,,,,,1.564874,,,,,,,,,,,857c3e9d-4a25-4886-b51c-f0a4c7cf347f,1652,,"[21.4, 65.6]",3794688,41,,,,,-2.4659557,,Right Foot,,,,"[7.8, 54.7]",,Ground Pass,,17.428999,,,,,Manuel Neuer,,,,,,1,Regular Play,Matthias Ginter,8808.0,Right Center Back,107,Germany,770,['16576a36-d446-4976-9b54-3f889da266fc'],2,,,,,,,,,,,,,,,,Germany,00:41:02.379,Pass,,21.4,65.6,7.8,54.7,,,
,,,,,,,,,,,,,,,,2.155822,,,,,,,,,,,9b199f1a-22ca-4a3c-8b88-4c824f917174,1655,,"[10.5, 62.6]",3794688,41,,,,,0.14674354,,Right Foot,,,,"[53.8, 69.0]",,High Pass,,43.770424,,,Incomplete,,Kai Havertz,,,,,,1,Regular Play,Manuel Neuer,5570.0,Goalkeeper,107,Germany,770,"['75fa9569-00a7-4886-b2f6-8d308d5f082b', '79895871-b066-4997-aef9-06725f94bfec']",5,,,,,,,,,,,,,,,,Germany,00:41:05.160,Pass,,10.5,62.6,53.8,69.0,,,
,,,,,,,,,,,,,,,,1.912168,,,,,,,,,,,75fa9569-00a7-4886-b2f6-8d308d5f082b,1657,,"[66.3, 11.1]",3794688,41,,,,True,-0.7309067,,,,,,"[75.0, 3.3]",,High Pass,,11.684606,,,Incomplete,,Luke Shaw,,,,,Recovery,1,Regular Play,Harry Maguire,3336.0,Left Center Back,107,Germany,770,"['1d06aab2-e5d7-478b-8bd5-60f6337b76d2', '9b199f1a-22ca-4a3c-8b88-4c824f917174', 'e81af5a0-d8c4-4583-84b4-093f3a06f3a8', 'f8d3bb0d-3f4a-46c2-897d-8787a141b7d5']",7,,,,,,,,,,,,,,,,England,00:41:07.316,Pass,True,66.3,11.1,75.0,3.3,,,
,,,,,,,,,,,,,,,,0.959831,,,,,,,,,,,f8d3bb0d-3f4a-46c2-897d-8787a141b7d5,1660,,"[45.1, 76.8]",3794688,41,,,,,-0.19623682,,Right Foot,,,,"[61.7, 73.5]",,High Pass,,16.924833,,,Incomplete,,Thomas Müller,,,,,Recovery,1,Regular Play,Joshua Kimmich,5579.0,Right Wing Back,107,Germany,770,"['75fa9569-00a7-4886-b2f6-8d308d5f082b', 'c9cab1d0-2280-4725-9c44-d7bb5a9d2c97', 'e0b43f32-f563-4692-9fb1-f114991f8b88']",9,,,,,,,,,,,,,,,,Germany,00:41:09.228,Pass,,45.1,76.8,61.7,73.5,,,
,,,,,,,,,,,,,,,,2.147353,,,,,,,,,,,c9cab1d0-2280-4725-9c44-d7bb5a9d2c97,1662,,"[58.4, 6.6]",3794688,41,,,,,0.062774554,,Head,,,,"[75.9, 7.7]",,High Pass,,17.534538,,,Incomplete,,Declan Rice,,,,,Interception,1,Regular Play,Harry Maguire,3336.0,Left Center Back,107,Germany,770,"['1b6afa6e-85c4-40dd-b5c4-9323266daa5d', '4e3afd23-f1b1-4eb2-9b0d-657b686e5e1c', 'f8d3bb0d-3f4a-46c2-897d-8787a141b7d5']",10,,,,,,,,,,,,,,,,England,00:41:10.188,Pass,,58.4,6.6,75.9,7.7,,,
