ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,1.497573,,,,,,,,,,,,92b6e5ee-41a2-4047-98e1-e8800deb7de6,17,,"[40.3, 38.3]",3788766,0,,,,,-0.6806977,,Right Foot,,,"[56.6, 25.1]",,Ground Pass,,20.974508,,,Marco Verratti,,,,,,1,From Kick Off,Leonardo Bonucci,7173.0,Right Center Back,2,Italy,914,['f883415e-5550-4a74-a8c4-40fda4dfc2fd'],11,,,,,,,,,,,,,,,Italy,00:00:11.771,Pass,,40.3,38.3,56.6,25.1,,,
,,,,,,,,,,,,,,0.976273,,,,,,,,,,,,5a54eb89-a377-40d0-a48d-04c58d49547f,20,,"[53.3, 68.5]",3788766,0,,,,,-1.2384641,,Right Foot,,,"[57.2, 57.2]",,Ground Pass,,11.954079,,,Gareth Frank Bale,,,,,Recovery,1,From Kick Off,Connor Roberts,4774.0,Right Wing Back,2,Italy,914,['49a99742-7e2e-425e-925f-67145a62c4d6'],14,,,,,,,,,,,,,,,Wales,00:00:14.839,Pass,,53.3,68.5,57.2,57.2,,,
,,,,,,,,,,,,,,4.29566,,,,,,,,,,,,a28cfb3c-642c-4546-b019-c8bb2b7f5ff9,24,,"[58.0, 47.6]",3788766,0,,,,,-0.41152096,,Left Foot,,,"[105.2, 27.0]",,High Pass,,51.499516,Incomplete,,Daniel James,,,,,,1,From Kick Off,Gareth Frank Bale,6399.0,Right Wing,2,Italy,914,"['08e7b40a-76cb-46e2-b4cc-becda65bcf97', '1a3ffa19-b6f1-4fe9-99c5-5d4aaaa7bc5c', '6e933899-80b0-4e39-9d39-aa7d1bd8fe84']",18,,,,,,,,,,,,,,,Wales,00:00:18.436,Pass,True,58.0,47.6,105.2,27.0,,,
,,,,,,,,,,,,,,1.259791,,,,,,,,,,,,a421b9fb-1f47-43c3-804c-cc26855ef03d,29,,"[15.3, 55.9]",3788766,0,,,,,-1.4114447,,Keeper Arm,,,"[18.0, 39.1]",,Ground Pass,,17.015581,,,Leonardo Bonucci,,,,,,1,From Kick Off,Gianluigi Donnarumma,7036.0,Goalkeeper,2,Italy,914,['ac78d6fb-3ef0-4397-b493-106ce7ed9280'],24,,,,,,,,,,,,,,,Italy,00:00:24.470,Pass,,15.3,55.9,18.0,39.1,,,
,,,,,,,,,,,,,,0.868853,,,,,,,,,,,,97d00692-64af-4687-be34-65742709f730,32,,"[30.6, 38.3]",3788766,0,,,,,-1.3069341,,Right Foot,,,"[37.3, 13.5]",,Ground Pass,,25.689102,,,Alessandro Bastoni,,,,,,1,From Kick Off,Leonardo Bonucci,7173.0,Right Center Back,2,Italy,914,['d69a8747-4549-4bba-b998-6267f5676a38'],29,,,,,,,,,,,,,,,Italy,00:00:29.649,Pass,,30.6,38.3,37.3,13.5,,,
,,,,,,,,,,,,,,1.124,,,,,,,,,,,,9805947f-57dd-4c43-a01c-a45e35c2fd6d,35,,"[51.0, 17.1]",3788766,0,,,,,1.9144869,,Left Foot,,,"[44.2, 36.1]",,Ground Pass,,20.18019,,,Leonardo Bonucci,,,,,,1,From Kick Off,Alessandro Bastoni,7480.0,Left Center Back,2,Italy,914,['fab1ec59-fee9-4efd-8ca1-d9f23795c188'],35,,,,,,,,,,,,,,,Italy,00:00:35.353,Pass,,51.0,17.1,44.2,36.1,,,
,,,,,,,,,,,,,,2.929438,,,,,,,,,,,,f867cc09-dbee-482f-b21f-100085b8eee2,38,,"[49.1, 47.9]",3788766,0,,,,,0.2780564,,Right Foot,,,"[103.4, 63.4]",,High Pass,,56.46893,Pass Offside,,Federico Bernardeschi,,,,,,1,From Kick Off,Leonardo Bonucci,7173.0,Right Center Back,2,Italy,914,['64ed591c-bf8a-4487-8cb8-4a3c86f15cb3'],38,,,,,,,,,,,,,,,Italy,00:00:38.364,Pass,,49.1,47.9,103.4,63.4,,,
,,,,,,,,,,,,,,3.719113,,,,,,,,,,,,10c2460d-0b34-4846-8c2f-4b911bf3dc4f,40,,"[15.4, 13.7]",3788766,1,,,,,0.36404362,,Right Foot,,,"[79.7, 38.2]",,High Pass,,68.80945,Incomplete,,Gareth Frank Bale,,,,,Free Kick,1,From Free Kick,Danny Ward,9914.0,Goalkeeper,3,Wales,907,"['1a831833-1838-43d0-82dd-adee9a562578', '4772ca19-add4-4313-8a15-86e92bb1642c']",17,,,,,,,,,,,,,,,Wales,00:01:17.682,Pass,,15.4,13.7,79.7,38.2,,,
,,,,,,,,,,,,,,1.770225,,,,,,,,,,,,4772ca19-add4-4313-8a15-86e92bb1642c,43,,"[40.4, 41.9]",3788766,1,,,,True,0.5094377,,,,,"[54.9, 50.0]",,High Pass,,16.609034,,,Andrea Belotti,,,,,Recovery,1,Regular Play,Alessandro Bastoni,7480.0,Left Center Back,4,Italy,914,"['10c2460d-0b34-4846-8c2f-4b911bf3dc4f', '4f3e2bf1-c7e9-4759-b1ae-705081dd934f', 'a63802f2-9476-4e12-9059-47760e69722d']",21,,,,,,,,,,,,,,,Italy,00:01:21.401,Pass,True,40.4,41.9,54.9,50.0,,,
,,,,,,,,,,,,,,1.689663,,,,,,,,,,,,6926a3d4-5785-4631-a1c4-d7ed7b917b6c,45,,"[54.7, 51.8]",3788766,1,,,,,-1.9729103,,Head,,,"[47.3, 34.4]",,Low Pass,,18.9082,,,Marco Verratti,,,,,,1,Regular Play,Andrea Belotti,7471.0,Center Forward,4,Italy,914,['da33ffc9-d91b-4bdf-9bf7-8f6567182f6a'],23,,,,,,,,,,,,,,,Italy,00:01:23.173,Pass,,54.7,51.8,47.3,34.4,,,
